entry_number,@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country
2,NA,NA,NA,NA,NA,NA
2,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071509,60071509,USDA Forest Service International Institute of Tropical Forestry,San Juan,Puerto Rico
2,true,https://api.elsevier.com/content/affiliation/affiliation_id/60000745,60000745,University of Illinois Urbana-Champaign,Urbana,United States
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60024712,60024712,"Instituto de Ecología, A.C.",Xalapa,Mexico
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/120543099,120543099,Departamento Flora de Veracruz,NA,NA
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/105611445,105611445,Institute of Plant Protection,Bet Dagan,Israel
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60072617,60072617,Université d'Antananarivo,Antananarivo,Madagascar
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60022659,60022659,University of Connecticut,Storrs,United States
5,true,https://api.elsevier.com/content/affiliation/affiliation_id/60032442,60032442,Universidad Nacional Autónoma de México,Ciudad de México,Mexico
6,true,https://api.elsevier.com/content/affiliation/affiliation_id/60070392,60070392,"Instituto de Ecología y Sistemática, Rancho Boyeros, cu",Rancho Boyeros,Cuba
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60010079,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60007670,60007670,Smithsonian National Museum of Natural History,"Washington, D.C.",United States
8,true,https://api.elsevier.com/content/affiliation/affiliation_id/60029570,60029570,Universidade Estadual de Campinas,Campinas,Brazil
8,true,https://api.elsevier.com/content/affiliation/affiliation_id/60024989,60024989,Universidade de Brasília,Brasilia,Brazil
8,true,https://api.elsevier.com/content/affiliation/affiliation_id/60023517,60023517,Northern Arizona University,Flagstaff,United States
9,true,https://api.elsevier.com/content/affiliation/affiliation_id/60121765,60121765,El Colegio de la Frontera Sur,San Cristobal de las Casas,Mexico
9,true,https://api.elsevier.com/content/affiliation/affiliation_id/60026415,60026415,Stony Brook University,Stony Brook,United States
10,true,https://api.elsevier.com/content/affiliation/affiliation_id/60022659,60022659,University of Connecticut,Storrs,United States
10,true,https://api.elsevier.com/content/affiliation/affiliation_id/60005455,60005455,Yale University,New Haven,United States
11,true,https://api.elsevier.com/content/affiliation/affiliation_id/60002483,60002483,Universiteit van Amsterdam,Amsterdam,Netherlands
12,true,https://api.elsevier.com/content/affiliation/affiliation_id/60031101,60031101,University of Cambridge,Cambridge,United Kingdom
