entry_number,@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60023005,60023005,CSIC - Instituto de Agricultura Sostenible (IAS),Cordoba,Spain
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60002793,60002793,Rothamsted Research,Harpenden,United Kingdom
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60001490,60001490,University of Glasgow,Glasgow,United Kingdom
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60006876,60006876,Turun yliopisto,Turku,Finland
5,true,https://api.elsevier.com/content/affiliation/affiliation_id/60001490,60001490,University of Glasgow,Glasgow,United Kingdom
6,true,https://api.elsevier.com/content/affiliation/affiliation_id/60006627,60006627,CSIC- Estación Biológica de Doñana EBD,Sevilla,Spain
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60033154,60033154,Concordia University,Montreal,Canada
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60032619,60032619,Université Laval,Quebec,Canada
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60009507,60009507,University of Montreal,Montreal,Canada
8,true,https://api.elsevier.com/content/affiliation/affiliation_id/60018229,60018229,Helmholtz Zentrum für Umweltforschung,Leipzig,Germany
8,true,https://api.elsevier.com/content/affiliation/affiliation_id/60012556,60012556,Philipps-Universität Marburg,Marburg,Germany
9,true,https://api.elsevier.com/content/affiliation/affiliation_id/60031101,60031101,University of Cambridge,Cambridge,United Kingdom
10,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071113,60071113,Haskoli Islands,Reykjavik,Iceland
11,true,https://api.elsevier.com/content/affiliation/affiliation_id/60015150,60015150,Imperial College London,London,United Kingdom
11,true,https://api.elsevier.com/content/affiliation/affiliation_id/60001881,60001881,The University of Sheffield,Sheffield,United Kingdom
12,true,https://api.elsevier.com/content/affiliation/affiliation_id/60008950,60008950,The Australian National University,Canberra,Australia
13,true,https://api.elsevier.com/content/affiliation/affiliation_id/60006876,60006876,Turun yliopisto,Turku,Finland
13,true,https://api.elsevier.com/content/affiliation/affiliation_id/60003858,60003858,Uppsala Universitet,Uppsala,Sweden
14,true,https://api.elsevier.com/content/affiliation/affiliation_id/60174564,60174564,"Instituto de Ecología, UNAM",Mexico City,Mexico
14,true,https://api.elsevier.com/content/affiliation/affiliation_id/60018491,60018491,Simon Fraser University,Burnaby,Canada
15,true,https://api.elsevier.com/content/affiliation/affiliation_id/60028167,60028167,Marine Scotland,Aberdeen,United Kingdom
16,true,https://api.elsevier.com/content/affiliation/affiliation_id/60009317,60009317,Swiss Ornithological Institute,Sempach,Switzerland
16,true,https://api.elsevier.com/content/affiliation/affiliation_id/60000239,60000239,Université de Lausanne (UNIL),Lausanne,Switzerland
17,true,https://api.elsevier.com/content/affiliation/affiliation_id/60004708,60004708,UK Centre for Ecology &amp; Hydrology,Wallingford,United Kingdom
18,true,https://api.elsevier.com/content/affiliation/affiliation_id/60029241,60029241,"University of California, Santa Barbara",Santa Barbara,United States
18,true,https://api.elsevier.com/content/affiliation/affiliation_id/60025038,60025038,"University of California, Berkeley",Berkeley,United States
19,true,https://api.elsevier.com/content/affiliation/affiliation_id/60021850,60021850,Netherlands Institute of Ecology (NIOO) - KNAW,Wageningen,Netherlands
19,true,https://api.elsevier.com/content/affiliation/affiliation_id/60001490,60001490,University of Glasgow,Glasgow,United Kingdom
19,true,https://api.elsevier.com/content/affiliation/affiliation_id/120354125,120354125,Zoologisches Institut,Basel,Switzerland
20,true,https://api.elsevier.com/content/affiliation/affiliation_id/60033389,60033389,University of Idaho,Moscow,United States
20,true,https://api.elsevier.com/content/affiliation/affiliation_id/60030759,60030759,"California State University, Los Angeles",Los Angeles,United States
20,true,https://api.elsevier.com/content/affiliation/affiliation_id/60010806,60010806,University of Rhode Island,Kingston,United States
20,true,https://api.elsevier.com/content/affiliation/affiliation_id/60010065,60010065,The University of Arizona,Tucson,United States
21,true,https://api.elsevier.com/content/affiliation/affiliation_id/60006925,60006925,La Trobe University,Melbourne,Australia
22,true,https://api.elsevier.com/content/affiliation/affiliation_id/60026851,60026851,University of Oxford,Oxford,United Kingdom
22,true,https://api.elsevier.com/content/affiliation/affiliation_id/60020650,60020650,University of Bristol,Bristol,United Kingdom
22,true,https://api.elsevier.com/content/affiliation/affiliation_id/60004708,60004708,UK Centre for Ecology &amp; Hydrology,Wallingford,United Kingdom
23,true,https://api.elsevier.com/content/affiliation/affiliation_id/60029146,60029146,University of Wisconsin Oshkosh,Oshkosh,United States
24,true,https://api.elsevier.com/content/affiliation/affiliation_id/60001490,60001490,University of Glasgow,Glasgow,United Kingdom
25,true,https://api.elsevier.com/content/affiliation/affiliation_id/60030318,60030318,Università degli Studi di Milano,Milan,Italy
25,true,https://api.elsevier.com/content/affiliation/affiliation_id/60008134,60008134,CNRS Centre National de la Recherche Scientifique,Paris,France
26,true,https://api.elsevier.com/content/affiliation/affiliation_id/60016529,60016529,Radboud Universiteit,Nijmegen,Netherlands
27,true,https://api.elsevier.com/content/affiliation/affiliation_id/60008950,60008950,The Australian National University,Canberra,Australia
28,true,https://api.elsevier.com/content/affiliation/affiliation_id/60025779,60025779,Bangor University,Bangor,United Kingdom
28,true,https://api.elsevier.com/content/affiliation/affiliation_id/60016939,60016939,Centre for the Environment Fisheries and Aquaculture Science,Lowestoft,United Kingdom
28,true,https://api.elsevier.com/content/affiliation/affiliation_id/60014176,60014176,University Marine Biological Station,Millport,United Kingdom
29,true,https://api.elsevier.com/content/affiliation/affiliation_id/60015881,60015881,University of Guelph,Guelph,Canada
29,true,https://api.elsevier.com/content/affiliation/affiliation_id/60010475,60010475,Ontario Ministry of Natural Resources,Peterborough,Canada
29,true,https://api.elsevier.com/content/affiliation/affiliation_id/60002306,60002306,University of Calgary,Calgary,Canada
30,true,https://api.elsevier.com/content/affiliation/affiliation_id/60044069,60044069,"Universität Basel, Zoologisches Institut",Basel,Switzerland
31,true,https://api.elsevier.com/content/affiliation/affiliation_id/60023018,60023018,Scripps Institution of Oceanography,San Diego,United States
31,true,https://api.elsevier.com/content/affiliation/affiliation_id/125908519,125908519,Institute of Zoology,Neuchatel,Switzerland
32,true,https://api.elsevier.com/content/affiliation/affiliation_id/60029738,60029738,Queen's University Belfast,Belfast,United Kingdom
