@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7005499789,7005499789,Haig D.,Haig,David,D.,true,60019544,1
true,2,https://api.elsevier.com/content/author/author_id/7004468655,7004468655,Westoby M.,Westoby,Mark,M.,true,60019544,1
true,1,https://api.elsevier.com/content/author/author_id/7003609238,7003609238,Tallamy D.,Tallamy,D. W.,D.W.,true,60023004,2
true,2,https://api.elsevier.com/content/author/author_id/6602771177,6602771177,Krischik V.,Krischik,V. A.,V.A.,true,60023004,2
true,1,https://api.elsevier.com/content/author/author_id/7201637358,7201637358,Power J.,Power,J. H.,J.H.,true,60007566,3
true,1,https://api.elsevier.com/content/author/author_id/7005731291,7005731291,McCauley D.,McCauley,D. E.,D.E.,true,60003915,4
true,1,https://api.elsevier.com/content/author/author_id/7003791593,7003791593,Searcy W.,Searcy,W. A.,W.A.,true,60015543,5
true,2,https://api.elsevier.com/content/author/author_id/7102202771,7102202771,Yasukawa K.,Yasukawa,K.,K.,true,60015543,5
true,1,https://api.elsevier.com/content/author/author_id/7005486622,7005486622,Bradshaw W.,Bradshaw,W. E.,W.E.,true,60012317,6
true,2,https://api.elsevier.com/content/author/author_id/7006509279,7006509279,Holzapfel C.,Holzapfel,C. M.,C.M.,true,60012317,6
true,1,https://api.elsevier.com/content/author/author_id/6603712232,6603712232,Goodnight C.,Goodnight,C. J.,C.J.,true,60027561,7
true,1,https://api.elsevier.com/content/author/author_id/7005412627,7005412627,Charnov E.,Charnov,E. L.,E.L.,true,60025488,8
true,2,https://api.elsevier.com/content/author/author_id/26643193500,26643193500,Dawson T.,Dawson,T. E.,T.E.,true,60025488,8
true,1,https://api.elsevier.com/content/author/author_id/7102636121,7102636121,Lyons E.,Lyons,E. E.,E.E.,true,60008724,9
true,2,https://api.elsevier.com/content/author/author_id/35611671400,35611671400,Waser N.,Waser,N. M.,N.M.,true,60008724,9
true,3,https://api.elsevier.com/content/author/author_id/7401948102,7401948102,Price M.,Price,M. V.,M.V.,true,60008724,9
true,4,https://api.elsevier.com/content/author/author_id/7006001084,7006001084,Antonovics J.,Antonovics,J.,J.,true,60008724,9
true,5,https://api.elsevier.com/content/author/author_id/6701521834,6701521834,Motten A.,Motten,A. F.,A.F.,true,60008724,9
true,1,https://api.elsevier.com/content/author/author_id/57204609229,57204609229,Iwasa Y.,Iwasa,Y.,Y.,true,60011047,10
true,2,https://api.elsevier.com/content/author/author_id/7404418038,7404418038,Cohen D.,Cohen,D.,D.,true,60011047,10
true,1,https://api.elsevier.com/content/author/author_id/57214521072,57214521072,McDonald D.,McDonald,D. B.,D.B.,true,60013959,11
true,1,https://api.elsevier.com/content/author/author_id/6701774065,6701774065,Cohan F.,Cohan,F. M.,F.M.,true,60029788,12
true,2,https://api.elsevier.com/content/author/author_id/7401903027,7401903027,Hoffmann A.,Hoffmann,A. A.,A.A.,true,60029788,12
true,1,https://api.elsevier.com/content/author/author_id/56216011300,56216011300,Parker G.,Parker,G. A.,G.A.,true,60020661,13
true,2,https://api.elsevier.com/content/author/author_id/7101989442,7101989442,Mock D.,Mock,D. W.,D.W.,true,60020661,13
true,3,https://api.elsevier.com/content/author/author_id/6602285783,6602285783,Lamey T.,Lamey,T. C.,T.C.,true,60020661,13
true,1,https://api.elsevier.com/content/author/author_id/57198120971,57198120971,Cairns D.,Cairns,D. K.,D.K.,true,60019000,14
true,1,https://api.elsevier.com/content/author/author_id/7201844028,7201844028,Connell J.H.,Connell,J. H.,J.H.,true,60029241,15
true,2,https://api.elsevier.com/content/author/author_id/7003870984,7003870984,Lowman M.D.,Lowman,M. D.,M.D.,true,60029241,15
true,1,https://api.elsevier.com/content/author/author_id/7410010381,7410010381,Cohen J.,Cohen,J. E.,J.E.,true,60026827,16
true,2,https://api.elsevier.com/content/author/author_id/7202990634,7202990634,Newman C.,Newman,C. M.,C.M.,true,60026827,16
true,1,https://api.elsevier.com/content/author/author_id/7103174892,7103174892,Carlson A.,Carlson,A.,A.,true,60027152,17
true,1,https://api.elsevier.com/content/author/author_id/7007177309,7007177309,Boomsma J.,Boomsma,J. J.,J.J.,true,60007989,18
true,1,https://api.elsevier.com/content/author/author_id/7003335030,7003335030,Pleasants J.,Pleasants,J. M.,J.M.,true,60004354,19
true,1,https://api.elsevier.com/content/author/author_id/7006638991,7006638991,Ruben J.,Ruben,J. A.,J.A.,true,60013402,20
true,2,https://api.elsevier.com/content/author/author_id/7003943633,7003943633,Boucot A.,Boucot,A. J.,A.J.,true,60013402,20
true,1,https://api.elsevier.com/content/author/author_id/6701853249,6701853249,Sprugel D.,Sprugel,D. G.,D.G.,true,60015481,21
true,1,https://api.elsevier.com/content/author/author_id/7005509133,7005509133,Carson H.,Carson,H. L.,H.L.,NA,NA,22
true,2,https://api.elsevier.com/content/author/author_id/6506110993,6506110993,Wisotzkey R.,Wisotzkey,R. G.,R.G.,NA,NA,22
true,1,https://api.elsevier.com/content/author/author_id/7102094152,7102094152,Herrera C.M.,Herrera,C. M.,C.M.,true,60006627,23
true,1,https://api.elsevier.com/content/author/author_id/7006923189,7006923189,Frick B.,Frick,B.,B.,true,60010884,24
true,2,https://api.elsevier.com/content/author/author_id/7003662041,7003662041,Cavers P.,Cavers,P. B.,P.B.,true,60010884,24
true,1,https://api.elsevier.com/content/author/author_id/6701535507,6701535507,Orzack S.,Orzack,S. H.,S.H.,true,60029278,25
true,2,https://api.elsevier.com/content/author/author_id/7003415922,7003415922,Tuljapurkar S.,Tuljapurkar,S.,S.,true,60029278,25
true,1,https://api.elsevier.com/content/author/author_id/7410169121,7410169121,Smith J.,Smith,J. N.M.,J.N.M.,true,60010365,26
true,2,https://api.elsevier.com/content/author/author_id/56108547400,56108547400,Arcese P.,Arcese,P.,P.,true,60010365,26
true,1,https://api.elsevier.com/content/author/author_id/7006543113,7006543113,Berglund A.,Berglund,A.,A.,true,60003858,27
true,2,https://api.elsevier.com/content/author/author_id/7003743581,7003743581,Rosenqvist G.,Rosenqvist,G.,G.,true,60003858,27
true,3,https://api.elsevier.com/content/author/author_id/7006004106,7006004106,Svensson I.,Svensson,I.,I.,true,60003858,27
true,1,https://api.elsevier.com/content/author/author_id/7005412627,7005412627,Charnov E.,Charnov,E. L.,E.L.,true,60025488,28
true,2,https://api.elsevier.com/content/author/author_id/7404424715,7404424715,Anderson P.,Anderson,P. J.,P.J.,true,60025488,28
true,1,https://api.elsevier.com/content/author/author_id/6701607469,6701607469,Breden F.,Breden,F.,F.,true,60006173,29
true,2,https://api.elsevier.com/content/author/author_id/7201453227,7201453227,Wade M.,Wade,M. J.,M.J.,true,60006173,29
true,1,https://api.elsevier.com/content/author/author_id/57203234280,57203234280,Bell G.,Bell,G.,G.,true,60002494,30
true,1,https://api.elsevier.com/content/author/author_id/7004916616,7004916616,Jamieson I.,Jamieson,I. G.,I.G.,true,60016005,31
true,1,https://api.elsevier.com/content/author/author_id/7404418038,7404418038,Cohen D.,Cohen,D.,D.,NA,NA,32
true,2,https://api.elsevier.com/content/author/author_id/7004570026,7004570026,Motro U.,Motro,U.,U.,NA,NA,32
true,1,https://api.elsevier.com/content/author/author_id/6602512067,6602512067,Barkan C.,Barkan,C. P.L.,C.P.L.,true,101692428,33
true,2,https://api.elsevier.com/content/author/author_id/6506884039,6506884039,Withiam M.,Withiam,M. L.,M.L.,true,101692428,33
true,1,https://api.elsevier.com/content/author/author_id/57202976962,57202976962,Grant B.R.,Grant,B. R.,B.R.,true,60003269,34
true,2,https://api.elsevier.com/content/author/author_id/7401614352,7401614352,Grant P.R.,Grant,P. R.,P.R.,true,60003269,34
true,1,https://api.elsevier.com/content/author/author_id/7005437840,7005437840,Slagsvold T.,Slagsvold,T.,T.,true,60010348,35
true,2,https://api.elsevier.com/content/author/author_id/7003817146,7003817146,Lifjeld J.,Lifjeld,J. T.,J.T.,true,60010348,35
true,1,https://api.elsevier.com/content/author/author_id/7005029326,7005029326,Atchley W.,Atchley,W. R.,W.R.,true,60004923,36
true,1,https://api.elsevier.com/content/author/author_id/7006742732,7006742732,Mangel M.,Mangel,M.,M.,true,60014439,37
true,1,https://api.elsevier.com/content/author/author_id/7006118573,7006118573,Slowinski J.,Slowinski,J. B.,J.B.,true,60029251,38
true,2,https://api.elsevier.com/content/author/author_id/7004348379,7004348379,Guyer C.,Guyer,C.,C.,true,60029251,38
true,1,https://api.elsevier.com/content/author/author_id/24443956200,24443956200,Denny M.,Denny,M. W.,M.W.,true,60012708,39
true,2,https://api.elsevier.com/content/author/author_id/16195426900,16195426900,Shibata M.,Shibata,M. F.,M.F.,true,60012708,39
true,1,https://api.elsevier.com/content/author/author_id/35568952900,35568952900,Urban D.L.,Urban,D. L.,D.L.,true,60015574,40
true,2,https://api.elsevier.com/content/author/author_id/57225133201,57225133201,Smith T.M.,Smith,T. M.,T.M.,true,60015574,40
true,1,https://api.elsevier.com/content/author/author_id/7005099456,7005099456,Reeve H.,Reeve,H. K.,H.K.,true,60007776,41
true,1,https://api.elsevier.com/content/author/author_id/7102193955,7102193955,Murdoch W.,Murdoch,W. W.,W.W.,true,60029241,42
true,2,https://api.elsevier.com/content/author/author_id/6603424372,6603424372,Stewart-Oaten A.,Stewart-Oaten,A.,A.,true,60029241,42
true,1,https://api.elsevier.com/content/author/author_id/7005143102,7005143102,Lewontin R.,Lewontin,R. C.,R.C.,true,60009982,43
true,2,https://api.elsevier.com/content/author/author_id/7004131886,7004131886,Levins R.,Levins,R.,R.,true,60009982,43
true,1,https://api.elsevier.com/content/author/author_id/56582665400,56582665400,Gaston K.,Gaston,K. J.,K.J.,true,60003455,44
true,2,https://api.elsevier.com/content/author/author_id/7102180766,7102180766,Lawton J.,Lawton,J. H.,J.H.,true,60003455,44
true,1,https://api.elsevier.com/content/author/author_id/6504108353,6504108353,Hamilton Wright D.,Hamilton Wright,D.,D.,NA,NA,45
true,1,https://api.elsevier.com/content/author/author_id/57203049544,57203049544,Marshall D.,Marshall,D. L.,D.L.,true,60033021,46
