@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/7005513913,7005513913,Meagher T.,Meagher,Thomas R.,T.R.,1,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/6603689551,6603689551,Etges W.,Etges,W. J.,W.J.,2,true,60004862
true,2,https://api.elsevier.com/content/author/author_id/7005535321,7005535321,Ahrens M.,Ahrens,M. A.,M.A.,2,true,60004862
true,1,https://api.elsevier.com/content/author/author_id/35586903000,35586903000,Matos M.,Matos,M.,M.,3,true,60002769
true,2,https://api.elsevier.com/content/author/author_id/7801647305,7801647305,Avelar T.,Avelar,T.,T.,3,true,60002769
true,1,https://api.elsevier.com/content/author/author_id/6603588240,6603588240,Roze D.,Roze,D.,D.,4,true,60010065
true,2,https://api.elsevier.com/content/author/author_id/7003545305,7003545305,Michod R.,Michod,R. E.,R.E.,4,true,60010065
true,1,https://api.elsevier.com/content/author/author_id/6701795458,6701795458,Kruuk L.,Kruuk,L. E.B.,L.E.B.,5,true,60027272
true,2,https://api.elsevier.com/content/author/author_id/7004683954,7004683954,Merilä J.,Merilä,J.,J.,5,true,60027272
true,3,https://api.elsevier.com/content/author/author_id/35481336500,35481336500,Sheldon B.,Sheldon,B. C.,B.C.,5,true,60027272
true,1,https://api.elsevier.com/content/author/author_id/6603610637,6603610637,Shurin J.,Shurin,J. B.,J.B.,6,true,60020760
true,2,https://api.elsevier.com/content/author/author_id/7202717424,7202717424,Allen E.,Allen,E. G.,E.G.,6,true,60020760
true,1,https://api.elsevier.com/content/author/author_id/6701861734,6701861734,Amarasekare P.,Amarasekare,P.,P.,7,true,60029278
true,2,https://api.elsevier.com/content/author/author_id/7005826836,7005826836,Nisbet R.,Nisbet,R. M.,R.M.,7,true,60029278
true,1,https://api.elsevier.com/content/author/author_id/7004366340,7004366340,Keeley J.,Keeley,J. E.,J.E.,8,true,60027550
true,2,https://api.elsevier.com/content/author/author_id/56522583600,56522583600,Bond W.,Bond,W. J.,W.J.,8,true,60027550
true,1,https://api.elsevier.com/content/author/author_id/7202155866,7202155866,Foster K.,Foster,K. R.,K.R.,9,true,60005286
true,2,https://api.elsevier.com/content/author/author_id/7005934693,7005934693,Ratnieks F.,Ratnieks,F. L.W.,F.L.W.,9,true,60005286
true,1,https://api.elsevier.com/content/author/author_id/56323119100,56323119100,Saha S.,Saha,S.,S.,10,true,60027561
true,2,https://api.elsevier.com/content/author/author_id/7103343960,7103343960,Howe H.,Howe,H. F.,H.F.,10,true,60027561
true,1,https://api.elsevier.com/content/author/author_id/7006413382,7006413382,Sgrò C.M.,Sgrò,C. M.,C.M.,11,true,60006925
true,2,https://api.elsevier.com/content/author/author_id/7103075598,7103075598,Partridge L.,Partridge,L.,L.,11,true,60006925
true,1,https://api.elsevier.com/content/author/author_id/7402879600,7402879600,Andersson M.,Andersson,M.,M.,12,true,60016437
true,1,https://api.elsevier.com/content/author/author_id/7005771582,7005771582,Brodin A.,Brodin,A.,A.,13,true,60029170
true,2,https://api.elsevier.com/content/author/author_id/6508240672,6508240672,Lundborg K.,Lundborg,K.,K.,13,true,60029170
true,3,https://api.elsevier.com/content/author/author_id/7403545986,7403545986,Clark C.,Clark,C. W.,C.W.,13,true,60029170
