@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7403370042,7403370042,Anderson A.,Anderson,A. B.,A.B.,true,60011474,1
true,2,https://api.elsevier.com/content/author/author_id/20734849600,20734849600,Overal W.,Overal,W. L.,W.L.,true,60011474,1
true,3,https://api.elsevier.com/content/author/author_id/57214552010,57214552010,Henderson A.,Henderson,A.,A.,true,60011474,1
true,1,https://api.elsevier.com/content/author/author_id/7003917433,7003917433,Sader S.A.,Sader,S. A.,S.A.,true,60008279,2
true,2,https://api.elsevier.com/content/author/author_id/7005458942,7005458942,Joyce A.T.,Joyce,A. T.,A.T.,true,60008279,2
true,1,https://api.elsevier.com/content/author/author_id/7103191823,7103191823,Bronstein J.,Bronstein,J. L.,J.L.,true,60030835,3
true,1,https://api.elsevier.com/content/author/author_id/7402341462,7402341462,Saunders J.,Saunders,J. F.,J.F.,true,60000221,4
true,2,https://api.elsevier.com/content/author/author_id/7202045616,7202045616,Lewis W.,Lewis,W. M.,W.M.,true,60000221,4
true,1,https://api.elsevier.com/content/author/author_id/7004933023,7004933023,Heyer W.R.,Heyer,W. R.,W.R.,true,60007670,5
true,2,https://api.elsevier.com/content/author/author_id/35496549500,35496549500,Rand A.S.,Rand,A. S.,A.S.,true,60007670,5
true,3,https://api.elsevier.com/content/author/author_id/57226224702,57226224702,Da Cruz C.A.G.,Da Cruz,C. A.G.,C.A.G.,true,60007670,5
true,4,https://api.elsevier.com/content/author/author_id/6507807237,6507807237,Peixoto O.L.,Peixoto,O. L.,O.L.,true,60007670,5
true,1,https://api.elsevier.com/content/author/author_id/7004234278,7004234278,Yavitt J.,Yavitt,J. B.,J.B.,true,60021143,6
true,2,https://api.elsevier.com/content/author/author_id/35611738400,35611738400,Wieder R.,Wieder,R. K.,R.K.,true,60021143,6
true,1,https://api.elsevier.com/content/author/author_id/7101895179,7101895179,Reich P.,Reich,P. B.,P.B.,true,60032179,7
true,2,https://api.elsevier.com/content/author/author_id/7003650911,7003650911,Borchert R.,Borchert,R.,R.,true,60032179,7
true,1,https://api.elsevier.com/content/author/author_id/7005992007,7005992007,Shelly T.,Shelly,T. E.,T.E.,true,60013791,8
true,1,https://api.elsevier.com/content/author/author_id/57207640772,57207640772,Maheswaran J.,Maheswaran,J.,J.,true,60071082,9
true,2,https://api.elsevier.com/content/author/author_id/6602843852,6602843852,Gunatilleke I.,Gunatilleke,I. A.U.N.,I.A.U.N.,true,60071082,9
true,1,https://api.elsevier.com/content/author/author_id/7102183416,7102183416,Griffiths T.,Griffiths,T. A.,T.A.,true,60011758,10
true,2,https://api.elsevier.com/content/author/author_id/7801381984,7801381984,Klingener D.,Klingener,D.,D.,true,60011758,10
true,1,https://api.elsevier.com/content/author/author_id/7006534147,7006534147,Christian K.,Christian,K. A.,K.A.,true,60071503,11
true,2,https://api.elsevier.com/content/author/author_id/57205969543,57205969543,Nunez F.,Nunez,F.,F.,true,60071503,11
true,3,https://api.elsevier.com/content/author/author_id/6507514698,6507514698,Clos L.,Clos,L.,L.,true,60071503,11
true,4,https://api.elsevier.com/content/author/author_id/57212519367,57212519367,Diaz L.,Diaz,L.,L.,true,60071503,11
true,1,https://api.elsevier.com/content/author/author_id/6602076074,6602076074,Heiser C.,Heiser,C. B.,C.B.,true,60021121,12
true,2,https://api.elsevier.com/content/author/author_id/7005262368,7005262368,Schilling E.,Schilling,E. E.,E.E.,true,60021121,12
true,1,https://api.elsevier.com/content/author/author_id/6701742511,6701742511,Guariguata M.,Guariguata,M. T.,M.T.,true,60013959,13
true,2,https://api.elsevier.com/content/author/author_id/6603061620,6603061620,Azocar A.,Azocar,A.,A.,true,60013959,13
true,1,https://api.elsevier.com/content/author/author_id/6603094987,6603094987,Voeks R.,Voeks,R. A.,R.A.,true,60025038,14
true,1,https://api.elsevier.com/content/author/author_id/7101732172,7101732172,Johns A.,Johns,A. D.,A.D.,true,60031101,15
true,1,https://api.elsevier.com/content/author/author_id/57197528777,57197528777,Davies A.,Davies,A. G.,A.G.,true,60022148,16
true,1,https://api.elsevier.com/content/author/author_id/57214308653,57214308653,Smith A.,Smith,A. P.,A.P.,true,60029251,17
true,1,https://api.elsevier.com/content/author/author_id/7004177341,7004177341,Chai P.,Chai,P.,P.,true,60013372,18
true,1,https://api.elsevier.com/content/author/author_id/56000922800,56000922800,Arriaga L.,Arriaga,L.,L.,true,60021746,19
true,1,https://api.elsevier.com/content/author/author_id/7004017419,7004017419,Santana C. E.,Santana C.,E.,E.,true,60032179,20
true,2,https://api.elsevier.com/content/author/author_id/7004577094,7004577094,Temple S.A.,Temple,S. A.,S.A.,true,60032179,20
true,1,https://api.elsevier.com/content/author/author_id/7003746604,7003746604,Boinski S.,Boinski,S.,S.,true,60019280,21
true,2,https://api.elsevier.com/content/author/author_id/7403223439,7403223439,Scott P.E.,Scott,P. E.,P.E.,true,60019280,21
true,1,https://api.elsevier.com/content/author/author_id/6602717040,6602717040,Benzing D.H.,Benzing,D. H.,D.H.,true,60005300,22
true,2,https://api.elsevier.com/content/author/author_id/6506417868,6506417868,Renfrow W.B.,Renfrow,W. B.,W.B.,true,60005300,22
true,3,https://api.elsevier.com/content/author/author_id/57657155900,57657155900,Jones P.,Jones,P.,P.,true,60005300,22
true,4,https://api.elsevier.com/content/author/author_id/57497118800,57497118800,Haldeman J.,Haldeman,J.,J.,true,60005300,22
true,1,https://api.elsevier.com/content/author/author_id/7003814774,7003814774,Weldon P.,Weldon,P. J.,P.J.,true,60020547,23
true,2,https://api.elsevier.com/content/author/author_id/6507123244,6507123244,Vallarino O.,Vallarino,O.,O.,true,60020547,23
true,1,https://api.elsevier.com/content/author/author_id/7005176713,7005176713,Garber P.A.,Garber,P. A.,P.A.,true,60000745,24
true,1,https://api.elsevier.com/content/author/author_id/57213562914,57213562914,Thomas D.W.,Thomas,D. W.,D.W.,true,60011832,25
true,1,https://api.elsevier.com/content/author/author_id/7401942794,7401942794,Wallace M.,Wallace,M. P.,M.P.,true,114860588,26
true,2,https://api.elsevier.com/content/author/author_id/7004577094,7004577094,Temple S.,Temple,S. A.,S.A.,true,114860588,26
true,1,https://api.elsevier.com/content/author/author_id/57215798404,57215798404,Vaux P.,Vaux,P.,P.,true,60071246,27
true,1,https://api.elsevier.com/content/author/author_id/6603673163,6603673163,Freeland W.J.,Freeland,W. J.,W.J.,true,60008177,28
true,2,https://api.elsevier.com/content/author/author_id/7402683753,7402683753,Winter J.W.,Winter,J. W.,J.W.,true,60008177,28
true,3,https://api.elsevier.com/content/author/author_id/7005181496,7005181496,Raskin S.,Raskin,S.,S.,true,60008177,28
