@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/7402361326,7402361326,Walker L.,Walker,L. R.,L.R.,1,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7005639482,7005639482,Silver W.,Silver,W. L.,W.L.,1,NA,NA
true,3,https://api.elsevier.com/content/author/author_id/7003499228,7003499228,Willig M.,Willig,M. R.,M.R.,1,NA,NA
true,4,https://api.elsevier.com/content/author/author_id/7401859637,7401859637,Zimmerman J.,Zimmerman,J. K.,J.K.,1,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/35614096800,35614096800,Scatena F.,Scatena,F. N.,F.N.,2,true,60071509
true,2,https://api.elsevier.com/content/author/author_id/7005106257,7005106257,Moya S.,Moya,S.,S.,2,true,60071509
true,3,https://api.elsevier.com/content/author/author_id/7006668515,7006668515,Estrada C.,Estrada,C.,C.,2,true,60071509
true,4,https://api.elsevier.com/content/author/author_id/6602612181,6602612181,Chinea J.,Chinea,J. D.,J.D.,2,true,60071509
true,1,https://api.elsevier.com/content/author/author_id/7203079171,7203079171,Ogata N.,Ogata,Nisao,N.,3,true,120543099
true,2,https://api.elsevier.com/content/author/author_id/55666328500,55666328500,Rico-Gray V.,Rico-Gray,Victor,V.,3,true,60024712
true,3,https://api.elsevier.com/content/author/author_id/7004284800,7004284800,Nestel D.,Nestel,David,D.,3,true,105611445
true,1,https://api.elsevier.com/content/author/author_id/6602838484,6602838484,Ratsirarson J.,Ratsirarson,Joelisoa,J.,4,true,60022659
true,2,https://api.elsevier.com/content/author/author_id/6603757875,6603757875,Silander J.,Silander,John A.,J.A.,4,true,60022659
true,1,https://api.elsevier.com/content/author/author_id/7004488779,7004488779,Alvarez-Sánchez J.,Alvarez-Sánchez,Javier,J.,5,true,60032442
true,2,https://api.elsevier.com/content/author/author_id/7004774988,7004774988,Enríquez R.B.,Enríquez,Rosalba Becerra,R.B.,5,true,60032442
true,1,https://api.elsevier.com/content/author/author_id/7801523552,7801523552,Schettino L.,Schettino,Lourdes Rodriguez,L.R.,6,true,60070392
true,2,https://api.elsevier.com/content/author/author_id/7202844461,7202844461,Reyes M.,Reyes,Mercedes Martínez,M.M.,6,true,60070392
true,1,https://api.elsevier.com/content/author/author_id/6507922467,6507922467,Louton J.,Louton,Jerry,J.,7,true,60007670
true,2,https://api.elsevier.com/content/author/author_id/6602756354,6602756354,Gelhaus J.,Gelhaus,Jon,J.,7,true,60010079
true,3,https://api.elsevier.com/content/author/author_id/12767597000,12767597000,Bouchard R.,Bouchard,Raymond,R.,7,true,60010079
true,1,https://api.elsevier.com/content/author/author_id/35585196800,35585196800,Vieira E.,Vieira,Emerson M.,E.M.,8,true,60029570
true,2,https://api.elsevier.com/content/author/author_id/6701741628,6701741628,Andrade I.,Andrade,Isabel,I.,8,true,60024989
true,3,https://api.elsevier.com/content/author/author_id/7402530526,7402530526,Price P.,Price,Peter W.,P.W.,8,true,60023517
true,1,https://api.elsevier.com/content/author/author_id/6602118668,6602118668,Quintana-Ascencio P.F.,Quintana-Ascencio,Pedro Francisco,P.F.,9,true,60121765
true,2,https://api.elsevier.com/content/author/author_id/6602860889,6602860889,González-Espinosa M.,González-Espinosa,Mario,M.,9,true,60121765
