@_fa,@seq,author-url,authid,authname,surname,entry_number,given-name,initials,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/33967784900,33967784900,Johnson,Johnson,1,NA,NA,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/25022660000,25022660000,Stone D.,Stone,2,Donald E.,D.E.,true,60008724
true,1,https://api.elsevier.com/content/author/author_id/7403976908,7403976908,Mori S.,Mori,3,Scott A.,S.A.,true,60011340
true,1,https://api.elsevier.com/content/author/author_id/7103229832,7103229832,Forget P.,Forget,4,Pierre Michel,P.M.,true,60028311
true,1,https://api.elsevier.com/content/author/author_id/6602776865,6602776865,Pizo M.A.,Pizo,5,Marco A.,M.A.,true,60006028
true,2,https://api.elsevier.com/content/author/author_id/35585196800,35585196800,Vieira E.M.,Vieira,5,Emerson M.,E.M.,true,60024559
true,1,https://api.elsevier.com/content/author/author_id/7404752850,7404752850,Hill R.I.,Hill,6,Ryan I.,R.I.,true,60013372
true,2,https://api.elsevier.com/content/author/author_id/6603200387,6603200387,Vaca J.F.,Vaca,6,Jarol F.,J.F.,true,101734140
true,1,https://api.elsevier.com/content/author/author_id/6603037220,6603037220,Do Carmo R.M.,Do Carmo,7,Roselaini Mendes,R.M.,true,60030074
true,2,https://api.elsevier.com/content/author/author_id/6508101843,6508101843,Franceschinelli E.V.,Franceschinelli,7,Edivani Villaron,E.V.,true,60030074
true,3,https://api.elsevier.com/content/author/author_id/56651041400,56651041400,Da Silveira F.A.,Da Silveira,7,Fernando Amaral,F.A.,true,60030074
true,1,https://api.elsevier.com/content/author/author_id/7202703046,7202703046,Allison S.D.,Allison,8,Steven D.,S.D.,true,60012708
true,2,https://api.elsevier.com/content/author/author_id/7006021743,7006021743,Vitousek P.M.,Vitousek,8,Peter M.,P.M.,true,60012708
true,1,https://api.elsevier.com/content/author/author_id/8086954800,8086954800,Schonberg L.A.,Schonberg,9,Lisa A.,L.A.,true,60009222
true,2,https://api.elsevier.com/content/author/author_id/6602953701,6602953701,Longino J.T.,Longino,9,John T.,J.T.,true,60009222
true,3,https://api.elsevier.com/content/author/author_id/7006745049,7006745049,Nadkarni N.M.,Nadkarni,9,Nalini M.,N.M.,true,60009222
true,4,https://api.elsevier.com/content/author/author_id/6603875659,6603875659,Yanoviak S.P.,Yanoviak,9,Stephen P.,S.P.,true,60009222
true,5,https://api.elsevier.com/content/author/author_id/6701592290,6701592290,Gering J.C.,Gering,9,Jon C.,J.C.,true,60000480
true,1,https://api.elsevier.com/content/author/author_id/55334859900,55334859900,Martin P.H.,Martin,10,Patrick H.,P.H.,true,60017474
true,2,https://api.elsevier.com/content/author/author_id/7202975488,7202975488,Sherman R.E.,Sherman,10,Ruth E.,R.E.,true,60007776
true,3,https://api.elsevier.com/content/author/author_id/35502101300,35502101300,Fahey T.J.,Fahey,10,Timothy J.,T.J.,true,60007776
true,1,https://api.elsevier.com/content/author/author_id/7007051079,7007051079,Galindo G. C.,Galindo G.,11,Cristobal,C.,true,60029824
true,2,https://api.elsevier.com/content/author/author_id/7401887047,7401887047,Sánchez Q. A.,Sánchez Q.,11,Adalinda,A.,true,60029824
true,3,https://api.elsevier.com/content/author/author_id/7003385084,7003385084,Quijano R.H.,Quijano,11,Ramón H.,R.H.,true,60029824
true,4,https://api.elsevier.com/content/author/author_id/55892033300,55892033300,Herrera M. L.G.,Herrera M.,11,L. Gerardo,L.G.,true,60032442
true,1,https://api.elsevier.com/content/author/author_id/6602492239,6602492239,Tschapka M.,Tschapka,12,Marco,M.,true,60010586
true,2,https://api.elsevier.com/content/author/author_id/7201937104,7201937104,Cunningham S.A.,Cunningham,12,Saul A.,S.A.,true,60018945
true,1,https://api.elsevier.com/content/author/author_id/33967676100,33967676100,Johnson D.M.,Johnson,13,Derek Marley,D.M.,true,60029251
true,1,https://api.elsevier.com/content/author/author_id/6507471426,6507471426,Martínez-Mota R.,Martínez-Mota,14,Rodolfo,R.,true,60024712
true,2,https://api.elsevier.com/content/author/author_id/6602895714,6602895714,Serio-Silva J.C.,Serio-Silva,14,Juan Carlos,J.C.,true,60024712
true,3,https://api.elsevier.com/content/author/author_id/55666328500,55666328500,Rico-Gray V.,Rico-Gray,14,Víctor,V.,true,60024712
true,1,https://api.elsevier.com/content/author/author_id/7006499197,7006499197,Bawa K.S.,Bawa,15,Kamaljit S.,K.S.,true,60024063
true,2,https://api.elsevier.com/content/author/author_id/57213490214,57213490214,Kress W.J.,Kress,15,W. John,W.J.,true,60007670
true,3,https://api.elsevier.com/content/author/author_id/7006745049,7006745049,Nadkarni N.M.,Nadkarni,15,Nalini M.,N.M.,true,60009222
true,1,https://api.elsevier.com/content/author/author_id/8856500100,8856500100,Smith D.M.,Smith,16,Dena M.,D.M.,true,60006064
true,2,https://api.elsevier.com/content/author/author_id/6506705337,6506705337,Nufio C.R.,Nufio,16,Cesar R.,C.R.,true,60006064
true,1,https://api.elsevier.com/content/author/author_id/7403413120,7403413120,Berger J.R.,Berger,17,Jürgen R.,J.R.,true,60009941
true,2,https://api.elsevier.com/content/author/author_id/7102907284,7102907284,Wirth R.,Wirth,17,Rainer,R.,true,60009941
true,1,https://api.elsevier.com/content/author/author_id/6507285614,6507285614,Lasso E.,Lasso,18,Eloisa,E.,true,60071503
true,2,https://api.elsevier.com/content/author/author_id/7102318422,7102318422,Ackerman J.D.,Ackerman,18,James D.,J.D.,true,60071503
true,1,https://api.elsevier.com/content/author/author_id/7102875870,7102875870,Bucher E.H.,Bucher,19,Enrique H.,E.H.,true,60000658
true,2,https://api.elsevier.com/content/author/author_id/6506086039,6506086039,Marchesini V.,Marchesini,19,Victoria,V.,true,60000658
true,3,https://api.elsevier.com/content/author/author_id/7004578055,7004578055,Abril A.,Abril,19,Adrians,A.,true,60000658
true,1,https://api.elsevier.com/content/author/author_id/7102213238,7102213238,Erickson A.A.,Erickson,20,Amy A.,A.A.,true,60007740
true,2,https://api.elsevier.com/content/author/author_id/7401587819,7401587819,Bell S.S.,Bell,20,Susan S.,S.S.,true,60007740
true,3,https://api.elsevier.com/content/author/author_id/7103391805,7103391805,Dawes C.J.,Dawes,20,Clinton J.,C.J.,true,60007740
true,1,https://api.elsevier.com/content/author/author_id/7003451493,7003451493,Offenberg J.,Offenberg,21,Joachim,J.,true,60029616
true,2,https://api.elsevier.com/content/author/author_id/6505899035,6505899035,Havanon S.,Havanon,21,Sopon,S.,true,100740492
true,3,https://api.elsevier.com/content/author/author_id/7801622191,7801622191,Aksornkoae S.,Aksornkoae,21,Sanit,S.,true,60021944
true,4,https://api.elsevier.com/content/author/author_id/7006744126,7006744126,MacIntosh D.J.,MacIntosh,21,Donald J.,D.J.,true,60029616
true,5,https://api.elsevier.com/content/author/author_id/7402929314,7402929314,Nielsen M.G.,Nielsen,21,Mogens Gissel,M.G.,true,60029616
true,1,https://api.elsevier.com/content/author/author_id/7103002042,7103002042,Blake S.,Blake,22,Stephen,S.,true,60001012
true,2,https://api.elsevier.com/content/author/author_id/6504494356,6504494356,Inkamba-Nkulu C.,Inkamba-Nkulu,22,Clement,C.,true,60001012
true,1,https://api.elsevier.com/content/author/author_id/6602262679,6602262679,Pauw A.,Pauw,23,Anton,A.,true,60000356
true,2,https://api.elsevier.com/content/author/author_id/8863345000,8863345000,Van Bael S.A.,Van Bael,23,Sunshine A.,S.A.,true,60000745
true,3,https://api.elsevier.com/content/author/author_id/7202544572,7202544572,Peters H.A.,Peters,23,Halton A.,H.A.,true,60012708
true,4,https://api.elsevier.com/content/author/author_id/7202703046,7202703046,Allison S.D.,Allison,23,Steven D.,S.D.,true,60012708
true,5,https://api.elsevier.com/content/author/author_id/7006614520,7006614520,Camargo J.L.C.,Camargo,23,José L.C.,J.L.C.,true,60029159
true,6,https://api.elsevier.com/content/author/author_id/6504126733,6504126733,Cifuentes-Jara M.,Cifuentes-Jara,23,Miguel,M.,true,60013402
true,7,https://api.elsevier.com/content/author/author_id/33967589900,33967589900,Conserva A.,Conserva,23,Auristela,A.,true,60029159
true,8,https://api.elsevier.com/content/author/author_id/6507790359,6507790359,Restom T.G.,Restom,23,Teresa Garcia,T.G.,true,60013791
true,9,https://api.elsevier.com/content/author/author_id/6507129186,6507129186,Heartsill-Scalley T.,Heartsill-Scalley,23,Tamara,T.,true,60031706
true,10,https://api.elsevier.com/content/author/author_id/6603827841,6603827841,Mangan S.A.,Mangan,23,Scott A.,S.A.,true,60021121
true,11,https://api.elsevier.com/content/author/author_id/6503859520,6503859520,Nunez-Iturri G.,Nunez-Iturri,23,Gabriela,G.,true,60027561
true,12,https://api.elsevier.com/content/author/author_id/6506649883,6506649883,Rivera-Ocasio E.,Rivera-Ocasio,23,Elsie,E.,true,60071503
true,13,https://api.elsevier.com/content/author/author_id/6603406828,6603406828,Rountree M.,Rountree,23,Mark,M.,true,60016218
true,14,https://api.elsevier.com/content/author/author_id/8350260200,8350260200,Vetter S.,Vetter,23,Susanne,S.,true,60000356
true,15,https://api.elsevier.com/content/author/author_id/41561051300,41561051300,De Castilho C.V.,De Castilho,23,Carolina Volkmer,C.V.,true,60029159
true,1,https://api.elsevier.com/content/author/author_id/6701446862,6701446862,Ghazoul J.,Ghazoul,24,Jaboury,J.,true,60015150
true,1,https://api.elsevier.com/content/author/author_id/7003875414,7003875414,Degen B.,Degen,25,Bernd,B.,true,60123163
true,2,https://api.elsevier.com/content/author/author_id/7004277369,7004277369,Roubik D.W.,Roubik,25,David W.,D.W.,true,60030522
true,1,https://api.elsevier.com/content/author/author_id/6701446862,6701446862,Ghazoul J.,Ghazoul,26,Jaboury,J.,true,60015150
true,2,https://api.elsevier.com/content/author/author_id/6603371142,6603371142,Shaanker R.U.,Shaanker,26,R. Uma,R.U.,true,60001181
true,1,https://api.elsevier.com/content/author/author_id/7006617419,7006617419,Cleveland C.C.,Cleveland,27,Cory C.,C.C.,true,60000221
true,2,https://api.elsevier.com/content/author/author_id/7102086352,7102086352,Townsend A.R.,Townsend,27,Alan R.,A.R.,true,60000221
true,3,https://api.elsevier.com/content/author/author_id/6505965079,6505965079,Constance B.C.,Constance,27,Briana C.,B.C.,true,60000221
true,4,https://api.elsevier.com/content/author/author_id/57193891727,57193891727,Ley R.E.,Ley,27,Ruth E.,R.E.,true,60000221
true,5,https://api.elsevier.com/content/author/author_id/7401845551,7401845551,Schmidt S.K.,Schmidt,27,Steven K.,S.K.,true,60000221
