@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/7003999195,7003999195,Eissenstat D.,Eissenstat,D. M.,D.M.,1,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7101755401,7101755401,Caldwell M.,Caldwell,M. M.,M.M.,1,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7006871355,7006871355,Bertness M.,Bertness,M. D.,M.D.,2,true,60011460
true,1,https://api.elsevier.com/content/author/author_id/6603696495,6603696495,Yodzis P.,Yodzis,P.,P.,3,true,60015881
true,1,https://api.elsevier.com/content/author/author_id/6602965522,6602965522,Hoppes W.,Hoppes,W. G.,W.G.,4,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/6603611466,6603611466,Rollo C.,Rollo,C. D.,C.D.,5,true,60031828
true,2,https://api.elsevier.com/content/author/author_id/7005712247,7005712247,Hawryluk M.,Hawryluk,M. D.,M.D.,5,true,60031828
true,1,https://api.elsevier.com/content/author/author_id/7006601720,7006601720,Marquis R.,Marquis,R. J.,R.J.,6,true,60000745
true,1,https://api.elsevier.com/content/author/author_id/55085084600,55085084600,Bao Y.,Bao,Y.,Y.,7,true,60027090
true,2,https://api.elsevier.com/content/author/author_id/7004895780,7004895780,Nilsen E.T.,Nilsen,E. T.,E.T.,7,true,60027090
true,1,https://api.elsevier.com/content/author/author_id/7404152320,7404152320,White C.,White,C. S.,C.S.,8,true,60033021
true,1,https://api.elsevier.com/content/author/author_id/7403678244,7403678244,Weiss S.,Weiss,S. B.,S.B.,9,true,60004628
true,2,https://api.elsevier.com/content/author/author_id/7404061879,7404061879,Murphy D.,Murphy,D. D.,D.D.,9,true,60004628
true,3,https://api.elsevier.com/content/author/author_id/7501424768,7501424768,White R.,White,R. R.,R.R.,9,true,60004628
true,1,https://api.elsevier.com/content/author/author_id/7402368664,7402368664,Robertson G.,Robertson,G. P.,G.P.,10,true,60031707
true,2,https://api.elsevier.com/content/author/author_id/7005671345,7005671345,Huston M.,Huston,M. A.,M.A.,10,true,60031707
true,3,https://api.elsevier.com/content/author/author_id/57196916445,57196916445,Evans F.,Evans,F. C.,F.C.,10,true,60031707
true,4,https://api.elsevier.com/content/author/author_id/7102334551,7102334551,Tiedje J.,Tiedje,J. M.,J.M.,10,true,60031707
true,1,https://api.elsevier.com/content/author/author_id/7003799624,7003799624,McIvor C.,McIvor,C. C.,C.C.,11,true,60028402
true,2,https://api.elsevier.com/content/author/author_id/6701838798,6701838798,Odum W.,Odum,W. E.,W.E.,11,true,60028402
true,1,https://api.elsevier.com/content/author/author_id/7006174674,7006174674,Bain M.,Bain,M. B.,M.B.,12,true,60011754
true,2,https://api.elsevier.com/content/author/author_id/7202432980,7202432980,Finn J.,Finn,J. T.,J.T.,12,true,60011754
true,3,https://api.elsevier.com/content/author/author_id/36921699900,36921699900,Booke H.,Booke,H. E.,H.E.,12,true,60011754
true,1,https://api.elsevier.com/content/author/author_id/7402300227,7402300227,Davidson D.,Davidson,D. W.,D.W.,13,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/6602953701,6602953701,Longino J.,Longino,J. T.,J.T.,13,NA,NA
true,3,https://api.elsevier.com/content/author/author_id/7005692545,7005692545,Snelling R.,Snelling,R. R.,R.R.,13,NA,NA
