@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7006871355,7006871355,Bertness M.,Bertness,M. D.,M.D.,true,60011460,1
true,2,https://api.elsevier.com/content/author/author_id/7409564459,7409564459,Yeh Su Ming,Yeh Su Ming,NA,NA,true,60011460,1
true,1,https://api.elsevier.com/content/author/author_id/26642922000,26642922000,Link W.,Link,W. A.,W.A.,true,60004404,2
true,2,https://api.elsevier.com/content/author/author_id/7004329709,7004329709,Karanth K.,Karanth,K. U.,K.U.,true,60004404,2
true,1,https://api.elsevier.com/content/author/author_id/7005653835,7005653835,Kareiva P.,Kareiva,P.,P.,NA,NA,3
true,1,https://api.elsevier.com/content/author/author_id/36824815300,36824815300,Nay S.M.,Nay,S. M.,S.M.,true,60032280,4
true,2,https://api.elsevier.com/content/author/author_id/7006096361,7006096361,Mattson K.G.,Mattson,K. G.,K.G.,true,60032280,4
true,3,https://api.elsevier.com/content/author/author_id/7006062652,7006062652,Bormann B.T.,Bormann,B. T.,B.T.,true,60032280,4
true,1,https://api.elsevier.com/content/author/author_id/7401544311,7401544311,Duffy J.,Duffy,J. E.,J.E.,true,60025111,5
true,2,https://api.elsevier.com/content/author/author_id/7102838409,7102838409,Hay M.,Hay,M. E.,M.E.,true,60025111,5
true,1,https://api.elsevier.com/content/author/author_id/7003428798,7003428798,Matlack G.,Matlack,G. R.,G.R.,true,60009982,6
true,1,https://api.elsevier.com/content/author/author_id/7006942837,7006942837,Callaway R.,Callaway,R. M.,R.M.,true,60000745,7
true,2,https://api.elsevier.com/content/author/author_id/35553263900,35553263900,DeLucia E.,DeLucia,E. H.,E.H.,true,60000745,7
true,3,https://api.elsevier.com/content/author/author_id/57208461069,57208461069,Schlesinger W.,Schlesinger,William H.,W.H.,true,60000745,7
true,1,https://api.elsevier.com/content/author/author_id/56187473800,56187473800,Tuomi J.,Tuomi,J.,J.,true,60029170,8
true,2,https://api.elsevier.com/content/author/author_id/57220772844,57220772844,Nilsson P.,Nilsson,P.,P.,true,60029170,8
true,3,https://api.elsevier.com/content/author/author_id/7006942943,7006942943,Astrom M.,Astrom,M.,M.,true,60029170,8
true,1,https://api.elsevier.com/content/author/author_id/7003650911,7003650911,Borchert R.,Borchert,R.,R.,true,60015457,9
true,1,https://api.elsevier.com/content/author/author_id/7005257933,7005257933,Villalba R.,Villalba,R.,R.,true,60000221,10
true,2,https://api.elsevier.com/content/author/author_id/7005710296,7005710296,Veblen T.,Veblen,T. T.,T.T.,true,60000221,10
true,3,https://api.elsevier.com/content/author/author_id/57213651218,57213651218,Ogden J.,Ogden,J.,J.,true,60000221,10
true,1,https://api.elsevier.com/content/author/author_id/34974736000,34974736000,Scott D.,Scott,D. E.,D.E.,true,60009225,11
true,1,https://api.elsevier.com/content/author/author_id/6603541155,6603541155,Minckley R.L.,Minckley,R. L.,R.L.,true,60015457,12
true,2,https://api.elsevier.com/content/author/author_id/7003667336,7003667336,Wcislo W.T.,Wcislo,W. T.,W.T.,true,60015457,12
true,3,https://api.elsevier.com/content/author/author_id/6602070490,6602070490,Yanega D.,Yanega,D.,D.,true,60015457,12
true,4,https://api.elsevier.com/content/author/author_id/7003690240,7003690240,Buchmann S.L.,Buchmann,S. L.,S.L.,true,60015457,12
true,1,https://api.elsevier.com/content/author/author_id/7404719155,7404719155,Hughes J.,Hughes,J. J.,J.J.,true,119799763,13
true,2,https://api.elsevier.com/content/author/author_id/7403364940,7403364940,Ward D.,Ward,D.,D.,true,119799763,13
true,3,https://api.elsevier.com/content/author/author_id/7202443170,7202443170,Perrin M.,Perrin,M. R.,M.R.,true,119799763,13
true,1,https://api.elsevier.com/content/author/author_id/55708310400,55708310400,Harvey J.,Harvey,J. A.,J.A.,true,60020661,14
true,2,https://api.elsevier.com/content/author/author_id/7103367250,7103367250,Harvey I.,Harvey,I. F.,I.F.,true,60020661,14
true,3,https://api.elsevier.com/content/author/author_id/55461835600,55461835600,Thompson D.,Thompson,D. J.,D.J.,true,60020661,14
true,1,https://api.elsevier.com/content/author/author_id/7801588992,7801588992,Gulve P.,Gulve,P. S.,P.S.,true,60003858,15
true,1,https://api.elsevier.com/content/author/author_id/6603247017,6603247017,Leips J.,Leips,J.,J.,true,60002092,16
true,2,https://api.elsevier.com/content/author/author_id/7202590200,7202590200,Travis J.,Travis,J.,J.,true,60002092,16
true,1,https://api.elsevier.com/content/author/author_id/7201367844,7201367844,Werner E.,Werner,E. E.,E.E.,true,60025778,17
true,2,https://api.elsevier.com/content/author/author_id/7006109407,7006109407,McPeek M.,McPeek,M. A.,M.A.,true,60025778,17
true,1,https://api.elsevier.com/content/author/author_id/7402063070,7402063070,Shapiro D.Y.,Shapiro,D. Y.,D.Y.,true,60071533,18
true,2,https://api.elsevier.com/content/author/author_id/6701809922,6701809922,Marconato A.,Marconato,A.,A.,true,60071533,18
true,3,https://api.elsevier.com/content/author/author_id/7402718065,7402718065,Yoshikawa T.,Yoshikawa,T.,T.,true,60071533,18
true,1,https://api.elsevier.com/content/author/author_id/56844611000,56844611000,Carr M.,Carr,M. H.,M.H.,true,60029241,19
true,1,https://api.elsevier.com/content/author/author_id/7101657153,7101657153,Lodge D.,Lodge,D. M.,D.M.,true,60021508,20
true,2,https://api.elsevier.com/content/author/author_id/6602732070,6602732070,Kershner M.,Kershner,M. W.,M.W.,true,60021508,20
true,3,https://api.elsevier.com/content/author/author_id/6602128207,6602128207,Aloi J.,Aloi,J. E.,J.E.,true,60021508,20
true,4,https://api.elsevier.com/content/author/author_id/6603823042,6603823042,Covich A.,Covich,A. P.,A.P.,true,60021508,20
true,1,https://api.elsevier.com/content/author/author_id/55630395300,55630395300,Carpenter S.,Carpenter,S. R.,S.R.,true,60032179,21
true,2,https://api.elsevier.com/content/author/author_id/57207605233,57207605233,Cottingham K.,Cottingham,K. L.,K.L.,true,60032179,21
true,3,https://api.elsevier.com/content/author/author_id/7005526058,7005526058,Stow C.,Stow,C. A.,C.A.,true,60032179,21
true,1,https://api.elsevier.com/content/author/author_id/35453268100,35453268100,Bengtsson J.,Bengtsson,J.,J.,true,60027152,22
true,1,https://api.elsevier.com/content/author/author_id/7006504025,7006504025,Caswell H.,Caswell,H.,H.,true,60013609,23
true,2,https://api.elsevier.com/content/author/author_id/7102569128,7102569128,Trevisan M.C.,Trevisan,M. C.,M.C.,true,60013609,23
true,1,https://api.elsevier.com/content/author/author_id/7006742732,7006742732,Mangel M.,Mangel,M.,M.,true,60014439,24
true,2,https://api.elsevier.com/content/author/author_id/7006492816,7006492816,Adler F.,Adler,F. R.,F.R.,true,60014439,24
true,1,https://api.elsevier.com/content/author/author_id/7003768836,7003768836,Forrester G.,Forrester,G. E.,G.E.,true,60027576,25
true,1,https://api.elsevier.com/content/author/author_id/7006731431,7006731431,Bergman E.,Bergman,E.,E.,true,60029170,26
true,2,https://api.elsevier.com/content/author/author_id/7202104209,7202104209,Greenberg L.,Greenberg,L. A.,L.A.,true,60029170,26
true,1,https://api.elsevier.com/content/author/author_id/7006332218,7006332218,Sih A.,Sih,A.,A.,true,60015941,27
true,2,https://api.elsevier.com/content/author/author_id/7003745746,7003745746,Wooster D.,Wooster,D. E.,D.E.,true,60015941,27
true,1,https://api.elsevier.com/content/author/author_id/7003982018,7003982018,Rahel F.,Rahel,F. J.,F.J.,true,60008827,28
true,2,https://api.elsevier.com/content/author/author_id/6506018830,6506018830,Nutzman J.,Nutzman,J. W.,J.W.,true,60008827,28
true,1,https://api.elsevier.com/content/author/author_id/7003889161,7003889161,Benke A.,Benke,A. C.,A.C.,true,60025371,29
true,2,https://api.elsevier.com/content/author/author_id/7004041721,7004041721,Jacobi D.,Jacobi,D. I.,D.I.,true,60025371,29
true,1,https://api.elsevier.com/content/author/author_id/7402610654,7402610654,Yoshioka T.,Yoshioka,T.,T.,true,60031119,30
true,2,https://api.elsevier.com/content/author/author_id/57214923998,57214923998,Wada E.,Wada,E.,E.,true,60031119,30
true,3,https://api.elsevier.com/content/author/author_id/7404336895,7404336895,Hayashi H.,Hayashi,H.,H.,true,60031119,30
true,1,https://api.elsevier.com/content/author/author_id/6701763349,6701763349,Hornfeldt B.,Hornfeldt,B.,B.,true,60031040,31
