@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/16423519000,16423519000,Stoddart J.,Stoddart,J. A.,J.A.,1,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/6701735634,6701735634,Neigel J.,Neigel,J. E.,J.E.,2,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7006157182,7006157182,Avise J.,Avise,J. C.,J.C.,2,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/57207469814,57207469814,Goldman M.,Goldman,M. A.,M.A.,3,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7005559278,7005559278,Loverde P.,Loverde,P. T.,P.T.,3,NA,NA
true,3,https://api.elsevier.com/content/author/author_id/7004956978,7004956978,Chrisman C.,Chrisman,C. L.,C.L.,3,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/35491355700,35491355700,Paine R.,Paine,R. T.,R.T.,4,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/6603700327,6603700327,Suchanek T.,Suchanek,T. H.,T.H.,4,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7401505526,7401505526,Rossi L.,Rossi,L.,L.,5,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7005846523,7005846523,Basset A.,Basset,A.,A.,5,NA,NA
true,3,https://api.elsevier.com/content/author/author_id/7003368415,7003368415,Nobile L.,Nobile,L.,L.,5,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/36847451100,36847451100,Hiebert R.D.,Hiebert,R. D.,R.D.,6,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7005259926,7005259926,Hamrick J.L.,Hamrick,J. L.,J.L.,6,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7201988811,7201988811,Templeton A.R.,Templeton,A. R.,A.R.,7,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7103211909,7103211909,Millar C.I.,Millar,C. I.,C.I.,8,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7004520400,7004520400,Nyberg D.,Nyberg,D.,D.,9,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/7201938956,7201938956,Bishop P.,Bishop,P.,P.,9,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/35726042500,35726042500,Patterson B.D.,Patterson,B. D.,B.D.,10,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7006875873,7006875873,Tabashnik B.E.,Tabashnik,B. E.,B.E.,11,true,60012708
true,1,https://api.elsevier.com/content/author/author_id/6602251945,6602251945,Lansman R.A.,Lansman,R. A.,R.A.,12,true,60029747
true,2,https://api.elsevier.com/content/author/author_id/7006157182,7006157182,Avise J.C.,Avise,J. C.,J.C.,12,true,60029747
true,3,https://api.elsevier.com/content/author/author_id/7006405958,7006405958,Aquadro C.F.,Aquadro,C. F.,C.F.,12,true,60029747
true,4,https://api.elsevier.com/content/author/author_id/57525409700,57525409700,Shapira J.F.,Shapira,J. F.,J.F.,12,true,60029747
true,5,https://api.elsevier.com/content/author/author_id/7201730797,7201730797,Daniel S.W.,Daniel,S. W.,S.W.,12,true,60029747
true,1,https://api.elsevier.com/content/author/author_id/7401655054,7401655054,Singer M.C.,Singer,M. C.,M.C.,13,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7004557126,7004557126,Cockburn A.,Cockburn,A.,A.,14,true,60019578
true,2,https://api.elsevier.com/content/author/author_id/7405629061,7405629061,Lee A.K.,Lee,A. K.,A.K.,14,true,60019578
true,3,https://api.elsevier.com/content/author/author_id/7501380082,7501380082,Martin R.W.,Martin,R. W.,R.W.,14,true,60019578
