@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7004443640,7004443640,Foote M.,Foote,Mike,M.,true,60029278,1
true,1,https://api.elsevier.com/content/author/author_id/13309623600,13309623600,Ryan M.J.,Ryan,Michael J.,M.J.,true,60013372,2
true,2,https://api.elsevier.com/content/author/author_id/6508331377,6508331377,Stanley Rand A.,Stanley Rand,A.,A.,true,60030522,2
true,3,https://api.elsevier.com/content/author/author_id/6602876023,6602876023,Weigt L.A.,Weigt,Lee A.,L.A.,true,60030522,2
true,1,https://api.elsevier.com/content/author/author_id/6603809455,6603809455,Dial K.P.,Dial,K. P.,K.P.,NA,NA,3
true,1,https://api.elsevier.com/content/author/author_id/7004419934,7004419934,Van Boven M.,Van Boven,Michiel,M.,true,60010023,4
true,2,https://api.elsevier.com/content/author/author_id/35570214800,35570214800,Weissing F.J.,Weissing,Franz J.,F.J.,true,60010023,4
true,3,https://api.elsevier.com/content/author/author_id/6701630557,6701630557,Heg D.,Heg,Dik,D.,true,60010023,4
true,4,https://api.elsevier.com/content/author/author_id/7102537375,7102537375,Huisman J.,Huisman,Jef,J.,true,60010023,4
true,1,https://api.elsevier.com/content/author/author_id/7004055938,7004055938,Mazer S.J.,Mazer,Susan J.,S.J.,true,60029241,5
true,2,https://api.elsevier.com/content/author/author_id/6603591260,6603591260,Delesalle V.A.,Delesalle,Veronique A.,V.A.,true,60030309,5
true,1,https://api.elsevier.com/content/author/author_id/56257348500,56257348500,Forsman A.,Forsman,Anders,A.,true,60003858,6
true,1,https://api.elsevier.com/content/author/author_id/7004040158,7004040158,Benkman C.W.,Benkman,Craig W.,C.W.,true,60002162,7
true,2,https://api.elsevier.com/content/author/author_id/57199445839,57199445839,Miller R.E.,Miller,Richard E.,R.E.,true,60002162,7
true,1,https://api.elsevier.com/content/author/author_id/6701836502,6701836502,Worthen W.B.,Worthen,Wade B.,W.B.,true,60003337,8
true,1,https://api.elsevier.com/content/author/author_id/7004602701,7004602701,Hare M.P.,Hare,Matthew P.,M.P.,true,60029747,9
true,2,https://api.elsevier.com/content/author/author_id/7006157182,7006157182,Avise J.C.,Avise,John C.,J.C.,true,60029747,9
true,1,https://api.elsevier.com/content/author/author_id/6701323918,6701323918,Britten H.B.,Britten,Hugh B.,H.B.,true,60001769,10
true,1,https://api.elsevier.com/content/author/author_id/7102020434,7102020434,Hodges S.A.,Hodges,Scott A.,S.A.,true,60029747,11
true,2,https://api.elsevier.com/content/author/author_id/7402916825,7402916825,Burke J.M.,Burke,John M.,J.M.,true,60029747,11
true,3,https://api.elsevier.com/content/author/author_id/7402910698,7402910698,Arnold M.L.,Arnold,Michael L.,M.L.,true,60029747,11
true,1,https://api.elsevier.com/content/author/author_id/57210754558,57210754558,Wright W.G.,Wright,William G.,W.G.,true,60009226,12
true,2,https://api.elsevier.com/content/author/author_id/6602823891,6602823891,Kirschman D.,Kirschman,David,D.,true,60010307,12
true,3,https://api.elsevier.com/content/author/author_id/6602094120,6602094120,Rozen D.,Rozen,Danny,D.,true,60031707,12
true,4,https://api.elsevier.com/content/author/author_id/7004060925,7004060925,Maynard B.,Maynard,Barbara,B.,true,60009226,12
true,1,https://api.elsevier.com/content/author/author_id/7202123017,7202123017,Ross K.G.,Ross,Kenneth G.,K.G.,true,60022612,13
true,2,https://api.elsevier.com/content/author/author_id/7004848720,7004848720,Vargo E.L.,Vargo,Edward L.,E.L.,true,60013372,13
true,3,https://api.elsevier.com/content/author/author_id/7202066299,7202066299,Keller L.,Keller,Laurent,L.,true,60000239,13
true,1,https://api.elsevier.com/content/author/author_id/6603677407,6603677407,Hoeh W.R.,Hoeh,Walter R.,W.R.,true,60015913,14
true,2,https://api.elsevier.com/content/author/author_id/55817300500,55817300500,Stewart D.T.,Stewart,Donald T.,D.T.,true,60015913,14
true,3,https://api.elsevier.com/content/author/author_id/36895905900,36895905900,Sutherland B.W.,Sutherland,Brent W.,B.W.,true,60015913,14
true,4,https://api.elsevier.com/content/author/author_id/56247576100,56247576100,Zouros E.,Zouros,Eleftherios,E.,true,60001524,14
true,1,https://api.elsevier.com/content/author/author_id/7102095194,7102095194,Poulin R.,Poulin,Robert,R.,true,60017311,15
true,1,https://api.elsevier.com/content/author/author_id/6602422178,6602422178,Demesure B.,Demesure,Brigitte,B.,true,60070476,16
true,2,https://api.elsevier.com/content/author/author_id/6603211131,6603211131,Comps B.,Comps,Bernard,B.,true,60102125,16
true,3,https://api.elsevier.com/content/author/author_id/7103239092,7103239092,Petit R.J.,Petit,Remy J.,R.J.,true,60070476,16
true,1,https://api.elsevier.com/content/author/author_id/7401708799,7401708799,Dunn P.O.,Dunn,Peter O.,P.O.,true,60008950,17
true,2,https://api.elsevier.com/content/author/author_id/7004557126,7004557126,Cockburn A.,Cockburn,Andrew,A.,true,60008950,17
true,1,https://api.elsevier.com/content/author/author_id/7004683954,7004683954,Merila J.,Merila,Juha,J.,true,60003858,18
true,2,https://api.elsevier.com/content/author/author_id/56264497400,56264497400,Bjorklund M.,Bjorklund,Mats,M.,true,60003858,18
true,3,https://api.elsevier.com/content/author/author_id/13404791000,13404791000,Baker A.J.,Baker,Allan J.,A.J.,true,60004044,18
true,1,https://api.elsevier.com/content/author/author_id/7103177569,7103177569,Heard S.B.,Heard,Stephen B.,S.B.,true,60024324,19
true,1,https://api.elsevier.com/content/author/author_id/7402562346,7402562346,Santos M.,Santos,Mauro,M.,true,60023020,20
true,1,https://api.elsevier.com/content/author/author_id/6603762804,6603762804,Emlen D.J.,Emlen,Douglas J.,D.J.,true,60003269,21
true,1,https://api.elsevier.com/content/author/author_id/35768805500,35768805500,Wiley R.H.,Wiley,R. Haven,R.H.,true,60025111,22
true,2,https://api.elsevier.com/content/author/author_id/7005672785,7005672785,Poston J.,Poston,Joe,J.,true,60025111,22
true,1,https://api.elsevier.com/content/author/author_id/7003451223,7003451223,Spicer G.S.,Spicer,Greg S.,G.S.,true,100314875,23
true,2,https://api.elsevier.com/content/author/author_id/7006604702,7006604702,Jaenike J.,Jaenike,John,J.,true,60027165,23
true,1,https://api.elsevier.com/content/author/author_id/7201780160,7201780160,Fry J.D.,Fry,James D.,J.D.,true,60004923,24
true,2,https://api.elsevier.com/content/author/author_id/6603599808,6603599808,Heinsohn S.L.,Heinsohn,Stefanie L.,S.L.,true,60004923,24
true,3,https://api.elsevier.com/content/author/author_id/7005966607,7005966607,Mackay T.F.C.,Mackay,Trudy F.C.,T.F.C.,true,60004923,24
true,1,https://api.elsevier.com/content/author/author_id/6603710776,6603710776,Grosberg R.K.,Grosberg,Richard K.,R.K.,true,60014439,25
true,2,https://api.elsevier.com/content/author/author_id/7006369158,7006369158,Levitan D.R.,Levitan,Don R.,D.R.,true,60002092,25
true,3,https://api.elsevier.com/content/author/author_id/7103128598,7103128598,Cameron B.B.,Cameron,Brenda B.,B.B.,true,60014439,25
true,1,https://api.elsevier.com/content/author/author_id/7004534220,7004534220,Lacy R.C.,Lacy,Robert C.,R.C.,true,60003929,26
true,2,https://api.elsevier.com/content/author/author_id/6507440632,6507440632,Alaks G.,Alaks,Glen,G.,true,60003929,26
true,3,https://api.elsevier.com/content/author/author_id/7202635358,7202635358,Walsh A.,Walsh,Allison,A.,true,60003929,26
true,1,https://api.elsevier.com/content/author/author_id/7004298991,7004298991,Roskam J.C.,Roskam,J. C.,J.C.,true,60019816,27
true,2,https://api.elsevier.com/content/author/author_id/7005841277,7005841277,Brakefield P.M.,Brakefield,P. M.,P.M.,true,60019816,27
true,1,https://api.elsevier.com/content/author/author_id/35571921400,35571921400,Richman A.D.,Richman,Adam D.,A.D.,true,60030612,28
true,1,https://api.elsevier.com/content/author/author_id/55352860200,55352860200,Brown W.D.,Brown,William D.,W.D.,true,60016849,29
true,2,https://api.elsevier.com/content/author/author_id/6603044899,6603044899,Wideman J.,Wideman,Julie,J.,true,60016849,29
true,3,https://api.elsevier.com/content/author/author_id/7102950102,7102950102,Andrade M.C.B.,Andrade,Maydianne C.B.,M.C.B.,true,60016849,29
true,4,https://api.elsevier.com/content/author/author_id/7203073974,7203073974,Mason A.C.,Mason,Andrew C.,A.C.,true,60016849,29
