@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/7004393008,7004393008,Gilbert N.,Gilbert,N.,N.,1,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/55479064000,55479064000,Taylor R.,Taylor,R. J.,R.J.,2,true,60015356
true,1,https://api.elsevier.com/content/author/author_id/56243314500,56243314500,Ekman J.,Ekman,J.,J.,3,true,60016437
true,1,https://api.elsevier.com/content/author/author_id/7003689897,7003689897,Patterson I.,Patterson,I. J.,I.J.,4,true,60015875
true,2,https://api.elsevier.com/content/author/author_id/7006434477,7006434477,Grace E.,Grace,E. S.,E.S.,4,true,60015875
true,1,https://api.elsevier.com/content/author/author_id/7003407449,7003407449,Hurd L.,Hurd,L. E.,L.E.,5,true,60023004
true,2,https://api.elsevier.com/content/author/author_id/7203006595,7203006595,Eisenberg R.,Eisenberg,R. M.,R.M.,5,true,60023004
true,1,https://api.elsevier.com/content/author/author_id/7003596027,7003596027,Van Noordwijk A.J.,Van Noordwijk,A. J.,A.J.,6,true,60021850
true,1,https://api.elsevier.com/content/author/author_id/57224654613,57224654613,Baars M.A.,Baars,M. A.,M.A.,7,true,60004789
true,2,https://api.elsevier.com/content/author/author_id/7007176499,7007176499,Van Dijk T.S.,Van Dijk,T. S.,T.S.,7,true,60004789
true,1,https://api.elsevier.com/content/author/author_id/6701749075,6701749075,Van Der Meijden E.,Van Der Meijden,E.,E.,8,true,60019816
true,2,https://api.elsevier.com/content/author/author_id/57503565400,57503565400,Van Bemmelen M.,Van Bemmelen,M.,M.,8,true,60019816
true,3,https://api.elsevier.com/content/author/author_id/6603657555,6603657555,Kooi R.,Kooi,R.,R.,8,true,60019816
true,4,https://api.elsevier.com/content/author/author_id/16489106300,16489106300,Post B.J.,Post,B. J.,B.J.,8,true,60019816
true,1,https://api.elsevier.com/content/author/author_id/7007072284,7007072284,Lenski R.,Lenski,R. E.,R.E.,9,true,60025111
true,1,https://api.elsevier.com/content/author/author_id/7402272109,7402272109,Wilkinson R.,Wilkinson,R.,R.,10,true,60109277
true,2,https://api.elsevier.com/content/author/author_id/7408339751,7408339751,Brown A.,Brown,A. E.,A.E.,10,true,60109277
true,1,https://api.elsevier.com/content/author/author_id/7006152957,7006152957,Usher M.,Usher,M. B.,M.B.,11,true,60016418
true,2,https://api.elsevier.com/content/author/author_id/57197375702,57197375702,Booth R.,Booth,R. G.,R.G.,11,true,60016418
true,1,https://api.elsevier.com/content/author/author_id/56243314500,56243314500,Ekman J.,Ekman,J.,J.,12,true,60016437
true,1,https://api.elsevier.com/content/author/author_id/8085775500,8085775500,Moss R.,Moss,R.,R.,13,true,60004708
true,2,https://api.elsevier.com/content/author/author_id/57193304990,57193304990,Watson A.,Watson,A.,A.,13,true,60004708
true,3,https://api.elsevier.com/content/author/author_id/36952564400,36952564400,Rothery P.,Rothery,P.,P.,13,true,60004708
true,1,https://api.elsevier.com/content/author/author_id/7403304797,7403304797,Cooper S.,Cooper,S. D.,S.D.,14,true,60029241
true,2,https://api.elsevier.com/content/author/author_id/7102950435,7102950435,Winkler D.,Winkler,D. W.,D.W.,14,true,60029241
true,3,https://api.elsevier.com/content/author/author_id/7103014113,7103014113,Lenz P.,Lenz,P. H.,P.H.,14,true,60029241
true,1,https://api.elsevier.com/content/author/author_id/7007060771,7007060771,Goss-Custard J.,Goss-Custard,J. D.,J.D.,15,true,60004708
true,2,https://api.elsevier.com/content/author/author_id/7403070268,7403070268,Clarke R.,Clarke,R. T.,R.T.,15,true,60004708
true,3,https://api.elsevier.com/content/author/author_id/55663834700,55663834700,Dit Durell S.,Dit Durell,S. E.A.L.,S.E.A.L.,15,true,60004708
true,1,https://api.elsevier.com/content/author/author_id/7005627177,7005627177,Potts G.,Potts,G. R.,G.R.,16,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/6603625283,6603625283,Tapper S.,Tapper,S. C.,S.C.,16,NA,NA
true,3,https://api.elsevier.com/content/author/author_id/7202250860,7202250860,Hudson P.,Hudson,P. J.,P.J.,16,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7202205771,7202205771,Sorensen A.E.,Sorensen,A. E.,A.E.,17,true,60010365
true,1,https://api.elsevier.com/content/author/author_id/6505772719,6505772719,Dow H.,Dow,H.,H.,18,true,101340729
