@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7202750287,7202750287,Bennett K.,Bennett,K. D.,K.D.,true,105250851,1
true,1,https://api.elsevier.com/content/author/author_id/56257897200,56257897200,Read J.,Read,J.,J.,true,60015356,2
true,2,https://api.elsevier.com/content/author/author_id/35615123700,35615123700,Hill R.,Hill,R. S.,R.S.,true,60015356,2
true,1,https://api.elsevier.com/content/author/author_id/57197638325,57197638325,Rowell T.,Rowell,T. A.,T.A.,true,60017383,3
true,2,https://api.elsevier.com/content/author/author_id/7101784339,7101784339,Harvey H.,Harvey,H. J.,H.J.,true,60017383,3
true,1,https://api.elsevier.com/content/author/author_id/56276857500,56276857500,Gibson D.,Gibson,D. J.,D.J.,true,60000689,4
true,1,https://api.elsevier.com/content/author/author_id/7003831989,7003831989,Benner B.,Benner,B. L.,B.L.,true,60013990,5
true,2,https://api.elsevier.com/content/author/author_id/7005453999,7005453999,Bazzaz F.,Bazzaz,F. A.,F.A.,true,60013990,5
true,1,https://api.elsevier.com/content/author/author_id/56276857500,56276857500,Gibson D.,Gibson,D. J.,D.J.,true,60000689,6
true,1,https://api.elsevier.com/content/author/author_id/7102924608,7102924608,Marrs R.,Marrs,R. H.,R.H.,true,60007317,7
true,2,https://api.elsevier.com/content/author/author_id/7103115989,7103115989,Proctor J.,Proctor,J.,J.,true,60007317,7
true,3,https://api.elsevier.com/content/author/author_id/7003569020,7003569020,Heaney A.,Heaney,A.,A.,true,60007317,7
true,4,https://api.elsevier.com/content/author/author_id/6603028601,6603028601,Mountford M.,Mountford,M. D.,M.D.,true,60007317,7
true,1,https://api.elsevier.com/content/author/author_id/7403219324,7403219324,Foster D.,Foster,D. R.,D.R.,true,60007624,8
true,1,https://api.elsevier.com/content/author/author_id/7102937933,7102937933,Mitchell F.J.G.,Mitchell,F. J.G.,F.J.G.,true,60106782,9
true,1,https://api.elsevier.com/content/author/author_id/7006869741,7006869741,Mendelssohn I.,Mendelssohn,I. A.,I.A.,true,60007566,10
true,2,https://api.elsevier.com/content/author/author_id/7102894681,7102894681,McKee K.,McKee,K. L.,K.L.,true,60007566,10
true,1,https://api.elsevier.com/content/author/author_id/7202870965,7202870965,Grace J.,Grace,J. B.,J.B.,true,60007566,11
true,1,https://api.elsevier.com/content/author/author_id/7003317984,7003317984,Zammit C.,Zammit,C.,C.,true,60018926,12
true,2,https://api.elsevier.com/content/author/author_id/7004468655,7004468655,Westoby M.,Westoby,M.,M.,true,60018926,12
true,1,https://api.elsevier.com/content/author/author_id/6602347028,6602347028,Krusi B.,Krusi,B. O.,B.O.,true,100599212,13
true,2,https://api.elsevier.com/content/author/author_id/7005283622,7005283622,Wein R.,Wein,R. W.,R.W.,true,100599212,13
true,1,https://api.elsevier.com/content/author/author_id/7102297680,7102297680,De Jong T.J.,De Jong,T. J.,T.J.,true,60019816,14
true,2,https://api.elsevier.com/content/author/author_id/7006308847,7006308847,Klinkhamer P.G.,Klinkhamer,P. G.,P.G.,true,60019816,14
true,1,https://api.elsevier.com/content/author/author_id/57204304514,57204304514,Malanson G.,Malanson,G. P.,G.P.,true,60024324,15
true,2,https://api.elsevier.com/content/author/author_id/7004214029,7004214029,Trabaud L.,Trabaud,L.,L.,true,60024324,15
true,1,https://api.elsevier.com/content/author/author_id/7202105268,7202105268,Alexander H.,Alexander,H. M.,H.M.,true,60015457,16
true,2,https://api.elsevier.com/content/author/author_id/7006001084,7006001084,Antonovics J.,Antonovics,J.,J.,true,60015457,16
true,1,https://api.elsevier.com/content/author/author_id/6603663019,6603663019,Spain A.,Spain,A. V.,A.V.,true,60029470,17
true,2,https://api.elsevier.com/content/author/author_id/7005872954,7005872954,McIvor J.,McIvor,J. G.,J.G.,true,60029470,17
true,1,https://api.elsevier.com/content/author/author_id/7202508742,7202508742,Bowman D.,Bowman,D. M.J.S.,D.M.J.S.,true,60008177,18
