@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7102623262,7102623262,Sanford R.,Sanford,Robert L.,R.L.,true,60025038,1
true,2,https://api.elsevier.com/content/author/author_id/6603411908,6603411908,Braker H.,Braker,H. Elizabeth,H.E.,true,60025038,1
true,3,https://api.elsevier.com/content/author/author_id/6603891136,6603891136,Hartshorn G.,Hartshorn,Gary S.,G.S.,true,100565824,1
true,1,https://api.elsevier.com/content/author/author_id/6602186567,6602186567,Coates-Estrada R.,Coates-Estrada,Rosamond,R.,true,60019333,2
true,2,https://api.elsevier.com/content/author/author_id/7004287493,7004287493,Estrada A.,Estrada,Alejandro,A.,true,60019333,2
true,1,https://api.elsevier.com/content/author/author_id/7102043462,7102043462,Gorman M.,Gorman,Martyn L.,M.L.,true,60015875,3
true,1,https://api.elsevier.com/content/author/author_id/57198404104,57198404104,Alibhai S.K.,Alibhai,S. K.,S.K.,true,60020595,4
true,1,https://api.elsevier.com/content/author/author_id/7005284066,7005284066,Durden L.,Durden,Lance A.,L.A.,true,60006475,5
true,1,https://api.elsevier.com/content/author/author_id/7005765422,7005765422,Corlett R.,Corlett,Richard T.,R.T.,true,60017161,6
true,1,https://api.elsevier.com/content/author/author_id/57206348562,57206348562,Lugo A.E.,Lugo,Ariel E.,A.E.,true,60071509,7
true,1,https://api.elsevier.com/content/author/author_id/7201548484,7201548484,Ismail A.M.A.,Ismail,A. M.A.,A.M.A.,true,60072749,8
true,1,https://api.elsevier.com/content/author/author_id/7004226539,7004226539,Delany M.,Delany,M. J.,M.J.,true,60071768,9
true,2,https://api.elsevier.com/content/author/author_id/7003630901,7003630901,Monro R.,Monro,R. H.,R.H.,true,60071768,9
true,1,https://api.elsevier.com/content/author/author_id/6507811066,6507811066,Purata S.E.,Purata,Silvia E.,S.E.,true,60032442,10
true,1,https://api.elsevier.com/content/author/author_id/6602696130,6602696130,Isichei A.O.,Isichei,Augustine O.,A.O.,true,60011031,11
true,2,https://api.elsevier.com/content/author/author_id/6603479153,6603479153,Ekeleme F.,Ekeleme,Friday,F.,true,60011031,11
true,3,https://api.elsevier.com/content/author/author_id/6505502649,6505502649,Jimoh B.A.,Jimoh,Bakare A.,B.A.,true,60011031,11
true,1,https://api.elsevier.com/content/author/author_id/7202657859,7202657859,Lieberman M.,Lieberman,Milton,M.,true,60026161,12
true,2,https://api.elsevier.com/content/author/author_id/7202460391,7202460391,Lieberman D.,Lieberman,Diana,D.,true,60026161,12
