entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,true,1,https://api.elsevier.com/content/author/author_id/6507855743,6507855743,Gribel R.,Gribel,Rogério,R.,true,60029159
3,true,1,https://api.elsevier.com/content/author/author_id/57189534509,57189534509,Ryan J.M.,Ryan,James M.,J.M.,true,115753623
3,true,2,https://api.elsevier.com/content/author/author_id/57189535721,57189535721,Creighton G.K.,Creighton,G. Ken,G.K.,true,115753623
3,true,3,https://api.elsevier.com/content/author/author_id/7004347253,7004347253,Emmons L.H.,Emmons,Louise H.,L.H.,true,115753623
4,true,1,https://api.elsevier.com/content/author/author_id/6602741161,6602741161,Zortéa M.,Zortéa,Marlon,M.,true,116743018
4,true,2,https://api.elsevier.com/content/author/author_id/12144332200,12144332200,Mendes S.,Mendes,Sérgio Lucena,S.L.,true,116743018
5,true,1,https://api.elsevier.com/content/author/author_id/55731059200,55731059200,Oyama K.,Oyama,K.,K.,true,60032442
6,true,1,https://api.elsevier.com/content/author/author_id/6602839234,6602839234,Théry M.,Théry,Marc,M.,true,60008134
6,true,2,https://api.elsevier.com/content/author/author_id/6506220151,6506220151,Larpin D.,Larpin,Denis,D.,true,60008134
7,true,1,https://api.elsevier.com/content/author/author_id/7004616381,7004616381,Tutin C.E.G.,Tutin,Caroline E.G.,C.E.G.,true,60072021
7,true,2,https://api.elsevier.com/content/author/author_id/55463153400,55463153400,Fernandez M.,Fernandez,Michel,M.,true,60025200
8,true,1,https://api.elsevier.com/content/author/author_id/6603582611,6603582611,Ben-Shahar R.,Ben-Shahar,R.,R.,true,60026851
9,true,1,https://api.elsevier.com/content/author/author_id/6603794768,6603794768,Olmos F.,Olmos,Fabio,F.,true,116743261
10,true,1,https://api.elsevier.com/content/author/author_id/6602186567,6602186567,Coates-Estrada R.,Coates-Estrada,Rosamond,R.,true,60019333
10,true,2,https://api.elsevier.com/content/author/author_id/7004287493,7004287493,Estrada A.,Estrada,Alejandro,A.,true,60019333
10,true,3,https://api.elsevier.com/content/author/author_id/57189538620,57189538620,Dennis M.,Dennis,Meritt,M.,true,100354744
11,true,1,https://api.elsevier.com/content/author/author_id/14020120000,14020120000,Ogbogu S.S.,Ogbogu,S. S.,S.S.,true,60006270
12,true,1,https://api.elsevier.com/content/author/author_id/35617128600,35617128600,De Sa Barretto Sampaio E.V.,De Sa Barretto Sampaio,Everardo Valadares,E.V.,true,109983839
12,true,2,https://api.elsevier.com/content/author/author_id/57189536880,57189536880,Attilio D.,Attilio,Dall'olio,D.,true,109983839
12,true,3,https://api.elsevier.com/content/author/author_id/57189534219,57189534219,Pinto E.E.,Pinto,Eurico Eduardo,E.E.,true,109983839
12,true,4,https://api.elsevier.com/content/author/author_id/6505644901,6505644901,Smera Nunes K.,Smera Nunes,Katia,K.,true,109983839
12,true,5,https://api.elsevier.com/content/author/author_id/57189532999,57189532999,De Lemos D.,De Lemos,D.,D.,true,109983839
13,true,1,https://api.elsevier.com/content/author/author_id/7004415404,7004415404,Lepage M.,Lepage,Michel,M.,true,60000179
13,true,2,https://api.elsevier.com/content/author/author_id/6603989798,6603989798,Abbadie L.,Abbadie,Luc,L.,true,60000179
13,true,3,https://api.elsevier.com/content/author/author_id/7102370668,7102370668,Mariotti A.,Mariotti,Andre,A.,true,60000179
14,true,1,https://api.elsevier.com/content/author/author_id/7005660466,7005660466,Whitmore T.,Whitmore,T. C.,T.C.,true,60026851
14,true,2,https://api.elsevier.com/content/author/author_id/6504490127,6504490127,Goodwin-Bailey C.,Goodwin-Bailey,C. I.,C.I.,true,60026851
14,true,3,https://api.elsevier.com/content/author/author_id/57198472300,57198472300,Gong W.,Gong,W. K.,W.K.,true,60026851
14,true,4,https://api.elsevier.com/content/author/author_id/7403548194,7403548194,Brown N.,Brown,N. D.,N.D.,true,60026851
14,true,5,https://api.elsevier.com/content/author/author_id/57189538250,57189538250,Swainet M.,Swainet,M. D.,M.D.,true,60015875
14,true,6,https://api.elsevier.com/content/author/author_id/55414114200,55414114200,Kennedy D.,Kennedy,D.,D.,true,60015875
15,true,1,https://api.elsevier.com/content/author/author_id/6604003297,6604003297,Veenendaal E.M.,Veenendaal,E. M.,E.M.,true,60008734
15,true,2,https://api.elsevier.com/content/author/author_id/7801388187,7801388187,Shushu D.D.,Shushu,D. D.,D.D.,true,60021221
15,true,3,https://api.elsevier.com/content/author/author_id/7003780568,7003780568,Scurlock J.M.O.,Scurlock,J. M.O.,J.M.O.,true,60011520
16,true,1,https://api.elsevier.com/content/author/author_id/6603003227,6603003227,Ishwaran N.,Ishwaran,Natarajan,N.,true,60071082
17,true,1,https://api.elsevier.com/content/author/author_id/7103053763,7103053763,Novotný V.,Novotný,Vojtěch,V.,true,60013029
18,true,1,https://api.elsevier.com/content/author/author_id/56211926000,56211926000,Kellman M.,Kellman,Martin,M.,true,60033420
18,true,2,https://api.elsevier.com/content/author/author_id/6506096449,6506096449,Delfosse B.,Delfosse,Bianca,B.,true,60033420
19,true,1,https://api.elsevier.com/content/author/author_id/6701858139,6701858139,Osunkoya O.,Osunkoya,Olusegun O.,O.O.,true,60008950
19,true,2,https://api.elsevier.com/content/author/author_id/7102298134,7102298134,Ash J.,Ash,Julian E.,J.E.,true,60008950
19,true,3,https://api.elsevier.com/content/author/author_id/7202147096,7202147096,Hopkins M.,Hopkins,Mike S.,M.S.,true,60032673
19,true,4,https://api.elsevier.com/content/author/author_id/7402187862,7402187862,Graham A.,Graham,Andrew W.,A.W.,true,60032673
20,true,1,https://api.elsevier.com/content/author/author_id/6603655559,6603655559,Julien-Laferriere D.,Julien-Laferriere,Didier,D.,true,60028311
21,true,1,https://api.elsevier.com/content/author/author_id/7102098008,7102098008,Oliveira P.E.,Oliveira,Paulo E.,P.E.,true,60015104
21,true,2,https://api.elsevier.com/content/author/author_id/56317547400,56317547400,Silva J.C.S.,Silva,Jose C.S.,J.C.S.,true,60009625
22,true,1,https://api.elsevier.com/content/author/author_id/6602530473,6602530473,Congdon R.,Congdon,Robert A.,R.A.,true,60019870
22,true,2,https://api.elsevier.com/content/author/author_id/6603005931,6603005931,Herbohn J.,Herbohn,John L.,J.L.,true,60019870
23,true,1,https://api.elsevier.com/content/author/author_id/6603668522,6603668522,Williams-Linera G.,Williams-Linera,Guadalupe,G.,true,60024712
24,true,1,https://api.elsevier.com/content/author/author_id/7004287493,7004287493,Estrada A.,Estrada,Alejandro,A.,true,60019333
24,true,2,https://api.elsevier.com/content/author/author_id/56000766300,56000766300,Halffter G.,Halffter,Gonzalo,G.,true,60019333
24,true,3,https://api.elsevier.com/content/author/author_id/6602186567,6602186567,Coates-Estrada R.,Coates-Estrada,Rosamond,R.,true,60019333
24,true,4,https://api.elsevier.com/content/author/author_id/6602669193,6602669193,Meritt D.A.,Meritt,Dennis A.,D.A.,true,60019333
