@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/23028858100,23028858100,Parry L.,Parry,Luke,L.,true,60000112,1
true,2,https://api.elsevier.com/content/author/author_id/7402197897,7402197897,Barlow J.,Barlow,Jos,J.,true,60000112,1
true,3,https://api.elsevier.com/content/author/author_id/7005085103,7005085103,Peres C.A.,Peres,Carlos A.,C.A.,true,60000112,1
true,1,https://api.elsevier.com/content/author/author_id/22951582500,22951582500,Piacentini V.D.Q.,Piacentini,Vítor De Queiroz,V.D.Q.,true,60015043,2
true,2,https://api.elsevier.com/content/author/author_id/22952204300,22952204300,Varassin I.G.,Varassin,Isabela Galarda,I.G.,true,60015043,2
true,1,https://api.elsevier.com/content/author/author_id/22951884800,22951884800,Rothman J.M.,Rothman,Jessica M.,J.M.,true,60007776,3
true,2,https://api.elsevier.com/content/author/author_id/6603665150,6603665150,Plumptre A.J.,Plumptre,Andrew J.,A.J.,true,60071700,3
true,3,https://api.elsevier.com/content/author/author_id/7006516756,7006516756,Dierenfeld E.S.,Dierenfeld,Ellen S.,E.S.,true,60007776,3
true,4,https://api.elsevier.com/content/author/author_id/7005196412,7005196412,Pell A.N.,Pell,Alice N.,A.N.,true,60007776,3
true,1,https://api.elsevier.com/content/author/author_id/15044241200,15044241200,Hanson T.,Hanson,Thor,T.,true,60033389,4
true,2,https://api.elsevier.com/content/author/author_id/6603631741,6603631741,Brunsfeld S.,Brunsfeld,Steven,S.,true,60033389,4
true,3,https://api.elsevier.com/content/author/author_id/7006935009,7006935009,Finegan B.,Finegan,Bryan,B.,true,60071928,4
true,4,https://api.elsevier.com/content/author/author_id/6701328434,6701328434,Waits L.,Waits,Lisette,L.,true,60033389,4
true,1,https://api.elsevier.com/content/author/author_id/22952157100,22952157100,Turner E.,Turner,Edgar C.,E.C.,true,60031101,5
true,2,https://api.elsevier.com/content/author/author_id/22951553700,22951553700,Snaddon J.,Snaddon,Jake L.,J.L.,true,60031101,5
true,3,https://api.elsevier.com/content/author/author_id/22950538400,22950538400,Johnson H.,Johnson,Henry R.,H.R.,true,60031101,5
true,4,https://api.elsevier.com/content/author/author_id/7202607039,7202607039,Foster W.,Foster,William A.,W.A.,true,60031101,5
true,1,https://api.elsevier.com/content/author/author_id/7003460109,7003460109,Verburg P.,Verburg,Piet,P.,true,60029747,6
true,2,https://api.elsevier.com/content/author/author_id/6701703229,6701703229,Kilham S.S.,Kilham,Susan S.,S.S.,true,60014662,6
true,3,https://api.elsevier.com/content/author/author_id/7004950358,7004950358,Pringle C.M.,Pringle,Catherine M.,C.M.,true,60029747,6
