entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,true,1,https://api.elsevier.com/content/author/author_id/35223477400,35223477400,León J.D.,León,Juan Diego,J.D.,true,60052098
2,true,2,https://api.elsevier.com/content/author/author_id/7404553809,7404553809,González M.I.,González,María Isabel,M.I.,true,60025028
2,true,3,https://api.elsevier.com/content/author/author_id/7101888500,7101888500,Gallardo J.F.,Gallardo,Juan Fernando,J.F.,true,60015482
3,true,1,https://api.elsevier.com/content/author/author_id/26032331600,26032331600,Barón E.J.R.,Barón,Edgar Javier Rincón,E.J.R.,true,60066812
3,true,2,https://api.elsevier.com/content/author/author_id/57313171900,57313171900,Ballesteros H.G.F.,Ballesteros,Helkin Giovani Forero,H.G.F.,true,60057258
3,true,3,https://api.elsevier.com/content/author/author_id/35761266200,35761266200,Landazábal L.V.G.,Landazábal,Leidy Viviana Gélvez,L.V.G.,true,60057258
3,true,4,https://api.elsevier.com/content/author/author_id/14034914400,14034914400,Torres G.A.,Torres,Gerardo Andrés,G.A.,true,60051434
3,true,5,https://api.elsevier.com/content/author/author_id/6508017399,6508017399,Rolleri C.H.,Rolleri,Cristina Hilda,C.H.,true,60023103
4,true,1,https://api.elsevier.com/content/author/author_id/6603639820,6603639820,Salazar-Vallejo S.I.,Salazar-Vallejo,Sergio I.,S.I.,true,60015438
4,true,2,https://api.elsevier.com/content/author/author_id/6603197633,6603197633,Carrera-Parra L.F.,Carrera-Parra,Luis F.,L.F.,true,60015438
4,true,3,https://api.elsevier.com/content/author/author_id/6602659073,6602659073,de león-González J.A.,de león-González,J. A.,J.A.,true,112196906
5,true,1,https://api.elsevier.com/content/author/author_id/24475400100,24475400100,Okogwu O.I.,Okogwu,Okechukwu Idumah,O.I.,true,60010202
6,true,1,https://api.elsevier.com/content/author/author_id/51763353200,51763353200,García-González A.,García-González,Alfredo,A.,true,101632152
6,true,2,https://api.elsevier.com/content/author/author_id/55942002600,55942002600,Márquez R.,Márquez,Rolando Pérez,R.P.,NA,NA
7,true,1,https://api.elsevier.com/content/author/author_id/51764794500,51764794500,Zamorano D.A.,Zamorano,Dinora Acosta,D.A.,true,60005618
7,true,2,https://api.elsevier.com/content/author/author_id/6602476824,6602476824,Campos G.R.,Campos,Gorgonio Ruiz,G.R.,true,60005618
7,true,3,https://api.elsevier.com/content/author/author_id/51764713600,51764713600,Soler A.A.,Soler,Asunción Andreu,A.A.,true,60005618
7,true,4,https://api.elsevier.com/content/author/author_id/15835714100,15835714100,Valdez C.A.R.,Valdez,Claudia Alejandra Reyes,C.A.R.,true,60005618
8,true,1,https://api.elsevier.com/content/author/author_id/7103217799,7103217799,Schulze A.,Schulze,Anja,A.,true,60012455
9,true,1,https://api.elsevier.com/content/author/author_id/36945637600,36945637600,Hurtado J.,Hurtado,Johanna,J.,true,112791830
9,true,2,https://api.elsevier.com/content/author/author_id/35551380400,35551380400,Clark D.,Clark,David B.,D.B.,true,60030171
10,true,1,https://api.elsevier.com/content/author/author_id/28367714200,28367714200,Machín M.P.,Machín,Maykel Pérez,M.P.,true,60108770
