@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,1,https://api.elsevier.com/content/author/author_id/55247400000,55247400000,Castillo A.L.,Castillo,Alexander Lopeztegui,A.L.,true,60004432,1,NA
true,2,https://api.elsevier.com/content/author/author_id/57219395776,57219395776,Coello D.M.,Coello,Diana Martínez,D.M.,true,60070393,1,NA
true,1,https://api.elsevier.com/content/author/author_id/57203393428,57203393428,Elizondo-Luévano J.H.,Elizondo-Luévano,Joel H.,J.H.,true,60025417,2,NA
true,2,https://api.elsevier.com/content/author/author_id/55347557700,55347557700,Hernández-García M.E.,Hernández-García,Magda E.,M.E.,true,60025417,2,NA
true,3,https://api.elsevier.com/content/author/author_id/57219385572,57219385572,Pérez-Narváez O.A.,Pérez-Narváez,Oscar A.,O.A.,true,60025417,2,NA
true,4,https://api.elsevier.com/content/author/author_id/15722088900,15722088900,Castro-Ríos R.,Castro-Ríos,Rocío,R.,true,60032614,2,NA
true,5,https://api.elsevier.com/content/author/author_id/23099470300,23099470300,Chávez-Montes A.,Chávez-Montes,Abelardo,A.,true,60025417,2,NA
true,1,https://api.elsevier.com/content/author/author_id/57219376950,57219376950,Pérez Marulanda J.A.,Pérez Marulanda,José Alexander,J.A.,true,114698797,3,NA
true,2,https://api.elsevier.com/content/author/author_id/57214817004,57214817004,Giraldo Sánchez C.E.,Giraldo Sánchez,Carlos Eduardo,C.E.,true,114698797,3,NA
true,1,https://api.elsevier.com/content/author/author_id/57219382788,57219382788,Carrillo L.,Carrillo,Luz,L.,true,60025791,4,NA
true,2,https://api.elsevier.com/content/author/author_id/26531995800,26531995800,Tavares R.,Tavares,Rafael,R.,true,100974937,4,NA
true,3,https://api.elsevier.com/content/author/author_id/57191843341,57191843341,Sánchez L.,Sánchez,Leonardo,L.,true,100974937,4,NA
true,4,https://api.elsevier.com/content/author/author_id/57219388002,57219388002,Velásquez C.,Velásquez,Carmen,C.,true,60044202,4,NA
true,1,https://api.elsevier.com/content/author/author_id/57219385181,57219385181,Duarte Núñez D.A.,Duarte Núñez,Dayssy A.,D.A.,true,60104009,5,NA
true,2,https://api.elsevier.com/content/author/author_id/57204572186,57204572186,Pinzón Florián O.P.,Pinzón Florián,Olga P.,O.P.,true,60104009,5,NA
true,3,https://api.elsevier.com/content/author/author_id/56002706400,56002706400,Palacios-Vargas J.G.,Palacios-Vargas,José G.,J.G.,true,60032442,5,NA
true,1,https://api.elsevier.com/content/author/author_id/57219383377,57219383377,Magalhães L.C.S.,Magalhães,Lana Cynthia Silva,L.C.S.,true,113188727,6,NA
true,2,https://api.elsevier.com/content/author/author_id/36603892300,36603892300,Ziller S.R.,Ziller,Silvia Renate,S.R.,true,125208516,6,NA
true,3,https://api.elsevier.com/content/author/author_id/6507862886,6507862886,Silva-Forsberg M.C.,Silva-Forsberg,Maria Clara,M.C.,true,113188727,6,NA
true,1,https://api.elsevier.com/content/author/author_id/25958085200,25958085200,Hernández E.,Hernández,Esnedy,E.,true,60055833,7,NA
true,2,https://api.elsevier.com/content/author/author_id/8914460800,8914460800,Agudelo D.M.,Agudelo,Diana María,D.M.,true,60055833,7,NA
true,3,https://api.elsevier.com/content/author/author_id/57222995507,57222995507,Flórez E.,Flórez,Elizabeth,E.,true,60055833,7,NA
true,4,https://api.elsevier.com/content/author/author_id/57219395563,57219395563,Sepúlveda R.,Sepúlveda,Robinson,R.,true,60055833,7,NA
true,5,https://api.elsevier.com/content/author/author_id/57219381242,57219381242,Zabala A.M.,Zabala,Ana María,A.M.,true,60055833,7,NA
true,6,https://api.elsevier.com/content/author/author_id/56217338100,56217338100,Vargas L.,Vargas,Lady,L.,true,125208253,7,NA
true,7,https://api.elsevier.com/content/author/author_id/57219381584,57219381584,Parra M.,Parra,Mateo,M.,true,60055833,7,NA
true,8,https://api.elsevier.com/content/author/author_id/57215201702,57215201702,Ramírez G.,Ramírez,Giovanny,G.,true,125208253,7,NA
true,9,https://api.elsevier.com/content/author/author_id/25959817900,25959817900,Aguirre N.,Aguirre,Néstor,N.,true,60055833,7,NA
true,10,https://api.elsevier.com/content/author/author_id/41562345100,41562345100,Vélez F.,Vélez,Fabio,F.,true,60055833,7,NA
true,1,https://api.elsevier.com/content/author/author_id/6603911002,6603911002,Solórzano A.,Solórzano,Alejandro,A.,true,60071929,8,NA
true,2,https://api.elsevier.com/content/author/author_id/7101930066,7101930066,Sasa M.,Sasa,Mahmood,M.,true,60071929,8,NA
true,1,https://api.elsevier.com/content/author/author_id/57210186505,57210186505,Taratima W.,Taratima,Worasitikulya,W.,true,60017165,9,NA
true,2,https://api.elsevier.com/content/author/author_id/57210187925,57210187925,Ritmaha T.,Ritmaha,Thapakorn,T.,true,60017165,9,NA
true,3,https://api.elsevier.com/content/author/author_id/26025710400,26025710400,Jongrungklang N.,Jongrungklang,Nuntawoot,N.,true,60017165,9,NA
true,4,https://api.elsevier.com/content/author/author_id/57210194630,57210194630,Maneerattanarungroj P.,Maneerattanarungroj,Pitakpong,P.,true,60017165,9,NA
