@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/57210705187,57210705187,0000-0002-7291-3605,De Souza V.R.,De Souza,Vitor Ricardo,V.R.,true,60000958,1
true,2,https://api.elsevier.com/content/author/author_id/57482048100,57482048100,0000-0002-7171-7450,Alves Amorim C.,Alves Amorim,Cihelio,C.,true,60000958,1
true,3,https://api.elsevier.com/content/author/author_id/57194433243,57194433243,0000-0001-5093-2840,Do Nascimento Moura A.,Do Nascimento Moura,Ariadne,A.,true,60000958,1
true,1,https://api.elsevier.com/content/author/author_id/57482359700,57482359700,0000-0001-9835-6619,Podestá J.,Podestá,Jorge,J.,true,60071231,2
true,2,https://api.elsevier.com/content/author/author_id/57208188919,57208188919,0000-0002-3339-243X,Barona D.,Barona,Daniel,D.,true,60078122,2
true,1,https://api.elsevier.com/content/author/author_id/7201503473,7201503473,0000-0003-0749-1087,Chiu W.T.,Chiu,Wen Ta,W.T.,true,127824521,3
true,2,https://api.elsevier.com/content/author/author_id/7402554934,7402554934,0000-0002-2557-8736,Ho Y.S.,Ho,Yuh Shan,Y.S.,true,127824521,3
true,1,https://api.elsevier.com/content/author/author_id/57481887900,57481887900,0000-0003-2830-0075,Sandoval Ramírez J.L.,Sandoval Ramírez,José Luis,J.L.,true,60022139,4
true,2,https://api.elsevier.com/content/author/author_id/7801406730,7801406730,0000-0001-8299-7753,Solana Arellano E.,Solana Arellano,Elena,E.,true,60032563,4
true,3,https://api.elsevier.com/content/author/author_id/16635915600,16635915600,0000-0002-6926-3250,Flores Garza R.,Flores Garza,Rafael,R.,true,60022139,4
true,4,https://api.elsevier.com/content/author/author_id/16635897900,16635897900,0000-0003-3246-5788,Flores Rodríguez P.,Flores Rodríguez,Pedro,P.,true,60022139,4
true,5,https://api.elsevier.com/content/author/author_id/16636058700,16636058700,0000-0003-0967-6878,García Ibáñez S.,García Ibáñez,Sergio,S.,true,60022139,4
true,6,https://api.elsevier.com/content/author/author_id/57202848961,57202848961,0000-0002-9342-5184,Castro Mondragón H.,Castro Mondragón,Himmer,H.,true,60022139,4
true,1,https://api.elsevier.com/content/author/author_id/57481728900,57481728900,0000-0003-4104-3093,De Oliveira Leite V.G.,De Oliveira Leite,Vitor Gabriel,V.G.,true,60009160,5
true,2,https://api.elsevier.com/content/author/author_id/57481888000,57481888000,0000-0001-9019-5398,Aquino Florenciano R.B.,Aquino Florenciano,Raquel Braga,R.B.,true,60009160,5
true,3,https://api.elsevier.com/content/author/author_id/57482686900,57482686900,0000-0002-4549-6762,Gamarra Arguelho E.,Gamarra Arguelho,Edihanne,E.,true,60009160,5
true,4,https://api.elsevier.com/content/author/author_id/23095069900,23095069900,0000-0002-0656-1170,Do Nascimento Lima T.,Do Nascimento Lima,Tatiane,T.,true,60009160,5
true,1,https://api.elsevier.com/content/author/author_id/6504088877,6504088877,0000-0002-9413-8371,Campos-Sanchez R.,Campos-Sanchez,Rebeca,R.,true,60071929,6
true,2,https://api.elsevier.com/content/author/author_id/57481729000,57481729000,0000-0001-5354-2901,Flores-Cruz A.,Flores-Cruz,Andres,A.,true,60071929,6
true,3,https://api.elsevier.com/content/author/author_id/57194427377,57194427377,0000-0001-9764-4192,Molina-Mora J.A.,Molina-Mora,Jose Arturo,J.A.,true,60071929,6
true,4,https://api.elsevier.com/content/author/author_id/56732745500,56732745500,0000-0001-7964-3575,Mora R.,Mora,Rodrigo,R.,true,60071929,6
true,5,https://api.elsevier.com/content/author/author_id/57192974402,57192974402,0000-0001-5599-0652,Rodriguez C.,Rodriguez,Cesar,C.,true,60071929,6
true,6,https://api.elsevier.com/content/author/author_id/23477349100,23477349100,0000-0002-3841-0238,Gatica-Arias A.,Gatica-Arias,Andres,A.,true,60071929,6
true,7,https://api.elsevier.com/content/author/author_id/6602305272,6602305272,0000-0003-1036-920X,Guzman-Verri C.,Guzman-Verri,Caterina,C.,true,60071924,6
true,1,https://api.elsevier.com/content/author/author_id/36772780100,36772780100,0000-0003-1298-1814,Aranceta-Garza F.,Aranceta-Garza,Fernando,F.,true,60021746,7
true,2,https://api.elsevier.com/content/author/author_id/55729907500,55729907500,0000-0003-2503-6643,Cruz-Hernández P.,Cruz-Hernández,Pedro,P.,true,60021746,7
true,3,https://api.elsevier.com/content/author/author_id/6701446814,6701446814,0000-0003-2593-9631,Reyes-Bonilla H.,Reyes-Bonilla,Héctor,H.,true,60031287,7
true,4,https://api.elsevier.com/content/author/author_id/56013859100,56013859100,0000-0001-8752-1017,Balart E.F.,Balart,Eduardo F.,E.F.,true,60021746,7
true,1,https://api.elsevier.com/content/author/author_id/57481729100,57481729100,0000-0002-3352-2978,Maria Vera A.,Maria Vera,Angelica,A.,true,60057258,8
true,2,https://api.elsevier.com/content/author/author_id/57482523100,57482523100,0000-0002-9834-5028,Cesar Mantilla J.,Cesar Mantilla,Julio,J.,true,60057258,8
true,3,https://api.elsevier.com/content/author/author_id/7003302950,7003302950,0000-0002-7527-2364,Escobar P.,Escobar,Patricia,P.,true,60057258,8
true,1,https://api.elsevier.com/content/author/author_id/57482203300,57482203300,0000-0002-6063-7850,De Basáñez Muñoz A.J.,De Basáñez Muñoz,Agustín J.,A.J.,true,60007909,9
true,2,https://api.elsevier.com/content/author/author_id/22957684400,22957684400,0000-0002-9856-2276,Jordán Garza A.G.,Jordán Garza,Adán G.,A.G.,true,60007909,9
true,3,https://api.elsevier.com/content/author/author_id/26664962400,26664962400,0000-0002-0175-458X,Serrano A.,Serrano,Arturo,A.,true,60007909,9
true,4,https://api.elsevier.com/content/author/author_id/6506873303,6506873303,0000-0002-1403-1575,Capistran Barradas A.,Capistran Barradas,Ascención,A.,true,60007909,9
true,5,https://api.elsevier.com/content/author/author_id/24174882900,24174882900,0000-0001-7638-4918,Naval Ávila C.,Naval Ávila,Celina,C.,true,60007909,9
true,6,https://api.elsevier.com/content/author/author_id/24174281400,24174281400,0000-0002-3661-6355,Cuervo López L.,Cuervo López,Liliana,L.,true,60007909,9
true,1,https://api.elsevier.com/content/author/author_id/57188704838,57188704838,0000-0003-1132-0870,Palacios-Martínez G.E.,Palacios-Martínez,Gerardo Emigdio,G.E.,true,127780898,10
true,2,https://api.elsevier.com/content/author/author_id/57469782200,57469782200,0000-0003-4080-1024,Núñez-Zamora I.,Núñez-Zamora,Ileana,I.,true,127369207,10
true,1,https://api.elsevier.com/content/author/author_id/57469539700,57469539700,0000-0001-5104-7675,Murillo-Zamora C.,Murillo-Zamora,Carlos,C.,true,60071929,11
true,1,https://api.elsevier.com/content/author/author_id/37039635500,37039635500,0000-0002-8498-7919,Martínez-Fernández D.,Martínez-Fernández,Damián,D.,true,127777709,12
true,1,https://api.elsevier.com/content/author/author_id/57467818600,57467818600,0000-0002-2715-1875,Matamoros-Calderón W.,Matamoros-Calderón,Wendolyn,W.,true,60071929,13
true,2,https://api.elsevier.com/content/author/author_id/57468896700,57468896700,0000-0002-1571-2700,Lara M.,Lara,Minor,M.,true,127777872,13
true,3,https://api.elsevier.com/content/author/author_id/8650004200,8650004200,0000-0001-5686-4164,Breedy O.,Breedy,Odalisca,O.,true,60071929,13
true,1,https://api.elsevier.com/content/author/author_id/57194413682,57194413682,0000-0002-9754-1254,Chacón-Monge J.L.,Chacón-Monge,José Leonardo,J.L.,true,60071929,14
true,2,https://api.elsevier.com/content/author/author_id/55802033100,55802033100,0000-0002-4587-1446,Angulo A.,Angulo,Arturo,A.,true,60071929,14
