@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0025694028,SCOPUS_ID:0025694028,2-s2.0-0025694028,Why lions form groups: food is not enough,Packer C.,American Naturalist,00030147,136,1,1-19,1990-01-01,1990,10.1086/285079,"Two Panthera leo group sizes maximize foraging success during the season of prey scarcity: one female and 5-6 females. Foraging success does not vary significantly with group size when prey is abundant. Female lions live in fission-fusion social units (prides) and forage only with members of their own pride. If lion grouping patterns were primarily related to group-size-specific feeding efficiency, females in prides containing <5 females should forage alone when prey is scarce; females in larger prides should forage alone or in groups of 5-6. However, females in small prides most commonly forage in as large a group as possible, even at the expense of foraging efficiency. Females in large prides most often forage in intermediate group sizes of 4 or 5. However, mothers keep their cubs in a creche and form highly stable maternity groups that are effective in defending the cubs against infanticidal males. Most large prides contain a creche involving 4 or 5 mothers; in the absence of a creche, large prides show no preference for any group size. Females also compete aggressively against neighboring prides, and larger groups successfully repel smaller ones in territorial disputes. Small prides appear to be excessively gregarious in order to compete against larger neighboring prides. -from Authors",387,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025693834,SCOPUS_ID:0025693834,2-s2.0-0025693834,Complex competitive relationships among genotypes of three perennial grasses: implications for species coexistence,Taylor D.,American Naturalist,00030147,136,3,305-327,1990-01-01,1990,10.1086/285100,"Competitive relationships were studied among genotypes of Agropyron repens, Poa pratensis and Phleum pratense collected from a grassland community in SE Ontario. Field surveys revealed no significant correlations of abundance among species within randomly placed survey plots. The greater performance of target plants in removal plots versus control plots for all 3 species in a vegetation-removal experiment, however, suggests that each of these 3 species was suppressed by competitive interactions in the field. A significant interaction of target site of origin and associate site of origin (mixture effect) for yield-suppression coefficients of intraspecific mixtures for each species suggests genotypic variability among the collected clones. Genotypes collected from the same neighborhood exhibited competitive standoffs or transitive competitive relationships. Competitively subordinate genotypes from different neighborhoods, however, belonged to different species. Competitive relationships at the genotype level (across neighborhoods) were complex and often intransitive. Data provide preliminary support for the competitive-combining-ability hypothesis for species coexistence, which predicts that intransitive competitive abilities at the genotype level (spanning taxonomic boundaries) may prevent competitive exclusion at the whole-population level and hence contribute to the maintenance of both species and genotypic diversity within vegetation. -from Authors",94,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025693832,SCOPUS_ID:0025693832,2-s2.0-0025693832,Intercontinental comparison of small-lake fish assemblages: the balance between local and regional processes,Tonn W.,American Naturalist,00030147,136,3,345-375,1990-01-01,1990,10.1086/285102,"Characteristics of fish assemblages from Finland and N Wisconsin were compared on several scales to investigate community-level similarity in environmentally similar but faunistically different small lakes. Although Finland has only half as many fishes in its regional species pool, local species richness did not differ between the regions. Variability in species composition among assemblages was lower in Finland, suggesting that a large proportion of the fauna could maintain populations across a broad range of environmental conditions. The Wisconsin fauna comprised more specialized species. Three types of fish assemblages were identified in Wisconsin, whereas Finnish assemblages presented a hierarchical continuum based on species addition. Data suggest that habitat specialization and the exclusion of small prey species from lakes with piscivores contribute to the occurrence of presence-absence assemblage types in Wisconsin. Biotic interactions can affect population densities of Finnish species without exclusion, and assemblage types could be identified in Finland only on the basis of species' relative abundance. Because of similar relations, discriminant functions from one region could successfully identify the assemblage types that occurred in lakes from the other; this community-level predictability suggests that fish assemblage structures in northern forest lakes are influenced by common sets of environmental factors. Although local characteristics are well matched between regions, many regional and historical phenomena are dissimilar. Because of influences operating on several scales, viewed as a series of filters, community ecologists should not be content with simple acceptance or rejection of the convergence hypothesis. -from Authors",272,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025692961,SCOPUS_ID:0025692961,2-s2.0-0025692961,Trade-offs in fitness on different hosts: evidence from a selection experiment with a phytophagous mite,Fry J.,American Naturalist,00030147,136,5,569-580,1990-01-01,1990,10.1086/285116,Used a population of the polyphagous Tetranychus urticae that had been selected for adaptation to tomato Lycopersicon esculentum plants to determine whether trade-offs between fitness on tomato and fitness on lima bean Phaseolus lunatus occur in this species. Two lines established from the tomato-adapted population and reared on lima bean showed significant declines in ability to survive on tomato after >10 generations on bean. The most likely explanation for this result is that tomato-adapted genotypes were selected against on bean. -from Author,122,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025682857,SCOPUS_ID:0025682857,2-s2.0-0025682857,On the evolution of reliable indicators of fitness,Michod R.,American Naturalist,00030147,135,6,788-808,1990-01-01,1990,10.1086/285074,"Studied the evolution of traits that have conflicting effects on 2 components of fitness in a population in which there are prior heritable viability differences. Examples of such traits may include the conspicuous male traits, or displays, that increase a male's mating success but decrease his viability. The authors consider the case of 2 viability classes controlled by a single haploid locus and a 2nd modifier locus, which modifies the expression of the trait in one or both of the viability classes. Variation at the viability-class locus is maintained by a balance between selection and a force, like mutation or migration, that restores the less fit class. As a result of the prior differences in viability and the effects of the trait, overall fitness in each viability class is maximized at different values (optima) of the trait. In the absence of modifiers that can differentially express the trait in the different viability classes, the evolutionarily stable value of the trait is a compromise between the optimum values for the 2 fitness classes. Modifiers that can act independently on the trait in the 2 viability classes allow the trait to take on its optimum values in the 2 viability classes. Since the optimum of the trait for the high-viability class is greater than that for the low-viability class, evolutionary modification should allow such traits to be used as reliable indicators of genetic fitness. -from Authors",31,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025673244,SCOPUS_ID:0025673244,2-s2.0-0025673244,Scale of investigation and the detection of competition: an example from the house sparrow and house finch introductions in North America,Bennett W.,American Naturalist,00030147,135,6,725-747,1990-01-01,1990,10.1086/285071,"Interference competition between the introduced Passer domesticus and native Carpodacus mexicanus observed at backyard nest boxes for 4 yr in the W USA may have resulted in habitat segregation on a larger scale along a rural-urban habitat gradient. Competition may be occurring in the E states since the introduction of C. mexicanus in 1940. Christmas Bird Count data were examined for patterns in species abundance predicted by competition theory, using 3 scales of investigation: local (area 250 km in diameter), and continental (between areas of sympatry and allopatry). Findings suggest that competition has not influenced patterns of changes in the abundances of the competitors on a local scale in urban and rural habitats in the E USA or on a regional scale in the E and W USA. On a continental scale, the presence of C. mexicanus may have accelerated widespread declines in the density of P. domesticus in areas of sympatry, possibly because of the energetic demands of interference competition. The dissimilar behavior and foraging strategies of the competitors may permit coexistence in all habitats, such that the niche of P. domesticus is included in the niche of C. mexicanus. Differences in the perception of habitat by the competitors may preclude the development of habitat segregation along a rural-urban habitat gradient. -from Author",40,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025671731,SCOPUS_ID:0025671731,2-s2.0-0025671731,"Survivorship, life history, and concealment: a comparison of leaf miners and gall formers",Cornell H.,American Naturalist,00030147,136,5,581-597,1990-01-01,1990,10.1086/285117,"Final mortalities did not differ between the 2 guilds, but mortality of leaf miners was lower before the mid-larval stage, producing Type I and/or Type II survivorship. Gall formers approached Type III survivorship. Other life-history traits co-varied with survivorship pattern in the expected manner, except for generation time, which was longer for gall formers, attributed to constraints arising from the substrate requirements for gall formation and likely contributes to the similar final mortalities in the 2 guilds. -from Author",25,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025670848,SCOPUS_ID:0025670848,2-s2.0-0025670848,Brood reduction and optimal parental investment when offspring differ in quality,Haig D.,American Naturalist,00030147,136,4,550-556,1990-01-01,1990,10.1086/285113,"Temme (1986; see 88L/0510) argued that equal investment does not maximize parental fitness if offspring differ in quality. Rather, the parent should invest different amounts in offspring of different quality, such that the marginal return from additional investment would be the same for all offspring. This note extends Temme's argument by deriving the optimal parental investment for different relative frequencies of offspring types. The author also considers when it is in a parent's interests to abort rather than provision offspring of lower quality. Parental resources are optimally distributed when 1) the marginal return from each provisioned offspring equals the average return from all offspring, and 2) offspring whose quality falls below some threshold are aborted and yield no return on their cost. -from Author",75,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,8,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025670828,SCOPUS_ID:0025670828,2-s2.0-0025670828,Polygyny in marsh wrens: asynchronous settlement as an alternative to the polygyny-threshold model,Leonard M.,American Naturalist,00030147,136,4,446-458,1990-01-01,1990,10.1086/285106,"Five predictions of the polygyny threshold model (PTM) were tested for a population of Cistothorus palustris. Contrary to the predictions of the PTM, male and territory quality were not correlated with male pairing success, male pairing success was not correlated with female settlement order, and the success of secondary females was not correlated with the order in which they settled. However, the order of settlement of 1st and 2nd females was correlated, and the reproductive success of monogamous females and that of secondary females settling at the same time were equivalent. These latter results are consistent with the PTM, but they are also consistent with an alternative model based on the asynchronous settlement of harem females. Settlement of female marsh wrens in the same territory is asynchronous. In addition, nestling weight at 8 days correlates positively with the number of days between females. Staggered settlement reduces the overlap in nestling stages and presumably reduces competition for male help and food in the territory. Females could, therefore, reduce the costs of polygyny by staggering their settlement. -Author",28,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025670824,SCOPUS_ID:0025670824,2-s2.0-0025670824,The role of recruitment in the dynamics of a Sierran subalpine bird community,Desante D.,American Naturalist,00030147,136,4,429-445,1990-01-01,1990,10.1086/285105,"The species richness and number of territories of all species combined in a l-km2 Sierran subalpine study area fluctuated dramatically over 7 summers, and were highly correlated with the timing of snowmelt. Over the same period, productivity (number of young fledged per breeding territory) remained relatively constant, with dominant species tending to show higher and more constant productivity than did rare species. No significant correlations were found, at least for dominant species, between productivity and either the total number of breeding territories or species richness, suggesting that productivity did not strongly depend on either the potential intraspecific or interspecific competitive regime. Data collected annually on the return rates of 96 breeding adult birds banded in 1979 failed to detect changes in their winter survival rates. These patterns suggest that the recruitment of new breeders, particularly young, is a major factor controlling the population dynamics of subalpine birds and that natal and breeding dispersal may involve an altitudinal component dependent upon environmental conditions at the start of the breeding season. -Author",20,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,10,NA,NA
