@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,prism:eIssn,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0027871734,SCOPUS_ID:0027871734,2-s2.0-0027871734,Fish cohort dynamics: Application of complementary modeling approaches,De Angelis D.,American Naturalist,00030147,142,4,604-622,1993-12-01,1993,10.1086/285560,77,Journal,ar,Article,100,5,5,12604,undefined,0,FALSE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333307,SCOPUS_ID:0027333307,2-s2.0-0027333307,Hatching asynchrony and feeding rates in yellow warblers: A test of the sexual conflict hypothesis,Hebert P.N.,American Naturalist,00030147,142,5,881-892,1993-12-01,1993,10.1086/285578,10,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,NA,NA,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333306,SCOPUS_ID:0027333306,2-s2.0-0027333306,Comparative study of adaptive radiations with an example using parasitic flatworms (Platyhelminthes: Cercomeria),Brooks D.R.,American Naturalist,00030147,142,5,755-778,1993-12-01,1993,10.1086/285571,49,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333304,SCOPUS_ID:0027333304,2-s2.0-0027333304,Diversification of carnivorous parasitic insects: Extraordinary radiation or specialized dead end?,Wiegmann B.,American Naturalist,00030147,142,5,737-754,1993-12-01,1993,10.1086/285570,86,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,NA,NA,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333303,SCOPUS_ID:0027333303,2-s2.0-0027333303,Clutch size and mating frequency in parasitic Hymenoptera,Ridley M.,American Naturalist,00030147,142,5,893-910,1993-12-01,1993,10.1086/285579,109,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333302,SCOPUS_ID:0027333302,2-s2.0-0027333302,The sizes of vertebrate-dispersed fruits: A neotropical-paleotropical comparison,Mack A.,American Naturalist,00030147,142,5,840-856,1993-12-01,1993,10.1086/285575,69,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333301,SCOPUS_ID:0027333301,2-s2.0-0027333301,"Prey size, social competition, and the development of reproductive division of labor in social spider groups",Rypstra A.,American Naturalist,00030147,142,5,868-880,1993-12-01,1993,10.1086/285577,72,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333299,SCOPUS_ID:0027333299,2-s2.0-0027333299,Are diffusion models too simple? A comparison with telegraph models of invasion,Holmes E.E.,American Naturalist,00030147,142,5,779-795,1993-12-01,1993,10.1086/285572,149,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333298,SCOPUS_ID:0027333298,2-s2.0-0027333298,Foraging rules for nectar: Food choices by painted ladies,Hainsworth F.,American Naturalist,00030147,142,5,857-867,1993-12-01,1993,10.1086/285576,13,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,NA,NA,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027333297,SCOPUS_ID:0027333297,2-s2.0-0027333297,Modeling the population dynamics of a cuckoo-host association and the evolution of host defenses,Takasu F.,American Naturalist,00030147,142,5,819-839,1993-12-01,1993,10.1086/285574,84,Journal,ar,Article,100,5,5,12604,undefined,0,FALSE,NA,NA,10,NA,NA
