@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0028321230,SCOPUS_ID:0028321230,2-s2.0-0028321230,Accumulation of deleterious mutations and the evolutionary cost of being a generalist,Kawecki T.,American Naturalist,00030147,144,5,833-838,1994-12-01,1994,10.1086/285709,130,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312351,SCOPUS_ID:0028312351,2-s2.0-0028312351,The genetics of adaptation: Lessons from mimicry,Charlesworth B.,American Naturalist,00030147,144,5,839-847,1994-12-01,1994,10.1086/285710,19,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028312333,SCOPUS_ID:0028312333,2-s2.0-0028312333,Dioecy and gametophytic self-incompatibility: Reproductive efficiency revisited,Karoly K.,American Naturalist,00030147,144,4,677-687,1994-12-01,1994,10.1086/285700,2,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028254194,SCOPUS_ID:0028254194,2-s2.0-0028254194,Nonlinear dynamics and population disappearances,McCann K.,American Naturalist,00030147,144,5,873-879,1994-12-01,1994,10.1086/285714,89,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028252842,SCOPUS_ID:0028252842,2-s2.0-0028252842,On the coexistence of specialists and generalists,Wilson D.S.,American Naturalist,00030147,144,4,692-707,1994-12-01,1994,10.1086/285702,258,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028250997,SCOPUS_ID:0028250997,2-s2.0-0028250997,Temporal variability in lizard numbers: What is the appropriate kind of study population?,Schoener T.,American Naturalist,00030147,144,5,868-872,1994-12-01,1994,10.1086/285713,4,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028250963,SCOPUS_ID:0028250963,2-s2.0-0028250963,"Nothing transferred, nothing gained: Dioecy and gametophytic self-incompatibility continued",Anderson G.,American Naturalist,00030147,144,4,688-691,1994-12-01,1994,10.1086/285701,3,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028247801,SCOPUS_ID:0028247801,2-s2.0-0028247801,The evolution of phenotypic life-history trade-offs: An experimental study using Drosophila melanogaster,Leroi A.,American Naturalist,00030147,144,4,661-676,1994-12-01,1994,10.1086/285699,44,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028191028,SCOPUS_ID:0028191028,2-s2.0-0028191028,Constraints on reproduction by flying vertebrates: Energy and calcium,Barclay R.,American Naturalist,00030147,144,6,1021-1031,1994-12-01,1994,10.1086/285723,133,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189099,SCOPUS_ID:0028189099,2-s2.0-0028189099,Sexual selection and the mismeasure of color,Bennett A.,American Naturalist,00030147,144,5,848-860,1994-12-01,1994,10.1086/285711,338,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,10,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028188864,SCOPUS_ID:0028188864,2-s2.0-0028188864,Fluctuating asymmetry and variation in the size of courtship food gifts in decorated crickets,Eggert A.,American Naturalist,00030147,144,4,708-716,1994-12-01,1994,10.1086/285703,43,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,11,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028188528,SCOPUS_ID:0028188528,2-s2.0-0028188528,"Energy budgets and reproductive allocation in the simultaneous hermaphrodite pond snail, Lymnaea stagnalis (L.): A trade-off between male and female function",De Visser J.,American Naturalist,00030147,144,5,861-867,1994-12-01,1994,10.1086/285712,70,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,12,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165498,SCOPUS_ID:0028165498,2-s2.0-0028165498,The effect of a change in foraging options on intake rate and predation rate,McNamara J.,American Naturalist,00030147,144,6,978-1000,1994-12-01,1994,10.1086/285721,128,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,13,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165490,SCOPUS_ID:0028165490,2-s2.0-0028165490,Scale-dependent constraints on food-web structure,Martinez N.,American Naturalist,00030147,144,6,935-953,1994-12-01,1994,10.1086/285719,93,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,14,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165488,SCOPUS_ID:0028165488,2-s2.0-0028165488,Competition and coexistence: The effects of resource transport and supply rates,Huston M.,American Naturalist,00030147,144,6,954-977,1994-12-01,1994,10.1086/285720,327,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,15,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165311,SCOPUS_ID:0028165311,2-s2.0-0028165311,Constraints on the evolution of attractive traits: Selection in male and female zebra finches,Price D.,American Naturalist,00030147,144,6,908-934,1994-12-01,1994,10.1086/285718,74,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,16,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165283,SCOPUS_ID:0028165283,2-s2.0-0028165283,The evolution of plumage dichromatism in the New World blackbirds: Social selection on female brightness?,Irwin R.E.,American Naturalist,00030147,144,6,890-907,1994-12-01,1994,10.1086/285717,120,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,17,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165281,SCOPUS_ID:0028165281,2-s2.0-0028165281,Does lekking promote the evolution of male-biased size dimorphism in birds? On the use of comparative approaches,Hoglund J.,American Naturalist,00030147,144,6,881-889,1994-12-01,1994,10.1086/285716,26,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,18,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028164977,SCOPUS_ID:0028164977,2-s2.0-0028164977,Unstable evolutionarily stable strategy and oscillation: A model of lateral asymmetry in scale-eating cichlids,Takahashi S.,American Naturalist,00030147,144,6,1001-1020,1994-12-01,1994,10.1086/285722,41,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,19,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028164244,SCOPUS_ID:0028164244,2-s2.0-0028164244,Defended fortresses or moving targets? Another model of inducible defenses inspired by military metaphors,Adler F.,American Naturalist,00030147,144,5,813-832,1994-12-01,1994,10.1086/285708,133,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,20,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163952,SCOPUS_ID:0028163952,2-s2.0-0028163952,Simple rules for interspecific dominance in systems with exploitative and apparent competition,Holt R.,American Naturalist,00030147,144,5,741-771,1994-12-01,1994,10.1086/285705,471,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,21,NA,NA,NA
