@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0031793710,SCOPUS_ID:0031793710,2-s2.0-0031793710,Secondary metabolites in fleshy fruits: Are adaptive explanations needed?,Eriksson O.,American Naturalist,00030147,152,6,905-907,1998-12-09,1998,10.1086/286217,36,Journal,ar,Article,100,2,2,Coevolution | Endozoochory | Frugivory | Seed dispersal,12604,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031793708,SCOPUS_ID:0031793708,2-s2.0-0031793708,"Leaf size, sapling allometry, and Corner's rules: Phylogeny and correlated evolution in maples (Acer)",Ackerly D.,American Naturalist,00030147,152,6,767-791,1998-12-09,1998,10.1086/286208,282,Journal,ar,Article,100,2,2,Canopy architecture | Convergent evolution | Independent contrasts | Internal transcribed spacer | Randomization methods | Tree life history,12604,undefined,0,FALSE,2,"We studied the evolution of leaf size, sapling canopy allometry, and related traits in 17 Acer species growing in the understory of temperate deciduous forests, using parsimony methods, randomization tests, and independent contrasts calculated on a phylogeny inferred from nuclear ribosomal internal transcribed spacer (ITS) sequences. Bivariate correlations and multivariate analyses indicated two independent suites of coevolving traits, and the results were robust over a range of alternative phylogenies. The first suite consisted of strong positive correlations among twig thickness, leaf size, inflorescence length, and branch spacing (Corner's rules). Seed size and mature height were also weakly correlated with these traits. The second suite reflected aspects of sapling crown allometry, including crown size, stem diameter, and total leaf area, which appear to be related to shade tolerance. There was a weak negative correlation between sapling crown size and mature height, but no correlation with leaf or seed size. Most correlations were similar in magnitude for ahistorical and independent contrasts analyses, and discrepancies between these two measures were greater in traits with lower levels of convergent evolution. The evolutionary correlations among twig, leaf, seed, inflorescence, and canopy dimensions emphasize the need for integrated theories of evolution and function of these disparate traits.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031773904,SCOPUS_ID:0031773904,2-s2.0-0031773904,Reconciling classical and individual-based approaches in theoretical population ecology: A protocol for extracting population parameters from individual-based models,Fahse L.,American Naturalist,00030147,152,6,838-852,1998-12-09,1998,10.1086/286212,77,Journal,ar,Article,100,3,3,Growth rate | Individual-based model | Logistic equation | Nomadic birds | Self-organization | Timescales,12604,undefined,0,FALSE,3,"The two main approaches in theoretical population ecology - the classical approach using differential equations and the approach using individual-based modeling - seem to be incompatible. Linked to these two approaches are two different timescales: population dynamics and behavior or physiology. Thus, the question of the relationship between classical and individual-based approaches is related to the question of the mutual relationship between processes on the population and the behavioral timescales. We present a simple protocol that allows the two different approaches to be reconciled by making explicit use of the fact that processes operating on two different timescales can be treated separately. Using an individual-based model of nomadic birds as an example, we extract the population growth rate by deactivating all demographic processes - in other words, the individuals behave but do not age, die, or reproduce. The growth rate closely matches the logistic growth rate for a wide range of parameters. The implications of this result and the conditions for applying the protocol to other individual-based models are discussed. Since in physics the technique of separating timescales is linked to some concepts of self-organization, we believe that the protocol will also help to develop concepts of self-organization in ecology.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031772798,SCOPUS_ID:0031772798,2-s2.0-0031772798,The regulation of phenotypic plasticity of eyespots in the butterfly Bicyclus anynana,Brakefield P.,American Naturalist,00030147,152,6,853-860,1998-12-09,1998,10.1086/286213,91,Journal,ar,Article,100,3,3,Butterfly | Ecdysteroids | Eyespot patterns | Hormones | Phenotypic plasticity | Selected lines,12604,undefined,0,FALSE,4,"We use an outcrossed stock and selected liens of Bicyclus anynana in combination with measurements and manipulations of ecdysteroid hormones in early pupae to examine the regulation of eyespot size in adult butterflies. The eyespots on the ventral wing surfaces express adaptive phenotypic plasticity in response to the dry-wet seasonal environments of the butterflies. Larvae reared at low or high temperatures produce adults with small or large ventral eyespots, respectively. Our experiments examine the role of ecdysteroids in mediating this phenotypic plasticity. Higher titers of ecdysteroids shortly after pupation yield larger ventral wing eyespots. There is an uncoupling of the ventral eyespots and those on the dorsal forewing. The latter do not show phenotypic plasticity. They show very little response to rearing temperature, and variation in their size is not associated with differences in the dynamics of ecdysteroids in early pupae. A testable hypothesis in terms of the distribution of hormone receptors in the developmental 'organizers' or foci of the eyespots is proposed to account for how some eyespots express plasticity while others do not.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031772077,SCOPUS_ID:0031772077,2-s2.0-0031772077,Effects of disturbance on species diversity: A multitrophic perspective,Wootton J.,American Naturalist,00030147,152,6,803-825,1998-12-09,1998,10.1086/286210,144,Journal,ar,Article,100,1,1,Competition | Food webs | Nonequilibrium | Spatial structure | Species coexistence | Stress,12604,undefined,0,FALSE,5,"Models of the effects of disturbance on ecological communities have largely considered communities of competing species at a single trophic level. In contrast, most real communities have multiple interacting trophic levels. I explored several versions of simple single- and multitrophic models to determine whether predictions of the intermediate disturbance hypothesis (IDH), derived from considering only a single trophic level, apply to multitrophic situations. The IDH was predicted by models of competing species at a single trophic level but did not hold in many situations with more natural trophic structure. In general, basal species in a food web tended to follow the IDH, whereas competitors at top trophic levels did not. Additional analyses indicated that outside immigration interacted with trophic structure to produce widely differing predictions about the consequences of disturbance and that density-dependent disturbance events could recapture the IDH in some multiple trophic level situations. Model predictions matched the results of empirical studies to date: the IDH has generally been supported for species competing for nondynamic basal resources but not for mobile aquatic invertebrates at higher trophic levels. The model analysis also verified basic predictions of verbal models addressing the effects of physical stress. Three different aspects of disturbance and their contributions to species coexistence were identified: changes in average mortality rates, changes in temporal variability, and changes in spatial heterogeneity. The results indicate that the IDH should be applied with caution to real multitrophic communities.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031742854,SCOPUS_ID:0031742854,2-s2.0-0031742854,Levels of mate recognition within and between two Drosophila species and their hybrids,Blows M.W.,American Naturalist,00030147,152,6,826-837,1998-12-09,1998,10.1086/286211,157,Journal,ar,Article,100,2,2,Cuticular hydrocarbons | Drosophila birchii | Drosophila serrata | Hybrids | Mate choice | Sexual isolation,12604,undefined,0,FALSE,6,"If sexual selection is to result in speciation, traits involved in mate choice within species need to be capable of producing sexual isolation between species. We investigated the association between mate choice and sexual isolation using interspecific hybrids between two sibling species, Drosophila serrata and Drosophila birchii. A perfuming experiment demonstrated that olfaction was involved in the sexual isolation between the two species. A quantitative genetic analysis using 30 populations of hybrids between the two species indicated that mating success in hybrid individuals was predominately determined by cuticular hydrocarbons; the average genetic correlation between mating success and cuticular hydrocarbon profile was 0.84, and in some instances exceeded 0.95. Multivariate analysis of the cuticular hydrocarbons of the two species revealed that there were three independent blends of cuticular hydrocarbons that separated three levels of organization: species, sex, and sex within species. The hydrocarbons used by hybrids in mate choice included those that separated the two species, demonstrating that species-specific characters may be used in mate choice within populations. The interspecific reciprocal cross had a major effect on which cuticular hydrocarbons were associated with mating success, indicating that the expression of the cuticular hydrocarbons was strongly sex linked.",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0031742770,SCOPUS_ID:0031742770,2-s2.0-0031742770,Local movement and edge effects on competition and coexistence in ephemeral-patch models,Remer L.,American Naturalist,00030147,152,6,896-904,1998-12-09,1998,10.1086/286216,18,Journal,ar,Article,100,2,2,Clutch size | Coexistence | Competition | Edge effect | Movement | Oviposition,12604,undefined,0,FALSE,7,"For insects exploiting spatially structured arrays of resource patches (host plants, fungi, carrion, etc.), the distribution of individuals among patches can have important consequences for the coexistence of competitors. In general, intraspecific aggregation of consumer individuals over the landscape of patches stabilizes competition. Oviposition behavior of individual females can generate aggregation of larvae across patches and, therefore, strongly influences the outcome of competition between co-occurring species. We used simulation models to evaluate the consequences (for the coexistence of competitors) of different movement behaviors by females before and between oviposition events. Coexistence times increase when females are more likely to travel among neighboring patches than among distant ones. Coexistence times are also longer when females begin egg laying near the site of their emergence. Preoviposition dispersal is, therefore, destabilizing. We also considered responses by females to edges of resource arrays. Edge effects are generally stabilizing, delaying competitive exclusion by increasing larval aggregation, but different responses to edges have dramatically different effects on coexistence. The longest coexistence times occur when edges are 'sticky,' such that females encountering an edge tend to remain there.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031741969,SCOPUS_ID:0031741969,2-s2.0-0031741969,A model of particle capture by bryozoans in turbulent flow: Significance of colony form,Eckman J.,American Naturalist,00030147,152,6,861-880,1998-12-09,1998,10.1086/286214,28,Journal,ar,Article,100,2,2,Bryozoan | Colony | Particle capture | Suspension feeding | Turbulence,12604,undefined,0,FALSE,8,"A hydrodynamic model was developed to examine particle capture by lophophores of encrusting bryozoans. Particle capture rate is predicted to increase with increasing speed of the feeding current. There should be a large feeding advantage when lophophores are tightly packed and excurrents are vented through chimneys. This prediction contradicts conclusions of an earlier model study and suggests that selection for colony integration has a basis in the acquisition of food. If lophophores are not tightly packed, particle-capture patterns depend on two key ratios: the advection ratio (feeding current velocity to shear velocity) and the separation ratio (lophophore spacing to lophophore diameter). At high separation ratios, particle capture rates should be fairly uniform among zooids. At high advection ratios, lophophores located near the upstream colony edge should experience higher rates of particle capture. Rates of particle capture in turbulent flows should greatly exceed those in laminar flows (of identical speed) when excurrent waters are locally remixed into the flow above lophophores. However, when lophophores are tightly packed and excurrents are vented through chimneys, feeding rates should be identical in turbulent and laminar flows. Thus, colonies that vent excurrents through chimneys' may be uniquely able to exploit weak laminar flows.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031792569,SCOPUS_ID:0031792569,2-s2.0-0031792569,Origin of chromosomes in response to mutation pressure,Santos M.,American Naturalist,00030147,152,5,751-756,1998-11-05,1998,10.1086/286205,5,Journal,no,Note,100,1,1,Binary fission | Chromosome segregation | Gene segregation | Mutation-selection balance | Stochastic corrector model,12604,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031764250,SCOPUS_ID:0031764250,2-s2.0-0031764250,On the evolution of premating isolation after a founder event,Gavrilets S.,American Naturalist,00030147,152,5,706-716,1998-11-05,1998,10.1086/286201,75,Journal,ar,Article,100,2,2,Mathematical models | Premating isolation | Reproductive isolation | Speciation,12604,undefined,0,FALSE,10,We present a new simple model for the evolution of premating reproductive isolation. Using this model we first analyze the level of genetic variability maintained by mutation in a large stable population. Then we consider the plausibility of the evolution of strong premating reproductive isolation after a founder event. We demonstrate that after a founder event a new adaptive combination of genes may rise to high frequencies in the presence of an old combination of genes. We compare the probabilities of speciation after a founder event with those in a stable population and with those when reproductive isolation is due to viability selection against hybrids. We argue that premating reproductive isolation is more efficient than postmating reproductive isolation in maintaining the integrity of sympatric species. This might have contributed to the pattern of stronger premating isolation than postmating isolation between closely related pairs of sympatric species.,NA,NA
