@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0034537848,SCOPUS_ID:0034537848,2-s2.0-0034537848,Sex allocation and reproductive success in the andromonoecious perennial Solanum carolinense (Solanaceae). II. Paternity and functional gender,Elle E.,American Naturalist,00030147,156,6,622-636,2000-12-01,2000,10.1086/316997,"According to Bateman's principle, male fitness in entomophilous plant species should be limited by mating opportunity, which is influenced by the size or number of flowers. We determined male-specific fitness consequences of floral phenotype in andromonoecious Solanum carolinense, examined the relationship between male and female reproductive success within plants, and evaluated the distribution of functional gender among plants. A maximum likelihood-based paternity analysis, based on multilocus allozyme phenotypes of parents and offspring from four experimental plots, was used to determine male reproductive success and its relationship to floral phenotype. Male success was enhanced by an increase in the proportion of male flowers produced but not by an increase in total flower number, even though all flowers contain male parts. Larger flower size increased male success in only one plot. Male and female reproductive success were negatively correlated, and plants varied in functional gender from completely female to completely male. This gender specialization may occur because hermaphroditic and male flowers differ in their ability to contribute to male and female success. Although sex allocation theory predicts a positive relationship between the size or number of plant parts and reproductive success, this study indicates that aspects of floral morphology that affect gender specialization should also be considered.",75,Journal,ar,Article,100,2,2,Andromonoecy | Bateman's principle | Functional gender | Paternity analysis | Sex allocation | Solanum carolinense,12604,undefined,0,FALSE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/0034537016,SCOPUS_ID:0034537016,2-s2.0-0034537016,Specialized feeding behavior influences both ecological specialization and assortative mating in sympatric host races of pea aphids,Caillaud M.,American Naturalist,00030147,156,6,606-621,2000-12-01,2000,10.1086/316991,"Not only is ecological specialization a defining feature of much of Earth's biological diversity, the evolution of specialization may also play a central role in generating diversity by facilitating speciation. To understand how ecological specialization evolves, we must know the particular characters that cause organisms to be specialized. For example, most theories of specialization in herbivorous insects emphasize physiological trade-offs in response to toxic plant chemicals. However, even in herbivores, it is likely that other characters are also involved in resource specialization. Knowing the causes of ecological specialization is also crucial for linking specialization to speciation. When the same character(s) that cause specialization also influence assortative mating, speciation may occur particularly rapidly because specialization and reproductive isolation become coupled in a positive feedback that speeds the evolution of both. Indeed, a central hypothesis in the study of ecological speciation is that specialization in recently diverged taxa may often be due to characters that also produce assortative mating. We test this hypothesis by evaluating the causes of ecological specialization among host-associated populations of an herbivorous insect, the pea aphid (Acyrthosiphon pisum). These populations are highly specialized on different host plants (alfalfa or clover; ""alternate hosts""), and the races are partially reproductively isolated. Here, we identify key characters responsible for host plant specialization. Our results suggest that the major proximal determinant of host specialization is the behavioral acceptance of a plant rather than the toxicity of the food source. Pea aphids rapidly assess alfalfa and clover and reject the alternate host based on chemical cues that are perceived before the initiation of feeding. This rapid behavioral rejection of the alternate host by a given race has two consequences. First, unrestrained aphids quickly leave the alternate host and search for other plants. Because pea aphids mate on their host plants, divergence in host acceptance among ecologically specialized races leads to congregation on the favored host. This results in de facto assortative mating when sexual forms are produced in late summer. Second, specialized aphids that are held on the alternate host will not feed in a 7.2-h trial, even in the face of starvation. Thus, a complex trait, behavioral acceptance of a plant as host, influences both reproductive isolation (through host-associated assortative mating) and ecological specialization (because of low nutritional uptake on the alternate host). This dual influence of feeding behavior on both assortative mating and resource specialization is central to the maintenance of these divergent races, and it may also have been involved in their origin.",185,Journal,ar,Article,100,2,2,Ecological speciation | Host races | Insect-plant interactions | Local adaptation | Sympatric speciation | Trade-offs,12604,undefined,0,FALSE,NA,NA,2
true,https://api.elsevier.com/content/abstract/scopus_id/0034535866,SCOPUS_ID:0034535866,2-s2.0-0034535866,Legume sanctions and the evolution of symbiotic cooperation by rhizobia,Denison R.,American Naturalist,00030147,156,6,567-576,2000-12-01,2000,10.1086/316994,"The legume-rhizobium symbiosis is an ideal model for studying the factors that limit the evolution of microbial mutualists into parasites. Legumes are unable to consistently recognize parasitic rhizobia that, once established inside plant cells, use plant resources for their own reproduction rather than for N2 fixation. Evolution of parasitism in rhizobia, driven partly by competition among multiple rhizobial strains infecting the same plant, may be countered by post-infection legume sanctions. Both the biochemical options for rhizobial cheating and the evolutionary effect of legume sanctions depend on differences in rhizobial life history associated with nodule type. In legumes with determinate nodule growth, rhizobia typically retain the ability to reproduce after differentiating into N2-fixing bacteroids. Sanctions against individual bacteroids (e.g., acid hydrolases) would therefore select for cooperative rhizobia. In nodules with indeterminate growth, bacteroids generally lose the ability to reproduce, so legume sanctions against bacteroids would have no effect on rhizobial evolution. Whole-nodule sanctions (e.g., decreased nodule O2 permeability) could be effective, via kin selection of undifferentiated rhizobia that persist in indeterminate nodules and replenish soil populations after nodule senescence. Mixed nodules could reduce the effectiveness of whole-nodule sanctions. The frequency of mixed nodules under field conditions is unknown.",243,Journal,ar,Article,100,1,1,Kin selection | Mutualism | Nodule O  permeability 2 | Plant strategies | Symbiosis,12604,undefined,0,FALSE,NA,NA,3
true,https://api.elsevier.com/content/abstract/scopus_id/0034534890,SCOPUS_ID:0034534890,2-s2.0-0034534890,Begging and parental care in relation to offspring need and condition in the barn swallow (Hirundo rustica),Saino N.,American Naturalist,00030147,156,6,637-649,2000-12-01,2000,10.1086/316996,"Parents are selected to maximize their fitness by allocating care among their progeny in relation to the differential reproductive value of offspring. Nestlings have been hypothesized to signal need for parental care reliably through their begging behavior, but offspring condition as reflected by their reproductive value may likewise affect begging and hence provisioning. We assessed the relative importance of need and condition in determining begging behavior and feeding rate of nestling barn swallows (Hirundo rustica) through short-term starvation, a challenge to their immune system with a foreign antigen negatively affecting condition, and brood size manipulation. Food deprivation but not condition or brood size manipulation increased nestling begging rate. Parents fed offspring depending on both need and condition but only when feeding broods that were reduced or of normal size. In enlarged broods, offspring received less food per capita than in reduced broods, and parents did not discriminate among nestlings relative to their need or condition. Thus, nestlings signal their need by increased solicitation. Parents allocate food to offspring dependent on both need and condition, with these effects depending on parental workload as determined by experimental brood size.",75,Journal,ar,Article,100,6,6,Begging | Health status | Hirundo rustica | Parental care | Signaling | Starvation,12604,undefined,0,FALSE,NA,NA,4
true,https://api.elsevier.com/content/abstract/scopus_id/0034533507,SCOPUS_ID:0034533507,2-s2.0-0034533507,Measuring and using skew in the study of social behavior and evolution,Nonacs P.,American Naturalist,00030147,156,6,577-589,2000-12-01,2000,10.1086/316995,"Unequal distribution of benefits from cooperation is a fundamental feature of social behavior, and many quantitative measures of this skew have been proposed. Overall group size and productivity affect each of the measures somewhat differently depending on their formulation. Some of the differences are due to whether the index is intended to measure skew relative to a random distribution or relative to the maximum possible skew. Sampling errors, however, will tend to make smaller and less productive groups seem more skewed than they actually are. Differential survival or residence times of group members add a second factor that can result in skew independent of behavioral mechanisms. Thus, significant biases can result in indices that do not account for random processes or differential survival within groups. Seven published skew indices plus a new index (B) that combines observed variance with the expected binomial variance were tested across simulations that compared groups varying in resource distribution probabilities, size, or productivity. Only the B index always avoided error through correctly adjusting for group size, productivity, and differential residence times. Thus, the B index has the best potential to be a benchmark value that can be used for identifying evolutionary patterns in social behavior, both across and especially within species. Although skew indices have been applied mostly to shared reproduction, the B index is suitable to any situation where group members divide benefits. Skew indices potentially can identify and test evolutionary scenarios across a wide range of behavioral interactions, such as dominance hierarchies, information exchange, and parental care.",154,Journal,ar,Article,100,1,1,Cooperative breeding | Group behavior | Reproductive skew | Skew index | Social behavior,12604,undefined,0,FALSE,NA,NA,5
true,https://api.elsevier.com/content/abstract/scopus_id/0034530205,SCOPUS_ID:0034530205,2-s2.0-0034530205,Egg load evolution in parasitoids,Ellers J.,American Naturalist,00030147,156,6,650-665,2000-12-01,2000,10.1086/316990,"Parasitic wasps lay their eggs in or on other insects. Allocation of resources to reproduction (eggs) and survival (life span) should maximize reproductive success, but stochasticity in the number of hosts encountered precludes an exact match of allocation with reproductive opportunity. We study optimal egg loads using a general model for pro-ovigenic parasitoids (which only mature eggs before adult life) and a dynamic programming model for synovigenic parasitoids (which can mature additional eggs during adult life). We find that stochasticity has a major effect on optimal egg loads and that the patchy distribution of hosts is the major source of stochasticity in reproductive opportunities. In a stochastic world, the further ""relative habitat quality"" (expected number of oviposition opportunities gained by reducing reproductive investment by one egg) is below unity (as we argue it generally is), the more the optimal egg load exceeds the expected number of hosts. In unusually rich environments, however, stochasticity decreases optimal egg loads. Although synovigenic parasitoids can adjust to the conditions they encounter, they too have to invest for an uncertain future. Because they can replenish their egg supply throughout life, the incidence of egg limitation is even lower than in pro-ovigenic parasitoids.",131,Journal,ar,Article,100,3,3,Allocation trade-off | Egg limitation | Habitat stochasticity | Optimal fecundity | Patch aggregation | Reproductive investment,12604,undefined,0,FALSE,NA,NA,6
true,https://api.elsevier.com/content/abstract/scopus_id/0034529964,SCOPUS_ID:0034529964,2-s2.0-0034529964,The origin of interspecific genomic incompatibility via gene duplication,Lynch M.,American Naturalist,00030147,156,6,590-605,2000-12-01,2000,10.1086/316992,"One of the great unsolved mysteries of evolutionary biology concerns the genetic mechanisms underlying the origin of genomic incompatibilities between species. Two prevailing thoughts are that such incompatibilities often result from epistatically interacting genes that act as loss-of-function alleles in hybrid backgrounds or from chromosomal rearrangements that result in mis-segregation during meiosis in hybrids. However, it is unclear how genes that cause a radical breakdown in hybrids arise without reducing fitness within species, and numerous cases of speciation appear to be unassociated with obvious chromosomal rearrangements. Here we suggest that duplicate genes, and more generally any kind of genomic redundancies, provide a powerful substrate for the origin of genomic incompatibilities in isolated populations. The divergent resolution of genomic redundancies, such that one population loses function from one copy while the second population loses function from a second copy at a different chromosomal location, leads to chromosomal repatterning such that gametes produced by hybrid individuals can be completely lacking in functional genes for a duplicate pair. Under this model, incompatibility factors accumulate with essentially no loss of fitness within populations as postulated under the Bateson-Dobzhansky-Muller (BDM) model of speciation and despite the fact that they arise from degenerative mutations. However, unlike the situation often envisioned under the BDM model, no change in the mode of gene action in hybrid backgrounds need be invoked. The plausibility of this model derives from a number of recent observations, including the fact that most genomes harbor substantial numbers of gene duplicates whose turnover is common and ongoing process and the fact that many genes have complex regulatory regions that facilitate their divergent resolution in sister taxa.",246,Journal,ar,Article,100,2,2,Complementation | Gene duplication | Gene expression patterns | Genomic redundancy | Reproductive incompatibility | Speciation,12604,undefined,0,FALSE,NA,NA,7
true,https://api.elsevier.com/content/abstract/scopus_id/0034529018,SCOPUS_ID:0034529018,2-s2.0-0034529018,Erratum: Effects of disturbance on species diversity: A multitrophic perspective (American Naturalist (December 2000) 152 (803-825)),Wootton J.,American Naturalist,00030147,156,6,666,2000-12-01,2000,10.1086/316993,NA,0,Journal,er,Erratum,100,1,1,NA,12604,undefined,0,FALSE,NA,NA,8
true,https://api.elsevier.com/content/abstract/scopus_id/0033849277,SCOPUS_ID:0033849277,2-s2.0-0033849277,"On desert rodents, favored states, and unresolved issues: Scaling up and down regional assemblages and local communities",Stone L.,American Naturalist,00030147,156,3,322-328,2000-09-05,2000,10.1086/303384,NA,30,Journal,no,Note,100,3,3,NA,12604,undefined,0,FALSE,NA,NA,9
true,https://api.elsevier.com/content/abstract/scopus_id/0033849275,SCOPUS_ID:0033849275,2-s2.0-0033849275,Population numbers count: Tools for near-term demographic analysis,Fox G.,American Naturalist,00030147,156,3,242-256,2000-09-05,2000,10.1086/303387,"How do unit or proportional changes in vital rates affect populations in the short term? We present a new extension to standard methods of matrix model analysis that allows us to answer this question for the first time. By using the sensitivities of all the eigenvalues/vectors, rather than just the leading eigenvalue/vector pair, we can predict the consequences of unit or proportional changes in vital rates to population size and structure at any arbitrary time, not just when populations have neared their stable distribution. These extensions are particularly important in studying populations subject to frequent disturbance, where stable growth rate and stable distribution do not provide sufficient information about the effects of changes in the vital rates; managed populations in which short-term goals are defined; and the adequacy of the underlying matrix model for either short- or long-term understanding. We use analysis of empirical data on the cactus Coryphantha robbinsorum to demonstrate this approach and show that short-term predictions can differ substantially from those based on standard, asymptotic, analysis.",79,Journal,re,Review,100,2,2,Cactus | Conservation | Demography | Matrix models | Pest management | Transient dynamics,12604,undefined,0,FALSE,NA,NA,10
