@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,pubmed-id,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/19944428808,SCOPUS_ID:19944428808,2-s2.0-19944428808,Life-history variation predicts the effects of demographic stochasticity on avian population dynamics,Sæther B.E.,American Naturalist,00030147,164,6,793-802,2004-12-01,December 2004,10.1086/425371,"Comparative analyses of avian population fluctuations have shown large interspecific differences in population variability that have been difficult to relate to variation in general ecological characteristics. Here we show that interspecific variation in demographic stochasticity, caused by random variation among individuals in their fitness contributions, can be predicted from a knowledge of the species' position along a ""slow-fast"" gradient of life-history variation, ranging from high reproductive species with short life expectancy at one end to species that often produce a single offspring but survive well at the other end of the continuum. The demographic stochasticity decreased with adult survival rate, age at maturity, and generation time or the position of the species toward the slow end of the slow-fast life-history gradient. This relationship between life-history characteristics and demographic stochasticity was related to interspecific differences in the variation among females in recruitment as well as to differences in the individual variation in survival. Because reproductive decisions in birds are often subject to strong natural selection, our results provide strong evidence for adaptive modifications of reproductive investment through life-history evolution of the influence of stochastic variation on avian population dynamics.",110,Journal,ar,Article,100,26,26,Birds | Demographic stochasticity | Environmental stochasticity | Life-history variation | Stochastic population dynamics,12604,undefined,0,FALSE,all,All Open Access,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/12144279070,SCOPUS_ID:12144279070,2-s2.0-12144279070,Fast growth of immature brood in a social parasite wasp: A convergent evolution between avian and insect cuckoos,Cervo R.,American Naturalist,00030147,164,6,814-820,2004-12-01,December 2004,10.1086/425987,"Studies on avian cuckoos have demonstrated that parasite chicks compete with host fledglings to monopolize food or manipulate the foster parents to increase their provisioning rate. This topic has never been explicitly investigated in insect social parasites, which use the social system of another species to raise their brood. Here we show that the immature brood of the cuckoo wasp Polistes sulcifer grows more rapidly than the host immature brood. Host workers perform more parental care to parasite larvae than to conspecific ones. Thus, the rapid growth of the parasite larvae is evidently due to increased host care, which prolongs the development of host larvae reared in the same colony. We suggest that parasite larvae play an active role in host exploitation through manipulation of host workers, as occurs in parasitic birds.",26,Journal,ar,Article,100,4,4,Brood development | Evolution | Host manipulation | Host-parasite | Polistes wasps | Social parasites,12604,undefined,0,FALSE,NA,NA,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944274044,SCOPUS_ID:11944274044,2-s2.0-11944274044,Detection of fruit and the selection of primate visual pigments for color vision,Osorio D.,American Naturalist,00030147,164,6,696-708,2004-12-01,December 2004,10.1086/425332,"Primates have X chromosome genes for cone photopigments with sensitivity maxima from 535 to 562 nm. Old World monkeys and apes (catarrhines) and the New World (platyrrhine) genus Alouatta have separate genes for 535-nm (medium wavelength; M) and 562-nm (long wavelength; L) pigments. These pigments, together with a 425-nm (short wavelength) pigment, permit trichromatic color vision. Other platyrrhines and prosimians have a single X chromosome gene but often with alleles for two or three M/L photopigments. Consequently, heterozygote females are trichromats, but males and homozygote females are dichromats. The criteria that affect the evolution of M/L alleles and maintain genetic polymorphism remain a puzzle, but selection for finding food may be important. We compare different types of color vision for detecting more than 100 plant species consumed by tamarins (Saguinus spp.) in Peru. There is evidence that both frequency-dependent selection on homozygotes and heterozygote advantage favor M/L polymorphism and that trichromatic color vision is most advantageous in dim light. Also, whereas the 562-nm allele is present in all species, the occurrence of 535- to 556-nm alleles varies between species. This variation probably arises because trichromatic color vision favors widely separated pigments and equal frequencies of 535/543- and 562-nm alleles, whereas in dichromats, long-wavelength pigment alleles are fitter.",151,Journal,ar,Article,100,4,4,Balancing selection | Color vision | Evolution | Modeling | Primate,12604,undefined,0,FALSE,all,All Open Access,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944274043,SCOPUS_ID:11944274043,2-s2.0-11944274043,The relationship of phylogeny to community structure: The cactus yeast community,Anderson T.,American Naturalist,00030147,164,6,709-721,2004-12-01,December 2004,10.1086/425372,"Species abundances are important properties of ecological communities. Theoretical debate has arisen over whether communities are governed by assembly rules. Some ecologists have suggested that community organization depends on the phylogenetic relatedness of its interacting members. This postulate has not been adequately tested primarily because molecular phylogenies for entire communities are rare. We use the molecular phylogeny and species abundances from the well-studied yeasts that live in decaying cactus tissue (i.e., cactus yeast community) to demonstrate that community structure is indeed linked to genetic relatedness but that the relationship is different for the same yeasts found in hosts of two subfamilies of the Cactaceae. In the Opuntia cacti, the genetically related and unrelated yeasts have equivalent probability of being similar in abundance. Conversely, in the columnar cacti, the abundant yeast species tend to be genetically distant from one another, whereas the rare species tend to be closely related. The distinctive biochemical differences between the Opuntia and columnar cacti habitats suggest that conditions imposed by the environment modify the relationship between phylogenetic relatedness and species abundances in the cactus yeast community.",35,Journal,ar,Article,100,3,3,Assembly rules | Community ecology | Community structure | Phylogenetic distance | Phylogeny | Species abundance,12604,undefined,0,FALSE,NA,NA,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944270429,SCOPUS_ID:11944270429,2-s2.0-11944270429,Consequences of intraspecific competition and environmental variation for selection in the mustard Sinapsis arvensis: Contrasting ecological and evolutionary perspectives,Stanton M.,American Naturalist,00030147,164,6,736-752,2004-12-01,December 2004,10.1086/425331,"Alternative models of plant life-history evolution differ in their views of how abiotic stress and competition interact to shape the evolution of plant life-history traits. To address this debate, which crosses traditional boundaries between community ecology and population biology, we grew wild turnip families from three selection histories in a field experiment in which we manipulated conspecific density and sun exposure. Hot spring conditions caused neutral shading to reduce drought stress, resulting in a greater mean and variance for lifetime fertility at low density and greater intensity of competition at high density. The variance in relative fitness among individuals or families was least in partial shade at low density. Prior selection under shade stress in the greenhouse reduced lifetime fitness in the less stressful partial-shade treatment under field conditions. Patterns of selection and predicted trait evolution were more similar between high and low densities than between the two light environments. Partial shade favored the proliferation of large leaves early in development, especially at high density. Selection in the stressful full-sun treatment favored reduced pathogen susceptibility at both densities and early flowering at low density. Because direct selection on traits changed principally in magnitude rather than in direction, genetic correlations for fitness were generally positive between light and density treatments. Greater intraspecific competition led to more rapid predicted trait evolution in the partial-shade environment but not in the stressful full-sun treatment.",22,Journal,re,Review,100,3,3,Competition | Environmental stress | Opportunity for selection | Plant life-history evolution | Selection differential | Selection gradient,12604,undefined,0,FALSE,NA,NA,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944266912,SCOPUS_ID:11944266912,2-s2.0-11944266912,Erratum: The many growth rates and elasticities of populations in random environments (American Naturalist 162 (489-502)),Tuljapurkar S.,American Naturalist,00030147,164,6,821-823,2004-12-01,December 2004,10.1086/426484,NA,2,Journal,er,Erratum,100,3,3,NA,12604,undefined,0,FALSE,NA,NA,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944265037,SCOPUS_ID:11944265037,2-s2.0-11944265037,Size and the not-so-single sex: Disentangling the effects of size and budget on sex allocation in hermaphrodites,Cadet C.,American Naturalist,00030147,164,6,779-792,2004-12-01,December 2004,10.1086/425624,"Sex allocation theory explains how size-related variations in male and female fitness may favor the evolution of size-dependent sex allocation in hermaphrodites. Although empirical studies show that sex allocation changes gradually with size in many species, theoretical studies tend to predict an abrupt sex reversal from one sex to the other, that is, single-sexed sequential hermaphrodites. We show that this discrepancy between data and theory collapses if one takes into account that size affects male and female fitness through distinct routes. Using the classification of budget (larger individuals spend a greater budget on reproduction) and direct (e.g., larger plants are taller and may disperse pollen more efficiently) effects of size suggested by Klinkhamer et al., we propose a simple general framework appropriately incorporating these two categories of size effects in male and female fitness expressions. Analytical and numerical results show that a gradual sex change is evolutionarily stable for a large set of parameter values. Sex reversal is selected only in the absence of budget effects of size. We provide further predictions on size-dependent sex allocation and assess the relative importance of budget and direct effect for creating different patterns.",36,Journal,ar,Article,100,3,3,Sequential hermaphroditism | Sex allocation | Sex change | Simultaneous hermaphroditism | Size,12604,undefined,0,FALSE,all,All Open Access,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944264347,SCOPUS_ID:11944264347,2-s2.0-11944264347,Phylogenetic comparative analysis: A modeling approach for adaptive evolution,Butler M.,American Naturalist,00030147,164,6,683-695,2004-12-01,December 2004,10.1086/426002,"Biologists employ phylogenetic comparative methods to study adaptive evolution. However, none of the popular methods model selection directly. We explain and develop a method based on the Ornstein-Uhlenbeck (OU) process, first proposed by Hansen. Ornstein-Uhlenbeck models incorporate both selection and drift and are thus qualitatively different from, and more general than, pure drift models based on Brownian motion. Most importantly, OU models possess selective optima that formalize the notion of adaptive zone. In this article, we develop the method for one quantitative character, discuss interpretations of its parameters, and provide code implementing the method. Our approach allows us to translate hypotheses regarding adaptation in different selective regimes into explicit models, to test the models against data using maximum-likelihood- based model selection techniques, and to infer details of the evolutionary process. We illustrate the method using two worked examples. Relative to existing approaches, the direct modeling approach we demonstrate allows one to explore more detailed hypotheses and to utilize more of the information content of comparative data sets than existing methods. Moreover, the use of a model selection framework to simultaneously compare a variety of hypotheses advances our ability to assess alternative evolutionary explanations.",880,Journal,ar,Article,100,2,2,Adaptation | Anolis lizards | Brownian motion | Evolutionary model | Ornstein-Uhlenbeck | Selective regime,12604,undefined,0,FALSE,NA,NA,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944254560,SCOPUS_ID:11944254560,2-s2.0-11944254560,"Cooperation and punishment, especially in humans",Gardner A.,American Naturalist,00030147,164,6,753-764,2004-12-01,December 2004,10.1086/425623,"Explaining altruistic cooperation is one of the greatest challenges faced by sociologists, economists, and evolutionary biologists. The problem is determining why an individual would carry out a costly behavior that benefits another. Possible solutions to this problem include kinship, repeated interactions, and policing. Another solution that has recently received much attention is the threat of punishment. However, punishing behavior is often costly for the punisher, and so it is not immediately clear how costly punishment could evolve. We use a direct (neighbor-modulated) fitness approach to analyze when punishment is favored. This methodology reveals that, contrary to previous suggestions, relatedness between interacting individuals is not crucial to explaining cooperation through punishment. In fact, increasing relatedness directly disfavors punishing behavior. Instead, the crucial factor is a positive correlation between the punishment strategy of an individual and the cooperation it receives. This could arise in several ways, such as when facultative adjustment of behavior leads individuals to cooperate more when interacting with individuals who are more likely to punish. More generally, our results provide a clear example of how the fundamental factor driving the evolution of social traits is a correlation between social partners and how this can arise for reasons other than genealogical kinship.",156,Journal,ar,Article,100,2,2,Human evolution | Kin selection | Neighbor-modulated fitness | Policing | Public-goods game | Repression of competition,12604,undefined,0,FALSE,all,All Open Access,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/11944253093,SCOPUS_ID:11944253093,2-s2.0-11944253093,Morphological and physiological correlates of hybrid parthenogenesis,Kearney M.,American Naturalist,00030147,164,6,803-813,2004-12-01,December 2004,10.1086/425986,"Asexuality frequently evolves in association with hybridity and polyploidy. The phenotypic consequences of this association must be understood before we can fully appreciate the reason for the short-term success, and the long-term failure, of asexual genetic systems. Parthenogenetic forms within the Australian gecko complex Heteronotia binoei are triploid hybrids and overlap geographically with both of their parental taxa as well as another sexual lineage. We compared nine morphological and nine physiological traits in wild-caught adult sexual and asexual individuals as well as their captive-bred progeny across a 1,200-km latitudinal gradient. Genome dosage effects were apparent in that the parthenogens were most phenotypically similar to the parental form for which they had a double dosage. Physiological differences between parthenogens and sexuals were often in the opposite direction of that expected under heterosis. Sympatric populations of sexual and parthenogenetic H. binoei differ in ecologically significant phenotypic traits, possibly reducing niche overlap. In keeping with the Red Queen hypothesis, parthenogenetic H. binoei had more ectoparasitic mites than did sexuals in some regions. Lizards with high mite loads also had high rates of evaporative water loss, suggesting a direct link between phenotypic traits and vulnerability to parasites.",30,Journal,ar,Article,100,2,2,Ectoparasites | Hybridity | Morphology | Parthenogenesis | Physiology | Polyploidy,12604,undefined,0,FALSE,NA,NA,10,NA,NA,NA
