@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0027103455,SCOPUS_ID:0027103455,2-s2.0-0027103455,"Coevolution of food webs: parasites, predators and plant secondary compounds",Freeland W.,Biotropica,00063606,24,2 B,309-327,1992-01-01,1992,10.2307/2388525,"Tropical rain forests exhibit high levels of species richness, complex food webs, strong interactions between organisms, and relatively high frequencies of mutualistic interactions. All these characteristics are thought to generate instability in food webs. Natural communities are stabilized by two classes of coevolved food web interactions (animal host-parasite and herbivore-plant defense). When model food webs including these interactions are compared to equivalent webs lacking these features, they have higher proportions of feasible webs, higher frequencies of stability; and, larger proportions of stable webs with realistic predator-prey ratios and realistic return times to equilibria. Parasites and plant defenses are able to stabilize food webs involving omnivores. Food webs with mutualists can be stable if the mutualist has parasites. Parasite host specificity and herbivore specialization enhance community stability. -from Authors",22,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0027101509,SCOPUS_ID:0027101509,2-s2.0-0027101509,Observations on host plant and biogeographical differences in bruchid beetles in southern Ecuador,Johnson C.,Biotropica,00063606,24,2 A,195-199,1992-01-01,1992,10.2307/2388673,"An abrupt change of bruchid taxa, distribution, and host range is evident in C and SW Ecuador. One hypothesis is expanded host range of the genus Sennius, which is very specific to Cassia north of Colombia, but feeds in seeds of other genera and subfamilies of Leguminosae in South America. Stator testudinarius also feeds in Pithecellobium saman. Acanthoscelides isla has a disjunct distribution due to past geologic changes. It feeds in seeds of Rhynchosia spp. only in Panama, Costa Rica, and Ecuador. Endemism in a biogeographically isolate area is exemplified by Acanthoscelides siemensi which feeds only in seeds of Duranta dombeyana in one locality in Ecuador. Guilds of bruchids are discussed because Stator testudinarius and Pseudopachymerina spinipes replace other bruchids in the same seed guilds there. The distribution of bruchids in Ecuador is apparently due to geologic events and present floral composition. -from Authors",1,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0027101464,SCOPUS_ID:0027101464,2-s2.0-0027101464,Aging Rhizophora seedlings from leaf scar nodes: a technique for studying recruitment and growth in mangrove forests,Duke N.,Biotropica,00063606,24,2 A,173-186,1992-01-01,1992,10.2307/2388671,"Proposes a rapid and non-destructive technique to age Rhizophora seedlings in the field, using the sequence of leaf nodes along main stems. Based on three- to four-year old R. mangle seedlings planted in a bay on the Caribbean coast of Panama, it was found that rates of annual node production(=half of leaf production) in the terminal shoot was relatively constant between individuals in the same and similar sites, and for each individual when remeasured three or four times over 19 months. Marked differences, however, were scored between sites under obviously different light conditions, notably in shade (closed canopy) or sun (open canopy). Seedlings in open sites were found to have annual peaks of internodal extension along their main stems. It followed that seedlings like these could be aged by counting the number of peaks. -from Authors",31,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0027101099,SCOPUS_ID:0027101099,2-s2.0-0027101099,Effect of topography on the pattern of trees in tabonuco (Dacryodes excelsa) dominated rain forest of Puerto Rico,Basnet K.,Biotropica,00063606,24,1,31-42,1992-01-01,1992,10.2307/2388471,"Investigated the structure, composition, and spatial patterns of tree species in two adjacent watersheds of the Luquillo Experimental Forest. Dacryodes excelsa, Sloanea berteriana and Guarea guidonia were the most important trees in the overstory. Trees were related significantly to topographic variables. Large trees, especially the dominant species, tabonuco, were associated significantly with ridges and slopes. Size-class distributions of individual species varied as a function of broad ecological factors such as topography and disturbance regime. Past anthropogenic disturbance was still apparent in the pattern of distribution of large trees along the elevational gradients of the watersheds. Dacryodes excelsa is the dominant species, even though S. berteriana has higher representation in smaller size-classes. -from Author",110,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0027099479,SCOPUS_ID:0027099479,2-s2.0-0027099479,Seasonal flowering and fruiting patterns in tropical semi-arid vegetation of northeastern Venezuela,Guevara De Lampe M.,Biotropica,00063606,24,1,64-76,1992-01-01,1992,10.2307/2388474,"Flowering and fruiting phenology were studied for thorn woodland and thorn scrub. The flowering of trees and tall shrubs occurred in both vegetation types at the end of the dry season and lasted throughout the entire rainy season. Short-duration rains late in the dry season my have triggered and synchronized flowering. Fruiting activities of trees and tall shrubs occurred in all months, whereas fruiting maturation was limited to the dry season and the beginning of the rainy season. Fluctuation in the abundance of fruits was related principally to the production of a large amount of dry, lightweight seeds during the dry season, whereas fleshy and dry, heavyweight fruits were more or less steadily produced throughout the year. This suggests an adaptation to favour wind dispersion of seeds during the dry season when the vegetation is leafless, as well as the maintenance of animal populations and dispersal agents throughout the year. Annual reproductive phenology was more synchronized for thorn scrub than for thorn woodland. This may be due to the fact that thorn scrub vegetation is subjected to more severe drought conditions and consequently responds more punctually to the reappearance of rain or soil moisture. -from Authors",57,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0027098623,SCOPUS_ID:0027098623,2-s2.0-0027098623,Abundance and diversity of termites (Insecta: Isoptera) in two sites of primary rain forest in Brazilian Amazonia,Constantino R.,Biotropica,00063606,24,3,420-430,1992-01-01,1992,10.2307/2388613,"Sixty-four species of termites were found in a primary terra firme forest and 11 in a primary swamp (varzea) forest in W Brazilian Amazonia. Twenty-seven species were found in a terra firme forest in E Brazilian Amazonia. Nasutitermitinae, especially the genus Nasutitermes, were the dominant group both in number of species and abundance. Only six species in the terra firme and none in the swamp forest built epigeal nests. In terra firme forest, many species were associated with termitaria built by other species. Most species were woodfeeders, many restricted to rotten wood. The humus-feeders were the second group in numbers of species. The termite fauna of the terra firme and of the swamp forest were distinct, as shown by the low similarity index. Species composition and diversity were highly variable among different sites, apparently without correlation to climate or vegetation type. -from Author",64,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0027097257,SCOPUS_ID:0027097257,2-s2.0-0027097257,"Biomass and nutrient dynamics of fine litter of terrestrially rooted material in a Neotropical montane forest, Costa Rica",Nadkarni N.,Biotropica,00063606,24,2 A,113-120,1992-01-01,1992,10.2307/2388664,"Assessed the forest floor standing mass, input rates and turnover rates of litter derived from terrestrially rooted material in a neotropical cloud forest in Monteverde, Costa Rica. The mean standing crop of fine litter was 10.1 t ha-1, and showed no striking seasonal differences but apparent annual differences. Input of fine litter was 7.0 t ha-1 y-1 and showed a strong seasonal pattern, with greatest amounts of fine litter falling during the dry season. Nutrient input from fine litter was (kg ha-1 y-1): N, 93; P, 6; Ca, 115; Mg, 15; and K, 12. Assuming a steady state condition in this old-growth forest, fine litter had an annual decay rate (Ka) of 0.69 and a turnover time (1/Ka) of 1.4 years. About 25% of N and 42% of P were retranslocated from foliage prior to abscission. Litter nutrient fluxes were high and nutrient use efficiency was low compared to other tropical montane forests, indicating that N and P may not be as limiting in this forest. -from Authors",18,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0027097246,SCOPUS_ID:0027097246,2-s2.0-0027097246,"Mating systems, genetic differentiation and speciation in tropical rain forest plants",Bawa K.,Biotropica,00063606,24,2 B,250-255,1992-01-01,1992,10.2307/2388519,"Most tropical woody plants are strongly outcrossed. Recent quantitative estimates of mating systems and analyses of population genetic structures, respectively, indicate that the rates of outcrossing are high and there is considerable genetic diversity within populations. Although data on mating systems and population genetic structure have not settled the issue of speciation modes in tropical woody plants, empirical studies have provided little support for the notions about prevalence of selfing and a high level of inbreeding. Two profitable areas of research might involve the evaluation of the part played by plant-pollinator interactions in speciation and the documentation of the levels of gene flow and genetic differentiation among populations. -from Author",73,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0027095496,SCOPUS_ID:0027095496,2-s2.0-0027095496,"Desertification control, the West African case: prevention is better than cure",Breman H.,Biotropica,00063606,24,2 B,328-334,1992-01-01,1992,10.2307/2388526,"Programs for desertification control have to be formulated in response to the specific causes of environmental degradation. A method is presented to identify the main cause(s) of desertification in countries depending highly on agriculture. Applied to the Sahelian countries, overexploitation of the natural resources through overpopulation is identified. This is illustrated by developments in animal husbandry. However, it is difficult to make the available technical options profitable in view of the socioeconomic conditions. Chances are negligible where natural resources are already degraded. -from Author",6,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0027094556,SCOPUS_ID:0027094556,2-s2.0-0027094556,Phenology of flowering and fruiting of an East African riverine forest ecosystem,Kinnaird M.,Biotropica,00063606,24,2 A,187-194,1992-01-01,1992,10.2307/2388672,"Flowering and fruiting phenologies of important primate food species in riverine forests in the Tana River National Primate Reserve, E Kenya, are highly variable over time, resulting in community-wide periods of relative resource abundance and scarcity. Flowering appears to be triggered primarily by dry conditions created by low river levels rather than low rainfall. Fruiting phenologies may be dictated more by rates of fruit maturation and plant life history strategies than by environmental cues. Altered river flow due to recent construction of upstream dams may affect flowering phenologies and potentially reduce fruit and seed production. Shifts in flowering and fruiting phenologies could, in turn, influence some pollinators and seed dispersers. (See also 93L/06877). -from Author",48,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,10
