@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0027883773,SCOPUS_ID:0027883773,2-s2.0-0027883773,Nesting-habitat preferences of selected Centris bee species in Costa Rican dry forest,Frankie G.,Biotropica,00063606,25,3,322-333,1993-01-01,1993,10.2307/2388790,"Results suggest that the dry forest is a mosaic of preferred nesting sites, with each species having specific preferences. The preference for oak forests is significant and suggests that more of this type of habitat should be conserved for Centris refugia. -from Authors",49,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027881370,SCOPUS_ID:0027881370,2-s2.0-0027881370,The biogeochemistry and trace metals distribution of mangrove rhizospheres,Lacerda L.,Biotropica,00063606,25,3,252-257,1993-01-01,1993,10.2307/2388783,"Soils and porewater of the rhizosphere of mangrove trees Rhizophora mangle and Avicennia schaueriana of the salt marsh grass Spartina alterniflora and of unvegetated mud flats, were analyzed. The study was conducted in a fringe mangrove forest in Sepetiba Bay, Rio de Janeiro, Brazil. The rhizospheres differed in their biogeochemistry and redox conditions. The distribution of trace metals (Fe, Zn, Cu, Pb and Cd) varied with the major physical and chemical charactersitics. Mud flat soils presented the highest total trace metal concentrations followed by mangrove soils and Spartina soils. However, exchangeable trace metals were similar among the different soils with the exception of Avicennia soils, which due to instability of redox conditions, presented much higher exchangeable trace metals concentrations. -from Authors",131,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027880946,SCOPUS_ID:0027880946,2-s2.0-0027880946,Spatial and temporal vegetation changes along a moisture gradient in northeastern Sudan,Vetaas O.,Biotropica,00063606,25,2,164-175,1993-01-01,1993,10.2307/2389180,"Abundances of phanerophytes and chamaephytes were estimated on 30 hills on an arid mountain plateau in E Sahel, influenced by mist from the Red Sea. Their relative abundances were compared with a similar study in 1953 when the area was partly protected against browsing. Succession from an open woodland to a very open shrubland was revealed. Hardwood trees suitable for fuel and other plants of direct commercial value decreased. Plants with small, sclerophyllous leaves, and/or toxic chemicals increased. Changes are attributed to an increased human population and intensified browsing. These biotic factors interacted with drought periods. Species that also grow in the surrounding Sahelian transition zone were relatively more stable than those with a disjunct distribution in the region, which occur in the area of more moist regional climate found in the Ethiopian highland. -from Author",32,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027879550,SCOPUS_ID:0027879550,2-s2.0-0027879550,Gaps and forest zones in tropical moist forest in Ivory Coast,Jans L.,Biotropica,00063606,25,3,258-269,1993-01-01,1993,10.2307/2388784,"Regional variation in the characteristics of gaps >10 m2 was determined for three forest sites on different soils, along a climatic and vegetation gradient in the tropical moist forest of Tai National Park. The three sites were strikingly similar with regard to gap density, gap size distribution, and total gap area. Average gap density was 2.1 gaps ha-1, of which 0.7 gaps ha-1 were estimated to have been created during the last year. Average gap size was 41 m2 (55 m2 for newly formed gaps). Total gap area was on average 0.8% of the total inventoried area, versus 0.4% for the gaps formed during last year. In Zagne, the northernmost, driest site, branch fall was the major mode of gap formation (47%), in Tai, the middle site, this was tree snapping (48%), and in Para, the southernmost, wettest site with hardened soil layers, tree uprooting was conspicuous (20%). An apparent paradox was found that at the site with the largest trees (Zagne) relatively many small canopy gaps were created. Branch fall is the preferential mode of senescence of emergent tree species; they slowly drop their branches when they die-off, creating many branch fall gaps. Canopy gaps in the Tai National Park are small, and forest turnover time is long (c240 yr) compared to other tropical moist forests, resulting in a less dynamic, fine textured forest mosaic consisting of small eco-units. -from Authors",62,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027878421,SCOPUS_ID:0027878421,2-s2.0-0027878421,"Figs, Malabar giant squirrels, and fruit shortages within two tropical Indian forests",Borges R.M.,Biotropica,00063606,25,2,183-190,1993-01-01,1993,10.2307/2389182,"The role of figs as a resource for Ratufa indica during fruit shortages was investigated in the Western Ghats of India within a semievergreen forest (Yellapur Reserve Forest, Karnataka state), and in a moist evergreen seasonal cloud forest (Bhimashankar Wildlife Sanctuary, Maharashtra State). In general, figs were consumed to the greatest extent during lean fruiting periods, yet there was considerable intersquirrel variation in fig consumption during those periods. The importance of figs for a solitary, territorial, sedentary species such as the giant squirrel at these sites is limited only to those individuals who have access to figs within their territories or feeding ranges. The low density and spatial clumping of figs and the small number of fig species at the sites contributed to this phenomenon. -from Author",42,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027871799,SCOPUS_ID:0027871799,2-s2.0-0027871799,Effects of treefall gaps on the density of land snails in the Luquillo Experimental Forest of Puerto Rico,Alvarez J.,Biotropica,00063606,25,1,100-110,1993-01-01,1993,10.2307/2388983,"Of the 34 species of snail known from the forest, only five occurred with sufficient frequency to permit statistical analysis. The abundances of Austrosolenites alticola, Megalomastoma croceum and Subulina octana were not significantly different in gap versus nongap ares. Nenia tridens and Caracolus caracolla responded to patches created by treefalls. In particular, the abundance of N. tridens was significantly higher in gaps; whereas, that of C. caracolla was significantly higher in the surrounding undisturbed forest. Such differences in distribution may be attributable to factors related to diet and body water loss rates. -from Authors",37,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027871252,SCOPUS_ID:0027871252,2-s2.0-0027871252,Snag availability and communities of cavity nesting birds in tropical versus temperate forests,Gibbs J.,Biotropica,00063606,25,2,236-241,1993-01-01,1993,10.2307/2389188,"In a comparison among 10 New World forests, snags in tropical and subtropical forests (N=5 sites) occurred at lower densities (3.5-20.5 snags/ha versus 21.2-49.3 snags/ha) and had larger average diameters (27.6-34.2cm versus 11.2-31.2cm) than snags in temperate and boreal forests (N=5 sites). No latitudinal trends were evident in average density of live stems or average snag height. Low latitude forests supported 2.5 times as many cavity nesting species and approximately equal numbers of primary cavity excavating species as high latitude forests. If tropical forests have fewer snags, more cavity nesters, and relatively fewer cavity excavating species than temperate forests, limitations on nest-site availability could be more severe in lower than higher latitude forests. -from Authors",68,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027870657,SCOPUS_ID:0027870657,2-s2.0-0027870657,A comparison of ungrazed and livestock-grazed rock vegetations in Curacao,Debrot A.,Biotropica,00063606,25,3,270-280,1993-01-01,1993,10.2307/2388785,"Five of the largest remaining patches of livestock-inaccessible rock vegetation of Curacao, Netherlands Antilles, were described and compared to rock vegetation which has experienced centuries of livestock grazing. At the St Christoffelberg site, study rocks were siliceous and at altitudes of 240-310 m while at the Tafelberg site the rocks were of limestone and at altitudes of 35-150 m. The main vascular species on livestock-inaccessible rocks at both sites was Tillandsia flexuosa, a bromeliad. At St Christoffelberg, Tillandsia was principally accompanied by the grass Paspalum secans, the orchid Brassavola nodosa and the herb Portulaca venezuelensis, while at Tafelberg it was principally accompanied by the vine Serjania curassavica. On livestock-accessible rocks Tillandsia ground cover was reduced to insignificant levels and mature plants were virtually eliminated from the population. Grazed vegetations also showed reduced vascular cover and were principally dominated by the annual grass Aristida adscencionis (St Christoffelberg site only), the prickly pear Opuntia wentiana and the shrubby tree Acacia tortuosa. None of these weedy species, all of which are widely distributed on the island, were of any significance in ungrazed rock vegetations. Tillandsia-dominated ground cover may have been a common feature of the rock vegetation of the island prior to the introduction of livestock. -from Authors",8,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027865881,SCOPUS_ID:0027865881,2-s2.0-0027865881,"Morphology and floral biology of Phenakospermum (Strelitziaceae), an arborescent herb of the Neotropics",Kress W.J.,Biotropica,00063606,25,3,290-300,1993-01-01,1993,10.2307/2388787,"Phenakospermum guyannense was studied in the coastal savanna near Cayenne, French Guiana. It reaches heights >10 m; each shoot is terminated by a massive inflorescence nearly 4 m long. Flowering occurs from the end of the rainy season to the middle of the dry season and a single inflorescence can produce flowers for 2-4 months. The large, hermaphroditic flowers emerge from the protective inflorescence bracts just before sunset and are receptive for one night. From 1.2-3.0 ml of hexose-dominant nectar, with a mean concentration of 16.9%, is produced by each flower. Flower-visiting bats of the genus Phyllostromus were the primary pollinators. Caluromys philander, a nocturnally foraging marsupial, visited the flowers to rob nectar, but did not effect pollination. Specific characters, such as inflorescence habit, nocturnal flowering, and non-replenishable nectar, are specializations for pollination by bats. -from Authors",18,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027847206,SCOPUS_ID:0027847206,2-s2.0-0027847206,Tent-use by the bat Rhinophylla pumilio (Phyllostomidae: Carolliinae) in French Guiana,Charles-Dominique P.,Biotropica,00063606,25,1,111-116,1993-01-01,1993,10.2307/2388984,"This is the first report of a non-Stenodermatine neotropical bat using ""tents'. Tents in the palm Astrocaryum sciophilum used by Rhinophylla pumilio in French Guiana, are characterized by the typical ""V' shape incision in the leaf blade. Additionally, the long inferior spines were cut in the roosting area. R. pumilio and Artibeus gnomus (Stenodermatinae), another tent-user, were monitored. Tent-use is interpreted as a means of protection from adverse weather and predators during feeding periods. -from Author",25,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,10,NA,NA
