@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0035733180,SCOPUS_ID:0035733180,2-s2.0-0035733180,On the occurrence of epizoic cyanobacteria and liverworts on a neotropical harvestman (Arachnida: Opiliones),Machado G.,Biotropica,00063606,33,3,535-538,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00208.x,15,Journal,no,Note,100,2,2,Algae | Aphanolejeunea | Brazil | Hepaticae | Lejeunea | Neosadocus,13817,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035733173,SCOPUS_ID:0035733173,2-s2.0-0035733173,"Drought and irrigation effects on fine root dynamics in a tropical moist forest, Panama",Yavitt J.B.,Biotropica,00063606,33,3,421-434,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00196.x,74,Journal,ar,Article,100,2,2,Fine root demography | Forest irrigation | Panama | Root growth | Soil aggregates | Soil fertility | Tropical moist forest,13817,undefined,0,FALSE,2,"Seasonal drought in tropical moist forest may be the cue for fine root death and turnover, and it may signal root growth deeper to access subsurface water and (or) nutrients. We examined these predictions by measuring fine root biomass (<2 mm diam.) and the timing of root growth and disappearance in an old growth tropical moist forest on Barro Colorado Island (BCI), Republic of anama, in the fifth year of a dry season irrigation experiment. Irrigated soil had greater available P concentrations; however, a more pronounced effect was less stable soil aggregates causing higher bulk density. Irrigation did not affect fine root biomass. Mean (± SE) biomass between 0 and 30 cm was 372 ± 63 g/m2 within control versus 286 ± 39 g/m2 within irrigated plots. Mean biomass between 45 and 75 cm was 74 ± 7 g/m2 within control versus 62 ± 7 g/m2 within irrigated plots. Dead roots were less than eight percent of the total. We characterized root growth using in-growth screens (1.7 mm mesh) installed between 0 and 15 cm. Root density in the screens peaked soon after the rains began in the control plots but during the dry season in the irrigated plots. Very few dead roots accumulated in the screens, with no differences seasonally or among treatments. We developed a model to estimate birth and death rates of fine roots using root densities in the in-growth screens and the disappearance of roots laced into screens and incubated in situ. Inferred root birth rates were greatest in the early part of the wet season in control plots and in the dry season in irrigated plots. Inferred mortality rates of fine roots less than four months old were reduced by irrigation, but this was offset by much greater disappearance of six- to eight-month-old roots in the irrigated plots. Although irrigation altered the timing of root growth and mortality, roots did not grow year-round in the always-wet soil. Therefore, soil water availability was an important cue for root growth, but an inherent seasonal cycle remained. Fine roots died continuously throughout the year and disappeared quickly.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035733172,SCOPUS_ID:0035733172,2-s2.0-0035733172,Hurricane impacts on a mangrove forest in the Dominican Republic: Damage patterns and early recovery,Sherman R.E.,Biotropica,00063606,33,3,393-408,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00194.x,84,Journal,ar,Article,100,3,3,Dominican Republic | Gap light index | Hurricane | Large-scale disturbance | Mangrove forest | Regeneration,13817,undefined,0,FALSE,3,"On 22 September 1998, Hurricane Georges passed over the Dominican Republic causing extensive damage to a 4700 ha mangrove forest that has been the site of a detailed study of vegetation and ecosystem dynamics since 1994. We resurveyed the vegetation in permanent plots at 7 and 18 months after the hurricane to document structural damage of the forest and evaluate early recovery patterns. The intensity of damage was patchy across the landscape. Mortality (≥5 cm DBH) ranged from 14 to 100 percent (by density) among the 23 different plots and averaged 47.7 percent across all plots. Reductions in total basal area ranged from 9 to 100 percent, averaging 42.4 percent. Mortality increased by 9 percent between surveys at 7 and 18 months post-hurricane. Interspecific differences in susceptibility to wind damage appeared to be a primary factor contributing to spatial patterns in mortality. Laguncularia racemosa experienced much less mortality (26%) than either Rhizophora mangle (50%) or Avicennia germinans (64%), and plot-level mortality was strongly associated with differences in species composition. There were no clear relationships between canopy height and tree damage at this site. Over 80 percent of the of the surviving R. mangle trees exhibited less than 50 percent crown damage, whereas ca 60 percent of the L. racemosa survivors suffered almost complete (75-100%) crown loss. By 18 months after the hurricane, the percentage of L. racemosa trees in the 75 to 100 percent damage class was reduced to 20 percent; in contrast, the health of many R. mangle individuals appeared to be declining, as the percentage of trees in the 50 to 100 percent damage class increased from 16 to 36 percent. Understory light levels, as measured by the gap light index, increased from an average value of 3 percent in the pre-hurricane forest to 51 percent at 7 months after the hurricane and decreased slightly to 47 percent at 18 months. Few saplings (>1 m tall and <5 cm DBH) survived the hurricane; 72 percent of the tagged individuals in transect-based plots and 66 percent of saplings in pre-hurricane canopy gaps were killed. Seedling and sapling populations of all three species appear to be recovering rapidly although their densities still are lower than in the pre-hurricane forest. It is too early to predict the trajectory of forest recovery, and continued monitoring of the spatial and temporal patterns of forest development is needed to improve our understanding of the role that large-scale disturbance events play on the dynamics of mangrove forest ecosystems.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035732931,SCOPUS_ID:0035732931,2-s2.0-0035732931,Patterns of richness and abundance in a tropical African leaf-litter herpetofauna,Vonesh J.R.,Biotropica,00063606,33,3,502-510,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00204.x,57,Journal,ar,Article,100,1,1,Africa | Amphibian | Conservation | Density | Diversity | Habitat alteration | Leaf litter | Logging | Plantation | Reptile | Uganda,13817,undefined,0,FALSE,4,"I compared species richness and habitat correlates of leaf-litter herpetofaunal abundance in undisturbed and selectively logged forests, and an abandoned pine plantation in Kibale National Park, Uganda. I sampled 50 randomly located 25 m2 litter plots in each area during the wet and dry seasons in 1997. Ten anuran, five lizard, and three snake species were captured in plots over the study. Assemblage composition was most similar at logged and unlogged sites. The logged forest herpetofauna had higher species richness and abundance than the unlogged forest, but diversity was greater in the unlogged forest due to greater evenness. In contrast, the pine plantation site had the highest richness, abundance, and evenness of the three study sites, but species composition was distinct from the other areas. Herpetofaunal densities were significantly lower in all three areas during the dry season than in the wet season. During the dry season, soil moisture, litter mass, topography, shrub cover, and number of fallen logs were significant positive predictors of herpetofaunal presence in litter plots, but only soil moisture was significant in the wet season. The interaction of moisture and topography appears to be important in determining seasonal patterns of litter herpetofaunal distribution. Comparison of litter herpetofaunal studies across the tropics have shown that mid-elevation faunas generally support fewer species than lowland faunas. Compared with other tropical mid-elevation litter faunas, Kibale supports an intermediate number of species, but at lower densities than observed at any other mid-elevation site reported in the literature.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035732801,SCOPUS_ID:0035732801,2-s2.0-0035732801,Landscape heterogeneity and diurnal raptor diversity in Honduras: The role of indigenous shifting cultivation,Anderson D.L.,Biotropica,00063606,33,3,511-519,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00205.x,38,Journal,ar,Article,100,1,1,Amerindians | Honduras | Landscape heterogeneity | Raptor diversity | Shifting cultivation | Tropical moist forest,13817,undefined,0,FALSE,5,"I studied the relationship between diurnal raptor diversity, density, and richness, and landscape heterogeneity in continuous primary forests and forests farmed by native Amerindians in the Río Plátano Biosphere Reserve of northeastern Honduras from January to June 1996 and 1997. I estimated landscape heterogeneity - the variability in naturally occurring and/or anthropogenic habitat mosaics - by mapping the extent and distribution of five human-modified and natural habitats in 24 1 km2 survey plots. I used the Shannon index to calculate landscape heterogeneity values for the respective plots based on the proportion of total area of each habitat within each plot. Diurnal raptor surveys from canopy-emergent viewpoints in these plots resulted in 137 observations of 18 species of raptors. Four species (Coragyps atratus, Ictinia plumbea, Leucopternis albicollis, and Buteo magnirostris) differed significantly in abundance among heterogeneity classes. Raptor diversity, density, and richness all increased directly with increasing landscape heterogeneity. Landscape heterogeneity was more important in explaining differences in raptor species diversity than the presence or extent of any single habitat or combination of habitats. In contrast to previous studies, my results indicate the importance of indigenous shifting cultivation in altering the naturally occurring patterns of habitat mosaics in lowland rain forest and its effect on bird species abundance and diversity in a rain forest ecosystem.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035732246,SCOPUS_ID:0035732246,2-s2.0-0035732246,"Hummingbird flower mites and Tillandsia spp. (Bromeliaceae): Polyphagy in a cloud forest of Veracruz, Mexico",García-Franco J.G.,Biotropica,00063606,33,3,538-542,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00209.x,15,Journal,no,Note,100,3,3,Bromeliads | Cloud forest | Epiphytes | Hummingbird flower mites | Mexico | Nectar | Phenology | Plant-animal interaction | Tillandsia,13817,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035731890,SCOPUS_ID:0035731890,2-s2.0-0035731890,"Seed dispersal of the mistletoe Psittacanthus schiedeanus by Birds in Central Veracruz, Mexico",López De Buen L.,Biotropica,00063606,33,3,487-494,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00202.x,32,Journal,ar,Article,100,2,2,Cedar Waxwings | Cloud forest | Gray Silky-flycatchers | Mexico | Mistletoe fruits | Psittacanthus schiedeanus | Seed dispersal | Social flycatchers | Veracruz,13817,undefined,0,FALSE,7,"Mistletoes are hemiparasitic plants that frequently depend on frugivores for seed dispersal; yet their seed dispersal ecology is still poorly known. The mistletoe Psittacanthus schiedeanus (Loranthaceae) was studied for a five-month period in cloud forest remnants in central Veracruz, Mexico, to determine its seed dispersal ecology. We hypothesized that dispersal ecology of this mistletoe species is directly affected by the fruit-eating bird abundance, and asked if this species is following the high-investment strategy as suggested by Godschalk (1983). To evaluate this, we determined the morphological and nutritional characteristics of mistletoe fruit, the availability of ripe fruits along the mistletoe fruiting phenology, and the abundance of fruit-eating birds. Because P. schiedeanus is dispersed by generalist rather than specialist birds, we asked if this mistletoe species is ripening fruits during the fruit scarcity time (with highest possibilities of being consumed and dispersed by birds). We compared P. schiedeanus ripe fruit production to the cloud forest tree leaf fall and fruit production. Psittacanthus schiedeanus matures its nutritious fruits from November to April, with a peak of abundance in January and February. We found a synchrony between the abundance of P. schiedeanus ripe fruits and the abundance of Gray Silky-flycatchers (Ptilogonys cinereus) and Social Flycatchers (Myiozetetes similis); however, this was not the case with Cedar Waxwings (Bombycilla cedrorum), although these birds play an important role in the mistletoe dispersal. The fruiting pattern of P. schiedeanus, together with the fact that it is an important food resource for generalist rather than specialist frugivorous birds, suggest that this mistletoe is using the nutrient investment strategy to attract dispersers during a time of fruit scarcity.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035731889,SCOPUS_ID:0035731889,2-s2.0-0035731889,"Age of A2 horizon charcoal and forest structure near Porto Trombetas, pará, Brazil",Francis J.K.,Biotropica,00063606,33,3,385-392,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00193.x,9,Journal,ar,Article,100,2,2,Amazon | Fire | Old-growth forest | Radiocarbon | Slash-and-burn agriculture | Succession,13817,undefined,0,FALSE,8,"To study the structure and composition of old-growth forest in the Saracá-Taquera National Forest near Porto Trombetas, Brazil, we established 36 0.25 ha plots and described the vegetation. We collected charcoal from the A2 soil horizon of each plot for radiocarbon dating. Although fires have been very rare in this forest during historic times, the presence of charcoal in these soils indicates fire at some earlier period. The ages (conventional radiocarbon age adjusted to 1997) of the charcoal ranged from 177 to 1547 years. These ages, however, did not correlate significantly with any of several measures of biodiversity or stand characteristics. The relative uniformity of the current old-growth forest indicates that either the prehistoric fires were of such low intensity that they had little long-term effect on the vegetation or that the present stands have progressed to near steady state.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035731875,SCOPUS_ID:0035731875,2-s2.0-0035731875,Deforestation in Costa Rica: A quantitative analysis using remote sensing imagery,Sánchez-Azofeifa G.A.,Biotropica,00063606,33,3,378-384,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00192.x,120,Journal,ar,Article,100,3,3,Costa Rica | Habitat fragmentation | Tropical deforestation,13817,undefined,0,FALSE,9,"Accurate estimates of forest cover and forest fragmentation are critical for developing countries such as Costa Rica, which holds four to five percent of the world's plant and bird species. We estimated forest cover for Costa Rica using Landsat 5 Thematic Mapper satellite scenes acquired between 1986 and 1991. In 1991, 29 percent (ca 14,000 km2) of the land cover of Costa Rica was closed forest cover; of that forested area, ca 30 percent is protected by national conservation policies. Forest loss in a study area representing ca 50 percent of Costa Rica's territory during a five-year period (1986-1991) was 2250 km2, and the estimated deforestation rate was ca 450 km2/yr, or ca 4.2 percent/yr, of remaining forest cover. Forests are almost completely eliminated from the Tropical Moist Forest and Premontane Moist Forest life zones, and the level of fragmentation of remaining forests may be more advanced than previously thought.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035731002,SCOPUS_ID:0035731002,2-s2.0-0035731002,"Flight cage observations of foraging mode in Phyllostomus discolor, P. hastatus, and Glossophaga commissarisi",Giannini N.P.,Biotropica,00063606,33,3,546-550,2001-01-01,2001,10.1111/j.1744-7429.2001.tb00211.x,8,Journal,no,Note,100,2,2,Costa Rica | Glosophaga commissarisi | Nectarivory | Phyllostomus discolor | Phyllostomus hastatus | Tropical forest,13817,undefined,0,FALSE,10,NA,NA,NA
