@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/1642579564,SCOPUS_ID:1642579564,2-s2.0-1642579564,Succession and Micro-elevation Effects on Seedling Establishment of Calophyllum brasiliense Camb. (Clusiaceae) in an Amazonian River Meander Forest,King R.T.,Biotropica,00063606,35,4,462-471,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00603.x,"I investigated the effects of successional stage and micro-elevation on seedling establishment of Calophyllum brasiliense (Clusiaceae), a common canopy tree of seasonally Hooded lowland forest along the Manú River meander zone in southeastern Peru. To compare seedling establishment between microhabitat types, I planted C. brasiliense seeds in a fully crossed experimental design of three successional stages (early, mid, and mature) and two micro-elevations (levees and backwaters). Seedling establishment success in this study was affected by both successional stage and micro-elevation, but micro-elevation was most important in mid-successional habitats. In general, seedlings in early succession experienced better conditions than in mature forest; light levels were higher, herbivory lower, and seedling growth higher. In mid-successional forest, micro-elevation determined habitat quality; backwaters had higher light levels, lower herbivory, and higher seedling growth and survival than levees. Mid-successional backwaters were similar in quality to early successional forest for seedling establishment, while levees in that same successional stage were the poorest microhabitats for establishment. Although mid-successional backwaters are similar to early succession for seedling establishment, in the long run, seedlings that establish in mid-succession have a lower chance of reaching reproductive size before their habitat ages to mature forest than members of their cohort that established in early succession. I hypothesize that successful recruitment for C. brasiliense in the Manú River meander system requires dispersal to early successional habitat.",15,Journal,ar,Article,100,1,1,Calophyllum brasiliense | Cocha Cashu | Floodplain | Herbivory | Light transmittance | Manu National Park | Microhabitat | Peru | Recruitment | Succession,13817,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642579558,SCOPUS_ID:1642579558,2-s2.0-1642579558,"Capture Rates of Male Euglossine Bees across a Human Intervention Gradient, Chocó Region, Colombia",Otero J.T.,Biotropica,00063606,35,4,520-529,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00608.x,"Euglossine bees are important pollinators of lowland Neotropical forests. Compared to disturbed habitats, undisturbed ones have been previously characterized by higher abundance and diversity of euglossine bees. Most past studies have relied on chemically baiting male bees at single sites within habitats. Over a two-year period, we employed a repeated-measures design in which we sampled bees at multiple sites within three different habitat types, reflecting a mosaic of human disturbance (farm, secondary forest, and old logged forest). After 22 monthly samples, a total of 2008 male bees were captured, representing 31 species in five genera: 1156 at the farm (57.6%, 21 spp.), 505 in the secondary forest (25.1%, 27 spp.), and 347 in the old logged forest (17.2%, 21 spp.). Eighty-one percent of the bees captured belonged to the five most abundant species: Eulaema cingulata, El. chocoana, Euglossa hansoni, Eg. ignita, and Eg. imperialis. These species differed significantly in capture frequencies among habitats. Eulaema cingulata, El. chocoana, and Eg. ignita were captured most frequently at the farm, while Eg. imperialis was most abundant in the secondary forest. In contrast, Eg. hansoni, the sole short-tongued species among the five, was equally abundant in the two forest habitats but occurred rarely on the farm. Additionally, habitats differed in bee composition. The high capture rates for long-proboscis species at the farm may have been due to their ability to extract nectar from flowers with long floral tubes, which probably occurred at a greater density on the farmed land than in the adjacent forests.",38,Journal,ar,Article,100,2,2,Chocó | Colombia | Euglossa | Euglossine bees | Eulaema | Human intervention gradient | Pollinators,13817,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642579557,SCOPUS_ID:1642579557,2-s2.0-1642579557,Influence of Edge Exposure on Tree Seedling Species Recruitment in Tropical Rain Forest Fragments,Benítez-Malvido J.,Biotropica,00063606,35,4,530-541,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00609.x,"Edge creation has a pronounced influence on the understory vegetation, but the effects of edges on seedling species recruitment are still poorly understood. In Central Amazonia, 9-19 years after fragmentation, we recorded species richness and net seedling recruitment rate in 1 ha blocks exposed to none, one, or multiple edges within forest fragments. One-hectare blocks were located in the center (no edge), the edge (one edge), the corners (two edges) of 10 and 100 ha fragments, and in a 1 ha fragment (four edges). In 1991, we counted all tree seedlings 5-100 cm tall found within permanent 1 m2 plots located within the 1 ha blocks. In May 1993, we manually removed all seedlings that were smaller than 1 m tall from the permanent plots. Six years and five months later (October 1999), all new seedlings recruited into the plots were counted and classified into distinct morphospecies. Species richness of recruited seedlings, scaled by total seedling density, declined from the center to the edge, the corner blocks, and then to the 1 ha fragment. Overall, the four-edged, 1 ha fragment had the poorest species richness and the non-edged 100 ha central block the highest. The total number of recruited individuals was 40 percent less than that previously present, with the 100 ha corner having the lowest recruitment. Pairwise comparisons showed that species similarity was related to edge number for the 100 and 1 ha fragments. Species rank/abundance curves showed that a subset of species was common in all blocks within the fragments, and that the 100 ha center held more rare species than any other 1 ha block. This study demonstrated that, in a given fragment patch, the number of tree seedling species recruited varied inversely with the number of edges.",51,Journal,ar,Article,100,2,2,Amazon | Edge effects | Fragmentation | Seedling recruitment | Tropical rain forest,13817,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642579553,SCOPUS_ID:1642579553,2-s2.0-1642579553,Gregarious Oviposition and Clutch Size Adjustment by a Heliconius Butterfly,Reed R.D.,Biotropica,00063606,35,4,555-559,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00613.x,"Female Heliconius hewitsoni butterflies were found to aggregate during oviposition, producing multi-parent egg clutches. This behavior occurred when host plants were locally plentiful, indicating that females chose to oviposit gregariously. Collective clutch size correlated with host growth rate and with the number of females contributing to a clutch. Eggs did not positively bias host plant growth. Collective clutch size adjustment may represent a mechanism for facilitating larval aggregation while reducing intraspecific competition.",9,Journal,ar,Article,100,1,1,Communal oviposition | Intraspecific competition | Larval aggregation | Passiflora | Social oviposition,13817,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642539034,SCOPUS_ID:1642539034,2-s2.0-1642539034,Species-specific Seedling Responses to Hurricane Disturbance in a Puerto Rican Rain Forest,Walker L.R.,Biotropica,00063606,35,4,472-485,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00604.x,"Seedling dynamics were followed in a Puerto Rican forest for 20 months following a severe hurricane to study the interactive effects of hurricane debris, nutrients, and light on seedling diversity, density, growth, and mortality. Three treatments (debris removal, an unaltered control with hurricane debris, and chemical fertilization added to hurricane debris) altered levels of forest debris and soil nutrients. Canopy openness was measured twice using hemispherical photographs of the canopy. We examined the demographic responses of six common species to treatments over time. Seedling densities increased for all six species but the only significant treatment effects were increased densities of the pioneer tree Cecropia and the shrub Palicourea in the debris removal treatment. Seedling growth declined with declining light levels for four species but not for the pioneer tree Alchornea or the non-pioneer tree Dacryodes. Only Cecropia and the non-pioneer tree Chionanthus had treatment effects on growth. Mortality also differed among species and tended to be highest in the fertilized plots for all but Cecropia and Dacryodes. We found only some of the expected differences between pioneer and non-pioneer plants, as each species had a unique response to the patchy distributions of organic debris, nutrients, and light following the hurricane. High local species diversity was maintained through the individualistic responses of seedlings after a disturbance.",35,Journal,ar,Article,100,4,4,Canopy openness | Hurricane | Light | Nutrients | Organic debris | Regeneration | Secondary succession | Tropical forest,13817,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642539032,SCOPUS_ID:1642539032,2-s2.0-1642539032,Lizard Assemblages from Natural Cerrado Enclaves in Southwestern Amazonia: The Role of Stochastic Extinctions and Isolation,Gainsbury A.M.,Biotropica,00063606,35,4,503-519,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00607.x,"We used null model analyses to investigate the existence of structure in lizard assemblages from open vegetation enclaves in Rondôma, southwestern Amazonia, in relation to species richness, species co-occurrence, diet, and size overlap. These enclaves presumably have been isolated since the Holocene, providing a history of long-term isolation. We assumed that the presence of structure in lizard assemblages from the Rondônia enclaves is consistent with the notion that extinctions are a deterministic process, some species being more prone to extinction than others. We grouped enclaves into four categories: latosoil cerrado, sandy cerrado, transitional forest, and rocky field. We collected 14 Cerrado lizard species, consisting of five families in all sampled areas. Analyses of species richness, co-occurrence, diet overlap, and size overlap patterns suggested lack of organization in the assemblages. The assemblages from the rocky fields of Guajará-Mirim and the sandy cerrados in Vilhena were significantly structured in diet overlap, whereas the remaining assemblages lacked structure. This probably resulted from phylogenetic inertia and not from ecological interactions. Our results suggest that extinctions proceeded in a stochastic fashion and that historical factors had a dominant role in shaping lizard assemblages in detriment of present-day ecological factors. In addition, we identified endemic species in the enclaves as well as a tight association between unique ecogeographic features of the landscape and species occurrences. We propose that conservation measures in the region must adequately preserve these features to ensure the survival of the species.",70,Journal,ar,Article,100,2,2,Amazonia | Brazil | Cerrado | Community structure | Extinction | Lizards | Long-term isolation | Null models,13817,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642539027,SCOPUS_ID:1642539027,2-s2.0-1642539027,Fruit Bats (Chiroptera: Pteropodidae) as Seed Dispersers and Pollinators in a Lowland Malaysian Rain Forest,Hodgkison R.,Biotropica,00063606,35,4,491-502,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00606.x,"The aims of this study were to (1) characterize the food resources exploited by fruit bats (Pteropodidae) within an old-growth Malaysian dipterocarp forest, (2) test the viability of the seeds they disperse, and (3) provide an estimate of the proportion of trees that are to some degree dependent upon bats for seed dispersal and/or pollination. Fruit species exploited by bats could be distinguished from those eaten by birds largely on the basis of color (as perceived by human beings). Bat-dispersed fruits were typically inconspicuous shades of green-yellow or dull red-brown, whereas fruits eaten by birds were generally bright orange to red. Dietary overlap between bats and nonflying mammals was relatively high. In contrast to primates and squirrels, which were major seed predators for several of the plant species under investigation, fruit bats had no negative impact on seed viability. A botanical survey in 1 ha of old-growth forest revealed that 13.7 percent of trees (≥15 cm girth at breast height) were at least partially dependent upon fruit bats for pollination and/or seed dispersal.",99,Journal,ar,Article,100,4,4,Bats | Dispersal | Frugivory | Malaysia | Nectarivory | Pollination | Syndromes,13817,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642539023,SCOPUS_ID:1642539023,2-s2.0-1642539023,Expedition to Kubunitu,Whitmore T.C.,Biotropica,00063606,35,4,560-561,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00614.x,"This is a personal account of a 1964 expedition in search of two conifer species on Mts. Sasari and Kubunitu, the two highest peaks on Santa Ysabel in the Solomon Islands. Dacrydium xanthandrum and Dillenia crenata were both discovered in flower and collections were made. The account was recently discovered in Tim Whitmore's files.",0,Journal,ar,Article,100,1,1,Botany | Conifer | Dacrydium | Dillenia | Exploration | Solomon Islands,13817,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642498191,SCOPUS_ID:1642498191,2-s2.0-1642498191,Consequences of Habitat Fragmentation on Age Structure and Life History in a Tortoise Population,Aponte C.,Biotropica,00063606,35,4,550-555,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00612.x,"We studied changes in a population of red-footed Amazonian tortoises, Geochelone carbonaria, consequent to isolation in an insular forest fragment. Altered age structure, population density, and body growth rate are shown here for the first time to be associated responses. Age structure was strongly biased toward juveniles and growth rates were reduced compared to the mainland. Our data suggest that density-dependent processes induced by habitat fragmentation changed demography and life history parameters in a scant 16 years.",22,Journal,ar,Article,100,3,3,Age structure | Body growth rate | Geochelone carbonaria | Habitat fragmentation | Life history traits | Top-down vs. bottom-up | Tortoise | Tropical dry forest | Venezuela,13817,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1642498183,SCOPUS_ID:1642498183,2-s2.0-1642498183,Changes in Forest Structure and Species Composition during Secondary Forest Succession in the Bolivian Amazon,Peña-Claros M.,Biotropica,00063606,35,4,450-461,2003-01-01,December 2003,10.1111/j.1744-7429.2003.tb00602.x,"Changes in forest structure and species diversity throughout secondary succession were studied using a chronosequence at two sites in the Bolivian Amazon. Secondary forests ranging in age from 2 to 40 years as well as mature forests were included, making a total of 14 stands. Fifty plants per forest layer (understory, subcanopy, and canopy) were sampled using the transect of variable area technique. Mean and maximum height, total stem density, basal area, and species number were calculated at the stand level. Species diversity was calculated for each stand and for each combination of forest layer and stand. A correspondence analysis was performed, and the relationship between relative abundance of the species and stand age was modeled using a set of hierarchical models. Canopy height and basal area increased with stand age, indicating that secondary forests rapidly attain a forest structure similar in many respects to mature forests. A total of 250 species were recorded of which ca 50 percent made up 87 percent of the sampled individuals. Species diversity increased with stand age and varied among the forest layers, with the lowest diversity in the canopy. The results of the correspondence analysis indicated that species composition varies with stand age, forest layer, and site. The species composition of mature forests recovered at different rates in the different forest layers, being the slowest in the canopy layer. Species showed different patterns of abundance in relation to stand age, supporting the current model of succession.",154,Journal,ar,Article,100,1,1,Bolivia | Regeneration | Succession | Successional position | Tropical rain forest,13817,undefined,0,FALSE,10,NA,NA
