@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/4444299021,SCOPUS_ID:4444299021,2-s2.0-4444299021,Erratum: Factors Contributing to Variation in Seed Production among Remnant Populations of the Endangered Daisy Gerbera aurantiaca (Biotropica 36:2 (148-155)),Johnson,Biotropica,00063606,36,3,434,2004-09-01,September 2004,0,Journal,er,Erratum,100,1,1,13817,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2942756028,SCOPUS_ID:2942756028,2-s2.0-2942756028,To the editor [2],Stone D.,Biotropica,00063606,36,1 SUPPL.,5,2004-04-01,April 2004,0,Journal,le,Letter,100,1,1,13817,undefined,0,FALSE,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2942722658,SCOPUS_ID:2942722658,2-s2.0-2942722658,To the editor [1],Mori S.,Biotropica,00063606,36,1 SUPPL.,5,2004-04-01,April 2004,0,Journal,le,Letter,100,1,1,13817,undefined,0,FALSE,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2942711723,SCOPUS_ID:2942711723,2-s2.0-2942711723,Tropical forests tomorrow - No future?,Forget P.,Biotropica,00063606,36,1 SUPPL.,1-3,2004-04-01,April 2004,0,Journal,sh,Short Survey,100,1,1,13817,undefined,0,FALSE,4,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444360027,SCOPUS_ID:4444360027,2-s2.0-4444360027,Granivorous birds as potentially important post-dispersal seed predators in a Brazilian forest fragment,Pizo M.A.,Biotropica,00063606,36,3,417-423,2004-01-01,September 2004,13,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,5,10.1111/j.1744-7429.2004.tb00336.x,"In tropical forests, rodents exert a prominent role as post-dispersal seed predators, while other vertebrates apparently have a minor effect on seed predation. In some forest fragments in southeast Brazil, however, the density of rodents is unusually low, whereas terrestrial granivorous birds are abundant. In this study, we used seeds of a second-growth tree (Croton priscus, Euphorbiaceae) to investigate experimentally the relative importance of rodents and birds as seed predators in a forest fragment. We also estimated the density of terrestrial granivorous birds and trapped small mammals. Results indicate that, as a consequence of decreased rodent population and increased bird abundance, the latter are at least as important as the former as the main post-dispersal seed predators of C. priscus. We interpret such apparent imbalance in the interaction between C. priscus and their seed predators as a possible consequence of forest fragmentation.",Atlantic Forest | Brazil | Croton priscus | Forest fragmentation | Seed predation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444357728,SCOPUS_ID:4444357728,2-s2.0-4444357728,"Differential wing strength in Pierella butterflies (Nymphalidae, Satyrinae) supports the deflection hypothesis",Hill R.I.,Biotropica,00063606,36,3,362-370,2004-01-01,September 2004,30,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,6,10.1111/j.1744-7429.2004.tb00328.x,"The ""deflection hypothesis"" asserts that conspicuous marginal patches on insect wings function to deflect predator attacks toward such patches and away from more vital body parts. As a result of selection from predator attacks, these marks are predicted to increase the probability of escape by tearing relatively easily. To test if a conspicuous marginal patch is weak relative to a homologous wing area without such a patch, hindwing tear weight was compared among three Pierella species (Satyrinae) differing in the presence of a conspicuous patch in the hindwing tornus. The species with a conspicuous white hindwing patch (P. astyoche) had significantly lower tear weights than the two species lacking the patch (P. lamia and P. lena). Forewing length did not explain variation in wing-tear weight, but wing-tear weight was positively related to insect age in a manner consistent with the deflection hypothesis. Older individuals of P. lamia and P. lena had higher tear weight, whereas this relationship was absent in P. astyoche. These results represent the first direct evidence that deflection marks on butterfly wings are relatively weak and should have an increased tendency to tear when handled by a predator.","""False head"" | Adaptive coloration | Ecuador | Eyespots | Hypothesis | Predation",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444345545,SCOPUS_ID:4444345545,2-s2.0-4444345545,Introduced honeybees (Apis mellifera) reduce pollination success without affecting the floral resource taken by native pollinators,Do Carmo R.M.,Biotropica,00063606,36,3,371-376,2004-01-01,September 2004,49,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,7,10.1111/j.1744-7429.2004.tb00329.x,"Detrimental effects of introduced honeybees (Apis mellifera L.) on native plant pollination have been predicted based on their observed deterrence or expulsion of native pollinators or their depletion of floral resources. Here, a case is reported in which floral visitation by the introduced honeybee affects male fitness and probably fruit and seed production of a tropical tree without affecting the resource sought by the native pollinator. Clusia arrudae is a dioecious species and is pollinated by individuals of Eufriesea nigrohirta that visit its flowers to collect resin. Male flowers, however, are also visited by individuals of A. mellifera, which remove ca 99 percent of their pollen grains. When E. nigrohirta leaves flowers previously visited by A. mellifera, they carry on their bodies less than 0.1 percent of the pollen grains carried by bees leaving flowers not visited by the honeybee. This may explain why the frequency of A. mellifera at male flowers is negatively correlated with the number of seeds produced by female flowers. This novel situation may affect other plants offering alternative rewards for pollinators, such as resins, oils, and aromatic compounds.",Apis mellifera | Brazil | Campo rupestre | Clusia arrudae | Eufriesea nigrohirta | Male fitness | Seed set,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444343901,SCOPUS_ID:4444343901,2-s2.0-4444343901,Extracellular enzyme activities and carbon chemistry as drivers of tropical plant litter decomposition,Allison S.D.,Biotropica,00063606,36,3,285-296,2004-01-01,September 2004,125,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,8,10.1111/j.1744-7429.2004.tb00321.x,"Litter quality parameters such as nitrogen and lignin content correlate with decomposition rates at coarse scales, but fine-scale mechanisms driving litter decomposition have proven more difficult to generalize. One potentially important driver of decomposition is the activity of extracellular enzymes that catalyze the degradation of complex compounds present in litter. To address the importance of this mechanism, we collected 15 Hawaiian plant litter types and decomposed them in fertilized and control plots for up to two years. We measured litter nutrient content and carbon chemistry prior to decomposition, as well as extracellular enzyme activities, mass loss, and litter nutrient content over time. We found that water-soluble carbon content, cellobiohydrolase activities, and polyphenol oxidase activities were significantly correlated with mass loss. Enzyme activities and decomposition rate constants both varied significantly by litter type, and fertilization increased mass loss rates in five litter types. Some litter types that decayed faster under fertilization also showed time-dependent increases in carbon-degrading enzyme activities, but others decayed faster independent of enzyme changes. These results suggest that extracellular enzyme activities partially determine litter decomposition rates, but high soluble carbon content may circumvent the requirement for enzyme-catalyzed decomposition.",Decomposition | Enzymes | Hawaii | Litter quality | Nitrogen | Phosphorus | Tropical wet forest,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444332800,SCOPUS_ID:4444332800,2-s2.0-4444332800,"Arboreal ant species richness in primary forest, secondary forest, and pasture habitats of a tropical montane landscape",Schonberg L.A.,Biotropica,00063606,36,3,402-409,2004-01-01,September 2004,38,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,9,10.1111/j.1744-7429.2004.tb00333.x,"Canopy invertebrates may reflect changes in tree structure and microhabitat that are brought about by human activities. We used the canopy fogging method to collect ants from tree crowns in primary forest, secondary forest, and pasture in a Neotropical cloud forest landscape. The total number of species collected was similar in primary forest (21) and pasture (20) habitats, but lower in secondary forest (9). Lower diversity in secondary forest was caused by lower species density (no. of species per sample). Rarefaction curves based on number of species occurrences suggest similar community species richness among the three habitats. This study has implications for conservation of tropical montane habitats in two ways. First, arboreal ant species density is reduced if secondary forest replaces primary forest, which increases the chance of extinction among rare species. Second, pasture trees may serve as repositories of primary forest ant communities due to similar tree structure.",Ants | Biodiversity | Canopy | Canopy fogging | Cloud forest | Costa Rica | Disturbed habitat | Formicidae | Monteverde | Species richness,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444321802,SCOPUS_ID:4444321802,2-s2.0-4444321802,Forty years of tropical forest recovery from agriculture: Structure and floristics of secondary and old-growth riparian forests in the Dominican Republic,Martin P.H.,Biotropica,00063606,36,3,297-317,2004-01-01,September 2004,78,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,10,10.1111/j.1744-7429.2004.tb00322.x,"Interest in tropical secondary forests has grown as large areas of agriculture have been abandoned in recent decades; yet, there are few long-term studies of post-agriculture vegetation recovery in the tropics. In this study, we compared the vegetation structure and floristic composition of old-growth and 40-year-old secondary riparian forests in the Cordillera Central, Dominican Republic. Canopy height and stem density of woody plants were similar between forest types, but basal area of trees was 27 percent lower in secondary forests. Introduced tree species comprised 20 percent of the basal area and dominated the understory of secondary forests. Life-form diversity was higher in old-growth forests as arborescent ferns, the palm species, and epiphytic bromeliads, orchids, and bryophytes were much more abundant. The number of species of epiphytic orchids and bromeliads, ground ferns, and herbaceous plants was also significantly higher in old-growth forests. The species density of woody plants and vines, however, was comparable between forest types, and vine abundance was significantly higher in secondary forests. The high importance of introduced tree species and the delayed recovery of several plant life-forms have important implications for the conservation of plant diversity in secondary forests in the tropics. The robust regeneration of woody structure despite the long land tenure (ca 60 yr) by farmers is probably due to the nutrient-rich alluvial soils and low-intensity agriculture. This study revealed the potential for the rapid recovery of woody plant diversity and structure in fertile secondary forests adjacent to mature forest seed sources and the more delayed recovery of nonwoody plant diversity and abundance.",Dominican Republic | Epiphytes | Invasive species | Old-growth forest | Riparian forest | Secondary forest | Species diversity | Succession | Tropical montane forest | Vines,NA,NA
