@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/31344481864,SCOPUS_ID:31344481864,2-s2.0-31344481864,Extraordinary predation by the neotropical army ant Cheliomyrmex andicola: Implications for the evolution of the army ant syndrome,O'Donnell S.,Biotropica,00063606,37,4,706-709,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00091.x,"Workers of the genus Cheliomyrmex are unique among the New world army ants (subfamily Ecitoninae) in that their mandibles are armed with elongate, spine-like teeth. We present the first prey records for this genus. Cheliomyrmex andicola prey on large-bodied ground dwelling invertebrates and, possibly, on vertebrates. Unlike other army ants, C. andicola workers use their sting during prey capture. The workers' unusual mandibles and potent stings may be adapted for piercing and gripping the integument of nonarthropod prey animals, and for rapidly subduing large-bodied prey, respectively. The genus Cheliomyrmex may be the sister taxon to other Neotropical army ants (Ecitoninae), and Cheliomyrmex shares features of mandibular morphology and prey selection with Old World driver ants in the genus Dorylus. Mass cooperative foraging, an important element of army ant behavior, may have arisen in part as an adaptation for exploiting large-bodied prey.",25,Journal,ar,Article,100,3,3,Ecitoninae | Ecuador | Mandibular modification | Sting,13817,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344478744,SCOPUS_ID:31344478744,2-s2.0-31344478744,"Factors influencing tree phenology in Taï National Park, Côte d'Ivoire",Anderson D.,Biotropica,00063606,37,4,631-640,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00080.x,"Entrained phenology patterns of tropical trees are expected to be sensitive to short-term fluctuations in typical rainfall and temperature. We examined 47 mo of data on the flowering, fruiting, and new leaf phenology for 797 trees from 38 species in the TaY National Park, Côte d'Ivoire. We determined the timing of the phenology cycles in relation to seasonal rainfall, temperature, and solar radiation. Regression analysis was used to examine how variations in rainfall and temperature influenced deviations in the peaks and troughs of phenology cycles. We also investigated whether populations that fruit during periods of community-wide fruit scarcity were those populations with relatively long- or short-fruiting duration. Flower, fruit, and leaf-flushing phenophases all exhibited 12-mo cycles. The broad peak in flowering began with the northward zenithal passing in April and ended with the southward zenithal passing in September. Fruiting peaks occurred in the long dry season, and leaf flushing peaked in the long dry season but continued into the wet season. Deviations from phenology cycles were largely attributable to short-term fluctuations in rainfall and/or temperature. Fruiting durations of species were related to the mean diameter at breast height. Species with long- and short-fruiting durations contributed equally to fruit abundance during periods of community-wide fruit scarcity.",72,Journal,ar,Article,100,5,5,Flowering | Fruiting | Insolation | Leaf flushing | Phenophase | Rainfall | Temperature,13817,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344477274,SCOPUS_ID:31344477274,2-s2.0-31344477274,Tropical dry forests of Venezuela: Characterization and current conservation status,Fajardo L.,Biotropica,00063606,37,4,531-546,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00071.x,"Tropical dry forests are located predominantly in the northern portion of Venezuela, above 6°N. Although their potential extent covers ca 400,000 km2 (44% of the land), they currently occupy about 10 percent of this area. The diversity and complexity of Venezuelan dry forests increases from north to south along a gradient of decreasing severity of the dry season. A typical dry forest in Venezuela presents ca 110-170 species of plants from ca 40 to 50 families within an area of approximately 10 ha. Species composition and forest structure, however, are dependent on local landscape conditions (e.g., soil type, topography), and nearby forest types can be very different. Our analysis of five dry forest variants showed a maximum family similarity of 67 percent, although most values fell in the 50-60 percent interval. They are currently considered as one of Venezuela's most threatened ecosystems, but only 5 percent of extant dry forests are included in protected areas; this represents 0.5 percent of their potential extent. It is fundamental to promote the creation of at least 3 or 4 more large protected areas (ca 5000 ha), with different climatic and orographic characteristics, in combination with the recovery of threatened species, the restoration of degraded systems, and the implementation of sustainable development projects. Their apparent high resilience suggests that with the proper management we can restore and maintain the integrity of Venezuelan dry forests.",58,Journal,ar,Article,100,7,7,Composition | Conservation | Distribution | Functional aspects | Land cover change | Land use change | Remote sensing | Species composition | Structure | Tropical dry forests | Venezuela,13817,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344471713,SCOPUS_ID:31344471713,2-s2.0-31344471713,Spatial and temporal distribution of Northern Waterthrushes among nonbreeding habitats in southwestern Puerto Rico,Hunt P.D.,Biotropica,00063606,37,4,697-701,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00089.x,"We surveyed nonbreeding Northern Waterthrushes (Seiurus noveboracensis) in several coastal habitats in southwestern Puerto Rico, West Indies. Waterthrush abundance was highest (mean = 2.2/point) in well-developed mangrove habitats characterized by large trees and standing water, and lowest (mean = 0.1/point) in dry coastal scrub and savannah. Within the latter habitats, waterthrushes were more common in moist microhabitats such as temporary ponds and dry washes. Abundance in most habitats declined between October and January, probably a result of the presence of transients during the October surveys, Between January and March, abundance in mature red mangrove (Rhizophora mangle) forests increased dramatically, suggesting that this habitat provides a refuge for birds at the end of the dry season and prior to northward migration. In conjunction with other data demonstrating the use of coastal red mangroves as nocturnal roosting sites, these results suggest that mangroves are the most important nonbreeding habitat for this species. Conservation of this globally threatened habitat may thus be important for the long-term stability of waterthrush populations.",6,Journal,ar,Article,100,4,4,Habitat selection | Mangroves | Migratory birds | Northern Waterthrush | Puerto Rico | Seiurus novaboracensis,13817,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344469605,SCOPUS_ID:31344469605,2-s2.0-31344469605,The influence of Hurricane winds on Caribbean dry forest structure and nutrient pools,Van Bloem S.J.,Biotropica,00063606,37,4,571-583,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00074.x,"In 1998, we measured the effects of Hurricane Georges after it passed over long-term research sites in Puerto Rican dry forest. Our primary objectives were to quantify hurricane effects on forest structure, to compare effects in a large tract of forest versus a series of nearby forest fragments, to evaluate short-term response to hurricane disturbance in terms of mortality and sprouting, and to assess the ability of hurricanes to maintain forest structure. We sampled damage from 33 plots (1.3 ha) across a 3000-ha tract of forest as well as in 19 fragments. For stems with 2.5-cm minimum diameter, 1004 stems/ha (12.4%) suffered structural damage, while 69 percent of the undamaged stems were at least 50 percent defoliated. Basal area lost to structural damage equaled 4.0 m2/ha (22%) in south-facing native forests. Structural damage and defoliation increased with stem diameter and were more common in certain dry forest species. South-facing forests and those on ridgetops incurred more damage than north-facing forests or those comprised primarily of introduced species. Stem mortality was only 2 percent of all stems after 9 mo. Structural damage did not necessarily result in stem mortality. Hurricane-induced mortality was not associated with stem height or diameter, but was ten times greater than background mortality. Basal sprouting was proportional to the amount of structural damage incurred in a stand. Forest fragments experienced the same patterns of hurricane effects as the reference forest. The low, dense structure of Caribbean dry forest can be maintained by hurricane damage to larger stems and induction of basal sprouting to generate multistemmed trees.",65,Journal,ar,Article,100,8,8,Caribbean | Disturbance | Forest structure | Hurricane | Litterfall | Mortality | Nutrients | Puerto Rico | Subtropical dry forest | Wind,13817,undefined,0,FALSE,5,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344469604,SCOPUS_ID:31344469604,2-s2.0-31344469604,Complex nesting behavior by two Neotropical species of the ant genus Stenamma (Hymenoptera: Formicidae),Longino J.,Biotropica,00063606,37,4,670-675,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00085.x,"Two Neotropical ant species, Stenamma expolitum Smith and S. alas new species (described here), exhibit three unusual nesting behaviors: (1) they build architecturally sophisticated nest entrances that elevate the nest opening away from the surface; (2) they maintain multiple identical nests but occupy only one of them; and (3) they keep a round ""door pebble"" at the nest entrance, with which they plug the opening in response to army ants. Adaptive hypotheses for these behaviors are discussed, including the possibility that there are multiple lines of defense against army ant predation.",13,Journal,ar,Article,100,1,1,Army ants | Costa Rica | Ecitoninae | Formicidae | Neotropics | New species | Predator defense | Stenamma,13817,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344468541,SCOPUS_ID:31344468541,2-s2.0-31344468541,Aboveground roots in Amazonian floodplain trees,Wittmann F.,Biotropica,00063606,37,4,609-619,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00078.x,"Sediment-rich rivers seasonally flood central Amazonian várzea forests, leading to periodic anoxic conditions in the rhizosphere and requiring morphological and structural adaptations, such as aboveground root systems. We investigated some possible relationships between root types and environmental factors in forest plots covering 3.1 ha of várzea in the Mamirauá Sustainable Development Reserve, Brazil. Digital elevation models of the study sites were obtained; sedimentation and soil texture were investigated to check relationship between position of trees on the flood gradient, soil conditions, and aboveground root systems. Different types of aboveground roots were closely related to flooding duration and habitat dynamics. Species subjected to higher and more prolonged floods tended to produce more aboveground roots than species subjected to lower and shorter inundations. Plank-buttressing species increased with decreasing flood height and/or flood duration, and with increasing growth height and basal area. Habitats inundated for long periods were dominated by species with low growth heights and low basal areas, which formed stilt roots and aerial roots. Root system and sediment deposition showed a close relationship, plank buttressing being more common in sites subjected to lower sediment rates. In the disturbed sites close to the main river channel colonized by pioneer species, the occurrence of buttresses was lower than in less disturbed climax stages. No clear relationship was found between root systems and sediment grain sizes.",31,Journal,ar,Article,100,2,2,Aerial roots | Amazonia | Brazil | Buttresses | Flooding | Stilt roots | Succession | Tropics | Várzea | Vegetation zonation,13817,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344466329,SCOPUS_ID:31344466329,2-s2.0-31344466329,Diverse optical and photosynthetic properties in a neotropical dry forest during the dry season: Implications for remote estimation of photosynthesis,Gamon J.A.,Biotropica,00063606,37,4,547-560,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00072.x,"Using optical and photosynthetic assays from a canopy access crane, we examined the photosynthetic performance of tropical dry forest canopies during the dry season in Parque Metropolitano, Panama City, Panama. Photosynthetic gas exchange, chlorophyll fluorescence, and three indices derived from spectral reflectance (the normalized difference vegetation index, the simple ratio, and the photochemical reflectance index) were used as indicators of structural and physiological components of photosynthetic activity. Considerable interspecific variation was evident in structural and physiological behavior in this forest stand, which included varying degrees of foliage loss, altered leaf orientation, stomatal closure, and photosystem II downregulation. The normalized difference vegetation index and the simple ratio were closely related to canopy structure and absorbed radiation for most species, but failed to capture the widely divergent photosynthetic behavior among evergreen species exhibiting various degrees of downregulation. The photochemical reflectance index and chlorophyll fluorescence were related indicators of photosynthetic downregulation, which was not detectable with the normalized difference vegetation index or simple ratio. These results suggest that remote sensing methods that ignore downregulation cannot capture within-stand variability in actual carbon flux for this diverse forest type. Instead, these findings support a sampling approach that derives photosynthetic fluxes from a consideration of both canopy light absorption (e.g., normalized difference vegetation index) and photosynthetic light-use efficiency (e.g., photochemical reflectance index). Such sampling should improve our understanding of controls on photosynthetic carbon uptake in diverse tropical forest stands.",29,Journal,ar,Article,100,5,5,APAR | Biodiversity | Canopy crane | Normalized difference vegetation index (NDVI) | Photochemical reflectance index (PRI) | Photosynthetic downregulation | Radiation-use efficiency | Tropical dry forest | Xanthophyll cycle,13817,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344462361,SCOPUS_ID:31344462361,2-s2.0-31344462361,Note from the editor,Chazdon R.,Biotropica,00063606,37,4,713,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00095.x,NA,0,Journal,ed,Editorial,100,1,1,NA,13817,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/31344460048,SCOPUS_ID:31344460048,2-s2.0-31344460048,Geographic variation and succession of arthropod communities in inflorescences and infructescences of Xanthosoma (Araceae),García-Robledo C.,Biotropica,00063606,37,4,650-656,2005-12-01,December 2005,10.1111/j.1744-7429.2005.00082.x,"Phytotelmata, small aquatic ecosystems within different structures of terrestrial plants, occur in the inflorescescences and infructescences of Xanthosoma (Araceae). This study reports changes in composition and abundance of arthropods during the anthesis of inflorescences and in the developing infructescences of three species of Xanthosoma at three different geographic locations: (1) X. undipes in a tropical cloud forest of Costa Rica, Central America; (2) X. daguense in a tropical cloud forest in the central Andes of Colombia; and (3) X. poeppigii in the Peruvian Amazonas. All Xanthosoma species displayed similar interactions with the main pollinators, dynastine beetles. We observed a succession from terrestrial to aquatic arthropods as inflorescences aged and set fruit. However, community composition varied among different Xanthosoma species. Some arthropods recorded in Xanthosoma phytotelmata have also been reported as inflorescence visitors of the dynastine-pollinated terrestrial genus Dieffenbachia and of vines from Philodendon and Syngonium. Further research may elucidate if phytotelmata similar to those described for Xanthosoma could occur among dynastine-pollinated genera of Araceae, both in the understory and the canopy of Neotropical forests.",19,Journal,ar,Article,100,3,3,Arthropod communities | Geographic variation | Phytotelmata | Xanthosoma,13817,undefined,0,FALSE,10,NA,NA,NA,NA
