@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/85063915399,SCOPUS_ID:85063915399,2-s2.0-85063915399,Bird species diversity on an andean elev ational gradient,Terborgh J.,Ecology,00129658,58,5,1007-1019,1977-01-01,1977,10.2307/1936921,"This paper analyzes patterns of bird species diversity on an elevational transect of the Cordillera Vileabamba, Peru. Major changes in climate and vegetation are encompassed by the transect which extended from the Apurimac Valley floor at 500 m to the summit ridge of the range at > 3,500 m. Four vegetation zones are easily discerned-lowland rain forest, montane rain forest, cloud forest, and elfin forest. In progressing upwards there is a monotonic trend toward decreasing canopy stature and reduced number of plant strata. The vegetation gradient provided the opportunity to examine the relation between bird species diversity and habitat complexity in an entirely natural setting. The decrease in forest stature with elevation was closely paralleled by decreasing avian syntopy (the total number of bird species cohabiting the forest at a given elevation). Bird species diversity was shown to be highly correlated with foliage height diversity, using either four or five layers in the foliage height diversity calculation (r = .97), and less well correlated using three layers, as defined previously by MacArthur (r = .84). At this superficial level the trend in bird species diversity seemed to be adequately explained as a response to the vegetation gradient. This preliminary conclusion was found to be illusory when the elevational trend in syntopy was reexamined separately for three major trophic subdivisions of the fauna. The number of insectivores decreased 5.2-fold from the bottom to the top of the gradient, frugivores decreased by a factor of 2.3, and nectarivores showed no change. It was now clear that the diversity in each of these trophic categories was responsive to environmental influences other than, or in addition to, the gradient in habitat structure. Additional factors implicated by the available evidence are competitive interactions with other taxa at the same trophic level, changing composition of the resource base as a function of elevation, and declining productivity at high elevations. Analysis of netted bird samples revealed an unexpected diversity maximum in the lower cloud forest zone. The immediate cause of this was a relaxation of the vertical stratification of foraging zones, such that an anomalously large fraction of the species present entered the nets. The excess diversity was found to consist almost entirely of insectivores. Several factors appear to contribute to the ultimate causes of the diversity maximum: greater patchiness of the montane forest due to the rugged topography, a higher density of foliage near the ground, and possibly increased resource productivity. A correlation between diversity and density in the netting results suggested a causal connection mediated via resource levels. The conclusion is that diversity is a complex community property that is responsive to many types of influences beyond simply the structure of the habitat.",350,Journal,ar,Article,100,1,1,Andes | Birds | Ecotone | Environmental gradient | Foliage height diversity | Peru | Species diversity,20308,NSF,GB-20170,National Science Foundation,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84979603418,SCOPUS_ID:84979603418,2-s2.0-84979603418,Population growth rates and age versus stage-distribution models for teasel (Dipsacus sylvestris Huds.),Werner P.A.,Ecology,00129658,58,5,1103-1111,1977-01-01,1977,10.2307/1936930,"Mathematical models are developed to examine the population-level response of an herbaceous plant species (teasel, Dipsacus sylvestris Huds.) which was experimentally introduced into several habitats and monitored for 5 yr. Models based on morphological stages (size) rather than chronological age give more satisfactory results. Population growth rates (λ m ) range from 0.63 to 2.60, which are likely typical for fugitive plants. Values are interpreted as responses to both external and internal factors. Grass litter, and the presence of other dicotyledonous species, and the overall primary productivity of the rest of the community are important factors determining the success or failure of an attempted colonization by teasel. Individual plant and population-level growth rates seem to be determined independently.",200,Journal,ar,Article,100,2,2,Age-distribution | Biennial | Colonization | Dipsacus | Fugitive species | Mathematical models | Michigan | Morphological stages | Old-fields | Plant populations | Population dynamics | Population growth rates | Population projection matrix,20308,NSF,BMS 74-01602 toP,National Science Foundation,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84934959100,SCOPUS_ID:84934959100,2-s2.0-84934959100,Dispersal in island and mainland voles,Tamarin R.,Ecology,00129658,58,5,1044-1054,1977-01-01,1977,10.2307/1936924,"Dispersal was studied in the beach vole, Microtus breweri (Baird) by monthly removal of animals from an experimental 0.8-ha grid. Microtus breweri is endemic to Muskeget Island, Massachusetts. A nearby live-trap grid provided information about residents. The same design was used on the mainland to trap the meadow vole, Microtus pennsylvanicus, to compare with the beach vole, which does not undergo the regular 3- to 4-yr cycles typical of the mainland. Both populations, however, had similar peak densities (160-180/ha). In M. breweri, dispersal is a simple process. Dispersers move short distances and are a random sample of the control population for age structure and sex ratio. In M. pennsylvanicus dispersal movements are longer. More mainland ♀ ♀ disperse in summers and more ♂ ♂ in winters. The age structure of mainland dispersers is not a random sample of the control population. Seventy percent of the variance in number of dispersers is explained by the density and rate of increase of the control population in M. breweri, but only 46% is thus explained in M. pennsylvanicus. Density is the more important of the 2 variables. Twenty-nine percent of the losses in the control population are caused by dispersal on Muskeget Island with a corresponding figure of 7% for the mainland. Virtually none of the mortality in the cyclic decline on the mainland can be accounted for by dispersal. In both species, dispersers are in reproductive condition to a greater extent than residents. Mice in the island population have larger home ranges than the mainland mice. Males have larger home ranges than ♀ ♀, and on the mainland, adults have larger home ranges than subadults. Both species have larger home ranges in summers. A model is constructed in which the differences in dispersal characteristics between the 2 species are attributable to differences in availability of a place into which the dispersers can move. I suggest that the mainland population has selective dispersal leading to cycles, whereas the island has a simple drainage of excess recruits, no selection by way of dispersal, and subsequently no cycles. The model suggests how this can evolve.",31,Journal,ar,Article,100,1,1,Cycles | Dispersal | Dispersal sink | Islands | Massachusetts | Microtus | Natural selection | Population regulation | Rodentia,20308,NIH,HD0662 I,National Institutes of Health,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33751228373,SCOPUS_ID:33751228373,2-s2.0-33751228373,Influences of seasonal changes in leaf morphology on water-use efficiency for three desert broadleaf shrubs,Smith W.,Ecology,00129658,58,5,1033-1043,1977-01-01,1977,10.2307/1936923,"The influences of seasonal variations in leaf length, pubescence, and the ratio of internal to external leaf area (Ames/A) on transpiration and photosynthesis were evaluated for 3 desert broad-leafs (Encelia farinosa [Grey], Hyptis emoryi [Torr.], and Mirabilis tenuiloba [Wats.]). Field data were incorporated into energy balance and gas exchange equations to determine water-use efficiencies (mass C0 2 fixed/mass H 2 0 transpired) at various times throughout a year. These results were compared with simulated values for leaves without the observed seasonal changes in morphology. For Encelia, leaf lengths were over 3-fold greater during the winter and spring than during the drier summer and fall (4.0 cm vs. 1.2 cm). Increases in pubescence during dry periods led to substantial decreases in the leaf absorptance to solar irradiation (from 0.61 to 0.43). Similar alterations occurred for Hyptis, but with less month-to-month variation, while Mirabilis had comparatively small changes in these leaf parameters. For Mirabilis A mes /A was about 75% greater (maximum values of ≈70 vs. 40 for Encelia and Hyptis) and varied less (9% variation) during the year compared with Encelia and Hyptis (46% and 24% variation, respectively). Minimum leaf resistances to H 2 0 vapor diffusion (R wv ) were similar for Encelia and Hyptis throughout most of the year, while Mirabilis had much higher values. The optimal temperature for photosynthesis was several degrees higher for Mirabilis (34°C vs. 30°C for Encelia and Hyptis). The calculated cellular resistance for C0 2 diffusion (R cell Co 2 ) was lowest for Mirabilis (147 s/cm) and almost identical for Encelia and Hyptis (282 s/cm). Encelia, and to a lesser degree Hyptis, had maximum photosynthetic rates at a lower water-use efficiency when water was available and greatest water-use efficiency at reduced photosynthetic levels during drier periods of the year. During a shorter growth period in the wet portion of the year, Mirabilis had a consistently high water-use efficiency (.016) and a moderate photosynthetic rate, reflecting its much higher A mes /A and R wv combined with a lower R cell CO 2 . Simulations for leaves without the observed changes in morphology that occurred during the drier months showed that the mean water-use efficiency for the year would have been ≈48% less for Encelia, 41% less for Hyptis, and only 3% less for Mirabilis. A decrease in leaf length, a decrease in absorptance, and an increase in A mes /A contributed about equally to the estimated seasonal increases in water-use efficiency for Encelia and Hyptis. Simulated transpiration and photosynthesis for leaves with morphology characteristic of drier periods resulted in water-use efficiencies similar to those for natural conditions, but annual photosynthesis was reduced ≈24% for Encelia, 17% for Hyptis, and <2% for Mirabilis.",67,Journal,ar,Article,100,2,2,Encelia | Hyptis | Leaf absorptance | Leaf morphology | Mesophyll area | Mesophyll resistance | Mirabilis | Photosynthesis | Transpiration ratio | Water-use efficiency,20308,UCLA,EY -76-C-03-00 12,"University of California, Los Angeles",0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2742551791,SCOPUS_ID:2742551791,2-s2.0-2742551791,"Defenses of males against cannibalism in the rotifer asplanchna: Size, shape, and failure to elicit tactile feeding responses",Gilbert J.,Ecology,00129658,58,5,1128-1135,1977-01-01,1977,10.2307/1936933,"In Asplanchna, ♂♂ are considerably smaller than the ♀♀. In A. sieboldi this sexual dimorphism may be further accentuated because the ♀♀ are trimorphic in size and shape. The intermediate-sized, cruciform, and especially the largest, campanulate morphs are cannibalistic. However, the ♂♂ axe protected from these cannibalistic ♀♀ by 2 different types of mechanisms. They can fail to elicit contact feeding responses and they can have body sizes and body wall outgrowths sufficiently large to prevent attacking ♀♀ from capturing them. The degree to which each of these mechanisms is developed can vary greatly between clones or taxa, may be inversely related, and may be a function of the voracity and size of cannibalistic ♀♀ to which the ♂♂ are generally exposed. Campanulate ♀♀ from clone 12C1 readily attacked both ♀♀ from the smallest, saccate morph of their own clone and also ♂♂ from clone 10C6, but they rarely attacked ♂♂ of their own clone. Campanulate ♀♀ from clone 10C6 regularly attacked <5 clonemates, but cruciform ♀♀ from this clone responded more frequently to ♂♂ from clone 12C1 than to ♂♂ from their own clone. On a given diet, ♂♂ from clone 10C6 were about 1.5x larger and had more pronounced body wall outgrowths than those from clone 12C1. In both clones, the sizes of <J 8 and mictic (♂-producing) ♀♀ were influenced by the diet, being larger in populations fed on the rotifer Brachionus calyciflorus than those fed on the ciliate Paramecium aurelia. It may be adaptive for ♂♂ to be as small and simply constructed as possible; they have only a rudimentary digestive system, and so energy for their production must come entirely from their mictic-♀ parents. Therefore, ♂ size and body wall outgrowth development may represent a balance between production costs and ability to withstand cannibalism. Evolution of a mechanism preventing attack by cannibalistic ♀♀ may decrease the requirements for defensive structures and increase the efficiency of ♂ production and hence subsequent resting egg production.",9,Journal,ar,Article,100,1,1,Asplanchna | Behavior | Cannibalism | Feeding | Males | Polymorphism | Predation | Rotifers | Sexuality,20308,NSF,GB-31282,National Science Foundation,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0342560355,SCOPUS_ID:0342560355,2-s2.0-0342560355,Energetics of the starling (Sturnus vulgaris) in a pine woods,Kelty M.,Ecology,00129658,58,5,1181-1185,1977-01-01,1977,10.2307/1936941,"Field laboratory studies were conducted during the winter of 1975-76 to assess and the. energetic determinants of the communal roosting behavior of the Starling (Sturnus vulgans) m a pme woods. of the microclimate measured, only the wind velocity varied significantly between the recordings obtained outside of the pine woods and in areas within the woods that were used extensively as roost sites. Subjection to wind velocities of 2.9, 7.3, and 15.1 km/h at ambient temperatures of -10.0°, 0.0°, and 5.0 C mcreases m metabolism of the 30 Starlings tested. Selection of microchmates where wind velocity is virtually eliminated confers upon roost inhabitants the energetic advantage derived from minimized forced convective heat loss. The reduction in dally existence metabolism is estimated to range from 12% to 38% under environmental conditions that are normally present in temperate latitudes during winter nights.",26,Journal,ar,Article,100,2,2,Birds | Communal roost | Existence metabolism | Forced convection | Microclimate | O   consumptwn  2 | Ohio | Sturnus vulgans,20308,NSF,DEB 7509290,National Science Foundation,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141681750,SCOPUS_ID:0141681750,2-s2.0-0141681750,Long-term temporal variation and community dynamics of meiobenthic copepods,Coull B.C.,Ecology,00129658,58,5,1136-1143,1977-01-01,1977,10.2307/1936934,"To determine the organization, dynamics, and controlling mechanisms of an estuarine benthic copepod assemblage, 2 stations were established 1 km apart in a South Carolina estuary in January 1973, and sampled at monthly intervals for 3 yr. These sand and mud faunas displayed unique dynamic properties, yet species diversity, used as a measure of community structure, did not discriminate community differences seasonally, within or between the 2 locations. The mud fauna, distributed to a depth of 1 cm, had a randomly varying community abundance and diversity over time, and diversity was controlled by a marked seasonal cycling of species suites which recurred regularly. The sand fauna diversity decreased with time and was correlated to an increasing abundance trend. Sand faunal seasonality was not marked, however, diversity was maintained by a high spatial niche overlap of fauna through a 10-cm depth distribution. The communities were different in species composition, seasonal responses, environmental regimes, dominance relationships, and controlling factors, yet maintained equal diversity. Diversity, however, was maintained by different and independent mechanisms.",41,Journal,ar,Article,100,2,2,Copepods | Crustacea | Diversity | Meiobenthos | Persistence | South Carolina | Temporal and spatial partitioning,20308,NSF,OCE 72-01573 AOI,National Science Foundation,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038504750,SCOPUS_ID:0038504750,2-s2.0-0038504750,Patterns of primary succession on granite outcrop surfaces,Shure D.,Ecology,00129658,58,5,993-1006,1977-01-01,1977,10.2307/1936920,"The patterns of primary succession were studied in soil-island communities on a granite outcrop in Georgia. The island communities increase in area and depth over time and the soil becomes more organic. The strong moisture and temperature fluctuations that occur in shallow pioneer soils are significantly reduced in the later stages. Plant biomass and vertical stratification increase throughout succession as larger plant species invade the deeper communities. A small winter annual is the dominant pioneer species. Lichens, annuals, and eventually perennial species invade as succession progresses. Interspecific competition for moisture and nutrients regulates plant species composition at successive stages. Macroarthropod populations increase in density, biomass, and diversity throughout succession. The few soil microarthropod species that occur in the pioneer stages often exhibit rapid density oscillations in the shallow substrates. The deeper and more environmentally constant substrate of later stages contains a greater variety of microarthropods. Biotic diversity generally increases during primary succession on the outcrops. Plant diversity peaks at intermediate stages while microarthropod and macroarthropod diversity increase from pioneer through later stages. The strong physical factors on the outcrops determine the rate and extent of community development in particular soil-islands. However, as the many soil-islands undergo succession they converge in community characteristics such as total density, biomass, and diversity.",53,Journal,ar,Article,100,2,2,Arthropods | Diversity | Georgia | Granite outcrops | Plant communities | Soil m1croarthropods | Soil-islands | Succession,20308,NA,undefined,Emory University,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017590821,SCOPUS_ID:0017590821,2-s2.0-0017590821,Uptake of cadmium and lead by a rooted aquatic macrophyte (Elodea canadensis),Mayes R.A.,Ecology,00129658,58,5,1176-1180,1977-01-01,1977,10.2307/1936940,"The role of roots in the uptake of nonessential trace metals by aquatic macrophytes was mvestigated usmg Elodea canadensis. Plants were grown in 2 lakes in which metal concentrations in the water differed. Specimens in each lake were anchored in either control sediment or in sediment contaminated with Cd and Pb. Plants in the same water but in sediment from different sources had significantly different of the 2 metals. Elodea samples rooted in sediments from the same source but grown in water different levels of metals also accumulated significantly different amounts of Cd and Pb. Thus the Importance of both sediment and the surrounding water as sources of metals for aquatic was Samples grown in water and sediment containing low levels of metals had m1mmal concentrations of 0.32 μg/g Cd and 5.2 μ,g/g Pb, while plants grown in metal-contaminated water and sediment accumulated up to 32.33 μ,g Cd/g and 160.9 μ,g Pb/g",60,Journal,ar,Article,100,3,3,Aquatic macrophytes | Cadmium | Elodea canadensis | Heavy metals | Indiana | Lead | Mmeral cycling | Trace metals,20308,NSF,Gl35106,National Science Foundation,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017387291,SCOPUS_ID:0017387291,2-s2.0-0017387291,Effects of herbicides on species diversity of two plant communities,Tomkins D.,Ecology,00129658,58,2,398-406,1977-01-01,1977,10.2307/1935614,"Six community statistics were computed to describe the structure of two plant communities and the effects of herbicide perturbation on community structure and composition. It was found that the number of individuals and the total plant height were correlated, and the three diversity components (species number, community dominance, and information content) were highly correlated. Auxin herbicides caused an increase in the number of grasses with marked and persistent simplification of both community types. The nonselective herbicide, Diuron, also induced a very simplified community, but with no change in the graminoid:forb ratio. Simazine treatment also had long lasting effects on species diversity, but resulted in a more complex vegetation than found in control plots with a much lower cover of broadleaf weeds. Paraquat initially eliminated both monocotyledons and dicotyledons, but vegetation recovered rapidly. However there was a long term effect on the composition of the recovered vegetation. The resistance to modification by herbicides was greater in the old field community than in the recently disturbed one.",14,Journal,ar,Article,100,2,2,NA,20308,NA,undefined,NA,0,FALSE,10,NA,NA
