@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84934953875,SCOPUS_ID:84934953875,2-s2.0-84934953875,Foraging efficiency and body size: A study of optimal diet and habitat use by bluegills,Mittelbach G.,Ecology,00129658,62,5,1370-1386,1981-01-01,1981,10.2307/1937300,"A foraging model was developed to predict the optimal diet breadth and maximum energetic intake of a given-sized fish foraging in each of three aquatic habitats: the open water, vegetation, and bare sediments. Model parameters of prey encounter rates and prey handling times were quantified as functions of fish size, prey density, and prey size through a series of laboratory feeding experiments using the bluegill sunfish (Lepomis macrochirus). Results of these experiments show both searching ability and prey handling efficiency to increase with increasing fish size. Predictions of prey size selection and optimal habitat use based upon maximizing energetic gain were then examined in a small Michigan lake for three size classes of bluegills. Bluegills >100 mm standard length were highly size selective in their feeding and their diets closely matched predictions of an optimal diet model. From two estimates of relative prey visibilities I show that these fish selected larger prey items than would be predicted if prey were consumed ""as encountered."" Habitat use of large bluegills was also shown to maximize foraging return as fish switched from utilizing vegetation-living prey to utilizing open-water zooplankton as relative foraging profitabilities in the two habitats changed across the summer. Bluegills <100 mm standard length were restricted in their habitat use, remaining in or near the vegetation despite demonstrated increases in foraging return available in the open-water habitat. Size-related predation risk apparently accounts for differences in habitat use between bluegill size classes, and its consequences for intra- and interspecific competition between size classes are discussed.",620,Journal,ar,Article,100,1,1,Body size | Foraging efficiency | Habitat switching | Lepomis | Michigan | Osteichthyes | Predation risk | Size selection,20308,DEB 7620106,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/20244372064,SCOPUS_ID:20244372064,2-s2.0-20244372064,Heated taxidermic mounts: A means of measuring the standard operative temperature affecting small animals,Bakken G.,Ecology,00129658,62,2,311-318,1981-01-01,1981,10.2307/1936705,"The theory and procedures for using electrically heated taxidermic mounts to measure the standard operative temperature, Tes, of natural habitats have been examined using the American Goldfinch, Carduelis tristis. Tes is a thermal index directly related to the metabolic requirements of a specific endothermic animal. Tes may be calculated from a thermal energy budget analysis. However, direct measurement of Tes, using heated mounts as “environmental temperature thermometers” is simpler and allows measurements in confined spaces, such as nocturnal roosts, which are inaccessible to conventional instrumentation. For the goldfinch, heated mounts predict metabolic heating less evaporative cooling with an uncertainty of ±5% for temperatures below the thermal neutral zone and winds of 0-1.5 m/s.",52,Journal,ar,Article,100,4,4,Carduelis tristis | Cover | Environmental temperature | Metabolism | Operative temperature | Roosts | Standard operative temperature | Taxidermic mounts | Thermoregulation,20308,DEB-77-25487,0,FALSE,2,NSF,National Science Foundation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759491,SCOPUS_ID:0019759491,2-s2.0-0019759491,Experimental analysis of microhabitat selection in water-striders ( Heteroptera: Gerridae).,Spence J.,Ecology,00129658,62,6,1505-1514,1981-01-01,1981,10.2307/1941507,"Associations between water-strider species and particular types of vegetation structure result proximately from habitat fidelity at the time of spring colonization and from different preferences for habitats within lakes. Individual gerrids discriminate among lakes during prereproductive dispersal on a trial-and-error basis. Wind and surface disturbance increase preference for sheltered habitats in all species studied but extent of response varies among species. Gerris pingreensis and G. comatus actively seek out emergent cover and open habitats, respectively. G. buenoi is a habitat generalist but distribution of this species is affected by a tendency to avoid other species. Foraging efficiency varies with habitat structure and species morphology and therefore surface habitats provide a variable selective background for the evolution of gerrid species. -from Author",29,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759490,SCOPUS_ID:0019759490,2-s2.0-0019759490,"Seasonal patterns in production and drift of Gammarus pseudolimnaeus in Valley Creek, Minnesota.",Waters T.F.,Ecology,00129658,62,6,1458-1466,1981-01-01,1981,10.2307/1941502,"Production, drift and growth correlated well in a pronounced seasonal periodicity, with maxima in the warm months. Serious siltation occurred about midway in the study, reducing the population standing stock, production and drift. During the lst 2 yr prior to the siltation, daily production (dry mass) reached summer maxima of 0.12-0.14 g/m2, and maximum drift about 120-220 g dry mass d-1 m-3 s-1, both falling to zero, or near, in winter. Daily instantaneous growth rate reached maxima of about 0.03 in all years, with zero growth in winter. Annual dry mass production by the Length Increment Alternative was 271, 238, 123, 57, and 91 kg/ha for 1968-73 respectively. -from Author",15,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759185,SCOPUS_ID:0019759185,2-s2.0-0019759185,Niche parameters and species richness.,Fox B.,Ecology,00129658,62,6,1415-1425,1981-01-01,1981,10.2307/1941497,"Examines how spatial niche parameters change as functions of species richness, based on the partitioning of space by a community of small mammals in eastern Australian coastal heathland. Mean niche breadth and mean niche overlap were negative functions of species richness while mean niche separation was a positive function of species richness. Total spatial niche overlap increased to a peak and then decreased as the number of species increased. Results support Pianka's niche overlap hypothesis: mean overlaps were significantly higher than expected with a few species and significantly lower with many species, suggesting diffuse competition. Unsaturated patches showed an opposite effect, when space did not appear to be limiting, strongly implying that interspecific interactions play an important role in limiting the closeness of species packing in this community. Additional species are accommodated by significantly increasing mean spatial niche separation, thus decreasing mean spatial overlap.-from Author",43,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759184,SCOPUS_ID:0019759184,2-s2.0-0019759184,Species interactions and community structure in Alaskan seabird colonies.,Whittam T.,Ecology,00129658,62,6,1515-1524,1981-01-01,1981,10.2307/1941508,"Quantifies species associations and community structure within 5 nesting guilds of Alaskan seabirds using multiway contingency tables and log-linear models. The species combinations differ in frequency from those expected using an independent assortment model. Simple models that adequately describe the data structure contain mostly positive 2-way interactions between species. Higher order interactions, although uncommon, may suggest a type of diffuse competition. A ranked measure of resource overlap is uncorrelated with the magnitude of species interactions within guilds, but is positively correlated with deviations from independence among all species pairs.-from Authors",23,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759171,SCOPUS_ID:0019759171,2-s2.0-0019759171,Plant protection as a consequence of an ant- membracid mutualism: interactions on goldenrod ( Solidago sp).,Messina F.,Ecology,00129658,62,6,1433-1440,1981-01-01,1981,10.2307/1941499,"In central New York, two chrysomelid beetles, Trirhabda virgata and T. borealis frequently cause severe defoliation of tall goldenrod, Solidago altissima. This plant is also the primary host of Publilia concava (Membracidae), a sap-feeding treehopper that is tended by ants, especially Formica spp. Formica ants attack adult Trirhabda beetles on goldenrod stems bearing membracids. Such stems escape defoliation by Trirhabda, and show greater mean height increment and seed production than their nearest neighbors without ants. During Trirhabda outbreaks, only stems bearing Formica for most of the season are likely to produce flowers and seeds. -from Author",167,Journal,ar,Article,100,1,1,NA,20308,undefined,0,FALSE,7,NA,NA,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0019759170,SCOPUS_ID:0019759170,2-s2.0-0019759170,"Plankton metabolism and carbon processes in the Amazon River, its tributaries, and floodplain waters, Peru- Brazil, May-June 1977.",Wissmar R.,Ecology,00129658,62,6,1622-1633,1981-01-01,1981,10.2307/1941517,"Large-scale events such as flooding can have a major impact upon the cycling of carbon and nutrients in these aquatic ecosystems. During high water, the major factors influencing primary production appeared to be nutrient concentrations in the mouthbays and varzea (floodplain) lakes and high levels of suspended matter in the Amazon mainstem. In riverine systems, plankton primary production (PPP) averaged 4.04 mg C m-3 h-1, and measures of respiration (Re) averaged 0.67 mg C m-3 h-1. In the more productive varzea lakes and mouthbays, PPP averaged 26.37 mg C m-3 h-1 and Re averaged 2.30 mg C m-3 h-1. Bacterial densities, 14C-acetate rate constants for uptake, and plankton carbon: ATP ratios implied that heterotrophic microbiota were important components of the plankton communities in riverine waters. The importance of terrestrial organics to metabolic activity in all waters was implied by high particulate carbon:nitrogen ratios (20:1). -from Authors",66,Journal,ar,Article,100,4,4,NA,20308,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759047,SCOPUS_ID:0019759047,2-s2.0-0019759047,An experimental study of the structure of herbivorous insect communities in a salt marsh.,Vince S.,Ecology,00129658,62,6,1662-1678,1981-01-01,1981,10.2307/1941520,"Fertilization resulted in increased standing crop of low and high marsh insect herbivores. Greatest herbivore loads occurred where grass N content as well as standing crop had increased. The herbivore increases were largely due to in situ changes in survivorship and fecundity in response to higher plant N content. The herbivore response to fertilization was rapid, tracking in a single summer the nutrient and biomass changes of the grasses. The rate of increase, however, differed among herbivore species, and was positively related to the annual number of generations. Nutrient additions did not alter the diversity of the high marsh herbivore community, but led to increased diversity in low marsh, achieved primarily through greater equitability of the species abundances. The low marsh herbivore community responded to fertilization mainly with greater numbers of mirids, cicadellids, and grasshoppers, although normally dominated by the delphacid Prokelisia marginata. Potential increases in number of P. marginata in response to fertilization were checked by increased abundance of spiders.-from Authors",106,Journal,ar,Article,100,3,3,NA,20308,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0019759046,SCOPUS_ID:0019759046,2-s2.0-0019759046,Small-scale variability in the demography of transplants of two herbaceous species.,Fowler N.,Ecology,00129658,62,6,1450-1457,1981-01-01,1981,10.2307/1941501,"Individuals of Plantago lanceolata and Salvia lyrata were transplanted into plots of otherwise unmanipulated vegetation. Individuals came from one of 12 half-sibships (common mother). Consistent differences among plots, in survivorship, size, and reproduction, were found in both species, although the plots were only metres apart. Evidence for genetic and genetic X environmental variation in P. lanceolata is suggestive. -from Authors",38,Journal,ar,Article,100,2,2,NA,20308,undefined,0,FALSE,10,NA,NA,NA,NA
