@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0023587042,SCOPUS_ID:0023587042,2-s2.0-0023587042,Late Quaternary aridity in the Lake Valencia basin (Venezuela)? Comment and reply,Salgado-Labouriau M.L.,Ecology,00129658,68,5,1551-1555,1987-01-01,1987,10.2307/1939239,In her comment M. L. Salgado-Labouriau complains that her designation of the late glacial as dry has been converted by B. W. Leyden to arid. Other discrepancies between the two are discussed. In reply B. W. Leyden suggests that the principal disagreement is over the importance of Moraceae and other Urticales pollen in the early Holocene sediments. -K.Clayton,2,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023520729,SCOPUS_ID:0023520729,2-s2.0-0023520729,Nonlinear ordination using flexible shortest path adjustment of ecological distances.,Bradfield G.,Ecology,00129658,68,3,750-753,1987-01-01,1987,10.2307/1938484,Examines the performance of shortest path adjustment using both real and simulated vegetation data.-from Authors,44,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023520694,SCOPUS_ID:0023520694,2-s2.0-0023520694,Interference and exploitation in a guild of woodland ants.,Fellers J.,Ecology,00129658,68,5,1466-1478,1987-01-01,1987,10.2307/1939230,"Evaluates the effects of exploitation and interference on the foraging behaviour of 9 species of ants in a Maryland woodlot. These species overlapped substantially in both the size and type of prey taken. Three types of encounters occurred between species at baits: attacks, avoidance, and coexistence. Camponotus ferrugineus, Lasius alienus, Prenolepis imparis and Formica subsericea fell into a dominant group, while Myrmica punctiventris, M. emeryana, Aphaenogaster rudis, Tapinoma sessile and Leptothorax curvisponus were increasingly subordinate. Subordinate species significantly reduced feeding time when in the presence of other species. Exploitative abilities of the species were studied by observing ant activity at baits. Leptothorax curvispinosus, A. rudis and the Myrmica spp. arrived first at a higher percentage of baits that did C. ferrugineus, which was significantly slower at finding new food sources. An inverse correlation was found between exploitative and interference ability, which enabled the subordinate species to obtain resources.-from Authors",291,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023520631,SCOPUS_ID:0023520631,2-s2.0-0023520631,The role of predation in age- and size-related habitat use by stream fishes.,Schlosser I.,Ecology,00129658,68,3,651-659,1987-01-01,1987,10.2307/1938470,Examined the effects of age and body size on intra- and interspecific habitat relationships for 15 species of fishes in a natural 2nd-order warmwater stream. Juveniles of all taxa and adults (> age 0) of taxa with small maximum body size (darters and cyprinids) were at high densities predominantly in shallow riffle and raceway habitats. Adults of taxa with large maximum body size (catastomids and centrarchids) were at low densities predominantly in deep pool habitats. The high density and extensive overlap in habitat use of small fishes in shallow habitats of small warmwater streams is apparently related to the increased risk of predation by centrarchids in pools.-from Author,318,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023520607,SCOPUS_ID:0023520607,2-s2.0-0023520607,"Indirect interactions between prey: apparent competition, predator aggregation, and habit segregation.",Schmitt R.,Ecology,00129658,68,6,1887-1897,1987-01-01,1987,10.2307/1939880,"Explored the nature of indirect interactions between 2 groups of ecologically distinct prey that occur on subtidal rocky reefs at Santa Catalina Island, California. Mobile gastropods (Tegula aureotincta, T. eiseni, Astraea undosa) and sessile bivalves (mostly Chama arcana) share a common set of invertebrate predators (lobster Panulirus interruptus, cephalopod Octopus bimaculatus, whelk Kelletia kelletii). The gastropods, which are secondarily preferred prey, principally occur on cobble reefs and less commonly on high-relief boulder reefs. Sessile bivalves and other species of favored prey are common on high-relief reefs and are rare or absent in cobble areas. The density of each predator species is greatest in high-relief areas containing abundant favored prey. Each group of prey was negatively affected by the presence of the other because each alternative prey increased the local density of predators. Such a doubly negative indirect interaction between prey, mediated by a shared predator, is known as 'apparent competition'; this is the first experimental demonstration of its existence.-from Author",117,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023520329,SCOPUS_ID:0023520329,2-s2.0-0023520329,Lianas as structural parasites: the Bursera simaruba example.,Stevens G.,Ecology,00129658,68,1,77-81,1987-01-01,1987,10.2307/1938806,"Fecundity of female Bursera simaruba trees was negatively correlated with their degree of coverage by lianas in the deciduous forests of Santa Rosa National Park, Guanacaste Province, Costa Rica. Experimental reduction of the liana load of heavily overgrown trees resulted in an increase in fruit production. That lianas are detrimental to the fecundity of their hosts, coupled with the fact that lianas require physical contact with trees as a consequence of their growth form, suggests that lianas should be viewed as structural parasites. -from Author",164,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519831,SCOPUS_ID:0023519831,2-s2.0-0023519831,"The selective basis for dispersal of the prairie vole, Microtus ochrogaster.",Johnson M.L.,Ecology,00129658,68,3,684-693,1987-01-01,1987,10.2307/1938474,"Dispersal into optimal habitat resulted in high survival and reproduction. Frustrated dispersal resulted in low survival, but once these animals became established, they showed high reproductive activity. Females appeared to benefit most from living in a population when density was reduced by dispersal.-from Authors",30,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519830,SCOPUS_ID:0023519830,2-s2.0-0023519830,Geomys bursarius burrowing patterns: influence of season and food patch structure.,Andersen D.,Ecology,00129658,68,5,1306-1318,1987-01-01,1987,10.2307/1939215,"Soil excavation rate, measured in terms of either daily additions to tunnel length or volume, or the maximum volume excavated during a 3 d interval, varied greatly among individuals. No significant effect due to season or density of belowground plant biomass was detected when burrowing was profitable. Individuals readily initiated aboveground travel in unprofitable treatments. Soil bulk density was negatively related and animal body mass positively related to excavation rate. Individuals deposited 41-87% of excavated soil on the ground surface; the remainder was used to backfill previously created tunnels or chambers. Plant size, but not plant spacing, affected the ratio of the volumes deposited aboveground and belowground. Backfilling may affect ecosystem structure and functioning as much as surface mound-building.-from Author",37,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519821,SCOPUS_ID:0023519821,2-s2.0-0023519821,Breeding birds of isolated woodlots: area and habitat relationships.,Blake J.,Ecology,00129658,68,6,1724-1734,1987-01-01,1987,10.2307/1939864,"Investigated breeding bird communities of isolated woodlots (1.8-600 ha) in E-central Illinois. Woodlots supported 9-43 species; composition was relatively constant among years. Ecological generalists dominated small woodlots; more specialized species increased in importance with area. Area accounted for most variation (86-98%) in total species number in each year; the species-area relationship did not change significantly among years. Area accounted for most variation in number of species in different migratory and breeding habitat categories, except for short-distance migrants, which correlated most strongly with habitat. Variation in habitat was not related to woodlot area and habitat accounted for additional variation in bird species numbers in most cases. Abundances of 1/3 to 1/2 of species examined correlated with woodlot area, but a greater proportion (66-72%) were influenced more strongly by habitat variables. Species that breed in forest interior habitat and winter in the tropics are most likely to be adversely affected by a reduction in forest habitat. Species found in smaller woodlots are subsets of species found in larger forests.-from Authors",229,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0023519817,SCOPUS_ID:0023519817,2-s2.0-0023519817,Defensive regurgitation of allelochemicals derived from host cyanogenesis by eastern tent caterpillars.,Peterson S.C.,Ecology,00129658,68,5,1268-1272,1987-01-01,1987,10.2307/1939211,Malacosoma americanum caterpillars regurgitate a droplet of enteric fluid when attacked by predatory ants. Incorporation of host-derived benzaldehyde into regurgitated fluid protects tent caterpillars from ant predation.-from Authors,61,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,10,NA,NA,NA,NA
