@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0026313217,SCOPUS_ID:0026313217,2-s2.0-0026313217,Fire and grazing in the tallgrass prairie: contingent effects on nitrogen budgets,Hobbs N.,Ecology,00129658,72,4,1374-1382,1991-01-01,1991,10.2307/1941109,"Combustion losses of N from ungrazed plots (1.8 g.m-2.yr-1) burned in the spring were double those from similarly burned, grazed plots (0.9 g.m-2.yr-1). These losses represented about half of the preburn, aboveground stocks of N. The magnitude of N loss was proportional to the standing crop biomass available for combustion. Fire temperatures and energy release were reduced by grazing. In the absence of burning, mowing (simulating heavy grazing) increased the likelihood that a patch would be regrazed and caused persistent reductions in the residual biomass remaining in a patch at the end of the growing season. Mowing did not influence patch utilization or residual biomass when pastures were burned. Thus, the effects of fire on grassland N budgets were modified by grazing, and the effects of grazing on the patch structure of grasslands were modified by fire. -from Authors",198,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026312810,SCOPUS_ID:0026312810,2-s2.0-0026312810,Factors affecting gerbil foraging behavior and rates of owl predation,Kotler B.P.,Ecology,00129658,72,6,2249-2260,1991-01-01,1991,10.2307/1941575,"Experimented on how illumination, habitat structure, and three different species of owls affected the foraging behavior of Gerbillus allenbyi and G. pyramidum, which coexist on sand dune habitats in the Negev Desert, Israel. In response to the presence of owls or to increased illumination, gerbils foraged less, shifted foraging activity to the bush microhabitat, and quit patches at a higher giving-up density of resources. In accord with moonlight avoidance, both gerbil species suffered higher predation rates under illumination. G. pyramidum distinguished among owl species, as indicated by changes in patch use and habitat selection. Gerbils foraged less in the open than in the bush microhabitat, foraged less when there was no cover present, and foraged less in the bush microhabitat when patches were encumbered by entangling branches. In accord with avoidance of open areas, both gerbil species suffered higher rates of predation when shrub cover was 0% than when shrub cover was 10%. With 0% cover, G. allenbyi suffered higher predation rates than G. pyramidum, but with 10% cover, rates of owl predation did not differ between gerbil species. Relative to G. allenbyi, G. pyramidum predominates on open sand dunes and biases its behavior toward the open microhabitat. -from Authors",411,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026312663,SCOPUS_ID:0026312663,2-s2.0-0026312663,Indirect effects of citrus cultivars on life history parameters of a parasitic wasp,Hare J.,Ecology,00129658,72,5,1576-1585,1991-01-01,1991,10.2307/1940957,"Determined sex ratio, initial egg complement, and size of adult Aphytis melinus, an ectoparasitoid of California red scale Aonidiella auranti. Wasps from scales reared on leaves of lemons Citrus limon produced nearly twice the proportion of female progeny as did wasps from scales reared on leaves of grapefruit Citrus paradisi, orange Citrus sinensis or mandarin Citrus unshiu. Female wasps from lemon-reared scales had highest initial egg complement, followed by wasps reared from grapefruit, mandarin, and orange. The quality of scales for the production of fecund female wasp progeny also varied seasonally over all cultivars pooled. Scales reached largest size when reared in the cooler autumn temperatures and were more than twice as suitable for the production of fecund, female A. melinus as scales reared in early summer or midsummer. -from Authors",35,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026312357,SCOPUS_ID:0026312357,2-s2.0-0026312357,"Life history and demography of the common mud turtle Kinosternon subrubrum in South Carolina, USA",Frazer N.,Ecology,00129658,72,6,2218-2231,1991-01-01,1991,10.2307/1941572,"For Kinosternon subrubrum in a fluctuating aquatic habitat data collected over 20 yr on survivorship and fecundity (clutch size, per capita clutch frequency) were assessed and compared to statistics for slider turtle Trachemys scripta in the same body of water and for yellow mud turtle K. flavescens in Nebraska. The annual survival rate for adult female Kinosternon (87.6%) is significantly higher than that of adult female Trachemys (77.4%). Male Kinosternon exhibit an annual survival rate (89.0%) significantly higher than that of male Trachemys (83.4%). The mean annual proportion of female Kinosternon that are reproductively active (50.7%) also is significantly higher than that of Trachemys (37.2%). Survival rate from the time eggs are laid by Kinosternon until hatchlings enter the aquatic environment (26.1%) is significantly higher than that for Trachemys (10.5%). Comparisons of findings with those for K. flavescens indicate that these geographically separate populations of congeneric species also differ substantially in age at maturity, mean generation time, and the mean proportion of females that are reproductively active in any given year. Differences were also apparent in mean clutch frequencies and adult survival rates. -from Authors",61,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026312343,SCOPUS_ID:0026312343,2-s2.0-0026312343,Complex predator-prey interactions within an estuarine benthic community,Posey M.,Ecology,00129658,72,6,2155-2169,1991-01-01,1991,10.2307/1941567,"Examined the direct effects of predation by an omnivorous grass shrimp, Palaemonetes pugio, and the indirect effects for prey species of interactions between this shrimp and other predators in the benthic community of Chesapeake Bay. Grass shrimp predation reduced the densities of a variety of benthic fauna, but the effects varied seasonally and with prey size. Interactions between grass shrimp and other predators took two forms: reduction of an infaunal predator by shrimp predation and predation on grass shrimp by fish. Both types of interactions had a mixed effect on lower trophic levels, with enhancement of certain benthic prey and no effect on other species. Interactions between grass shrimp and their fish predators resulted in changes in shrimp distribution independent of changes in shrimp abundance, creating spatial refugia for shrimp prey. The dynamics of indirect interactions in this community are strongly affected by the omnivorous nature of the major predators. -from Authors",123,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026312216,SCOPUS_ID:0026312216,2-s2.0-0026312216,Persistence of maternal nutrient effects in Plantago major: the third generation,Miao S.,Ecology,00129658,72,5,1634-1642,1991-01-01,1991,10.2307/1940963,"Maternal treatments were plants that 1) had received nutrient pulses in both the first and second generations, 2) had received a nutrient pulse only in the first generation, 3) had received a nutrient pulse only in the second generation, and 4) did not receive a nutrient pulse in either generation. Maternal environmental factors can affect plant phenotypic characters for at least three generations. The expression and the extent of these maternal effects varied with the resource condition experienced by the progeny, the intensity of competitive interactions, and life history stage. -from Authors",93,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026311922,SCOPUS_ID:0026311922,2-s2.0-0026311922,Herbivory and tree stand composition: moose patch use in winter,Danell K.,Ecology,00129658,72,4,1350-1357,1991-01-01,1991,10.2307/1941107,Field experiments in winter used free-ranging Alces alces having access to artificial stands of trees. In these stands Scots pine Pinus sylvestris was mixed with either aspen Populus tremula or alder Alnus incana. Food selection appears to occur primarily at the tree level within stands. The level of decision might also be important for the performance of the plant species exploited. -from Authors,106,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026311767,SCOPUS_ID:0026311767,2-s2.0-0026311767,Variation and change in behavioral ecology,Gordon D.,Ecology,00129658,72,4,1196-1203,1991-01-01,1991,10.2307/1941093,"Argues for the importance of time in the behavioral ecology of changing environments, ie how behavior changes in response to the time scale of environmental change, distinguishing between change, which occurs over time, and variation, which is measured instantaneously. After providing some definitions, to clarify what is meant here by time-dependent behavioral responses, variation, and change, the author uses some examples of the behavior of seed-eating ants to illustrate the ecological importance of time-dependent behavioral change. She then reviews how current work on behavior in changing environments treats questions of variation and change, arguing that this work emphasizes instantaneous variation rather than temporal change. Finally, considers how models of phenotypic response to changing environments, derived from other fields of evolutionary ecology, have explicitly considered temporal factors, and how these models might be extended to behavioral ecology. -from Author",15,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026311682,SCOPUS_ID:0026311682,2-s2.0-0026311682,Resilience of lotic ecosystems to a light-elimination disturbance,Steinman A.D.,Ecology,00129658,72,4,1299-1313,1991-01-01,1991,10.2307/1941103,"Resilience of eight laboratory stream ecosystems was evaluated following a 92-d light elimination disturbance. Results are consistent with the theory that resilience is positively associated with the rate of nutrient input to a nutrient-limited system, but are inconsistent with the idea that resilience is positively associated with the addition of a herbivore trophic level to the system. Grazing intensity (density), as well as behavioural (vagility) and life history characteristics may need to be considered. -from Authors",37,Journal,ar,Article,100,5,5,20308,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026310210,SCOPUS_ID:0026310210,2-s2.0-0026310210,Conditions for a species to gain advantage from the presence of competitors,Stone L.,Ecology,00129658,72,6,1964-1972,1991-01-01,1991,10.2307/1941551,"Determined species interactions within the framework of the community to which they belong, using an ""inverse' method which evaluates all the effects that one species experiences from another, both direct and indirect. This method was used to study the classical ""competition community', where each species is considered (in the ""isolated pair' approach) to suffer from the presence of every other. The model takes account of the fluctuations in interaction coefficients that one must expect in the real world, both from one species pair to another, and as the effect of ambient environmental variations. The ""inverse' method finds that generally a high proportion (20-40%) of the interactions must be beneficial, or ""advantageous' when not lifted out of the community context in which they actually occur. The contrary case, called here ""hypercompetitive', in which each species suffers from every other species, can occur only if the environment is nearly constant, and the species closely akin to each other, with both of these conditions holding and persisting to a degree that must be considered implausible. -from Authors",92,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,10,NA,NA
