@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,author-count.$,authkeywords,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/85063013623,SCOPUS_ID:85063013623,2-s2.0-85063013623,"Erratum: Avian hatching asynchrony: Brood classification based on discriminant function analysis of nestling masses(Ecology, (2019), 74, (4), 1191-1196)",Ecology,00129658,74,7,2019,1993-01-01,1993,10.2307/1940845,"In an article by R. Given Harper, Steven A. Juliano, and Charles F. Thompson (“Avian hatching asynchrony: brood classification based on discriminant function analysis of nestling masses,” Ecology 74(4): 1191-1196), two column headings were switched in Table 2 (p. 1194). In the columns for “Asynchronous = 32” under “True group frequency” the labels of the two “Classified as” columns were reversed: “Synch.” should read “Asynch.” and “Asynch.” should read “Synch”.",0,Journal,er,Erratum,100,0,20308,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85062973452,SCOPUS_ID:85062973452,2-s2.0-85062973452,Time-specific and cohort life tables for Belding’s ground squirrels,Ecology,00129658,74,7,2168-2169,1993-01-01,1993,10.2307/1940862,NA,0,Journal,no,Note,100,2,20308,undefined,0,FALSE,2,Sherman P.,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85062950339,SCOPUS_ID:85062950339,2-s2.0-85062950339,"Erratum: Empirical evidence of the role of heterogeneity in ratio-dependent consumption(Ecology, (2019), 73, 5, 1544-1551)",Ecology,00129658,74,7,2019,1993-01-01,1993,10.2307/1940007,"In an article by Roger Arditi and Henni Saïah (“Empirical evidence of the role of heterogeneity in ratiodependent consumption,” Ecology 73(5):1544-1551), two errors occurred. In Methods the final two sentences of the first paragraph on p. 154 7 should read: Two different concentrations were used for the algal food supply: 22.4 · 10 3 cells/mL and 146.8 · 10 3 cells/ mL. The “low food” cascades received therefore 1222 · 10 3 cells/hand the “high food” ones 7993 ·10 3 cells/h. On the same page, in the third paragraph, the next-tolast sentence should read: The modified environment for Daphnia was not run at low food conditions. The rest of the paper remains unchanged. We thank William Murdoch for pointing out these errors to us.",0,Journal,er,Erratum,100,0,20308,undefined,0,FALSE,3,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343524911,SCOPUS_ID:0343524911,2-s2.0-0343524911,Sibling competition is a consequence of restricted dispersal in an annual cleistogamous grass,Ecology,00129658,74,7,2161-2164,1993-01-01,1993,10.2307/1940860,NA,32,Journal,no,Note,100,1,20308,undefined,0,FALSE,4,Cheplick G.P.,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027884056,SCOPUS_ID:0027884056,2-s2.0-0027884056,Regeneration mode in neotropical piper: Habitat and species comparisons,Ecology,00129658,74,7,2125-2135,1993-01-01,1993,10.2307/1940857,"Clonal growth or vegetative propagation is widespread among plants, yet we still have no clear understanding of the circumstances under which it is favored over sexual reproduction (via seeds). Within some growth forms of rainforest plants (lianas, understory shrubs), vegetative propagation may be the primary means of regeneration. In this study, the mode and frequency of vegetative propagation in 30 co-occurring species of the tropical shrub genus Piper at the La Selva Biological Station in Costa Rica was assessed through field observations made over several months. Piper species were found to propagate by several means, including stem sprouting, root sprouting, layering, and fragmentation. The mode and frequency of propagation varied significantly among habitats and among species. Shade-tolerant Piper species typical of mid- and late-successional habitats regenerated primarily by vegetative means, especially layering and fragmentation, while shade-intolerant, early-successional species appeared to reproduce and disperse primarily by seed. These differences among Piper species in regeneration mode were due not only to environment, but also to a genetic component, as indicated by experiments investigating the importance of one means of vegetative propagation, fragmentation, to Piper species from different successional habitats. A shadehouse experiment showed that earlysuccessional species were less likely than late-successional species to regenerate from detached fragments, independent oflight regime. This outcome was corroborated by a transplant experiment in forest understory and large gaps comparing fragment vs. seedling survival among five Piper species from different stages of succession over a 7 -mo period. Almost none of the cuttings from early-successional species survived in either habitat. Species of later successional stages survived better as fragments in the understory than in gaps; however, surviving fragments grew larger in gaps. Almost no seedlings from experimentally planted seeds of any species survived in either gaps or understory. Natural seedlings of early-successional Piper species were frequently found in large treefall gaps and other disturbances, while seedlings of species from later succession were seldom found in any habitat.",47,Journal,ar,Article,100,1,20308,BSR-8701022,0,FALSE,5,Greig N.,1,Costa Rica | Mode of reproduction | Piper | Plant fragments | Seed regeneration | Shrubs | Successional status | Tropical rainforests | Vegetative propagation,NSF,National Science Foundation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027881344,SCOPUS_ID:0027881344,2-s2.0-0027881344,Spatial autocorrelation: trouble or new paradigm?,Ecology,00129658,74,6,1659-1673,1993-01-01,1993,10.2307/1939924,"Autocorrelation is a very general statistical property of ecological variables observed across geographic space; its most common forms are patches and gradients. Spatial autocorrelation, which comes either from the physical forcing of environmental variables or from community processes, presents a problem for statistical testing because autocorrelated data violate the assumption of independence of most standard statistical procedures. The paper discusses first how autocorrelation in ecological variables can be described and measured, with emphasis on mapping techniques. Then, proper statistical testing in the presence of autocorrelation is discussed. Finally, ways are presented of explicitly introducing spatial structures into ecological models. Two approaches are proposed; in the raw-data approach, the spatial structure takes the form of a polynomial of the x and y geographical coordinates of the sampling stations; in the matrix approach, the spatial structure is introduced in the form of a geographic distance matrix among locations. -from Author",2673,Journal,ar,Article,100,1,20308,undefined,0,FALSE,6,Legendre P.,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027879768,SCOPUS_ID:0027879768,2-s2.0-0027879768,Substantially submaximal oviposition rates by a mymarid egg parasitoid in the laboratory and field,Ecology,00129658,74,6,1813-1825,1993-01-01,1993,10.2307/1939939,"Examined the foraging behaviour of the egg parasitoid Anagrus delicatus (Hymenoptera: Mymaridae) within patches of its planthopper host, Prokelisia marginata (Homoptera: Delphacidae) on leaves of Spartina alterniflora. Females discriminated between leaves with and without hosts. In field experiments with mixtures of newly mated and experienced females, the proportion of eggs laid was 4-26%. Available hosts far exceeded wasp fecundity. Hosts, were alive, available, and supported development of parasitoids if parasitized. Increasing numbers of female wasps visiting a patch led to increasing parasitism rate (average of 75% with 20 female wasps). Even though many hosts on a patch were probed and rejected by each wasp, rejected hosts were parasitized by subsequent wasps and yielded live parasitoid offspring. Single wasps dispersed before the ratio of unparasitized to parasitized hosts was much decreased by their efforts. Handing time constraints were small (2.2 min) in relation to total patch time (62 min). Anagrus passed up many suitable and available hosts in each patch and visited multiple patches during its lifetime; number of eggs laid increased linearly with the number of patches visited. This is apparently a foraging strategy built upon compromising the time rate of oviposition in favour of spreading ovipositions among patches and sites. There was high mortality of host-plant leaves, and thus of host-insect patches, in the field due to leaf senescence (20-30%), which would favour spreading of parasitoid offspring among leaves. -from Authors",55,Journal,ar,Article,100,2,20308,undefined,0,FALSE,7,Cronin J.,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027878793,SCOPUS_ID:0027878793,2-s2.0-0027878793,Population consequences of larval crowding in the dragonfly Aeshna Juncea,Ecology,00129658,74,7,1950-1958,1993-01-01,1993,10.2307/1940838,"I studied sources of density dependence in a dragonfly population to reveal how population size is controlled. Larvae of the dragonfly Aeshna juncea, inhabiting rock pools on the Lake Superior shoreline at Isle Royale, Michigan, USA, showed clear evidence of competition when natural densities were high. After 2 yr of larval growth, individuals in crowded pools were developmentally delayed and survived less well than individuals in sparsely populated pools. The stunted larvae caught up with individuals in less crowded pools and reached the final instar in sufficient time to emerge in the summer of their 3rd yr, but even so their final body size remained relatively small. A 5-wk field experiment in natural pools demonstrated the causal connection between density and fitness: feeding activity and growth rates were significantly reduced under crowded conditions, but survival showed no response to density. In unmanipulated rock pools, however, natural increases in density from one year to the next were met with slightly overcompensatory decreases in annual survival. The results illustrate that density dependence operates in a way that could contribute to population regulation in A. juncea, and a 6-yr time series from one of the two study areas showed significant evidence for density-dependent dynamics.",30,Journal,ar,Article,100,1,20308,BSR-8516600,0,FALSE,8,Van Buskirk J.,1,Aeshna | Competition | Crowding effects | Density dependence | Dragonflies | Interference | Isle Royale | Michigan | Odonata | Population regulation,NSF,National Science Foundation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027871521,SCOPUS_ID:0027871521,2-s2.0-0027871521,Modeling Markovian dependence in populations of Aralia nudicaulis,Ecology,00129658,74,6,1700-1706,1993-01-01,1993,10.2307/1939928,"Examined spatial patterns of two populations of the clonal herb Aralia nudicaulis for evidence of spatial inhibition among neighboring ramets. Second-order spatial analysis revealed that ramet patterns of both populations were regular at local spatial scales, a result consistent with the proposition that localized, inter-ramet interactions are important in reducing spatial overlap. Localized ramet interactions suggest Markovian dependence, which is defined when an event (eg occurrence of a ramet) at X is dependent solely on the existence or otheriwse of an event within a distance δ of X. Evidence of Markovian dependence in the populations was tested by fitting Markov point-process models to the observed ramet patterns. The populations conformed well to the Markov model, the results indicating that both ramet spatial patterns were Markov of range δ=18 cm. This inhibition distance corresponds closely to the mean horizontal radius of an A. nudicaulis ramet, indicating that interactions occur at the spatial scale of the individual. A likely mechanism for the development of locally regular spatial patterns in these populations is inter-ramet competition for a limiting resource, probably light. -Author",18,Journal,ar,Article,100,1,20308,undefined,0,FALSE,9,Kenkel N.,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027871073,SCOPUS_ID:0027871073,2-s2.0-0027871073,Life and death in moving fluids: hydrodynamic effects on chemosensory-mediated predation,Ecology,00129658,74,5,1428-1443,1993-01-01,1993,10.2307/1940072,"Investigates predatory success and search strategies of blue crabs foraging in controlled hydrodynamic environments generated in a flume. Benthic estuarine crustaceans inhabit an environment where flows are transitional between smooth- and rough-turbulent conditions. Accordingly, chemosensory systems appear geared primarily to extracting information from hydraulically smooth flows. These results indicate that mechanisms governing the physical transport of odor signals can have profound influences, not only on the development of sensory and behavioral mechanisms, but also on biotic interactions such as predation, which, in turn, can mediate community structure. -from Authors",231,Journal,ar,Article,100,2,20308,undefined,0,FALSE,10,Weissburg M.J.,2,NA,NA,NA,NA,NA
