@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0345084479,SCOPUS_ID:0345084479,2-s2.0-0345084479,Food limitation on brood size: Experimental evidence in the Eurasian Kestrel,Wiehn J.,Ecology,00129658,78,7,2043-2050,1997-01-01,1997,10.1890/0012-9658(1997)078[2043:FLOBSE]2.0.CO;2,"Food limitation on reproduction during the nestling stage was experimentally tested in a Finnish population of Eurasian Kestrels (Falco tinnunculus). Nests were provided with supplemental food from hatching to fledging for three years (1992, 1993, and 1995), which differed in the natural abundance of voles, the Eurasian Kestrel's major prey. These supplemented nests were compared to nonsupplemented control nests using the following variables: (1) parental effort, (2) parental condition, and (3) fledgling number and quality: Female parents responded to food supplements by decreasing their hunting effort (estimated as the percentage of time spent flight-hunting) and prey delivery rate, whereas the hunting effort and/or prey delivery rate of males did not change. Females at supplemented nests were heavier than those at control nests, but the body mass of males was not affected by feeding. Supplementary food increased the number of fledglings per brood not only in years of low, but also in years of relatively high natural prey density. We conclude that even at high levels of natural food abundance, the reproductive output of kestrels is food-limited during the nestling period. In addition, there appear to be intersexual differences in the adjustment of parental effort. While females adjusted parental effort to male provisioning and offspring requirements, males did not change parental effort within a season, suggesting that male parental effort is fixed at a level where male survival is not jeopardized.",124,Journal,ar,Article,100,2,2,Clutch size | Eurasian Kestrel | Falco tinnunculus | Fledgling production | Food limitation and supplemention | Lifetime reproduction | Nesting success | Parental effort | Vole cycles,20308,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031440267,SCOPUS_ID:0031440267,2-s2.0-0031440267,Density-dependent costs of an inducible morphological defense in crucian carp,Pettersson L.,Ecology,00129658,78,6,1805-1815,1997-01-01,1997,10.1890/0012-9658(1997)078[1805:DDCOAI]2.0.CO;2,"Theoretical models for the evolution of inducible anti-predator defenses predict that there should be fitness costs associated with the defense, otherwise it should be permanent. Thus, in the absence of predators and with limited resources, defended individuals are expected to be outcompeted by individuals lacking the costly defense. Crucian carp, Carassius carassius, increase in body depth in response to chemical stimuli from piscivorous fish, and the deeper body constitutes a morphological defense against gape-limited piscivores. Here, we have performed a field experiment investigating effects of population density on the relative competitive performance of shallow-bodied and deep-bodied crucian carp. We assigned groups of six individually marked fish (the 'focal' individuals) of either morph into enclosures with either low or high crucian carp density, and monitored changes in body mass, length, and body depth of these fish for 4 mo. In addition, we determined sex, and final liver and gonadal mass, of all focal fish. At high population density, there was a reduction in food resources (zooplankters), which resulted in reduced gonad mass, reduced gonadosomatic indices, and reduced growth in fish of both morphs. Unexpectedly, the relative allocation to livers was higher at high density. There was no difference in body mass gain between morphs at the low density, whereas at the high density shallow-bodied fish gained twice as much body mass as deep-bodied fish. Hence, when predators were absent and food resources were limited, deep-bodied individuals suffered a substantial cost when competing with shallow-bodied conspecifics. This study verifies the theoretical prediction that an inducible defense results in fitness costs in the absence of predators. Further, as we found no measurable disadvantage of the deep-bodied morphology at high food availability but a strong disadvantage under intense competition for food, our results also demonstrate the importance of relating defense costs to levels of intraspecific competition.",56,Journal,ar,Article,100,2,2,Antipredator | Body size | Carassius carassius | Competition | Cost | Density dependence | Field-enclosure experiment | Fish | Inducible defense | Phenotypic plasticity | Resource allocation | Sweden,20308,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031430383,SCOPUS_ID:0031430383,2-s2.0-0031430383,Control of seedling recruitment by land crabs in rain forest on a remote oceanic island,Green P.T.,Ecology,00129658,78,8,2474-2486,1997-01-01,1997,10.1890/0012-9658(1997)078[2474:COSRBL]2.0.CO;2,"We tested the hypothesis that an omnivorous land crab determines the dynamics of seedling recruitment in rain forest on Christmas Island, Indian Ocean. The red crab (Gecarcoidea natalis) occurs at densities of ~ 1 crab/m2 and consumes seeds, seedlings, and leaf litter. A crab-exclusion experiment below closed canopy and in light gaps showed that red crabs markedly reduced seedling recruitment. Overall, seedling emergence was 29-fold and 21-fold greater on the exclusion plots in the understory and in gaps, respectively. In control plots, mean seedling densities never exceeded 15 seedlings/25 m2 in the understory and 3 seedlings/25 m2 in gaps. Species richness of seedlings was significantly higher in the absence of crabs, averaging >10 and 12 species per plot in the understory and gaps, respectively. On control plots, mean species richness was less than one species per plot. Two-dimensional ordination (using nonmetric multidimensional scaling) showed that red crabs had a large impact on relative species abundances. Analyses of similarity confirmed that significant differences existed between both treatments and habitats. Seed removal and seedling transplant experiments suggested that most rain forest species are rapidly eaten by red crabs. Seedlings of many of these vulnerable species (e.g., Maclura cochinchinensis, Planchonella nitida, Schefflera elliptica) were abundant on exclusion plots. However, they were rare on control plots, and none persisted for >2 mo. Persistent seedlings were limited to two species (Inocarpus fagifer and Tristiropsis acutangula), both of which were resistant as seeds and seedlings to crab predation. Although red crabs are the major biotic determinants of seedling recruitment, this impact was not reflected in the overhead canopy. Some tree species unable to recruit in the presence of crabs were common as adults. Shifting mosaics in crab densities over space and time may offer the best explanation for recruitment of vulnerable species. Our results show that a dominant consumer has large effects on plant community structure on a remote oceanic island, consistent with the viewpoint that strong control by a single species is more likely in simple communities.",79,Journal,ar,Article,100,3,3,Christmas Island | Consumer | Exclosure experiment | Forest structure | Gecarcoidea natalis | Land crab | Oceanic island | Omnivore | Rain forest | Seedling recruitment | Seeds and seedlings,20308,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031413277,SCOPUS_ID:0031413277,2-s2.0-0031413277,"Seasonal differences in field metabolism, water requirements, and foraging behavior of free-living aardwolves",Williams J.,Ecology,00129658,78,8,2588-2602,1997-01-01,1997,10.1890/0012-9658(1997)078[2588:SDIFMW]2.0.CO;2,"Aardwolves occur in east-central and southern Africa in regions of arid and semiarid grasslands. In South Africa, they feed almost exclusively on the termite Trinervitermes trinervoides during the warmer months of the year, whereas on cold winter nights these insects remain belowground, unavailable to aardwolves. At this time aardwolves shift their foraging efforts to a less abundant termite species, Hodotermes mossambicus. This species provides less food for aardwolves, making the wintertime potentially a period of energy stress for them. In this study, we report the first estimates of field metabolism and water flux as determined by doubly labeled water for a myrmecophagous euthermic mammal. Specifically, we tested the hypotheses that a reduced basal metabolic rate and pulmocutaneous water loss lead to a conservative field metabolic rate (FMR) and water flux in free-living aardwolves during summer and winter. Further, we quantified the activity budget of aardwolves during summer and winter to construct a time-energy budget for them. We used knowledge of water flux in aardwolves and of the water content of their prey to construct a water budget during summer and winter, and to estimate the seasonal consumption of termites by aardwolves. During summer (November-January), aardwolves that averaged 7768 g in body mass had a CO2 production of 112.5 L CO2/d, equivalent to an energy expenditure of 2891.2 kJ/d. During winter (June-July), when body mass averaged 8543 g, CO2 production averaged 71.8 L CO2/d, which translates to an FMR of 1844.8 kJ/d. Water flux equaled 615 mL/d in summer, but only 292 mL/d in winter, a decrease of 53.1%. Aardwolves were active for an average of 8.77 h/d in summer, but only 4.05 h/d during winter. A time budget for active periods showed that aardwolves spent a significantly larger proportion of their active time feeding in summer than in winter (26.7 vs. 15.2%). In addition, males and females spent 12.6% of their time in winter in breeding activities such as courtship and copulation. For aardwolves in summer, our model estimated a DEE of 2370.5 kJ/d, whereas during winter it predicted a DEE of 2086 kJ/d. These values deviated from our estimates of FMR by -18% and +13.1%, respectively. From data on water flux and the water content of termites, we estimated that aardwolves consumed 222 445 Trinervitermes per night during the summer. Using previously obtained data on foraging, we predicted that aardwolves consume 833 termites per patch with an intake rate of 33 termites per second while feeding. During winter, aardwolves consumed 5867 Hodotermes and 2515 Trinervitermes per night. Our estimate of gross energy consumption was 5616 kJ/d in summer and 3022 kJ/d in winter. Assuming an assimilation efficiency of 0.66, metabolizable energy intake would be 3707 kJ/d in summer and 1995 kJ/d in winter. These values exceed FMR measurements by +22% in summer and by +8.1% in winter. It appears that aardwolves were in positive energy balance during our measurements of FMR.",41,Journal,ar,Article,100,3,3,Aardwolf | Basal metabolic rate | Carnivores | Doubly labeled water | Energy expenditure | Field metabolic rate | Myrmecophagous animals | Radiotelemetry | Termites | Time-energy budget | Water influx,20308,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031412872,SCOPUS_ID:0031412872,2-s2.0-0031412872,Special feature: Re-examining the role of positive interactions in communities,Kareiva P.M.,Ecology,00129658,78,7,1945,1997-01-01,1997,10.2307/2265934,NA,23,Journal,no,Note,100,2,2,Community ecology | Competition | Facilitations | Group benefits | Positive feedbacks | Positive interactions,20308,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031412848,SCOPUS_ID:0031412848,2-s2.0-0031412848,Erratum: When a picture taints a thousand words: True images of diet-induced diapause in a polyphagous insect herbivore (Ecology (June 1997)),Hunter M.,Ecology,00129658,78,7,2267-2268,1997-01-01,1997,10.1890/0012-9658(1997)078[2267:WAPTAT]2.0.CO;2,NA,5,Journal,er,Erratum,100,1,1,NA,20308,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031412847,SCOPUS_ID:0031412847,2-s2.0-0031412847,Erratum: Estimating temporary emigration using capture-recapture data with Pollock's robust design (Ecology 78:2 (563-578)),Kendall W.,Ecology,00129658,78,7,2248,1997-01-01,1997,10.2307/2265960,NA,3,Journal,er,Erratum,100,1,1,NA,20308,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031404189,SCOPUS_ID:0031404189,2-s2.0-0031404189,Character displacement in Australian dasyurid carnivores: Size relationships and prey size patterns,Jones M.,Ecology,00129658,78,8,2569-2587,1997-01-01,1997,10.1890/0012-9658(1997)078[2569:CDIADC]2.0.CO;2,"The four different assemblages of marsupial dasyuroid carnivores in Australia, comprising four species on the island of Tasmania and three different two-species assemblages on the mainland of Australia, present an ideal opportunity to test the theories of competitively based morphological character displacement. With males and females treated as separate morphospecies, four trophic characters that relate to killing and feeding behavior and skull length, as a measure of body size, were examined for evidence of morphological patterning, latitudinal size variation, and sexual dimorphism. The competitive basis for character displacement in intra- and interspecific variation in prey size was sought from dietary analysis at a field site. Even spacing in canine strength, but not in other characters, was found among species and sexes of quolls (Dasyurus viverrinus and D. maculatus), but not including the devil (Sarcophilus laniarius) or the thylacine (Thylacinus cynocephalus), in Tasmania. Even spacing was found in temporalis muscle size for all combinations of the four Tasmanian species. Canine breaking strength and muscle strength driving the canines can be construed as the most important trophic characters involved in prey capture, and therefore in determining the upper size of prey that can be handled. Even spacing was found in Tasmania, where there are two larger species in the guild, but not in any of the three mainland assemblages where the larger species of carnivores have been absent for many generations. The basis for the observed morphological patterning in killing behavior, evidence for even spacing in prey size, and partial character release on the mainland are consistent with the hypothesis of competitive character displacement. These size relationships result from a complex interplay of factors. Latitudinally correlated size variation has influenced an increase in body size and canine strength in D. viverrinus and an increase in body size in D. maculatus in Tasmania. This is countered by decreased canine strength in D. maculatus in Tasmania resulting from competitive character displacement. The result is character convergence. Sexual selection also influences size relationships.",91,Journal,ar,Article,100,1,1,Australia | Carnivore | Character displacement | Dasyurid | Dasyurus | Latitudinal size variation | Quoll | Sarcophilus laniarius | Sexual size dimorphism | Size ratios | Tasmanian devil | Thylacine | Thylacinus cynocephalus,20308,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031404179,SCOPUS_ID:0031404179,2-s2.0-0031404179,Hummingbird behavior and mechanisms of selection on flower color in Ipomopsis,Meléndez-Ackerman E.,Ecology,00129658,78,8,2532-2541,1997-01-01,1997,10.2307/2265912,"Apparent associations between flower color and type of pollinator might be explained by correlations between color and other floral traits, rather than by narrow pollinator preferences for color. To explore this possibility, we obtained flowers varying naturally in color, nectar reward, and morphology, from a hybrid zone between Ipomopsis aggregata and I. tenuituba in western Colorado, United States. We used aviary and field experiments to study preferences of hummingbirds for unmanipulated flowers and for flowers in which we experimentally dissociated color from nectar reward and morphology. Hummingbirds preferred red flowers of I. aggregata, which contain superior nectar rewards and have relatively broad corolla tubes, relative to flowers of I. tenuituba, which are white, contain small nectar rewards, and have narrow tubes. There was no evidence of flower constancy. When presented with flowers differing only in color, birds showed a spontaneous preference for red. However, this preference could be reversed by making white flowers more rewarding than red. When plants of both parental species and their hybrids were placed in an array in the field, with all flowers painted red, hummingbirds preferred to visit the more rewarding, wider tubed I. aggregata. These results suggest that pollinator-mediated selection could act on color, shape, and nectar separately. Experimental manipulations that dissociate these traits are essential to distinguish direct from correlated selection. Also, hummingbird selection favoring red flowers may result from past experience and, thus, may depend on the ecological context.",133,Journal,ar,Article,100,3,3,Floral evolution | Flower color | Flower morphology | Hummingbirds | Hybrid zone | Ipomopsis | Nectar | Pollinator constancy | Pollinator preference | Pollinator-mediated selection,20308,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031403978,SCOPUS_ID:0031403978,2-s2.0-0031403978,Microsite controls on tree seedling establishment in conifer forest canopy gaps,Gray A.,Ecology,00129658,78,8,2458-2473,1997-01-01,1997,10.1890/0012-9658(1997)078[2458:MCOTSE]2.0.CO;2,"Tree seedling establishment and growth were studied in experimental canopy gaps to assess the effect of heterogeneity of regeneration microsites within and among gaps in mature conifer forests. Seedlings were studied for two years in closed-canopy areas and in recently created gaps ranging in size from 40 to 2000 m2 in four stands of mature (90140 yr) and old-growth (>400 yr) Douglas-fir forest in the western Cascade Range of central Oregon and southern Washington, USA. We examined the relative importance of substrate type, shade from logs and shade cloth, density of understory vegetation, gap size, and forest age on the success of Pacific silver fir (Abies amabilis), Douglas-fir (Pseudotsuga menziesii), and western hemlock (Tsuga heterophylla). Seedlings originating from seed sown on experimental microsites were compared with seedlings regenerating naturally on a range of microsites. Seedling establishment was greater on decayed wood than on forest floor or mineral soil in closed-canopy areas, particularly for Tsuga. Differences in establishment among substrates declined with increasing gap size, although establishment on the forest floor tended to be low in portions of large gaps exposed to direct solar radiation. In exposed areas, shade from woody debris and shade cloth facilitated establishment for all species, while shade from understory vegetation aided the establishment of Pseudotsuga but not that of Tsuga. Establishment in shaded portions of gaps declined with vegetation and shade cloth cover. Seedling size increased with gap size, decreased with level of shade, and tended to be greatest on forest floor and lowest on decayed wood. Establishment and growth of the different species was related to differences in seed mass and tolerance of environmental extremes. Heterogeneity at the seedling scale (<10 cm) often overrode larger-scale environmental gradients (>2 m) associated with gap size and within-gap position. Thus the gap partitioning hypothesis, which emphasizes gap size and within-gap position, may be too simple to account for the role of microsite heterogeneity and species' regeneration traits on the development of mature forests.",212,Journal,ar,Article,100,2,2,Abies amabilis | Canopy gaps | Disturbance | Heterogeneity | Microsites | Old-growth forest | Pacific Northwest | Pseudotsuga menziesii | Seedling establishment | Succession | Tsuga heterophylla,20308,undefined,0,FALSE,10,NA,NA
