@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/85002213645,SCOPUS_ID:85002213645,2-s2.0-85002213645,Ecological modelling: Editorial overview 2000-2005,Jørgensen S.E.,Ecology,00129658,81,1,137-144,2000-01-01,2000,10.1016/j.ecolmodel.2005.08.003,0,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/18844475040,SCOPUS_ID:18844475040,2-s2.0-18844475040,Dispersal can sharpen parapatric boundaries on a spatially varying environment,García-Ramos G.,Ecology,00129658,81,3,749-760,2000-01-01,March 2000,10.1890/0012-9658(2000)081[0749:DCSPBO]2.0.CO;2,20,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,2,"Parapatry describes a geographic pattern in which the ranges of two species have separate but contiguous distributions without any physical barriers between them. We present results from a study of ecological mechanisms to explain parapatry in closely related species. These include competition, spatially varying performances, and dispersal that depends on the densities of both species. We use a model consisting of two coupled nonlinear reaction-diffusion equations with density-dependent diffusion terms and space-dependent Lotka-Volterra-like competing interaction terms. The model is analyzed by using a mixture of phase-plane analysis and numerical simulations. Results show that competition and dispersal can lead to completely segregated species ranges. Spatial variation favored and provided stability to parapatric distribution. Parapatry occurred under several conditions, including when both species were identical in dispersal, intrinsic rate of growth, and competition but differed in their spatial performances. Results indicate that overlapping distributions and parapatry are equally expected for close species. Moreover, similar species in parapatry tend to exhibit equivalent range sizes. This model explains how species can coexist regionally while maintaining spatial exclusion. It also describes how a species that is rare in distribution can invade the range of a similar and widespread species. We discuss the limitations of using present species distributions for recognizing modes of speciation, and we suggest studying more extensively the relationship between density-dependent dispersal and interspecific competition. We show that density-dependent dispersal can favor segregation.",Coexistence of species | Density-dependent dispersal | Dispersal vs. competition | In closely related species | Invasion | Lotka-Volterra model | Modeling parapatry | Parapatry | Sharp boundaries | Spatial model | Spatial variation | Species distributions | Species segregation,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/18844462910,SCOPUS_ID:18844462910,2-s2.0-18844462910,Egg load and mating status of the golden egg bug affect predation risk,Kaitala A.,Ecology,00129658,81,3,876-880,2000-01-01,March 2000,10.1890/0012-9658(2000)081[0876:ELAMSO]2.0.CO;2,23,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,3,"Females of the golden egg bug (Phyllomorpha laciniata) lay eggs on the backs of male and female conspecifics, and surprisingly, individuals commonly carry unrelated eggs. Here, we investigate predation risk from the ant Formica rufa during two reproductive stages of the golden egg bug: egg carrying and mating. Ants and an egg-loaded bug were enclosed with an unloaded bug, with a mating pair, or with a mating pair and an unloaded bug. Both mating and egg carrying increased predation risk. Mating increased predation risk because mating pairs were attacked more often than single egg-loaded bugs. When a mating pair was enclosed with an egg-loaded bug and an unloaded bug, the pair was attacked significantly more often than the two single individuals together, even though ant visitation rates did not differ among prey items. Ants attacked egg-loaded bugs significantly more often than unloaded bugs. Egg-loaded individuals suffered lower predation risks when in the presence of a mating pair than when in the presence of a single unloaded bug. Thus, predation risk depends on the mating status of nearby individuals. In the field, single individuals are often found with mating pairs; this observation could be explained if individuals decrease their predation risk by associating with preferred prey.",Ant attack rates | Cost of carrying eggs | Cost of mating | Egg carrying | Foraging | Formica rufa | Golden egg bug | Optimal | Phyllomorpha laciniata | Predation risk | Relative | Reproductive stage and predation risk,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/18344418347,SCOPUS_ID:18344418347,2-s2.0-18344418347,"Bird-ectoparasite interactions, nest humidity, and ectoparasite community structure",Heeb P.,Ecology,00129658,81,4,958-968,2000-01-01,April 2000,10.1890/0012-9658(2000)081[0958:BEINHA]2.0.CO;2,112,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,4,"Host nests are the key habitat for ectoparasite species that live and reproduce within the nest material. Nest properties can influence host and parasite reproductive success, and therefore the outcome of host-parasite interactions, as well as the composition of parasite communities. Previous correlational results suggested that nest humidity may increase the negative effect of fleas on Great Tit (Parus major) reproductive success. Since the causality of the relationship was unknown, we simultaneously manipulated both hen flea (Ceratophyllus gallinae) infestation and nest humidity in order to investigate: (1) the effect of flea infestation on nest humidity, (2) the effect of nest humidity on the prevalence of flea infestations, (3) the effect of nest humidity on adult flea survival and reproduction, (4) the interaction between flea infestations and nest humidity on Great Tit reproductive performance, and (5) the effect of both factors on secondary infestations by ectoparasitic Protocalliphora flies. The present study provides the first example of an ectoparasite acting as a physical ecosystem engineer where nest humidity increased as a result of flea infestations. In experimentally uninfested nests, infestation of hosts by immigrant fleas was more frequent in nests with reduced humidity. In experimentally infested nests, manipulation of humidity did not significantly affect the number of adult fleas or larvae. Hen flea infestation reduced Great Tit nestling body mass, tarsus length, and wing length, as well as the number of young fledged. The detrimental effect of the fleas on Great Tit reproduction was not altered by our modifications of nest humidity. The effect of fleas on nestling growth parameters and the number young fledged did not vary significantly with the seasonal decrease in reproductive performance of the birds, or with the number of young in the brood. The prevalence of secondary infestations by Protocalliphora was higher in nests with reduced humidity, and in nests experimentally infested with fleas. The numbers of Protocalliphora pupae were lower in flea-infested nests. This study provides the first experimental evidence that an abiotic factor within nests can affect ectoparasite infracommunity structure. It also provides the first evidence for an interspecific association between two ectoparasite species.",Blow flies | Ceratophyllus gallinae | Ecosystem engineering | Ectoparasite | Flea parasitism | Great Tit (Parus major) | Hen flea | Nest cavity | Nest humidity | Parus major | Protocalliphora,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0343893610,SCOPUS_ID:0343893610,2-s2.0-0343893610,Response of Mallard ducklings to variation in habitat quality: An experiment of food limitation,Sjöberg K.,Ecology,00129658,81,2,329-335,2000-01-01,February 2000,10.1890/0012-9658(2000)081[0329:ROMDTV]2.0.CO;2,47,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,5,"Occurrence of Mallard (Anas platyrhynchos) pairs and broods was studied on 86 boreal lakes in two areas in south Finland during 1988-1997 (35 lakes) and 19891996 (51 lakes), and field experiments were conducted to determine whether food limitation is an important factor regulating population densities. In general, pairs and broods used and avoided the same lakes, but in both study areas, the proportion of lakes that were unoccupied every year was higher for broods (71% and 69%) than for pairs (26% and 31%). We hypothesized that lakes without breeding Mallards, and especially broods, were too poor to raise young in, and we tested that in field experiments on 22 lakes in boreal Sweden. Based on concentration of total phosphorus in the water, these lakes were divided into two groups: 11 'poor' lakes and 11 'rich' lakes. Mallard ducklings imprinted on humans were used to address brood-stage food limitation by studying mass change. Thirty-one individually marked ducklings were divided into three experimental groups: 12 ducklings were used in poor lakes, 12 ducklings in rich lakes, and 7 ducklings were used as controls receiving no experimental treatment in the field. Each group was studied in 11 daytime trials on 11 different lakes, except the control group which was kept in a pen with free access to food. Ducklings of all groups spent nights together as a big 31-individual group in the same pen and with free access to food. Ducklings foraging on poor lakes gained significantly less body mass than those feeding on rich lakes. At night, when ducklings of both groups had equal and free access to food, ducklings that had been feeding in a poor lake that day gained more mass than those that had been feeding in a rich lake. Overall, ~95% of daily mass gain was accounted for by daytime gain in the control group, the corresponding percentage was 35% in the rich-lake experimental group and 11% in the poor-lake experimental group. Thus, we have observational, as well as experimental, evidence to conclude that many boreal lakes are inferior breeding habitat for Mallards, especially during the brood stage. Our results suggest (1) that it is important to recognize at what stage of the yearly reproductive cycle food limitation may occur, (2) that brood stage may be more important than nesting stage for possible population limitation and regulation in breeding Mallards, and (3) that the reason why so many lakes in the boreal region lack breeding Mallards may be food limitation.",Anas platyrhynchos | Finland | Food limitation | Habitat saturation | Mallard | Mass gain | Population limitation | Sweden,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343603371,SCOPUS_ID:0343603371,2-s2.0-0343603371,Factors shaping the seedfall pattern of a bird-dispersed plant,Alcántara J.M.,Ecology,00129658,81,7,1937-1950,2000-01-01,July 2000,10.1890/0012-9658(2000)081[1937:fstspa]2.0.co;2,96,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,6,"The spatial distribution of seeds can influence several parameters of the natural regeneration of plant populations. Factors shaping seedfall patterns have been typically explored from the tree perspective (seed shadow) or from the population perspective (seed rain). However, the seed rain is actually composed of multiple seed shadows. In this paper, we use this framework to explore the variables shaping the seedfall pattern of the wild olive tree (Olea europaea var. sylvestris), a fleshy-fruited tree of the Mediterranean scrublands. We monitored the movement patterns of avian seed dispersers and the seedfall around each fruit-bearing O. europaea tree in two contrasting sites, differing in the degree of human management and abundance of scrub cover. None of the seed dispersers moved between microhabitats (different shrub species and open interspaces) as a function of microhabitat relative abundance. All dispersers foraged preferentially at O. europaea; only the smaller species visited open interspaces, and these only sporadically. Avoidance of open sites by frugivores, especially larger species, and their attraction to source trees were the major determinants of the seedfall pattern. Regarding seed size distribution among microhabitats, we found that only small seeds were significantly overrepresented in open interspaces. From the seed shadow perspective, seed density under trees was similar in the two study sites, but it decreased with distance at a higher rate in the disturbed scrubland. From the seed rain perspective, seed density was significantly different among microhabitats, with open interspaces collecting few, if any, seeds, and places under source trees receiving the highest densities. Results from seed shadow and seed rain analyses were integrated to construct a path model to explore the relative contribution of spatial, microhabitat, and individual tree features to the seedfall pattern. Factors related to microhabitat were identified as having a major role in shaping seedfall pattern. Open interspaces collected few seeds, points under shrub species with sparse foliage collected moderate seed densities, and points under shrubs with dense foliage collected the highest seed densities. The comparison between sites suggests that habitat alteration (a reduction of the scrub layer) can lead to contrasting seedfall patterns. The occurrence of an abundant scrub layer in the well-preserved scrubland allowed a complex pattern of seed rain. In contrast, the sparse scrub cover in the disturbed scrubland yielded a seedfall pattern composed of multiple seed shadows constrained to the vicinity of tree crowns. Thus, our sampling design and analytical approach have proved useful in describing the relative importance of the set of variables that shapes the complex seedfall pattern of a bird-dispersed plant. This seedfall pattern, in turn, is central to the understanding of the spatial patterns of plant recruitment and the efficiency of the dispersal mutualism.",Bird-dispersed plants | Habitat alteration | Mediterranean scrubland | Microhabitats | Olea europaea var. sylvestris | Seed dispersal | Seed rain | Seed shadow | Seed size | Wild olive,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343526941,SCOPUS_ID:0343526941,2-s2.0-0343526941,Uptake of organic nitrogen in the field by four agriculturally important plant species,Näsholm T.,Ecology,00129658,81,4,1155-1161,2000-01-01,April 2000,10.1890/0012-9658(2000)081[1155:UOONIT]2.0.CO;2,201,Journal,ar,Article,100,3,3,20308,undefined,0,FALSE,7,"Uptake of glycine was studied in four plants commonly used in grasslands in northern Europe (Phleum pratense, Trifolium hybridum, T. pratense, and Ranunculus acris) and compared to uptake of ammonium and nitrate. The experiment was conducted in the field, but with plants transferred to pots with soil 8-10 d before the start of the experiment. Plant uptake of U-13C215N glycine, 15NH4+, and 15NO3- was studied by injecting dilute (1 mmol/L) solutions of respectively labeled N source into the pots and harvesting plants 21 h later. Measurements of 13C and 15N in roots showed that, in all plants, part of the glycine N was taken up in the form of intact amino acid. Hence, regressions of plots of excess 13C against excess 15N showed that a minimum of 19-23% of the glycine-derived N was taken up as intact amino acid; possible losses of labeled C atoms of glycine during its metabolism in the plants implies that these estimates are conservative. Uptake of the different N sources was similar in the two Trifolium species, while rates of nitrate uptake were comparably high in P. pratense, and rates of glycine uptake were comparably low in R. acris. 15N labeling of shoots was detected in all species, whereas significant levels of 13C tracer was only found in shoots of P. pratense. It is concluded that a capacity for uptake of organic N exists also in an agricultural setting, despite the rapid turnover of organic N usually found under such conditions. This adds to the growing knowledge of plant utilization of organic N sources in natural ecosystems and stresses the need for reexamining this step in the biogeochemical N cycle.",15 13 N and  C | Agricultural plants | Amino acid | Ammonium | Glycine | Nitrate | Organic nitrogen uptake | Phleum pratense | Ranunculus acris | Stable isotopes | Trifolium hybridum | Trifolium pratense,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343374869,SCOPUS_ID:0343374869,2-s2.0-0343374869,Climate controls on forest soil C isotope ratios in the Southern Appalachian Mountains,Garten C.,Ecology,00129658,81,4,1108-1119,2000-01-01,April 2000,10.1890/0012-9658(2000)081[1108:CCOFSC]2.0.CO;2,133,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,8,"A large portion of terrestrial carbon (C) resides in soil organic carbon (SOC). The dynamics of this large reservoir depend on many factors, including climate. Measurements of 13C:12C ratios, C concentrations, and C:N ratios at six forest sites in the Southern Appalachian Mountains (USA) were used to explore several hypotheses concerning the relative importance of factors that control soil organic matter (SOM) decomposition and SOC turnover. Mean δ13C values increased with soil depth and decreasing C concentrations along a continuum from fresh litter inputs to more decomposed soil constituents. Data from the six forest sites, in combination with data from a literature review, indicate that the extent of change in δ13C values from forest litter inputs to mineral soil (~20 cm deep) is significantly associated with mean annual temperature. The findings support a conceptual model of vertical changes in forest soil δ13C values, C concentrations, and C:N ratios that are interrelated through climate controls on decomposition. We hypothesize that, if other environmental factors (like soil moisture) are not limiting, then temperature and litter quality indirectly control the extent of isotopic fractionation during SOM decomposition in temperate forest ecosystems.",Appalachian Mountains | Discrimination factors | Effects on δ C 13 | Elevation gradient | Forest soil | Isotopic fractionation | Soil organic carbon (SOC) | Soil organic matter (SOM) | Southern | Stable isotopes | Temperature,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343090755,SCOPUS_ID:0343090755,2-s2.0-0343090755,"Impact of weather on a lake ecosystem, assessed by cyclo-stationary MCCA of long-term observations",Güss S.,Ecology,00129658,81,6,1720-1735,2000-01-01,June 2000,10.1890/0012-9658(2000)081[1720:IOWOAL]2.0.CO;2,9,Journal,ar,Article,100,5,5,20308,undefined,0,FALSE,9,"Temperate lake ecosystems are generally characterized by a strong annual cycle, and the relationships between observations of such ecosystems and external forcing variables can exhibit a complex structure. Furthermore, the observational data record is often short. This makes it difficult to assess the relationships between external forcing factors and their impact on the biological succession. Cyclo-stationary maximum cross-covariance analysis (MCCA) allows the effects of seasonality to be modeled in a flexible way, and we describe this statistical technique in detail. MCCA offers an objective method to approximate the high-dimensional total cross-covariance structure by defining 'weighting' patterns. With a predictor set of reduced dimension, a suitable regression between forcing variables and ecological response variables can be set up. Cyclo-stationary MCCA is used here to analyze the influence of meteorological variables (air temperature, wind speed, global radiation, humidity, and precipitation) on 13 biological and biogeochemical indicator variables of Plusssee, a small lake in northern Germany. The main weather influence on the indicator variables was found to be connected to winter temperature. From the covariance structure the following major signals were detected to be related to higher winter temperature: a more intense spring algal maximum, a higher zooplankton biomass during the algal maximum, a less intense loss of nutrients to the hypolimnion, a higher summer bloom together with changes in the nutrient concentrations, and stronger oxygen consumption in autumn.","Biogeochemical cycling | Cyclo-stationary maximum cross-covariance analysis, (MCCA) | Exogeneous predictability | Lake ecosystem | Meteorological variables and biological variables | Multivariate time series | Plusssee (northern Germany) | Seasonal succession | System analysis | Weather impact",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0342615014,SCOPUS_ID:0342615014,2-s2.0-0342615014,"Life history and multiple antipredator defenses of an invertebrate pelagic predator, Bythotrephes longimanus",Straile D.,Ecology,00129658,81,1,150-163,2000-01-01,January 2000,10.1890/0012-9658(2000)081[0150:lhamad]2.0.co;2,50,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,10,"Multiple antipredator defense strategies and their interactions were examined in a field study of the predatory planktonic waterflea Bythotrephes longimanus in Lake Constance, at the northern fringe of the European Alps. Because of its large body size and conspicuousness, Bythotrephes is a preferred prey of freshwater fish. We observed seasonal changes in life history and morphology and diel vertical migration, all best understood as a response to fish predation. Bythotrephes population dynamics were characterized by pronounced population growth in late spring, maximum abundances in June, and a steady decline toward the end of the season. In late spring, high population growth rates were achieved by means of large clutches, low investment in individual offspring, and small size at first reproduction. While the population was still increasing, a marked life history shift occurred. The reproductive strategy of females switched toward high per-offspring allocation at the expense of clutch size. This change in reproductive behavior resulted in an increase in the size of neonates and was accompanied by an increase in the size at first reproduction. Such a life history shift is typically observed in the presence of gape-limited predators, which points to the importance of juvenile fish as the principal vertebrate planktivores in Lake Constance. The length of Bythotrephes defensive spina increased throughout the season, reflecting increasing predation pressure, probably owing to seasonally increasing mouth gape size of juvenile fish. In contrast to the predictions of the predator-avoidance theory, the migration amplitude of large and conspicuous Bythotrephes was small as compared to other zooplankton species. We argue that theory and data can be reconciled if the migration behavior of Bythotrephes is considered as a result of an interaction of predator defenses in the presence of predominantly juvenile, gape-limited fish. As Bythotrephes achieved protection because of its life history and spina, the costs of large diel migrations may outweigh the benefits.","Alternative antipredator defenses | Bythotrephes | Diel vertical migration | Gape-limited predation | Juvenile fish | Lake Constance, European Alps | Life history | Morphological defense | Offspring allocation | Reproductive investment",all,All Open Access
