@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0038814770,SCOPUS_ID:0038814770,2-s2.0-0038814770,Bayesian estimation of a demographic matrix model from stage-frequency data,Gross K.,Ecology,00129658,83,12,3285-3298,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3285:BEOADM]2.0.CO;2,"Demographic matrix models are standard tools for analyzing the dynamics of age- or stage-structured populations. Here, we present a method for estimating the average vital rates that parameterize a demographic matrix using a series of measurements of population size and structure (an ""inverse problem"" of demographic analysis). We join a deterministic, density-independent demographic matrix model with a stochastic observation model to write a likelihood function for the matrix parameters given the data. Adopting a Bayesian perspective, we combine this likelihood function with prior distributions for the model parameters to produce a joint posterior distribution for the parameters. We use a numerical technique (Markov chain Monte Carlo) to estimate and analyze the posterior distribution, and from this we calculate posterior distributions for functions of the demographic matrix, such as the population multiplication rate, stable stage distribution, and matrix sensitivities. Although measurements of population size and structure rarely contain enough information to estimate all the parameters in a matrix precisely, our analysis sheds light on the information that the data do contain about the vital rates by quantifying the precision of the parameter estimates and the correlations among them. Moreover, we show that matrix functions such as the population multiplication rate and matrix sensitivities can still be estimated precisely despite sizable uncertainty in the estimates of individual parameters, permitting biologically meaningful inference. We illustrate our approach for three populations of pea aphids (Acyrthosiphon pisum).",33,Journal,ar,Article,100,3,3,Acyrthosiphon pisum | Bayesian statistics | Demographic matrix models | Estimation | Markov chain Monte Carlo | Pea aphid | Population dynamics | Stage-frequency data,20308,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038814768,SCOPUS_ID:0038814768,2-s2.0-0038814768,Intrinsic and climatic determinants of population demography: The winter dynamics of tundra voles,Aars J.,Ecology,00129658,83,12,3449-3456,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3449:IACDOP]2.0.CO;2,"The relative impacts of intrinsic factors (e.g., density dependence) and extrinsic factors (e.g., climate) on winter demography may be critical for the generation of different population dynamic patterns (including cyclicity) in northern vole and lemming populations. However, little is known about winter demography because studies with temporal and spatial replication at the population level and an adequate sample of individuals with known fates within each population are rare. In this study, we monitored the winter demography of 48 local tundra vole populations introduced to experimentally enclosed plots the preceding spring for four years in Norway. The rate of population change over the winter (November-May) was density dependent due to recruitment. However, the large variation in the rate of change between the different winters was due to a density-independent, and most likely a climatically driven, variation in survival rate. In particular, mild weather that led to the formation of ice on the ground seemed to be detrimental for winter survival. We predict that if increased frequency of such events arose, due to climate change, normal cyclic dynamics of northern small rodent populations would be disrupted. We found support for the hypothesis that voles adjusted their body mass toward a certain mean during the winter so as to maximize winter survival: The survival rate of males was lower than that of females, possibly due to their larger body mass, and this resulted in female-biased population sex ratios in the spring. This result suggests a link between sexual selection (responsible for the sexual size dimorphism) and natural selection (operating though size-dependent winter survival) with implications for the demographic structure of the population.",183,Journal,ar,Article,100,2,2,Body mass | Density dependence | Microtus oeconomus | Norway | Population cycles | Sex ratio | Survival rate | Tundra vole | Winter climate,20308,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038814767,SCOPUS_ID:0038814767,2-s2.0-0038814767,Stochastic population dynamics of an introduced Swiss population of the ibex,Sæther B.E.,Ecology,00129658,83,12,3457-3465,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3457:spdoai]2.0.co;2,"Using a long-term data set on the fluctuations of a reintroduced Swiss population of ibex we estimated the parameters in a stochastic population model with theta-logistic density regulation, and how the environmental stochasticity was related to different climate variables. Our aim was to examine quantitatively the relative effects of variation in parameters describing the expected dynamics and the environmental stochasticity as well as the uncertainties in them for the development of reliable population projections. The specific growth rate r1 was 0.14. Density regulation mainly happened close to the carrying capacity K, indicating that the commonly used assumption in population ecology of loglinear density regulation is not always valid. Annual variation in the point estimates of the environmental stochasticity was correlated with winter climate. Uncertainties in parameter estimates were high, especially in the estimates of density regulation and r1. In order to examine the dynamical consequences of the estimates as well as the uncertainties in them, we constructed Population Prediction Intervals (PPI). A PPI is the stochastic interval that includes the unknown population size with probability (1 - α). Analyses of factors affecting the width of the PPI showed that the form of the density regulation as well as uncertainties in model parameters should be estimated when making projections of future fluctuations of introduced populations.",47,Journal,ar,Article,100,6,6,Capra ibex | Climate variation | Density regulation | Environmental stochasticity | Ibex | Stochastic population dynamics | Switzerland,20308,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038814754,SCOPUS_ID:0038814754,2-s2.0-0038814754,Energy cost of locomotion: Validation of laboratory data by in situ respirometry,Lighton J.,Ecology,00129658,83,12,3517-3522,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3517:ECOLVO]2.0.CO;2,"The energy cost of activities central to overall fitness in most animals, such as pedestrian locomotion, is traditionally measured in the laboratory and then extrapolated to field conditions for modeling or hypothesis-testing purposes. However, no accurate, direct, in situ validation of these extrapolations has been made on undisturbed animals. We present the first such validation here, on harvester ants (Messor pergandei). After measuring their energy parameters in the laboratory using a running tube, we measured the metabolic rate (MR) of a natural, undisturbed ant trail foraging through a respirometer chamber in the field. From temperature, ant numbers, ant masses, and foraging speeds (obtained through video analysis), we predicted trail MRs from separately obtained laboratory data and compared them to measured field trail MRs: No significant difference was found between actual field values and values predicted from equations produced from data acquired in the laboratory. Our results therefore serve to validate two unusual findings in ants, which would otherwise be troubling to extrapolate to field conditions: that their extrapolated MR at zero running speed does not differ from standard (resting) metabolic rate, and that their costs of transport are far lower than predicted, on the basis of current allometric equations.",24,Journal,ar,Article,100,2,2,Ant behavior | Cost of transport | Foraging energetics | Harvester ants | Messor pergandei | Metabolic rate,20308,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038647727,SCOPUS_ID:0038647727,2-s2.0-0038647727,A general approach to temporary emigration in mark-recapture analysis,Fujiwara M.,Ecology,00129658,83,12,3266-3275,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3266:AGATTE]2.0.CO;2,"During mark-recapture studies of open populations, animals often temporarily emigrate from study areas. Such temporary emigration can cause biased estimates of survival probabilities. We present a new statistical method to estimate survival probability from the capture histories of marked individuals in the presence of temporary emigration. This method uses stage-structured models that include one or more stages representing the individuals that have temporarily emigrated. Although not all parameters can be estimated in such stage structures, some important parameters are still estimable. Here, we determined the estimability of parameter values from the rank of the Jacobian of the likelihood function. We applied the temporary-emigration mark-recapture method to artificial data, representing various life histories and demonstrated consistency between actual and estimated values. As an example, we used the method to analyze data on reproductive female North Atlantic right whales. The method presented in this paper will be especially useful for studies of seabird, sea turtle, and marine-mammal populations where individuals are sampled only on their breeding grounds.",65,Journal,ar,Article,100,2,2,Capture-recapture studies | Multi-stage mark-recapture method | North Atlantic right whale | Stage-structured models | Survival probability | Temporary emigration | Transition probability,20308,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038477028,SCOPUS_ID:0038477028,2-s2.0-0038477028,Convergent demographic effects of insect attack on related thistles in coastal vs. continental dunes,Maron J.L.,Ecology,00129658,83,12,3382-3392,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3382:CDEOIA]2.0.CO;2,"Insect herbivory is common, but the conditions under which it reduces the fitness and population size of plants remain poorly understood. We quantified population-level impacts of floral herbivory by specialized insects on cobweb thistle (Cirsium occidentale var. occidentale) in a California coastal dune ecosystem, and then compared these demographic effects to those published for Platte thistle (Cirsium canescens) in similarly designed exclusion experiments in the continental sand dune ecosystem in the Great Plains. As a separate test of the strength of the seed-to-seedling linkage, we quantified seedling establishment rates in seed addition plots and compared these results to those obtained in herbivore exclusion experiments. This is the first test of direct vs. indirect methods of evaluating the potential impact of seed loss in plant dynamics. Floral herbivory on cobweb thistle in coastal dunes substantially reduced key components of plant fitness. Reduction of insect feeding within flower heads with insecticide increased mean per capita seed production by 144-316% and led to a 130-196% increase in cumulative seedling recruitment in the next generation, depending on dune habitat. Juvenile plant densities around insecticide-treated plants subsequently increased by >50%. Both seed and flower head addition experiments corroborated the seed limitation of recruitment and juvenile plant establishment for cobweb thistle; exclusion of postdispersal seed predators did not substantially alter this relationship. While seed addition results were qualitatively similar to herbivore exclusion results, seed addition overestimated the seed-seedling transition. These results are broadly parallel to those found previously for Platte thistle in continental dunes, where reduction of insect feeding in Platte thistle flower heads increased mean per capita seed production by 37-240%, depending on year and microhabitat. This reduction in seed translated into a 33-580% increase in cumulative seedling recruitment and juvenile plant density. Thus in both systems, insect exclusions demonstrated that floral herbivory limited numbers of seeds and seedlings and population density of juvenile plants. This unique comparison of effects of insect herbivory on plant dynamics suggests that for related plants, the character and outcome of such interactions are likely to be functionally similar in structurally convergent ecosystems.",46,Journal,ar,Article,100,3,3,Cirsium canescens | Cirsium occidentale | Cobweb thistle | Insect herbivory | Plant fitness | Plant recruitment | Platte thistle | Pre-dispersal seed predation,20308,undefined,0,FALSE,6,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038477026,SCOPUS_ID:0038477026,2-s2.0-0038477026,Latitudinal variation in palatability of salt-marsh plants: Which traits are responsible?,Siska E.,Ecology,00129658,83,12,3369-3381,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3369:LVIPOS]2.0.CO;2,"Biogeographic theory predicts that intense consumer-prey interactions at low latitudes should select for increased defenses of prey relative to high latitudes. In salt marshes on the Atlantic coast of the United States, a community-wide pattern exists in which 10 species of low-latitude plants are less palatable to a diverse suite of herbivores than are high-latitude conspecifics. Examination of proximate plant traits (toughness, palatability of polar and nonpolar extracts, nitrogen content) of high- and low-latitude conspecifics of nine plant species suggested that all these proximate traits had the potential to contribute to latitudinal differences in palatability of some plant species. Southern plants were tougher than northern plants (five species), had less palatable polar extracts (four species), and had lower N content (six species). Experimental evidence linking traits to latitudinal differences in palatability was strongest for polar extracts and lacking for N content. For one plant species, none of the traits we studied correlated with latitudinal variation in palatability. Because palatability differences may change when moving from fresh plants to freeze-dried plants to plant traits, studies of latitudinal variation in freeze-dried plants or plant traits are likely to under- or overestimate latitudinal variation in palatability of fresh plants. This study has begun to identify the proximate plant traits responsible for latitudinal variation in plant palatability in Atlantic coast salt marshes, but the ultimate evolutionary factors responsible for variation in these traits remain to be determined.",75,Journal,ar,Article,100,4,4,"Atlantic coast (USA) salt-marsh plants | Biogeographic theory | Chemical defense | Herbivory | Latitude and plant variation | Palatability, affected by multiple plant traits | Palatability, plant variaton across latitude",20308,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038477024,SCOPUS_ID:0038477024,2-s2.0-0038477024,Why does the leaf beetle Galerucella lineola F. Attack wetland willows?,Sipura M.,Ecology,00129658,83,12,3393-3407,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3393:WDTLBG]2.0.CO;2,"The willow-feeding leaf beetle (Galerucella lineola F.) attacks its host plant, tea-leafed willow (Salix phylicifolia L.), heavily in damp habitats, but less so in well-drained soils. To confirm this general observation and to explore the factors affecting habitat and host-plant use by this beetle, we collected data from 12 study sites in Finland during two consecutive gears. All sites included three habitats: (1) water, where the willows were growing in permanently waterlogged soils, (2) flood zone, where the willows underwent periods of flooding, and (3) dry zone, where the willows grew in well-drained soils. G. lineola was, on average, 16 times more abundant on willows growing directly from water as compared to willows in well-drained soils nearby. To explain this, we proposed three general hypotheses. (1) The food-quality hypothesis states that the apparently stressed willows growing in waterlogged soils provide superior food for the beetles. (2) The predation hypothesis states that open water surface around the willows in wetlands impedes dispersal of predators providing enemy-free space for the beetles. (3) The climate hypothesis states that wetlands provide better abiotic conditions for the adults, eggs, or larvae of this leaf beetle. These hypotheses were tested by using observational data and by performing both laboratory and field experiments. Contrary to the food-quality hypothesis, adult beetles preferred S. phylicifolia grown in dry habitats both for food and oviposition medium in the laboratory, and produced fewer eggs when fed on willow leaves from wetlands. Consistently, larvae performed poorly on leaves from wetland willows in the laboratory, most probably due to low water content of the leaves, also rich in phenolic secondary compounds and poor in nitrogen. The densities of crawling predators did not differ between the habitats, and the predation experiments revealed no difference in predation pressure between the habitats. However, during a rainless period, the first-instar larvae performed relatively poorly in drier habitats despite the high quality of food. When ramets of S. phylicifolia were exchanged between the habitats the first-instar larvae performed best in sunny wetland habitats on willows originally from dry sites. Spraying with water improved the performance of neonate larvae more on willows growing in dry habitat than on wetland willows. The results show that G. lineola does not attack S. phylicifolia growing in wetlands because of the superior food quality or lower predation pressure, but because of the strong affinity by adult beetles to the moist habitat where also the first-instar larvae, vulnerable to desiccation, usually perform best. An apparently ancestral physiological constraint hinders the beetles from using the best food resources and restricts their occurrence primarily to moist habitat patches with poor quality food and high risk of intraspecific competition.",21,Journal,ar,Article,100,4,4,Abiotic habitat | Desiccation | Enemy-free space | Food quality | Habitat selection | Herbivory | Humidity | Predation | Salix phylicifolia | Secondary chemistry | Waterlogging | Wetlands,20308,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038477018,SCOPUS_ID:0038477018,2-s2.0-0038477018,Seedling demography of Swida controversa: Effect of light and distance to conspecifics,Masaki T.,Ecology,00129658,83,12,3497-3507,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3497:SDOSCE]2.0.CO;2,"Some shade-intolerant trees with soil seed banks also have advanced recruits under a closed canopy. To determine the relative roles of advanced recruits and seed banks in regeneration, we studied the demography of seedling cohorts of the deciduous canopy tree, Swida controversa, in an old-growth temperate forest in Japan. Five cohorts that germinated in 1988-1992 were followed for 10 yr, relating their survival and growth to the environment. We measured distance to the nearest conspecific adult, initial local density of conspecific seedlings, herbaceous plant coverage, light intensity, and soil water content. Seed production occurred only in 1988 and 1990, but seedlings emerged every year from 1988 to 1992. Only increasing distance to the nearest conspecific adult had a significant, positive effect on seedling survival. Damping-off by fungal pathogens was the most common cause of seedling mortality, especially near conspecific adults. Growth of seedlings was significantly and positively affected by light level; rapid growth occurred mostly in a large gap (∼200 m2). Even here, however, the growth rate of seedlings decreased over time. A stochastic simulation suggested that the relative importance of soil seeds and advanced recruits changes with the distance. In sites <25 m from conspecific adults, colonization of gaps should occur via the soil seed bank, because seedlings do not survive at these distances. In sites farther away, advanced recruits were more important than the seed bank in colonizing gaps. We hypothesize that, in sites with an abundant population of S. controversa, regeneration would most likely originate from the soil seed bank, but in other sites regeneration would most likely be from advanced recruits.",50,Journal,ar,Article,100,2,2,"Canopy gap | Fungal pathogen | Light intensity | Ogawa Forest Reserve, Japan | Seed bank | Seedling bank | Swida controversa",20308,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038477016,SCOPUS_ID:0038477016,2-s2.0-0038477016,Advanced techniques for modeling avian nest survival,Dinsmore S.,Ecology,00129658,83,12,3476-3488,2002-12-01,1 December 2002,10.1890/0012-9658(2002)083[3476:ATFMAN]2.0.CO;2,"Estimation of avian nest survival has traditionally involved simple measures of apparent nest survival or Mayfield constant-nest-survival models. However, these methods do not allow researchers to build models that rigorously assess the importance of a wide range of biological factors that affect nest survival. Models that incorporate greater detail, such as temporal variation in nest survival and covariates representative of individual nests represent a substantial improvement over traditional estimation methods. In an attempt to improve nest survival estimation procedures, we introduce the nest survival model now available in the program MARK and demonstrate its use on a nesting study of Mountain Plovers (Charadrius montanus Townsend) in Montana, USA. We modeled the daily survival of Mountain Plover nests as a function of the sex of the incubating adult, nest age, year, linear and quadratic time trends, and two weather covariates (maximum daily temperature and daily precipitation) during a six-year study (1995-2000). We found no evidence for yearly differences or an effect of maximum daily temperature on the daily nest survival of Mountain Plovers. Survival rates of nests tended by female and male plovers differed (female rate = 0.33; male rate = 0.49). The estimate of the additive effect for males on nest survival rate was 0.37 (95% confidence limits were 0.03, 0.71) on a logit scale. Daily survival rates of nests increased with nest age; the estimate of daily nest-age change in survival inthe best model was 0.06 (95% confidence limits were 0.04, 0.09) on a logit scale. Daily precipitation decreased the probability that the nest would survive to the next day; the estimate of the additive effect of daily precipitation on the nest survival rate was -1.08 (95% confidence limits were -2.12, -0.13) on a logit scale. Our approach to modeling daily nest-survival rates allowed several biological factors of interest to be easily included in nest survival models and allowed us to generate more biologically meaningful estimates of nest survival.",660,Journal,ar,Article,100,3,3,Charadrius montanus | Montana | Mountain Plover | Nest survival | Nesting success | Program MARK,20308,undefined,0,FALSE,10,NA,NA,NA
