@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0043094329,SCOPUS_ID:0043094329,2-s2.0-0043094329,Top-down is bottom-up: Does predation in the rhizosphere regulate aboveground dynamics?,Moore J.,Ecology,00129658,84,4,846-857,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0846:TIBDPI]2.0.CO;2,"We explore two aspects of how predation within the rhizosphere influences nutrient availability, plant productivity, and aboveground community dynamics. First, plant roots and soil microbes have a long history of interaction that is centered on the reciprocal acquisition of carbon by microbes and nitrogen by plants. Predators within the rhizosphere alter these interactions in ways that benefit plants but also influence the dynamics of other Species within ecosystems and processes that are important to ecosystem function and stability. These same Predators regulate their prey in a traditional ""top-down"" manner but in doing so alter the release of nutrients that may limit plant productivity and thereby affect plant growth in a ""bottom-up"" fashion as well. Second, much attention has been given to the importance of specific interactions, or, as presented within this series, genes and/or gene products as critical control points. We suggest that control should be viewed within the framework of interactivity. The interdependence between the aboveground and belowground realms can be explained in terms of the patterning of trophic interactions within the rhizosphere and the influence of these interactions on the supply of nutrients and rates of nutrient uptake by plants. While specific interactions may be important, it is the patterning of these interactions intoassemblages of species that share similar growth rates and habitats that is the salient feature of the rhizosphere that confers stability, affects nutrient retention, and regulates aboveground and belowground dynamics.",193,Journal,re,Review,100,4,4,Nutrient dynamics | Rhizosphere | Soil food webs | Stability | Trophic structure,20308,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0043094328,SCOPUS_ID:0043094328,2-s2.0-0043094328,Molecular signals and receptors: Controlling rhizosphere interactions between plants and other organisms,Hirsch A.M.,Ecology,00129658,84,4,858-868,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0858:MSARCR]2.0.CO;2,"Rhizosphere interactions are affected by many different regulatory signals. As yet, however, only a few have been identified. Signals, by definition, contain information, react with a receptor, and elicit a response. Signals may thus represent the highest level of evolved response in rhizosphere communities and, in that sense, occupy a supreme control point. At the same time, some signals may function as modulators of downstream responses, rather than on/off switches. To assess these possibilities, several interactions between plants and soil organisms are described, starting with the molecular interactions between leguminous plants and symbiotic bacteria of the family Rhizobiaceae, one of the best-characterized plant-microbe associations in the rhizosphere. We then examine other interactions between plants and soil organisms for overlap and/or connections with the rhizosphere signals utilized in the legume-Rhizobium symbiosis. Whether information currently available reflects the interaction of the organisms in nature or only in the laboratory has not always been determined. Thus, the key ecological issue of how important some of the signals are under field conditions remains to be addressed. Molecular tools now available make this task less daunting than in the past, and thus a new age of experimental field ecology may soon burst forth in rhizosphere studies. By identifying the signals, receptors, and the critical control points, we can better understand the organismal dynamics in this key belowground ecosystem.",125,Journal,re,Review,100,6,6,Parasitism | Pathogenesis | Predation | Quorum sensing | Receptors | Rhizosphere interactions | Signals | Symbiosis,20308,undefined,0,FALSE,2,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042816300,SCOPUS_ID:0042816300,2-s2.0-0042816300,Woody plant establishment and spatial heterogeneity in grasslands,Jurena P.,Ecology,00129658,84,4,907-919,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0907:WPEASH]2.0.CO;2,"Root exclusion experiments demonstrated the importance of belowground competition between grasses and Prosopis glandulosa (honey mesquite) during the critical seeding establishment phase of the woody plant life cycle. Belowground available volume accounted for 67% and 79% of the variance in first- and second-year Prosopis seedling growth and survival, respectively. Available volume in the vertical dimension was more important than that in the horizontal dimension. Trials spanned years with contrasting annual precipitation, suggesting that root competition occurs in years of near-average as well as below-average annual rainfall. Spatial heterogeneity in canopy gaps and belowground biomass was also quantified in a Schizachayriuim-Paspalum grassland matrix and evaluated with respect to Prosopis seedling establishment. Of the 100 grid points encountered in four grass stands, 62% were unoccupied; and 50% of these exceeded 80 cm2 (∼10 cm diameter). Gaps ≥ 10 cm in diameter were sufficient for successful Prosopis germination and survival after one (40%) and two (15%) growing seasons. Herbaceous root biomass was statistically comparable among stands, but point-specific biomass varied three orders of magnitude (<50 g/m2 to >3000 g/m2). In addition, root biomass was temporally variable, ranging from a mean (± 1 SE; g/m2) of 768 (86) in a year of below-average annual rainfall (1996; 721 mm) to 1108 (104) in a year of roughly average annual rainfall (1995; 1032 mm). It is often assumed that grasslands dominated by productive, late seral species will be resistant to woody plant encroachment; and that grazing, by reducing the ability of grasses to competitively exclude woody seedlings, makes grasslands susceptible to tree/shrub invasion. However, given the substantial annual variation in belowground biomass observed in this study, it seems reasonable that ungrazed grasslands may be more susceptible to woody plant encroachment in some years and more resistant in others. Furthermore, given the substantial spatial variation in aboveground gap area and belowground biomass, there may be numerous low-competition microsites for woody plant seedlings within ungrazed grasslands. A high degree of temporal and spatial variability in gap area and belowground biomass may therefore help explain successful establishment of woody seedlings in ungrazed or lightly grazed, late seral grasslands in the absence of fire. We found no correlation between aboveground structure and belowground biomass at scales of 1-10 m2. Thus, readily quantifiable attributes such as grass basal area or gap area could not be used to infer site susceptibility to woody plant seedling establishment.",116,Journal,ar,Article,100,2,2,Competition | Grassland | Mesquite | Paspalum | Prosopis glandulosa | Savanna | Schizachyrium | Woody plant encroachment,20308,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042816286,SCOPUS_ID:0042816286,2-s2.0-0042816286,Habitat fragmentation impacts on epiphyllous bryophyte communities in central Amazonia,Zartman C.,Ecology,00129658,84,4,948-954,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0948:HFIOEB]2.0.CO;2,"Tropical deforestation is a progressive process resulting in the conversion of rain forest into a mosaic of mature forest fragments, pasture, and degraded habitat. Understanding the long-term effects of habitat fragmentation on tropical plant community structure is critical to predicting how alterations to the landscape will impact tropical biodiversity. The objective of this study was to examine fragmentation effects on the composition, abundance, and species richness of epiphyllous (leaf-inhabiting) bryophytes. I conducted this research in an experimentally fragmented forest reserve in central Amazonia where data on the distribution and abundance of 65 bryophyte taxa were analyzed from 16 1-ha sample plots located in continuous forest and fragments. Epiphyll communities inhabiting small (1- and 10-ha) fragments exhibited lower species richness, abundance, and among-site compositional variation than those from 100-ha fragments and continuous forest plots. Reduced epiphyll diversity in small fragments is not simply a statistical artifact of low epiphyll densities, but rather due to a disproportionate loss of regionally common taxa. In contrast, rare taxa responded marginally to fragmentation, and in most cases were more abundant in fragments than in continuous forest habitat. Because epiphyllous bryophytes rapidly establish species-rich communities on spatially discrete habitat patches, they are an ideal plant group for addressing the long-term (multigeneration) impact of habitat fragmentation on plant communities.",89,Journal,ar,Article,100,1,1,Amazon rain forests | Bryophytes | Community structure | Epiphylls | Habitat fragmentation | Rarefaction | Reserve design,20308,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042816285,SCOPUS_ID:0042816285,2-s2.0-0042816285,"Shoot structure, leaf physiology, and daily carbon gain of plant species in a tallgrass meadow",Anten N.P.R.,Ecology,00129658,84,4,955-968,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0955:SSLPAD]2.0.CO;2,"We analyzed the importance of shoot structural and leaf physiological characteristics in determining interspecific differences in whole-shoot carbon gain in a tallgrass meadow. Canopy structure, aboveground mass, leaf nitrogen content, and leaf photosynthesis were determined for individual shoots of the dominant grass Miscanthus sinensis (a C4 species) and for four forb species (all C3). These data were used to calculate net daily carbon gain of individual shoots in absolute terms, per unit leaf area, and per unit above-ground biomass (Pmass). Pmass in turn, is an important component of growth per unit mass (relative growth rate, RGR). Miscanthus shoots had a higher total carbon gain and a higher Pmass than shoots of the other species. The greater Pmass of Miscanthus shoots was not because they captured more light per unit mass (Φmass), but because they achieved higher rates of photosynthesis per unit of absorbed light (Plight; Pmass = Φmass X Plight). The latter was mainly due to the higher leaf photosynthetic capacities per unit nitrogen associated with the C4 pathway of this species Among the forbs, Potentilla freyniana had the highest Pmass, even though it was the shortest, most shaded species in the stand. This high Pmass was because its shoots had relatively high leaf-area-to-mass ratios (resulting in high Φmass) and low rates of dark respiration (resulting in high Plight). Sensitivity analysis of our model showed that relative to the other species these traits enable Potentilla to achieve high carbon gain in the shade but not at high light. It also showed that the traits of Miscanthus enable it to achieve relatively high carbon gain at high light but not at low light. Another sensitivity analysis revealed that an increase in leaf area and associated light capture of shoots, while keeping their total canopy nitrogen constant and thus reducing their leaf N content and associated photosynthetic capacities, reduced the estimated carbon gain for most of the shoots in the stand. These results indicate that interspecific differences in carbon gain per unit mass in this stand were more closely associated with differences in leaf physiology than with structural differences that determine light capture.",44,Journal,ar,Article,100,2,2,C 3 | C 4 | Canopy structure | Coexistence | Grassland | Interspecific competition | Leaf area ratio | Miscanthus sinensis | Niche | Nitrogen use efficiency | Photosynthesis,20308,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042816280,SCOPUS_ID:0042816280,2-s2.0-0042816280,Mapping the assembly of protist communities in microcosms,Warren P.,Ecology,00129658,84,4,1001-1011,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[1001:MTAOPC]2.0.CO;2,"Theoretical models of community assembly predict a variety of possible assembly phenomena, but evidence for them in natural systems is hard to obtain because of problems of temporal scale and replication. We used laboratory experiments to investigate the potential assembly pathways in a small pool of protist species. Mapping the paths of assembly involved two steps: testing the ability of every possible species combination to persist, and testing each persistent community for its capacity to be invaded and changed by every other species from the pool. We then compared the properties of assembly in the experimental system with those predicted by theoretical models. We found that the number of community states and assembly paths was much smaller than theoretically possible, but that the system nonetheless had quite a complex range of assembly behaviors. There were many alternative paths to most communities, but overall, the species pool had just one state to which the paths eventually led. This absorbing state involved an oscillation between two communities, driven in part by a catalytic species that could persist in neither of them. Catalytic species have the property of invasion, changing the resident community, and then going extinct. In the species pool used here, only the predatory species acted as catalysts. Several communities capable of long-term persistence were unreachable by sequential assembly. One community had the property that it could not be reassembled from the species it contained (a ""Humpty-Dumpty"" community). These results are for the most part in keeping with those from numerical simulations of community assembly, although there are certain discrepancies and new phenomena. The results also highlight the potential importance of long-term transient dynamics on assembly in natural systems.",60,Journal,ar,Article,100,3,3,Community assembly | Invasion | Microcosm | Protist,20308,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042816278,SCOPUS_ID:0042816278,2-s2.0-0042816278,Zooplankton metacommunity structure: Regional vs. Local processes in highly interconnected ponds,Cottenie K.,Ecology,00129658,84,4,991-1000,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0991:ZMSRVL]2.0.CO;2,"Local communities can be structured by both local interactions (competition, predation, environmental variables, etc.) and by regional interactions (dispersal of individuals between habitats). Using data from a three-year study on 34 neighboring ponds in an interconnected pond system, we tested whether zooplankton communities show a metacommunity structure, how much variation in zooplankton community structure is related to local environmental factors vs. spatial configuration (taking into account the dispersal pathways), and what environmental variables are the locally structuring forces. In three different years, we found evidence for a metacommunity structure. We also found that spatial and environmental components act independently Of each other due to the small geographic area and the high dispersal rates in this system. Despite these homogenizing forces, local environmental variables (associated with alternative equilibria in shallow lakes) were strongly related with zooplankton community structure in the studied years. This suggests that, even in this system of highly interconnected ponds, local environmental constraints can be strong enough to structure local communities.",314,Journal,ar,Article,100,4,4,Alternative equilibria in shallow ponds | Dispersal | Interconnected ponds | Local vs. regional factors | Metacommunity | Spatial analysis | Variance decomposition | Zooplankton,20308,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042816216,SCOPUS_ID:0042816216,2-s2.0-0042816216,Predation risk affects relative strength of top-down and bottom-up impacts on insect herbivores,Denno R.,Ecology,00129658,84,4,1032-1044,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[1032:PRARSO]2.0.CO;2,"Elucidating the relative strength of top-down and bottom-up forces in communities of phytophagus insects has been a major historical focus. Current consensus is that both forces play a role, but it is poorly known if these forces act differently on herbivores in the same assemblage and what factors underlie this variation. Using manipulative experiment's with an assemblage of sap-feeding phytophagous insects (six species of planthoppers, leafhoppers, and heteropteran bugs) inhabiting intertidal Spartina marshes, we examined the association between herbivore behavior, risk of predation, and ultimately the relative impact of top-down (wolf spider predation) and bottom-up (host-plant nutrition) factors on the population density of each sap-feeding herbivore. A factorial experiment on open Spartina islets in the field (two levels of plant nutrition crossed with two levels of spider predation) showed that bottom-up and top-down manipulations differentially affected the various sap-feeders. Overall, bottom-up effects dominated in this sap-feeder community, whereby the density of all six sap-feeders increased when the nitrogen content of Spartina was elevated. By contrast, wolf-spider addition significantly suppressed populations of only the Prokelisia species and had little impact on the other four sap-feeder species in the community. Functional-response experiments and behavioral studies revealed that certain species (Prokelisia planthoppers) were at much higher risk of attack by wolf spiders than other sap-feeders in the assemblage and that risk of predation was associated with a species' particular ""escape/defensive behavior."" Moreover, risk of spider predation was roughly linked to the strength of top-down impacts in the field, because species with ineffective escape behaviors and a high risk of spider attack (Prokelisia planthoppers) were the only sap-feeders whose populations were suppressed by spider predation in the field. Thus, specific behavioral characteristics of the sap-feeders on Spartina influenced risk of predation and the relative strength of top-down and bottom-up impacts on their population dynamics. Notably, all herbivores in this system were positively influenced by elevated plant nutrition, only the common sap-feeder species (Prokelisia planthoppers) were adversely affected by spider predation, and it was the rarer sap-feeders in the assemblage that were least impacted by predation. These results call into question the overall pervasiveness of top-down forces and underscore the primacy of basal resources in structuring this community of phytophagous insects.",104,Journal,ar,Article,100,4,4,Bottom-up vs. top-down impact | Phytophagous insect community | Plant nutrition | Planthopper | Population suppression | Predation | Prokelisia | Risk of predation | Sap-feeding insects | Spartina alterniflora | Spider | Trophic cascades,20308,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042315164,SCOPUS_ID:0042315164,2-s2.0-0042315164,Field evidence for a rapidly cascading underground food web,Preisser E.L.,Ecology,00129658,84,4,869-874,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0869:FEFARC]2.0.CO;2,"The strength of cascading effects from predators to plants is a controversial issue in work addressing terrestrial trophic interactions. While suppressing herbivores, the effects of some predators dissipate through two trophic levels and only modestly affect land plants. I addressed the strength of the indirect effect of the predatory nematode Heterorhabditis marelatus on the bush lupine (Lupinus arboreus), where the nematode may protect the plant by killing root-feeding ghost moth (Hepialus Californicus) caterpillars. I manipulated both predators and herbivores and measured all three components of this cascade in the field. Lupine bushes in eight plots had 24 caterpillars added to each bush's rhizosphere. Four plots had nematode predators added to the soil, while four control plots had no nematodes added. Cascading effects on lupine growth and fitness occurred quickly. The nematode halved herbivore densities in three months, increased lupine trunk growth by 67% within eight months, and increased seed set by 44% in three months. Combined with previous experiments, this result identifies the system as a potent terrestrial trophic cascade. By protecting bush lupine, a nitrogen fixer, this predator may mediate the plant's community effects. Though poorly known, underground predators can have profound effects on terrestrial communities.",44,Journal,ar,Article,100,1,1,Hepialus californicus | Heterorhabditis marelatus | Lupïnus arboreus | Predator-prey interactions | Soil food web | Terrestrial cascade | Top-down effects | Trophic cascade | Underground herbivory,20308,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042315160,SCOPUS_ID:0042315160,2-s2.0-0042315160,Effects of successional dynamics on metapopulation persistence,Ellner S.,Ecology,00129658,84,4,882-889,2003-04-01,1 April 2003,10.1890/0012-9658(2003)084[0882:EOSDOM]2.0.CO;2,"The classical (Levins) metapopulation scenario envisions a species persisting in a network of habitat patches through a balance between frequent local (within-patch) extinctions and recolonizations. Although this is the dominant paradigm for species in fragmented habitats, empirical support is limited, and it has been argued that very restrictive conditions on migration rates are required: high enough for recolonization to balance extinctions, but low enough that local populations do not fluctuate in synchrony. Through simulation and analysis of a stochastic spatial model, we argue that the likelihood of persistence via the classical scenario is strongly affected by some basic properties of within-patch successional dynamics whose importance has not been emphasized in metapopulation theory: the distribution of successional stage durations, and whether patches are ""refractory"" vs. immediately available for recolonization after an extinction has occurred. These properties are tied to the biological causes of extinction (e.g., demographic accident vs. regular successional changes) and patch recovery (e.g., recolonization by a host species vs. regeneration of an exhausted resource base). Our results indicate that metapopulation theory needs to incorporate the patch-dynamics perspective of a landscape in a dynamic mosaic of successional states, with particular attention to links between colonization-extinction processes and local succession.",68,Journal,ar,Article,100,2,2,Colonization | Extinction | Fragmentation | Metapopulation | Patch dynamics | Persistence | Simulation | Stochastic spatial model | Succession,20308,undefined,0,FALSE,10,NA,NA,NA,NA
