@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/30744473239,SCOPUS_ID:30744473239,2-s2.0-30744473239,Rapid recovery of dung beetle communities following habitat fragmentation in central Amazonia,Quintero I.,Ecology,00129658,00129658,86,12,3303-3311,2005-12-01,December 2005,10.1890/04-1960,"Few studies have directly assessed how rapidly functionally important insect communities recover following rain forest loss and fragmentation. In 1986, B. Klein compared the dung and carrion beetle assemblages of clearcuts, fragmented, and non-fragmented forests in central Amazonia, reporting drastic short-term changes in community composition. Fifteen years later, we resampled the same sites using identical techniques and found that, with the regrowth of secondary vegetation between forest fragments, the initial differences had largely disappeared. As the secondary vegetation itself supports dung beetle assemblages similar to those of continuous forest, we conclude that, from the perspective of the dung beetles, the experimentally fragmented area had returned to a continuous state within approximately one decade. These results offer some good news for the conservation of tropical ecosystems, since they suggest that conditions favorable for functionally important arthropods may be quickly restored by secondary regrowth. They also suggest that the preservation of forest fragments and secondary vegetation may provide an important complement to the conservation of intact mature forest. © 2005 by the Ecological Society of America.",93,Journal,ar,Article,100,2,2,Amazonas | Brazil | Dung beetle | Forest fragmentation | Matrix habitat | Rain forest | Recovery | Secondary vegetation,20308,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644480476,SCOPUS_ID:30644480476,2-s2.0-30644480476,Empirically motivated ecological theory,Ives A.R.,Ecology,00129658,00129658,86,12,3137-3138,2005-12-01,December 2005,10.1890/05-0871,NA,4,Journal,ed,Editorial,100,2,2,Ecological models | General theory | Model validation | Philosophy of science | Specific theory | Testing theory,20308,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644480329,SCOPUS_ID:30644480329,2-s2.0-30644480329,Phenotypic selection on Dalechampia blossoms: Honest signaling affects pollination success,Armbruster W.S.,Ecology,00129658,00129658,86,12,3323-3333,2005-12-01,December 2005,10.1890/04-1873,"Pollinators may choose which flowers to visit by direct assessment of rewards or by indirect assessment of ""honest"" advertisements or other traits correlated with the quantity or quality of reward. We wished to know whether selection generated by pollinators acted directly or indirectly on floral rewards, on advertisement traits, and/or traits affecting pollinator efficiency (their fit with flowers) in Dalechampia vines (Euphorbiaceae) and whether the advertisement (bract size) was correlated honestly with reward amount (measured by resin-gland area). In Gabon we studied bee visitation and pollen arrival rates to blossoms of D. ipomoeifolia Benth. and found that, despite the apparent visibility of the resin reward (and its volume), the strongest bee-mediated natural selection acted directly on bract size rather than gland area. Blossoms with larger bracts were visited more often by the only pollinators, female Heriades nr. spiniscutis (Apoidea: Megachilidae), and these blossoms received more pollen on their stigmas. Blossoms with larger resin glands were also visited more often and received more pollen overall, but this effect disappeared when bract size (which was phenotypically correlated with gland size) was controlled for statistically. These observational data were confirmed by experimental reduction of bract size, which significantly decreased pollen arrival rates. Thus, the bees appear to rely on the ""honest"" correlation between advertisement and reward in choosing the best blossoms to visit, and this behavior generates direct selection for larger bracts and indirect selection for larger resin glands. Bees visiting blossoms with larger separation between the gland and stigmas contacted the stigmas less frequently, and such blossoms received less pollen on their stigmas. Because gland area, bract size, and gland-stigma separation are positively correlated phenotypically, response to selection for larger bracts may be limited in this population by conflicting selection against large gland-stigma separation. © 2005 by the Ecological Society of America.",91,Journal,ar,Article,100,3,3,Dalechampia ipomoeifolia | Evolution | Floral advertisement | Genetic correlation | Heriades | Honest signaling | Indirect selection | Phenotypic selection | Pollination,20308,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644479722,SCOPUS_ID:30644479722,2-s2.0-30644479722,Female-directed dispersal and facilitation between a tropical mistletoe and a dioecious host,Carlo T.,Ecology,00129658,00129658,86,12,3245-3251,2005-12-01,December 2005,10.1890/05-0460,"Phoradendron hexastichum is a bird-dispersed mistletoe that infects the dioecious tree Cecropia schreberiana. Because both species share frugivore seed dispersers, we hypothesized that female Cecropia would have a greater probability and intensity of mistletoe infection than males due to more frequent visitation by shared frugivores. Over 50% of female Cecropia were infected, in contrast with 25% of males. On average, female trees had twice as many mistletoes as male trees. Infection probability and intensity increased with basal area in females but not in males, suggesting that lifetime reinfection was also female biased. We found mistletoe frugivores visiting uninfected fruiting females twice as often as males. Although mistletoes were mostly consumed by the mistletoe specialist Euphonia musica, we did not record Euphonia visiting uninfected Cecropia trees. Uninfected Cecropia trees were frequently visited by generalist frugivores (such as Spindalis portoricensis) that used both mistletoes and Cecropia fruits. The Cecropia-frugivores-Phoradendron network of interactions seems to have led to the spatial linkage of the two plant species through directional dispersal, to plant-plant facilitation through shared frugivores, and to bird-bird facilitation in which generalist frugivores start new foci of infection that specialist frugivores can use. © 2005 by the Ecological Society of America.",62,Journal,ar,Article,100,2,2,Cecropia schreberiana | Dioecious trees | Directed dispersal | Euphonia musica | Facilitation | Frugivory | Generalist consumers | Mistletoes | Phoradendron hexastichum | Puerto Rico | Seed dispersal,20308,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644478254,SCOPUS_ID:30644478254,2-s2.0-30644478254,The uptake of amino acids by microbes and trees in three cold-temperate forests,Finzi A.,Ecology,00129658,00129658,86,12,3345-3353,2005-12-01,December 2005,10.1890/04-1460,"Amino acids are emerging as a critical component of the terrestrial N cycle, yet there is little understanding of amino acid cycling in temperate forests. This research studied the uptake and turnover of amino acid N by soil microbes and the capacity of forest trees to take up the amino acid glycine in comparison to NH4+ and NO3-. This research was conducted in three temperate forests located in northwest Connecticut, USA. The three forests differed in soil parent material and canopy tree species composition. At all three sites, amino acids were released from soil organic matter through the activity of proteolytic enzymes resulting in a pool of free amino acids in soil. Free amino acids were rapidly immobilized by soil microbes. A 15N-enriched-glycine-addition experiment also showed that a significant fraction of the amino acid N taken up by soil microbes was mineralized to NH4+ with substantial nitrification at one site. Tree species from all three sites had the physiological capacity to absorb the amino acid glycine but took up amino acid N, NH4+, and NO3- in proportion to their availability in the soil. At the site with the highest gross fluxes of N, nearly all the N in amino acids was mineralized, and fine roots assimilated inorganic N much more rapidly than amino acid N. At the two sites with slower rates of gross amino acid production, the pool of free amino acids was larger, and fine roots assimilated amino acid N almost as fast as inorganic N. This study demonstrates that amino acids are an important component of the N cycle in temperate forests. © 2005 by the Ecological Society of America.",110,Journal,ar,Article,100,2,2,Amino acid | Inorganic nitrogen | Microorganism | Nitrogen cycling | Temperate forest,20308,undefined,0,FALSE,5,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644477608,SCOPUS_ID:30644477608,2-s2.0-30644477608,Rearrangement of ecological data matrices via Markov chain Monte Carlo simulation,Miklós I.,Ecology,00129658,00129658,86,12,3398-3410,2005-12-01,December 2005,10.1890/05-0027,"Block clustering and seriation reveal the underlying structure of ecological data structures by rearranging the rows and the columns of the data table or data matrix, usually representing species and sample sites, respectively. Classical approaches to this problem rely upon a goodness criterion optimized through an iterative algorithm or utilize a simultaneous classification or ordination of species and sites. The new procedure introduced here does not strive for a single optimal rearrangement. Instead, it generates a series of probability distributions, the Boltzmann distributions, for a large set of solutions that include both the optimal and suboptimal solutions. The procedure is governed by a hypothetical parameter, T, called the ""temperature."" For the value of zero, only the best rearrangements (if there are many) have nonzero probabilities. As the value of this parameter increases, less optimal rearrangements become more frequent in the associated series of distributions. When T approaches infinity, the distribution becomes uniform over all the possible matrix rearrangements. We propose a Markov chain Monte Carlo (MCMC) method which converges reasonably fast to this distribution for any value of T. This chain provides a sample of matrices that can be characterized via several statistics based on the Boltzmann distribution. The relevance of the method is demonstrated using ecological data. We illustrate how much extra information can be gained from suboptimal solutions that may have biological meaning not revealed by the best solution. Although the objective is to give a distribution of solutions rather than a single optimal solution, the new method can actually outperform heuristic searching algorithms in finding the best arrangement. We provide source code for the MCMC method in the C language, which can be compiled under many operating systems (Windows, Linux/Unix, Macintosh OS) and used in command line mode. The Linux/Unix version operates in interactive mode, it gives a graphical output of the results, and is available as a web server interface in PHP 4.3, which can also be installed on personal computers. © 2005 by the Ecological Society of America.",13,Journal,ar,Article,100,3,3,Aquatic vegetation | Block clustering | Boltzmann distribution | MCMC | Seriation,20308,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644477107,SCOPUS_ID:30644477107,2-s2.0-30644477107,Condition-specific competition in container mosquitoes: The role of noncompeting life-history stages,Costanzo K.S.,Ecology,00129658,00129658,86,12,3289-3295,2005-12-01,December 2005,10.1890/05-0583,"Condition-specific competition, wherein competitive superiority varies with the abiotic environment, can determine species' distributions in a spatially heterogeneous environment. We investigated this phenomenon with two competing container-dwelling mosquitoes. We tested the hypothesis that habitat drying alters the outcome of interspecific competition, predicting that the competitive impact of Aedes albopictus on Aedes aegypti would be severe in wetter environments, but greatly reduced in drier environments. We tested these predictions in a laboratory experiment within cages, with aquatic larvae residing in water-filled cups within the cage, and adults emerging within the cage and ovipositing on the cups. We raised each species alone or with the competitor. Environmental treatments were fluctuating (water in cups evaporated to 50% of the original volume and then cups were refilled), and drying (water in cups evaporated completely and cups remained dry for two weeks before refilling). There was a significant interaction between treatment and species combination for adult populations of both species. Interspecific competition was highly asymmetrical. In the wetter fluctuating environment, interspecific competition had a large negative effect on A. aegypti, but in the drying environment, interspecific competition had a large negative effect on A. albopictus, and relatively little impact on A. aegypti. The main cause of the shift in competitive advantage appeared to be a greater increase in egg mortality for A. albopictus under dry conditions, compared to A. aegypti. Thus, mortality impinging on noncompeting life cycle stages can alter the population level impact of interspecific competition. The hypothesis that dry conditions shift competitive advantage away from A. albopictus is supported in this experiment. © 2005 by the Ecological Society of America.",89,Journal,ar,Article,100,3,3,Abiotic factors | Aedes aegypti | Aedes albopictus | Environmental tolerances | Invasive species,20308,R01AI044793,0,FALSE,7,all,All Open Access,NIAID,National Institute of Allergy and Infectious Diseases
true,https://api.elsevier.com/content/abstract/scopus_id/30644476744,SCOPUS_ID:30644476744,2-s2.0-30644476744,Investigating the population-level effects of chytridiomycosis: An emerging infectious disease of amphibians,Briggs C.J.,Ecology,00129658,00129658,86,12,3149-3159,2005-12-01,December 2005,10.1890/04-1428,"Chytridiomycosis is an emerging infectious disease that has recently been reported in amphibian populations throughout the world. It has been associated with many cases of population declines and extinctions. In some areas of the Sierra Nevada of California the disease appears to be the causal factor in the rapid extinction of local populations of the mountain yellow-legged frog, Rana muscosa, within a few years of the first detection of the disease. In other areas, however, R. muscosa populations appear to persist for many years, despite high levels of infection in tadpoles. Here we present simple models of the dynamics of the disease within an individual lake and ask whether our current understanding of the disease is consistent with the field survey observations of: (a) extinction due to the disease over a wide range of host population sizes, and (b) persistence of frog populations with the disease at some sites. Despite our laboratory observation of chytridiomycosis being invariably lethal to postmetamorphic frogs, the observed long-term persistence of infected frog populations can only be explained if at least some infected adult frogs survive and reproduce. © 2005 by the Ecological Society of America.",155,Journal,ar,Article,100,4,4,Amphibian declines | Batrachochytrium dendrobatidis | Chytrid fungus | Demographic stochasticity | Model | Rana muscosa,20308,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644476391,SCOPUS_ID:30644476391,2-s2.0-30644476391,Responses of diversity and invasibility to burning in a northern oak savanna,MacDougall A.,Ecology,00129658,00129658,86,12,3354-3363,2005-12-01,December 2005,10.1890/04-1733,"The role of diversity in buffering environmental change remains poorly tested in natural systems. Diversity might enhance stability if different species have different disturbance susceptibilities (i.e., functional complementarity). Alternatively, diversity might decrease stability because, at high diversity, populations are predicted to be more temporally variable and therefore more vulnerable to extinction following perturbation. There is theoretical support for both hypotheses but limited empirical evidence. I examine these issues with experimental burning along a natural diversity gradient in a savanna where fire has been suppressed for 150 years. I examined how two components of stability, resistance (invasion by added and naturally recruiting species) and resilience (recovery of the predisturbance light levels, the primary limiting resource in this system), varied with diversity. I also examined how the abundance of dominant species and soil depth affected stability, as both are negatively correlated with diversity and could have hidden impacts (e.g., invasion resistance on shallow soils correlated with diversity but caused by moisture stress). Species-rich communities were stable because they contained fire-tolerant species that, despite their rarity, significantly increased in cover after fire, reduced light availability, and limited seedling survival. Species-poor communities were rapidly invaded, apparently due to the combined effects of (1) trade-offs between competitive ability and disturbance tolerance (dominants in species-poor areas were competitive but fire sensitive), and (2) low functional complementarity. Colonization by woody plants was also significantly higher in low-diversity plots; these species are known to form a new stable state that excludes all savanna taxa. The abundance of dominants and soil depth were negatively correlated with diversity because they appear to determine its spatial variation in the absence of fire, but diversity alone accounted for variation in stability. Without burning, most subordinates are confined to shallower soils where they play a minor role in controlling resource flows and production. Diversity, therefore, was more important for buffering the effects of change than controlling ecosystem function under undisturbed conditions. If applicable to other systems, the results indicate that species loss will compound the negative effects of environmental change on ecosystem function by limiting the ability of ecosystems to respond. © 2005 by the Ecological Society of America.",33,Journal,ar,Article,100,1,1,British Columbia | Fire | Invasion | Oak savanna | Plant diversity | Resilience | Resistance | Stability | Trade-offs,20308,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30644475850,SCOPUS_ID:30644475850,2-s2.0-30644475850,Evolution of periodicity in periodical cicadas,Lehmann-Ziebarth N.,Ecology,00129658,00129658,86,12,3200-3211,2005-12-01,December 2005,10.1890/04-1615,"Periodical cicadas present numerous puzzles for biologists. First, their period is fixed, with individuals emerging as adults precisely after either 13 or 17 years (depending on species). Second, even when there are multiple species of either 13- or 17-year cicadas at the same location, only one or rarely two broods (cohorts) co-occur, so that periodical cicada adults appear episodically. Third, the 13- or 17-year periods of cicadas suggest there is something important about prime numbers. Finally, single broods can dominate large areas, with geographical boundaries of broods remaining generally stable through time. While previous mathematical models have been used to investigate some of these puzzles individually, here we investigate them all simultaneously. Unlike previous models, we take an explicitly evolutionary approach. Although not enough information is known about periodical cicadas to draw firm conclusions, the theoretical arguments favor a combination of predator satiation and nymph competition as being key to the evolution of strictly fixed periods and occurrence of only one brood at most geographical locations. Despite ecological mechanisms that can select for strictly fixed periods, there seem to be no plausible ecological mechanisms that select for periods being prime numbers. This suggests that the explanation for prime-numbered periods, rather than just fixed periods, may reside in physiological or genetic mechanisms or constraints. © 2005 by the Ecological Society of America.",23,Journal,ar,Article,100,8,8,Allee effects | Evolution of periodicity | Magicicada | Rock-paper-scissors competition | Spatial dynamics,20308,undefined,0,FALSE,10,NA,NA,NA,NA
