@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,prism:eIssn,fund-acr,fund-sponsor,pii
true,https://api.elsevier.com/content/abstract/scopus_id/33845720298,SCOPUS_ID:33845720298,2-s2.0-33845720298,Counterintuitive density-dependent growth in a long-lived vertebrate after removal of nest predators,Spencer R.,Ecology,00129658,87,12,3109-3118,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3109:CDGIAL]2.0.CO;2,"Examining the phenotypic and genetic underpinnings of life-history variation in long-lived organisms is central to the study of life-history evolution. Juvenile growth and survival are often density dependent in reptiles, and theory predicts the evolution of slow growth in response to low resources (resource-limiting hypothesis), such as under densely populated conditions. However, rapid growth is predicted when exceeding some critical body size reduces the risk of mortality (mortality hypothesis). Here we present results of paired, large-scale, five-year field experiments to identify causes of variation in individual growth and survival rates of an Australian turtle (Emydura macquarii) prior to maturity. To distinguish between these competing hypotheses, we reduced nest predators in two populations and retained a control population to create variation in juvenile density by altering recruitment levels. We also conducted a complementary split-clutch field-transplant experiment to explore the impact of incubation temperature (25° or 30°C), nest predator level (low or high), and clutch size on juvenile growth and survival. Juveniles in high-recruitment (predator removal) populations were not resource limited, growing more rapidly than young turtles in the control populations. Our experiments also revealed a remarkably long-term impact of the thermal conditions experienced during embryonic development on growth of turtles prior to maturity. Moreover, this thermal effect was manifested in turtles approaching maturity, rather than in turtles closer to hatching, and was dependent on population density in the post-hatching rearing environment. This apparent phenotypic plasticity in growth complements our observation of a strong, positive genetic correlation between individual body size in the experimental and control populations over the first five years of life (r G ∼ +0.77). Thus, these Australian pleurodiran turtles have the impressive capacity to acclimate plastically to major demographic perturbations and enjoy the longer-term potential to evolve adaptively to maintain viability. © 2006 by the Ecological Society of America.",27,17249235,Journal,ar,Article,100,3,3,Adaptive plasticity | Australia | Density dependence | Emydura macquarii | Freshwater turtle | Genetic correlation | Growth optimization | Juvenile growth | Predator removal experiment | Reaction norm | Survival,20308,undefined,0,FALSE,all,All Open Access,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845719718,SCOPUS_ID:33845719718,2-s2.0-33845719718,The distribution of lianas and their change in abundance in temperate forests over the past 45 years,Londré R.,Ecology,00129658,87,12,2973-2978,2006-12-01,December 2006,10.1890/0012-9658(2006)87[2973:TDOLAT]2.0.CO;2,"Lianas (woody vines) are an important and dynamic component of many forests throughout the world, and increases in CO2, mean winter temperature, and forest fragmentation may promote their growth and proliferation in temperate forests. In this study, we used a 45-year data set to test the hypothesis that lianas have increased in abundance and basal area in the interiors of 14 deciduous temperate forests in Wisconsin (USA) since 1959. We also censused woody plants along a gradient from the forest edge to the interior in seven of these forests to test the hypothesis that the abundance of lianas declines significantly with increasing distance from the forest edge. We found that lianas did not increase in abundance within the interiors of temperate forests in Wisconsin over the last 45 years. However, relative and absolute liana abundance decreased sharply with increasing distance from forest edges. Our findings suggest that forest fragmentation, not climate change, may be increasing the abundance of lianas in northern deciduous temperate forests, and that lianas may further increase in abundance if the severity of forest fragmentation intensifies. © 2006 by the Ecological Society of America.",90,17249220,Journal,ar,Article,100,2,2,"Climate change | Edge effects | Forest fragmentation | Lianas, distribution and abundance | Temperate forests | Wisconsin, USA, deciduous forests",20308,undefined,0,FALSE,all,All Open Access,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845718700,SCOPUS_ID:33845718700,2-s2.0-33845718700,Incorporating animal behavior into seed dispersal models: Implications for seed shadows,Russo S.,Ecology,00129658,87,12,3160-3174,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3160:IABISD]2.0.CO;2,"Seed dispersal fundamentally influences plant population and community dynamics but is difficult to quantify directly. Consequently, models are frequently used to describe the seed shadow (the seed deposition pattern of a plant population). For vertebrate-dispersed plants, animal behavior is known to influence seed shadows but is poorly integrated in seed dispersal models. Here, we illustrate a modeling approach that incorporates animal behavior and develop a stochastic, spatially explicit simulation model that predicts the seed shadow for a primate-dispersed tree species (Virola calophylla, Myristicaceae) at the forest stand scale. The model was parameterized from field-collected data on fruit production and seed dispersal, behaviors and movement patterns of the key disperser, the spider monkey (Ateles paniscus), densities of dispersed and non-dispersed seeds, and direct estimates of seed dispersal distances. Our model demonstrated that the spatial scale of dispersal for this V. calophylla population was large, as spider monkeys routinely dispersed seeds ≫100 m, a commonly used threshold for long-distance dispersal. The simulated seed shadow was heterogeneous, with high spatial variance in seed density resulting largely from behaviors and movement patterns of spider monkeys that aggregated seeds (dispersal at their sleeping sites) and that scattered seeds (dispersal during diurnal foraging and resting). The single-distribution dispersal kernels frequently used to model dispersal substantially underestimated this variance and poorly fit the simulated seed-dispersal curve, primarily because of its multimodality, and a mixture distribution always fit the simulated dispersal curve better. Both seed shadow heterogeneity and dispersal curve multimodality arose directly from these different dispersal processes generated by spider monkeys. Compared to models that did not account for disperser behavior, our modeling approach improved prediction of the seed shadow of this V. calophylla population. An important function of seed dispersal models is to use the seed shadows they predict to estimate components of plant demography, particularly seedling population dynamics and distributions. Our model demonstrated that improved seed shadow prediction for animal-dispersed plants can be accomplished by incorporating spatially explicit information on disperser behavior and movements, using scales large enough to capture routine long-distance dispersal, and using dispersal kernels, such as mixture distributions, that account for spatially aggregated dispersal. © 2006 by the Ecological Society of America.",208,17249240,Journal,ar,Article,100,3,3,Ateles paniscus | Dispersal kernel | Mechanistic model | Mixture distribution | Myristicaceae | Seed dispersal | Seed shadow | Spider monkey | Virola calophylla,20308,undefined,0,FALSE,all,All Open Access,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845718060,SCOPUS_ID:33845718060,2-s2.0-33845718060,Crown ratio influences allometric scaling in trees,Mäkelä A.,Ecology,00129658,87,12,2967-2972,2006-12-01,December 2006,10.1890/0012-9658(2006)87[2967:CRIASI]2.0.CO;2,"Allometric theories suggest that the size and shape of organisms follow universal rules, with a tendency toward quarter-power scaling. In woody plants, however, structure is influenced by branch death and shedding, which leads to decreasing crown ratios, accumulation of heartwood, and stem and branch tapering. This paper examines the impacts on allometric scaling of these aspects, which so far have been largely ignored in the scaling theory. Tree structure is described in terms of active and disused pipes arranged as an infinite branching network in the crown, and as a tapering bundle of pipes below the crown. Importantly, crown ratio is allowed to vary independently of crown size, the size of the trunk relative to the crown deriving from empirical results that relate crown base diameter to breast height diameter through crown ratio. The model implies a scaling relationship in the crown which reduces to quarter-power scaling under restrictive assumptions but would generally yield a scaling exponent somewhat less than three-quarters. For the whole tree, the model predicts that scaling between woody mass and foliage depends on crown ratio. Measurements on three boreal tree species are consistent with the model predictions. © 2006 by the Ecological Society of America.",94,17249219,Journal,ar,Article,100,2,2,Allometry | Biomass | Branching network | Fractal dimension | Pipe model | Quarter-power scaling,20308,undefined,0,FALSE,NA,NA,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845711758,SCOPUS_ID:33845711758,2-s2.0-33845711758,"Extremes, plasticity, and invariance in vertebrate life history traits: Insights from coral reef fishes",Depczynski M.,Ecology,00129658,87,12,3119-3127,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3119:EPAIIV]2.0.CO;2,"Life history theory predicts a range of directional generic responses in life history traits with increasing organism size. Among these are the relationships between size and longevity, mortality, growth rate, timing of maturity, and lifetime reproductive output. Spanning three orders of magnitude in size, coral reef fishes provide an ecologically diverse and species-rich vertebrate assemblage in which to test these generic responses. Here we examined these relationships by quantifying the life cycles of three miniature species of coral reef fish from the genus Eviota (Gobiidae) and compared their life history characteristics with other reef fish species. We found that all three species of Eviota have life spans of <100 days, suffer high daily mortality rates of 7-8%, exhibit rapid linear growth, and matured at an earlier than expected size. Although lifetime reproductive output was low, consistent with their small body sizes, short generation times of 47-74 days help overcome low individual fecundity and appear to be a critical feature in maintaining Eviota populations. Comparisons with other coral reef fish species showed that Eviota species live on the evolutionary margins of life history possibilities for vertebrate animals. This addition of demographic information on these smallest size classes of coral reef fishes greatly extends our knowledge to encompass the full size spectrum and highlights the potential for coral reef fishes to contribute to vertebrate life history studies. © 2006 by the Ecological Society of America.",73,17249236,Journal,ar,Article,100,2,2,Age | Biomass | Body size | Coral reefs | Gobiidae | Growth | Lifetime fecundity | Mortality | Pelagic larval duration | Reproduction | Trade-offs | Turnover,20308,undefined,0,FALSE,all,All Open Access,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845710637,SCOPUS_ID:33845710637,2-s2.0-33845710637,A climatic driver for abrupt mid-Holocene vegetation dynamics and the hemlock decline in New England,Foster D.,Ecology,00129658,87,12,2959-2966,2006-12-01,December 2006,10.1890/0012-9658(2006)87[2959:ACDFAM]2.0.CO;2,"The mid-Holocene decline of eastern hemlock is widely viewed as the sole prehistorical example of an insect- or pathogen-mediated collapse of a North American tree species and has been extensively studied for insights into pest-host dynamics and the consequences to terrestrial and aquatic ecosystems of dominant-species removal. We report paleoecological evidence implicating climate as a major driver of this episode. Data drawn from sites across a gradient in hemlock abundance from dominant to absent demonstrate: a synchronous, dramatic decline in a contrasting taxon (oak); changes in lake sediments and aquatic taxa indicating low water levels; and one or more intervals of intense drought at regional to continental scales. These results, which accord well with emerging climate reconstructions, challenge the interpretation of a biotically driven hemlock decline and highlight the potential for climate change to generate major, abrupt dynamics in forest ecosystems. © 2006 by the Ecological Society of America.",100,17249218,Journal,ar,Article,100,5,5,Climate change | Forest dynamics | Hemlock decline | Holocene | New England (USA) | Oak decline | Paleoecology | Pollen record,20308,undefined,0,FALSE,all,All Open Access,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845710636,SCOPUS_ID:33845710636,2-s2.0-33845710636,Resources and offspring provisioning: A test of the Trexler-DeAngelis model for matrotrophy evolution,Marsh-Matthews E.,Ecology,00129658,87,12,3014-3020,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3014:RAOPAT]2.0.CO;2,"Theoretical models of the evolution of matrotrophy from a lecithotrophic ancestor suggest that resource availability plays a major role in selective scenarios favoring a change in offspring provisioning. We examined effects of feeding level on embryo provisioning in the livebearing fish Gambusia geiseri, a species with dual provisioning of embryos via both yolk sequestered in large eggs and post-fertilization mother-to-embryo nutrient transfer. Females were fed either once per day or once every three days for three months. Females fed daily had marginally larger brood size, significantly larger embryos, and a higher rate of nutrient transfer (assayed directly by injection of radiolabeled nutrients) than females fed every third day. There was no difference in the size of unfertilized eggs between the feeding treatments. Resource effects on matrotrophic provisioning in G. geiseri suggest that matrotrophy plays an important role in provisioning and allows females to adjust offspring size in response to resource availability. © 2006 by the Ecological Society of America.",34,17249226,Journal,ar,Article,100,2,2,Lecithotrophy | Matrotrophy | Offspring number | Offspring provisioning | Offspring size | Poeciliid | Resource availability | Viviparity,20308,undefined,0,FALSE,NA,NA,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845709897,SCOPUS_ID:33845709897,2-s2.0-33845709897,Spatial heterogeneity influences native and nonnative plant species richness,Kumar S.,Ecology,00129658,87,12,3186-3199,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2,"Spatial heterogeneity may have differential effects on the distribution of native and nonnative plant species richness. We examined the effects of spatial heterogeneity on native and nonnative plant species richness distributions in the central part of Rocky Mountain National Park, Colorado, USA. Spatial heterogeneity around vegetation plots was characterized using landscape metrics, environmental/topographic variables (slope, aspect, elevation, and distance from stream or river), and soil variables (nitrogen, clay, and sand). The landscape metrics represented five components of landscape heterogeneity and were measured at four spatial extents (within varying radii of 120, 240, 480, and 960 m) using the FRAGSTATS landscape pattern analysis program. Akaike's Information Criterion adjusted for small sample size (AICc) was used to select the best models from a set of multiple linear regression models developed for native and nonnative plant species richness at four spatial extents and three levels of ecological hierarchy (i.e., landscape, land cover, and community). Both native and nonnative plant species richness were positively correlated with edge density, Simpson's diversity index and interspersion/juxtaposition index, and were negatively correlated with mean patch size. The amount of variation explained at four spatial extents and three hierarchical levels ranged from 30% to 70%. At the landscape level, the best models explained 43% of the variation in native plant species richness and 70% of the variation in nonnative plant species richness (240-m extent). In general, the amount of variation explained was always higher for nonnative plant species richness, and the inclusion of landscape metrics always significantly improved the models. The best models explained 66% of the variation in nonnative plant species richness for both the conifer land cover type and lodgepole pine community. The relative influence of the components of spatial heterogeneity differed for native and nonnative plant species richness and varied with the spatial extent of analysis and levels of ecological hierarchy. The study offers an approach to quantify spatial heterogeneity to improve models of plant biodiversity. The results demonstrate that ecologists must recognize the importance of spatial heterogeneity in managing native and nonnative plant species. © 2006 by the Ecological Society of America.",182,17249242,Journal,ar,Article,100,3,3,AIC | FRAGSTATS | Landscape metrics | Model selection | Native and nonnative plant species richness | Rocky mountains | Spatial autocorrelation | Spatial heterogeneity | Spatial scales,20308,undefined,0,FALSE,NA,NA,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845705847,SCOPUS_ID:33845705847,2-s2.0-33845705847,Parsnip webworms and host plants at home and abroad: Trophic complexity in a geographic mosaic,Berenbaum M.,Ecology,00129658,87,12,3070-3081,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3070:PWAHPA]2.0.CO;2,"Due to differences in the structure of communities in which interactions are embedded, the intensity of interactions between species may vary with location; thus, what results from differences in outcomes and in degree of specialization is a geographic mosaic, which provides the raw material for divergent coevolutionary trajectories. Where selection intensity is great, reciprocal responses are likely in so-called ""hotspots""; in contrast, where selection pressures are relaxed, reciprocal responses in ""coldspots"" are far less likely to occur. There are few if any studies examining how a gradient of increasing trophic complexity might influence the probability of phenotype matching and, correspondingly, the "" temperature"" of the coevolutionary interaction. This study was conducted to compare outcomes of the interaction between wild parsnip (Pastinaca sativa) and parsnip webworm (Depressaria pastinacella) in its indigenous area, Europe, to its area of introduction, the midwestern United States. Specifically, we tested the hypothesis that increasing trophic complexity, represented by alternate host plants or the presence of natural enemies, reduces the selective impact of parsnip webworms and hence diminishes linkage between host plant chemistry and webworms that would be expected in coevolutionary hotspots. This comparison of a two-species interaction in its area of introduction and its area of indigeneity revealed common patterns that are more reflective of interaction temperature than of continental origin. Where webworms are rare, parsnips produce lower levels of xanthotoxin and bergapten in both the midwestern United States and Netherlands populations. However, the most striking result from this intercontinental comparison is that what is a ubiquitous two-species interaction in North America is in fact exceptional in Europe; webworms could more reliably be found infesting H. sphondylium even where P. sativa was available as well. This preference for H. sphondylium exists despite the comparatively high probability of parasitism associated with this host plant and may reflect the overall lower furanocoumarin content of H. sphondylium. The interaction of parsnip webworms and wild parsnips at home and away demonstrates clearly the potential for rapid contemporary evolution of chemical traits upon re-association with a coevolved enemy, a potential evolutionary outcome that should be considered in the design and implementation of future weed biological control programs. © 2006 by the Ecological Society of America.",59,17249232,Journal,ar,Article,100,2,2,Coevolution | Defense | Depressaria pastinacella | Furanocoumarin | Geographic mosaic | Heracleum | Insect-plant interaction | Pastinaca | Trophic complexity,20308,undefined,1,TRUE,all,All Open Access,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845705467,SCOPUS_ID:33845705467,2-s2.0-33845705467,Spatial spread of an emerging infectious disease: Conjunctivitis in House Finches,Hosseini P.,Ecology,00129658,87,12,3037-3046,2006-12-01,December 2006,10.1890/0012-9658(2006)87[3037:SSOAEI]2.0.CO;2,"In this paper we quantify the rate of spread of the newly emerged pathogen Mycoplasma gallisepticum of the House Finch, Carpodacus mexicanus, in its introduced range. We compare and contrast the rapid, yet decelerating, rate of spread of the pathogen with the slower, yet accelerating rate of spread of the introduced host. Comparing the rate of spread of this pathogen to pathogens in terrestrial mammalian hosts, we see that elevation and factors relating to host abundance restrict disease spread, rather than finding any major effects of discrete barriers or anthropogenic movement. We examine the role of seasonality in the rate of spread, finding that the rate and direction of disease spread relates more to seasonality in host movement than to seasonality in disease prevalence. We conclude that asymptomatic carriers are major transmitters of Mycoplasma gallisepticum into novel locations, a finding which may also be true for many other diseases, such as West Nile Virus and avian influenza. © 2006 by the Ecological Society of America.",35,17249229,Journal,ar,Article,100,3,3,Aves | Carpodacus mexicanus | Conjunctivitis | Disease | Geographic constraints | House Finch | Mycoplasma gallisepticum | Seasonality | Spread of infection,20308,undefined,0,FALSE,NA,NA,10,NA,NA,NA,NA
