@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0015197553,SCOPUS_ID:0015197553,2-s2.0-0015197553,Cytogenetics of the South American akodont rodents (Cricetidae). I. A progress report of Argentinian and Venezuelan forms,Bianchi N.,Evolution,00143820,25,4,724-736,1971-12-01,1971,71,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015196389,SCOPUS_ID:0015196389,2-s2.0-0015196389,The monoecious and dioecious conditions in Sagittaria latifolia L. (Alismataceae),Wooten J.,Evolution,00143820,25,3,549-553,1971-12-01,1971,25,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015196304,SCOPUS_ID:0015196304,2-s2.0-0015196304,Further studies of the etiology of hybrid male sterility in Drosophila paulistorum,Williamson D.,Evolution,00143820,25,2,294-299,1971-12-01,1971,1,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015196201,SCOPUS_ID:0015196201,2-s2.0-0015196201,Industrial melanism in the two spot ladybird and smoke abatement,Creed E.R.,Evolution,00143820,25,2,290-293,1971-12-01,1971,29,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,4,"In Europe high frequencies of the melanic forms of the two spot ladybird, Adalia bipunctata, are found in areas with much heavy industry. The black forms appear to have a physiological rather than a cryptic advantage over the typical red form. Around the city of Birmingham, England, the level of smoke pollution in the atmosphere has fallen to nearly one half since 1962. In the same period the frequency of black ladybirds fell from around 45% to around 25%. Similar changes have not been found elsewhere in Britain.",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015194545,SCOPUS_ID:0015194545,2-s2.0-0015194545,An example of parallelism in carnivore brain evolution,Radinsky L.,Evolution,00143820,25,3,518-522,1971-12-01,1971,27,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,5,"The fossil records of carnivore brain evolution indicate that the cruciate sulcus, a common landmark in living carnivore brains, evolved independently at least 5 times. Hypotheses to account for such widespread parallelism include folding to accommodate a general increase in area of neocortex and, more specifically, expansion of primary motor cortex and perhaps also somatosensory cortex in response to selection for better motor control and increased tactile sensitivity.",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015194085,SCOPUS_ID:0015194085,2-s2.0-0015194085,Experimental analysis of relative fitness in transferrin genotypes of Microtus ochrogaster,Gaines M.,Evolution,00143820,25,3,443-450,1971-12-01,1971,9,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193975,SCOPUS_ID:0015193975,2-s2.0-0015193975,"Genetic interpretation of regressive evolutionary processes: studies on hybrid eyes of two Astyanax cave populations (Characidae, Pisces)",Wilkens H.,Evolution,00143820,25,3,530-544,1971-12-01,1971,118,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,7,"The eyes of F1 hybrids of two cave populations of Astyanax mexicanus (Anoptichthys hubbsi and A. antrobius) were examined anatomically. Their average sizes were greater than those of the parental forms. As observed in the parental forms, there were also correlations between total size and degree of differentiation of eyes of F1 hybrids. The largest were characterized by features which none of the parental forms possess (remains of outer nuclear and outer reticular layers, horizontal cells, lens rudiments). This proves again that the eye is a developmental unit, whose various structures are interdependent and whose degree of differentiation is correlated with size. Both are less dependent on which particular eye genes are present than on how many eye genes there are. As regards structure and size, the eyes of both parental forms exhibit practically no differences. Both cave populations possess more or less the same number of eye genes. The enlarged eye size of F1 hybrids demonstrates that both cave populations possess a rudimentary eye gene system, which because of separate evolution is partly non allelic. Random mutations are the basis of evolutionary processes, the number of degenerative ones thereby being higher than that of constructive ones. This must be interpreted as caused by the fact that within a balanced genic system for example as exhibited by the genic basis of eye development rise of disorder is far more likely than persistence of order. Usually degenerative mutations are eliminated by selection. In the case of an organ which has lost its function, however, it is not subjected to selection. Thus neither constructive nor degenerative mutations get lost. On account of their large number, degenerative mutations cause a preponderantly regressive development of the organs concerned. The type of reduction is determined by developmental interdependence within and between all structures of an organ. It is not the kind but the number of degenerative mutations which is decisive in determining the degree of differentiation and correlated size of an organ. Organs in which reduction has started are characterized by variability. This is diminished when at the end of a degenerative process there are only genes left which are connected pleiotropically to others. Rapidity of reduction which is probably high on account of the possibility of all mutations, the whole raw material of evolution, becoming expressed, is now diminished. A rudiment which is almost completely homozygous now will persist for a long time.",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193974,SCOPUS_ID:0015193974,2-s2.0-0015193974,The relations between population structure and rate of inbreeding,Giesel J.,Evolution,00143820,25,3,491-496,1971-12-01,1971,1,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,8,"The inbreeding characteristics of a population are shown to be a function of the demographic form of the population or of the age distribution of probable fecundity of the population. Stochastic computer simulation of twenty demographically different populations, each having overlapping generations and discrete age classes, was done and inbreeding coefficients were calculated. While no new model or predictor of inbred state is presented it is shown that no existing model adequately predicts this population parameter. The simulation results are interpreted in the light of the age and fecundity distributions of the populations and it was found that the rate of inbreeding or effective size of a population is a function of the age distribution of proportionate reproduction. The simulation shows that highest rates of inbreeding, and presumably lowest effective number, are associated with high early fecundity and low average fecundity in later age classes.",NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193964,SCOPUS_ID:0015193964,2-s2.0-0015193964,Is there a constant fitness value for a given genotype? No!,Kojima K.,Evolution,00143820,25,2,281-285,1971-12-01,1971,44,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015193955,SCOPUS_ID:0015193955,2-s2.0-0015193955,Tracheal dead space in the respiration of birds,Hinds D.S.,Evolution,00143820,25,2,429-440,1971-12-01,1971,44,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,10,"Quantitative similarities in thermoregulation and respiratory metabolism make comparisons of birds and mammals of interest with regard to convergent evolution. Allometric analyses of avian tracheal dimensions show great exponential similarity to mammals. Body size has an effect upon tracheal dimension in birds paralleling that in mammals. The tracheal length and volume are characteristically higher in birds when compared on equal weight basis. Natural selection has apparently included compensation in the resistance decreasing influence of increased diameter of the tracheal lumen. While antagonistic in regard to resistance, the increases in tracheal length and diameter in birds act synergistically in increasing the tracheal dead air space volumes of birds, which are 4 1/2 times those of mammals of equal body mass. This is partially counteracted by the lower respiratory rates of birds. Birds with tracheal convolutions and therefore greater lengths also have greater diameters and volumes.",NA,NA,NA
