@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0016821903,SCOPUS_ID:0016821903,2-s2.0-0016821903,Evolution in Hawaiian Drosophilidae: chromosomal phylogeny of the Drosophila crassifemur complex,Yoon J.,Evolution,00143820,29,2,249-256,1975-01-01,1975,10.2307/2407213,2,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016741007,SCOPUS_ID:0016741007,2-s2.0-0016741007,Unstable intermediates between orinocan and interior semispecies of Drosophila paulistorum,Dobzhansky T.,Evolution,00143820,29,2,242-248,1975-01-01,1975,10.2307/2407211,2,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,2,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016736197,SCOPUS_ID:0016736197,2-s2.0-0016736197,Ecological competition and the advantage of the rare type in Drosophila melanogaster,Petit C.,Evolution,00143820,29,4,763-776,1975-01-01,1975,10.2307/2407083,8,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,3,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016699861,SCOPUS_ID:0016699861,2-s2.0-0016699861,Gene control mechanisms and their possible bearing on the neutralist selectionist controversy,Wallace B.,Evolution,00143820,29,2,193-202,1975-01-01,1975,10.2307/2407207,5,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,4,"This paper deals with mechanisms of gene control in higher organisms; specifically, it considers in some detail two aspects of a model proposed by Wallace and Kass (1974) in which a selective advantage is said to reside in the possession of dissimilar sequences of transcription initiating sensors at homologous gene loci. The advantage that may arise by virtue of dissimilar allelic sequences is examined in detail by means of a simple example. The bearing of the model on the current neutralist selectionist controversy is discussed. Under the proposed model, the advantage of heterozygotes appears to be inversely correlated with population size, growing as population size decreases."
true,https://api.elsevier.com/content/abstract/scopus_id/0016694103,SCOPUS_ID:0016694103,2-s2.0-0016694103,Sex ratio selection in an age structured population,Charnov E.,Evolution,00143820,29,2,366-368,1975-01-01,1975,10.2307/2407224,19,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,5,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016693187,SCOPUS_ID:0016693187,2-s2.0-0016693187,Population density and mating rates in Drosophila pseudoobscura,Eckstrand I.,Evolution,00143820,29,2,287-295,1975-01-01,1975,10.2307/2407217,10,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,6,"The effects of population density on the mating rates of three strains of Drosophila pseudoobscura are studied. Two strains are from a small population of flies near Bogota, Colombia, which is geographically isolated from the main distribution of D. pseudoobscura. The third strain is a sample of the main distribution and was collected near Taxco, Mexico. Rate constants were determined at three densities for the three strains. A comparison of the results indicates that average mating rates are independent of density changes over the range of densities tested. Time to first mating decreases as density increases, while the percentage of flies mating in a thirty minute time interval increases at higher densities. An exponential model suggests that the population can be divided into two distinct groups based on mating rates. The frequency of fast maters increases as density increases, suggesting the presence of a switch mechanism which, in the presence of appropriate environmental stimuli, switches slow mating flies to the fast mating state."
true,https://api.elsevier.com/content/abstract/scopus_id/0016693185,SCOPUS_ID:0016693185,2-s2.0-0016693185,Deep sea asteroids: high genetic variability in a stable environment,Ayala F.J.,Evolution,00143820,29,2,203-212,1975-01-01,1975,10.2307/2407208,51,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,7,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016680297,SCOPUS_ID:0016680297,2-s2.0-0016680297,Genetic similarity and distance: comments and comparisons,Hedrick P.,Evolution,00143820,29,2,362-366,1975-01-01,1975,10.2307/2407223,45,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016676923,SCOPUS_ID:0016676923,2-s2.0-0016676923,Simultaneous selective predation on two features of a mixed sibling species population,Bantock C.R.,Evolution,00143820,29,4,636-649,1975-01-01,1975,10.2307/2407074,12,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,9,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016669978,SCOPUS_ID:0016669978,2-s2.0-0016669978,Evolutionary genetics of insular Adriatic lizards,Gorman G.,Evolution,00143820,29,1,52-71,1975-01-01,1975,10.2307/2407141,86,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,10,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016668105,SCOPUS_ID:0016668105,2-s2.0-0016668105,Natural selection on morphological phenotypes of the lizard Uta stansburiana,Fox S.,Evolution,00143820,29,1,95-107,1975-01-01,1975,10.2307/2407144,46,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,11,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016667245,SCOPUS_ID:0016667245,2-s2.0-0016667245,"Tooth replacement: efficiency, patterns and evolution",Osborn J.W.,Evolution,00143820,29,1,180-186,1975-01-01,1975,10.2307/2407151,21,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,12,"The waves of tooth replacement which sweep through the jaws of reptiles vary in their steepness and direction in different species. Basing the analysis on a method introduced by De Mar (1972), it is argued that these variations are related to differences between the proportion of their lives for which the individual teeth of different reptiles remain efficient. The greater the proportion of time for which teeth remain efficient, the steeper are the replacement waves. The evolution of mammalian dentitions was in part characterized by a lengthening of the efficient life of teeth with the result that the wave replacement of alternate teeth, which can only be clearly recognized in dentitions where teeth are efficient for between 1/3 and 2/3 of their life, was lost. In reptiles the efficient life of a tooth may be limited, not by the exigencies of wear and tear, but by the fact that a growing animal requires increasingly larger teeth. The more rapidly an animal grows the more rapidly it requires to replace small teeth by larger teeth which are more commensurate with its size. The decrease in the rate of tooth replacement in mammals may have been related to a decrease in the rate at which the animal grew which, in turn, would have prolonged the efficient life of a tooth."
