@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0017049949,SCOPUS_ID:0017049949,2-s2.0-0017049949,Correlations between some measures of genetic distance,Chakraborty R.,Evolution,00143820,30,4,851-853,1976-12-01,1976,19,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017187795,SCOPUS_ID:0017187795,2-s2.0-0017187795,Population genetic studies in bees. 1. Sex limited genes,Kerr W.,Evolution,00143820,30,1,94-99,1976-01-01,1976,9,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,2,10.2307/2407676,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017187167,SCOPUS_ID:0017187167,2-s2.0-0017187167,Components of fitness in the unisexual fish Poeciliopsis monacha occidentalis,Moore W.S.,Evolution,00143820,30,3,564-578,1976-01-01,1976,30,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,3,10.1111/j.1558-5646.1976.tb00934.x,all,All Open Access,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017179850,SCOPUS_ID:0017179850,2-s2.0-0017179850,"Effects of age, rearing and mating experiences on frequency dependent sexual selection in Drosophila pseudoobscura",Pruzan A.,Evolution,00143820,30,1,130-145,1976-01-01,1976,27,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,4,10.2307/2407680,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017178205,SCOPUS_ID:0017178205,2-s2.0-0017178205,Sexual selection and resource accruing abilities in Anolis garmani,Trivers R.L.,Evolution,00143820,30,2,253-269,1976-01-01,1976,215,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,5,10.2307/2407700,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017169952,SCOPUS_ID:0017169952,2-s2.0-0017169952,"Cruising speed during migration of the striped mullet (Mugil cephalus L.,): an evolutionary response to predation?",Peterson C.,Evolution,00143820,30,2,393-396,1976-01-01,1976,9,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,6,10.2307/2407708,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017169951,SCOPUS_ID:0017169951,2-s2.0-0017169951,"Environmental and genetical correlates of disruptive coloration in the water snake, Natrix s. sipedon",Beatson R.,Evolution,00143820,30,2,241-252,1976-01-01,1976,28,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,7,10.2307/2407699,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017163374,SCOPUS_ID:0017163374,2-s2.0-0017163374,Size and environmental predictability for salamanders,Maiorana V.C.,Evolution,00143820,30,3,599-613,1976-01-01,1976,23,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,8,10.1111/j.1558-5646.1976.tb00937.x,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017161836,SCOPUS_ID:0017161836,2-s2.0-0017161836,Genetics changes in natural populations of Drosophila melanogaster,Watanabe T.K.,Evolution,00143820,30,1,109-118,1976-01-01,1976,19,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,9,10.2307/2407678,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017160423,SCOPUS_ID:0017160423,2-s2.0-0017160423,"Genetic divergence and morphological convergence in the prairie dogs, Cynomys gunnisoni and Cynomys leucurus II. Genetic analyses",Pizzimenti J.,Evolution,00143820,30,2,367-379,1976-01-01,1976,4,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,10,10.2307/2407706,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017158370,SCOPUS_ID:0017158370,2-s2.0-0017158370,"Devonian amphibians: did they excrete carbon dioxide via skin, gills, or lungs?",Packard G.,Evolution,00143820,30,2,270-280,1976-01-01,1976,12,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,11,10.2307/2407701,NA,NA,"The evolutionary transition from water breathing to air breathing among antecedents of the Amphibia probably involved a gradual reduction in the rate of gill ventilation and a concomitant, progressive increase in the rate of pulmonary ventilation. However, since increases in the rate of pulmonary ventilation just compensated for diminished uptake of oxygen by the gills, and since carbon dioxide could not be excreted efficiently across the skin, the transition from water breathing to air breathing may have been accompanied by gradual, obligatory increases in carbon dioxide tension of the blood. Thus, to preserve a given level of pH in the body fluids, simultaneous evolutionary increases in the concentration of blood bicarbonate may also have occurred. Consequently, by the time the gills of protoamphibians ceased to have a function in gas exchange, the concentration of bicarbonate ions in blood plasma may have increased to the point that the lungs could excrete the bulk of the carbon dioxide produced in intermediary metabolism without the animals experiencing an acidosis or increasing the rate of pulmonary ventilation beyond what was required to satisfy oxygen requirements."
