@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0017712281,SCOPUS_ID:0017712281,2-s2.0-0017712281,A general model to account for enzyme variation in natural populations. III. Multiple alleles,Gillespie J.,Evolution,00143820,31,1,85-90,1977-01-01,1977,10.2307/2407547,"The recent findings of increased numbers of alleles at enzyme loci suggests that models of balancing selection must use biologically motivated constraints of the fitnesses if stable, multiple-allele equilibria are to be explained. The constraints introduced in Gillespie (1976) that enzyme activity is an additive trait across alleles and that fitness is a concave function of enzyme activity, is shown in this paper to allow the maintainance of an arbitrarily large number of alleles in a randomly fluctuating environment. The condition for polymorphism for n alleles requires, roughly, that the mean difference in activity between neighboring homozygous genotypes is less than twice the variance in activity divided by the square of the number of alleles.",31,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017613451,SCOPUS_ID:0017613451,2-s2.0-0017613451,Why 300 species of Hawaiian Drosophila? The sexual selection hypothesis,Ringo J.M.,Evolution,00143820,31,3,694-696,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01063.x,NA,26,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,2,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017613450,SCOPUS_ID:0017613450,2-s2.0-0017613450,Genetic analysis of the morphological differences between two interfertile species of Hawaiian Drosophila,Val F.C.,Evolution,00143820,31,3,611-629,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01051.x,NA,41,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,3,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017612507,SCOPUS_ID:0017612507,2-s2.0-0017612507,Character displacement for sexual isolation between Drosophila mojavensis and Drosophila arizonensis,Wasserman M.,Evolution,00143820,31,4,812-823,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01073.x,NA,81,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017612506,SCOPUS_ID:0017612506,2-s2.0-0017612506,A darwinian interpretation of hindlimb variability in frog populations,Salthe S.N.,Evolution,00143820,31,4,737-749,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01067.x,NA,8,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,5,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017612016,SCOPUS_ID:0017612016,2-s2.0-0017612016,Evolutionary aspects of mating call variation in a diploid-tetraploid species complex of treefrogs (Anura),Ralin D.B.,Evolution,00143820,31,4,721-736,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01065.x,NA,34,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,6,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017610070,SCOPUS_ID:0017610070,2-s2.0-0017610070,Reproductive success and the evolution of breeding territories in pupfish (Cyprinodon),Kodric-Brown A.,Evolution,00143820,31,4,750-766,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01068.x,NA,91,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,7,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017607491,SCOPUS_ID:0017607491,2-s2.0-0017607491,Canary Island blue tits and English coal tits: Convergent evolution?,Partridge L.,Evolution,00143820,31,3,657-665,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01057.x,NA,6,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,8,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017606021,SCOPUS_ID:0017606021,2-s2.0-0017606021,Genetics of Dacus oleae. VIII. Selection for the amount of acetylcholinesterase after organophosphate treatment,Tsakas S.C.,Evolution,00143820,31,4,901-904,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01085.x,NA,13,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,9,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017606019,SCOPUS_ID:0017606019,2-s2.0-0017606019,Population genetics in the American tropics. X. Genetic load differences in Drosophila willistoni from Colombia,Hoenigsberg H.F.,Evolution,00143820,31,4,805-811,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01072.x,NA,4,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,10,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017604074,SCOPUS_ID:0017604074,2-s2.0-0017604074,Coevolution of pierid butterflies and their cruciferous foodplants. II. The distribution of eggs on potential foodplants,Chew F.S.,Evolution,00143820,31,3,568-579,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01045.x,NA,188,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017596914,SCOPUS_ID:0017596914,2-s2.0-0017596914,Bergmann's rule and variation in structures related to feeding in the gray squirrel,Barnett R.J.,Evolution,00143820,31,3,538-545,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01043.x,NA,23,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,12,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0017592290,SCOPUS_ID:0017592290,2-s2.0-0017592290,Selection intensity in North American house sparrows (Passer domesticus),Lowther P.E.,Evolution,00143820,31,3,649-656,1977-01-01,1977,10.1111/j.1558-5646.1977.tb01055.x,NA,11,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,13,NA,NA
