@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0026313584,SCOPUS_ID:0026313584,2-s2.0-0026313584,Comparative population genetic structure of a parasite (Fascioloides magna) and its definitive host,Mulvey M.,Evolution,00143820,45,7,1628-1640,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02668.x,"The population genetic structure of the American liver fluke Fascioloides magna and its definitive host white-tailed deer Odocoileus virginianus was examined in South Carolina. Flukes were significantly more common in deer from river-swamp habitat than upland areas and prevalence increased with host age. The distribution of flukes among deer occurred as a negative binomial with the mean dispersion parameter, k, equal to 0.17 and the range from 0.10-1.11 within local areas. Patterns of genetic distance in flukes were not concordant with those of the definitive host nor were they related to geographic distance between sample locations. Spatial genetic differentiation among flukes reflected the tendency for individual hosts to harbor multiple individuals from a limited number of parasite clones. The large population size of the parasite and movements of the definitive host tend to counteract factors that lead to spatial differentiation. -from Authors",101,Journal,ar,Article,100,5,5,22104,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/0026313418,SCOPUS_ID:0026313418,2-s2.0-0026313418,Natural selection on floral traits in two species of Lobelia with different pollinators,Johnston M.O.,Evolution,00143820,45,6,1468-1479,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02649.x,"Measured selection acting through female reproductive success in two hermaphroditic species with precise pollen placement but different pollinators: hummingbird-pollinated Lobelia cardinalis and bumblebee-pollinated L. siphilitica. Six traits were analyzed: flower number, mean number of flowers open per day, inflorescence height, number of days in flower, median-flower date and nectary-stigma distance. Female reproductive success in one population of L. cardinalis was much less pollen limited than in the other two populations, and it was therefore expected that selection of female reproductive traits in this population would be weaker. In univariate analyses correlations caused nearly all traits to have significant directional selection coefficients, but in multivariate analyses no traits in L. siphilitica experienced directional or quadratic selection. In two L. cardinalis populations, the less pollen-limited population experienced positive directional selection on flower number and median-flower date, while in the other L. cardinalis population there was positive directional selection on flower number and nectar-stigma distance and both positive directional and positive quadratic selection on height. -from Author",146,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/0026313345,SCOPUS_ID:0026313345,2-s2.0-0026313345,"Ecotypic divergence in alpine Polemonium viscosum: genetic structure, quantitative variation, and local adaptation",Galen C.,Evolution,00143820,45,5,1218-1228,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04388.x,"Polemonium viscosum has a continuous distribution from 3500 m in the krummholz to 4025 m on the summit ridges of Pennsylvania Mountain, Colorado. Seeds produced by plants at opposite ends of this cline, 1.5 km apart, differed significantly at allozyme loci in two consecutive breeding seasons. Restricted gene exchange between subpopulations was indicated. Average allele frequencies at two individual loci also differed significantly between families comprising krummholz and summit subpopulations. Porogeny of plants growing on the summit had higher leaf production rates, more densely packed leaflets, and lower resistance to aphids than progeny of plants growing in the krummholz site, probably reflecting restricted opportunities for growth and severe exposure at high elevations, and the increased risk from herbivores near timberline. -from Authors",113,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,3
true,https://api.elsevier.com/content/abstract/scopus_id/0026312633,SCOPUS_ID:0026312633,2-s2.0-0026312633,On evolution under sexual and viability selection: a two-locus diploid model,Otto S.P.,Evolution,00143820,45,6,1443-1457,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02647.x,"A two-locus diploid model of sexual selection is presented in which the two loci govern, respectively, a trait limited in expression in one sex (generally male) and the mating preferences of the other sex (generally female). The capability of a male depends on its genotype at the trait locus. All females are equally viable and all individuals are equally fertile with respect to the two loci. Near fixation at both loci, evolution at the mating locus is neutral and hence a new mating preference allele will increase only through random genetic drift or through a correlated response to the increase of a new advantageous trait allele. If, however, a polymorphism is already maintained at the trait locus through overdominance in fitness then the increase of a rare preference allele depends only on the recombination rate between the loci and not on the new preference scheme. -Author",21,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,4
true,https://api.elsevier.com/content/abstract/scopus_id/0026312605,SCOPUS_ID:0026312605,2-s2.0-0026312605,Genetic differentiation of Polish populations of Sorex araneus L. III. Interchromosomal recombination in a hybrid zone,Fedyk S.,Evolution,00143820,45,6,1384-1392,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02643.x,Two parapatric chromosomal races of the common shrew in Poland differ in their complement of metacentric arm combinations. -from Authors,32,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/0026311951,SCOPUS_ID:0026311951,2-s2.0-0026311951,Restricted gene flow in a moving hybrid zone of the newts Triturus cristatus and T. marmoratus in western France,Arntzen J.W.,Evolution,00143820,45,4,805-826,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04352.x,"The factors that govern the distribution of cristatus vs. marmoratus in Mayenne, W France are forestation and relief. The parapatric hybrid zone running through Mayenne is narrow but widens to c20 km in an area with mixed habitat, where most breeding sites are shared and F1 hybrids form c4% of the total population. The cristatus-marmoratus hybrid zone bears characteristics of both the clinal (parapatric) hybrid zone model and the mosaic hybrid zone model. Such a mixed model (reticulate hybrid zone) can be appreciated only if studied over a two-dimensional geographic area and also through time. -from Authors",136,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/0026309967,SCOPUS_ID:0026309967,2-s2.0-0026309967,"Development, function, and the quantitative genetics of wing melanin pattern in Pieris butterflies",Kingsolver J.G.,Evolution,00143820,45,6,1480-1492,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02650.x,"Both developmental organization and functional coadaptation among melanin characters influence the genetic correlation structure of melanin pattern in Pieris occidentalis. Results have two important implications for the evolution of melanin pattern in P. occidentalis and other butterflies: 1) most phenotypic variation in pattern may reflect variation among, rather than within, sets of developmentally homologous wing melanin characters; and 2) in a changing selective environment, genetic correlations may retard the disruption of functionally coupled melanin characters, thus affecting the evolutionary response to selection. -from Authors",41,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/0026309878,SCOPUS_ID:0026309878,2-s2.0-0026309878,Six independent losses of the chloroplast DNA rpl2 intron in dicotyledons: molecular and phylogenetic implications,Downie S.R.,Evolution,00143820,45,5,1245-1259,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04390.x,"Previous studies have shown that in several angiosperms the chloroplast gene rpl2, encoding ribosomal protein L2, is interrupted by an intron, but that in spinach Spinacia oleracea (Caryophyllales) this intron has been lost. The authors have determined the distribution of the rpl2 intron for 390 species representing 116 angiosperm families. -from Authors",80,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,8
true,https://api.elsevier.com/content/abstract/scopus_id/0026306487,SCOPUS_ID:0026306487,2-s2.0-0026306487,Phenotype fixation and genotypic diversity in the complex life cycle of the aphid Pemphigus betae,Moran N.A.,Evolution,00143820,45,4,957-970,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04363.x,"Pemphigus betae typically shows a complex life cycle, with annual alternation between cottonwood trees, where it forms leaf galls, and herbaceous plants, where it lives on roots. Distinct phenotypes are associated with each phase. In a population in Utah, aphid clones vary in their tendencies to undergo the cottonwood phase of the life cycle, with certain clones rarely producing the winged migrants that initiate the cottonwood phase. Performances of 35 aphid clones were compared on root hosts by quantifying size (a correlate of fecundity), developmental time, and mortality for clonal sublines. Clones that tend to delete the cottonwood phase and remain on roots developed faster, showed lower mortality, and were larger compared to clones that tend to undergo an annual migration to cottonwood. The set of clones not previously subjected to selection on root hosts showed higher variance than clones isolated following selection in the root-inhabiting phase. -from Author",37,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/0026305574,SCOPUS_ID:0026305574,2-s2.0-0026305574,"A morphologic and genetic study of the island fox, Urocyon littoralis",Wayne R.K.,Evolution,00143820,45,8,1849-1868,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02692.x,"Urocyon littoralis is a dwarf form found on six of the Channel Islands, 30-98 km off the coast of S California. The effective population size varies from c150-1000 individuals. Foxes likely arrived on the three northern islands minimally 10 400-16 000 yr ago and dispersed to the three southern islands 2200-4300 yr ago. Morphometrics, allozyme electrophoresis, mitochondrial DNA restriction-site analysis, and analysis of hypervariable minisatellite DNA were used to measure variability within and distances among island fox populations. Amount of within-population variation is lowest for the smallest island populations and highest for the mainland population, but the larger populations are sometimes less variable, with respect to some genetic measures, than expected. No distinct trends of variability with founding time are observed. Genetic distances among the island populations, as estimated by the four techniques, are not well correlated. The apparent lack of correspondence among techniques may reflect the effects of mutation rate and colonization history on the values of each genetic measure. -from Authors",110,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,10
true,https://api.elsevier.com/content/abstract/scopus_id/0026304713,SCOPUS_ID:0026304713,2-s2.0-0026304713,Host-pathogen interactions in natural populations of Linum marginale and Melampsora lini: II. Local and regional variation in patterns of resistance and racial structure,Jarosz A.M.,Evolution,00143820,45,7,1618-1627,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02667.x,"Spatial variation in the resistance structure of wild flax populations to the rust fungus Melampsora lini, and in the racial structure of this pathogen, was investigated by sampling populations distributed throughout the Kosciusko National Park, New South Wales, Australia. The distribution of the four common races of M. lini was consistent with the hypothesis that a fitness cost was associated with unnecessary virulence. In general, however, differences in the structure of pathogen populations from genetically very similar host populations implied that, in addition to host resistance genes, other evolutionary forces are also important in determining the genetic structure of individual pathogen populations. -from Authors",111,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,11
true,https://api.elsevier.com/content/abstract/scopus_id/0026304574,SCOPUS_ID:0026304574,2-s2.0-0026304574,The evolution of costly mate preferences. I. Fisher and biased mutation,Pomiankowski A.,Evolution,00143820,45,6,1422-1430,1991-01-01,1991,10.1111/j.1558-5646.1991.tb02645.x,"Fisher's runaway process is the standard explanation of the evolution of exaggerated female preferences. But mathematical formulations of Fisher's process (haploid and additive diploid) show it cannot cause stable exaggeration if female preference carries a cost. At equilibrium female fitness must be maximized. Evolutionary stable exaggeration of female preference can be achieved if mutation pressure on the male character is biased, ie mutation has a directional effect. At this equilibrium female fitness is not maximized. -from Authors",308,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,12
true,https://api.elsevier.com/content/abstract/scopus_id/0026304435,SCOPUS_ID:0026304435,2-s2.0-0026304435,Self-fertilization versus cross-fertilization in the hermaphroditic freshwater snail Bulinus globosus,Jarne P.,Evolution,00143820,45,5,1136-1146,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04380.x,"Bulinus globosus is an outcrosser that can self-fertilize when isolated before any copulation has occurred. Self-fertilization depression was estimated during two successive generations. In the first generation, selfing was compared to outcrossing. Within each mating system group, selfing and outcrossing were compared again in the second generation. A striking difference was shown in favor of cross-fertilization for number of eggs laid, survival at birth of young snails and number of snails reaching sexual maturity. The overall self-fertilization depression is 0.920 after two generations of selfing. -from Authors",65,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,all,All Open Access,13
true,https://api.elsevier.com/content/abstract/scopus_id/0026304334,SCOPUS_ID:0026304334,2-s2.0-0026304334,Revising a classic butterfly mimicry scenario: demonstration of Mullerian mimicry between Florida viceroys (Limenitis archippus floridensis) and queens (Danaus gilippus berenice),Ritland D.B.,Evolution,00143820,45,4,918-934,1991-01-01,1991,10.1111/j.1558-5646.1991.tb04360.x,"Limenitis archippus floridensis are conventionally characterized as palatable Batesian mimics of distateful Florida queens Danaus gilippus berenice, but recent experiments indicate that both butterflies are moderately distateful, suggesting they may be Mullerian comimics. Viceroys and queens offered as models to red-winged blackbird Agelaius phoeniceus were both moderately unpalatable (only 16% entirely eaten). Some birds developed conditioned aversions to viceroy or queen models after only eight exposures. In subsequent choice trials, viceroy and queen ""mimics' were attacked significantly less than alternatives, and solo postmodel mimics were attacked significantly less than solo premodel mimics. Florida viceroys and queens were thus comimics and exemplify Mullerian mimicry. -from Author",33,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,14
