@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/3643135272,SCOPUS_ID:3643135272,2-s2.0-3643135272,An eigenvector method for estimating phylogenetic inertia,Diniz-Filho J.A.F.,Evolution,00143820,52,5,1247-1262,1998-01-01,1998,10.1111/j.1558-5646.1998.tb02006.x,"We propose a new method to estimate and correct for phylogenetic inertia in comparative data analysis. The method, called phylogenetic eigenvector regression (PVR) starts by performing a principal coordinate analysis on a pairwise phylogenetic distance matrix between species. Traits under analysis are regressed on eigenvectors retained by a broken-stick model in such a way that estimated values express phylogenetic trends in data and residuals express independent evolution of each species. This partitioning is similar to that realized by the spatial autoregressive method, but the method proposed here overcomes the problem of low statistical performance that occurs with autoregressive method when phylogenetic correlation is low or when sample size is too small to detect it. Also, PVR is easier to perform with large samples because it is based on well-known techniques of multivariate and regression analyses. We evaluated the performance of PVR and compared it with the autoregressive method using real datasets and simulations. A detailed worked example using body size evolution of Carnivora mammals indicated that phylogenetic inertia m this trait is elevated and similarly estimated by both methods. In this example, Type I error at (α= 0.05 of PVR was equal to 0.048, but an increase in the number of eigenvectors used in the regression increases the error. Also, similarity between PVR and the autoregressive method, defined by correlation between their residuals, decreased by overestimating the number of eigenvalues necessary to express the phylogenetic distance matrix. To evaluate the influence of cladogram topology on the distribution of elgenvalues extracted from the double-centered phylogenetic distance matrix, we analyzed 100 randomly generated cladograms (up to 100 species). Multiple linear regression of log transformed variables indicated that the number of eigenvalues extracted by the broken-stick model can be fully explained by cladogram topology. Therefore, the broken-stick model is an adequate criterion for determining the correct number of eigenvectors to be used by PVR. We also simulated distinct levels of phylogenetic inertia by producing a trend across 10, 25, and 50 species arranged in 'comblike' cladograms and then adding random vectors with increased residual variances around this trend. In doing so, we provide an evaluation of the performance of both methods with data generated under different evolutionary models than tested previously. The results showed that both PVR and autoregressive method are efficient in detecting inertia in data when sample size is relatively high (more than 25 species) and when phylogenetic inertia is high. However, PVR is more efficient at smaller sample sizes and when level of phylogenetic inertia is low. These conclusions were also supported by the analysis of 10 real datasets regarding body size evolution in different animal clades We concluded that PVR can be a useful alternative to an autoregressive method in comparative data analysis.",366,Journal,ar,Article,100,3,3,Body size | Comparative methods | Multiple regression | Phylogenetic autocorrelation | Phylogenetic inertia | Principal coordinate analysis,22104,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3543020252,SCOPUS_ID:3543020252,2-s2.0-3543020252,The detection of plasticity genes in heterogeneous environments,Rongling W.U.,Evolution,00143820,52,4,967-977,1998-01-01,1998,10.1111/j.1558-5646.1998.tb01826.x,"The molecular genetic mechanisms for phenotypic plasticity across heterogeneous macro- and microenvironments were examined using the Populus genomic map constructed by DNA-based markers. Three hypotheses have been suggested to explain genetic variation in phenotypic response to varying environments (i.e., reaction norm): Lerner's homeostasis, allelic sensitivity, and gene regulation. The homeostasis hypothesis, which predicts that heterozygotes are less sensitive to the environment than homozygotes, was supported for phenotypic plasticity to unpredictable environments (microenvironmental plasticity) at the whole-genome level, but for phenotypic plasticity to predictable environments (macroenvironmental plasticity) the hypothesis was supported only at functioning quantitative trait loci (QTLs). For all growth traits studied, gene regulation was suggested to play a prevailing role in determining the norms of reaction to environments. Indirect evidence for gene regulation is that there tend to be more QTLs with larger effects on the phenotype in optimal growing conditions than suboptimal growing conditions because the expression of these QTLs identified is mediated by regulatory genes. Direct evidence for gene regulation is the identification of some loci that differ from QTLs for trait values within environments and exert an environmentally dependent control over structural gene expression. In this study, fewer environmentally sensitive QTLs were detected that display unparalleled allelic effects across environments. For stem height, there were more regulatory loci and more structural loci (whose expression is determined by gene regulation) affecting phenotypic plasticity than for basal area. It was found that microenvironmental plasticity was likely controlled by different genetic systems than those for macroenvironmental plasticity.",62,Journal,ar,Article,100,1,1,Allelic sensitivity | Phenotypic plasticity | Populus | QTL mapping | Regulatory loci,22104,undefined,1,TRUE,2,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642711701,SCOPUS_ID:2642711701,2-s2.0-2642711701,Molecular and reproductive characterization of sibling species in the European earwig (Forficula auricularia),Wirth T.,Evolution,00143820,52,1,260-265,1998-01-01,1998,10.1111/j.1558-5646.1998.tb05160.x,"The European earwig (Forficula auricularia) was formerly thought to present a mosaic of populations differing in their reproductive biology. We show that it is comprised of two as yet unrecognized sibling species. The molecular divergence between the two species, for a 627-bp amplified fragment overlapping the COI and COII mitochondrial loci, is six times larger than intraspecific variation. A species with two clutches a year lives predominantly in lowland and oceanic European habitats. A species with one clutch a year-except in the Mediterranean area where it has two clutches-lives predominantly in highland and continental European habitats. They both invaded North America during the 20th century, respectively, from the west and the east coasts, with no apparent mixing of their populations. The two species can occur in sympatry in Europe and are reproductively isolated by nearly complete failure to produce F1 hybrids.",49,Journal,ar,Article,100,4,4,Forficula auricularia | Molecular phylogeny | mtDNA | Population genetics | Reproductive isolation | Reproductive strategy,22104,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642706655,SCOPUS_ID:2642706655,2-s2.0-2642706655,Genetic variation and polymorphism in the inducible spines of a marine bryozoan,Drew Harvell C.,Evolution,00143820,52,1,80-86,1998-01-01,1998,10.1111/j.1558-5646.1998.tb05140.x,"Of particular value in understanding the evolution of genotypes with broad phenotypic ranges (phenotypic plasticity) are the few examples of organisms with adaptive plasticity, such as those that develop a defensive morphology in response to cues from predators. We know little about the heritability of inducible defensive characters or the range of phenotypes available for selection to act on in the field. Membranipora membranacea is a colonial marine bryozoan that produces spines within two days of exposure to waterborne predator extracts. Surveys done in 1993 and 1995 showed that the population at Friday Harbor Labs, Washington, was polymorphic for inducible spine type and was composed of a constitutively spined type that produced spines in the absence of a predator stimulus, an unspined phenotype that did not produce spines irrespective of a stimulus, and an inducibly spined phenotype that would produce spines if exposed to the appropriate cue. In 1995, the frequencies of these types were determined through a laboratory common-garden experiment; 178 colonies were cultured from metamorphosis through approximately 30 days and then exposed to the cue. The inducible type was the dominant, comprising 80.3% of the population. The constitutive type made up 6.2% of the population, and the remaining 13.4 % was the unspined type. The frequency of the three types was similar to a preliminary trial of the experiment run in 1993. Experiments also showed that the lengths of the spines of the inducible type varied continuously among genotypes. To assess causes of variation in the inducible spine response and its clonal heritability, 16 clones were subdivided and grown in a common environment and exposed to a single dosage of spine inducing substance (SIS). Spine length showed high clonal heritability. The range of colony responses from a single environment varied from relatively unresponsive to highly responsive colonies with a very low threshold of response. Norms of reaction were quantified for spine lengths of inducible genotypes originating from two field environments by testing them in a concentration series of SIS. Both spine length and spine type varied with concentration of inducer. Within a clone, colonies were more likely to produce membranous spines than corner spines at higher concentrations. At low concentrations, only straight spines were produced. This study showed that populations of M. membranacea at Friday Harbor are a mix of inducible, nonspined and constitutively spined individuals. Even the inducible individuals showed high heritable variation in the length of spine activated, suggesting that there is considerable scope for the evolution of this character. A norm-of-reaction experiment further showed that the type of spine produced, membranous or corner, varied with the concentration of the cue. Factors maintaining the polymorphism and the broad range of genotypes could include high costs of defending the spined types coupled with a shifting biotic regime.",62,Journal,re,Review,100,1,1,Bryozoan | Inducible defense | Membranipora | Norm of reaction | Phenotypic plasticity,22104,undefined,1,TRUE,4,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642688636,SCOPUS_ID:2642688636,2-s2.0-2642688636,The maintenance of sex by parasitism and mutation accumulation under epistatic fitness functions,Stephen Howard R.,Evolution,00143820,52,2,604-610,1998-01-01,1998,10.1111/j.1558-5646.1998.tb01658.x,"The mutation accumulation hypothesis predicts that sex functions to reduce the population mutational toad, while the Red Queen hypothesis holds that sex is adaptive as a defense against coevolving pathogens. We used computer simulations to examine the combined and separate effects of selection against deleterious mutations and host-parasite coevolution on the spread of a clone into an outcrossing sexual population. The results suggest that the two processes operating simultaneously may select for sex independent of the exact shape of the function that maps mutation number onto host fitness.",75,Journal,ar,Article,100,2,2,Host-parasite coevolution | Muller's ratchet | Mutational deterministic hypothesis | Red Queen hypothesis | Sexual reproduction | Synergistic epistasis,22104,undefined,1,TRUE,5,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642672793,SCOPUS_ID:2642672793,2-s2.0-2642672793,Habitat preference in the Bombina hybrid zone in Croatia,MacCallum C.J.,Evolution,00143820,52,1,227-239,1998-01-01,1998,10.1111/j.1558-5646.1998.tb05156.x,"This paper demonstrates the effect of habitat heterogeneity and a habitat preference on the genetic structure of a hybrid zone between the toads Bombina bombina and B. variegata (Anura: Discoglossidae); 1613 toads from 85 sites across a transect near Pescenica, Croatia, were scored for five unlinked diagnostic allozyme markers. These were found to be largely concordant. Aside from minor systematic deviations, there was little variance in allele frequency among loci within sites. Yet the allele frequencies did not follow a smooth cline, but formed a mosaic in the center, such that neighboring sites could differ markedly in their enzyme score. A detailed ecological survey revealed a correlation between this pattern and habitat. In keeping with the typical breeding sites of the parental taxa, B. bombina-like hybrids were found more often in ponds, whereas B. variegata-like hybrids were more common in puddles. In addition, there was significant heterozygote deficit (Fis) and strong linkage disequilibrium (R), both of which were stronger on the B. bombina side of the transect, and stronger in puddles than ponds. Mark-recapture data showed: (I) that the animals disperse beyond the scale of the habitat pattern; (2) frequent turn-over of individuals within sites; and (3) nonrandom movement between two sites of different habitat type. We conclude that an active habitat preference must contribute to the observed association between marker alleles and habitat. As a consequence, there is incomplete mixing of the two gene pools, which could explain the high level of F(IS) and R. The asymmetry in these parameters may reflect asymmetry in the preference or in the distribution of habitats across the zone. We discuss the implications of habitat preference for the dynamics of hybrid zones.",99,Journal,re,Review,100,4,4,Bombina | Cline | Habitat preference | Hybrid zone | Linkage disequilibrium,22104,undefined,1,TRUE,6,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642649525,SCOPUS_ID:2642649525,2-s2.0-2642649525,Conflicts of interest in social insects: Male production in two species of Polistes,Arévalo E.,Evolution,00143820,52,3,797-805,1998-01-01,1998,10.1111/j.1558-5646.1998.tb03703.x,"In social insects, reproduction is often monopolized by queens even though in many species are workers capable of laying male eggs. Because it is difficult to see how one or a few queens can suppress the much more numerous workers, collective worker control, or policing, offers an attractive solution. When workers are less related to other workers than they are to queens, workers should be selected to suppress each other in favor of the queen's male offspring, if other things are equal. Otherwise, they should allow each other to lay male eggs. For two species of Polistes, we used DNA microsatellites to estimate these two relatednesses, to determine the sex of brood, and to determine whether male brood was produced by queens or workers. Workers were significantly more related to each other (0.63 and 0.73 for P. bellicosus and P. dorsalis, respectively) than they were to queens (0.40 and 0.54, respectively) so they were predicted to allow each other to lay the male eggs. However, workers did not lay male-destined eggs in either species, so the results do not support collective worker control. There are two possible explanations for this result. Queens may be able to physically dominate in these small colonies. Alternatively, this may be a conventional settlement that minimizes conflict and the attendant costs.",51,Journal,ar,Article,100,3,3,Microsatellites | Polistes | Relatedness | Social control | Worker policing,22104,undefined,1,TRUE,7,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642635835,SCOPUS_ID:2642635835,2-s2.0-2642635835,Estimating the mating behavior of a pair of hybridizing Heliconius species in the wild,Mallet J.,Evolution,00143820,52,2,503-510,1998-01-01,1998,10.1111/j.1558-5646.1998.tb01649.x,"Premating isolation between incipient species is rarely studied in nature, even though mating tests in captivity may give an inaccurate picture of natural hybridization. We studied premating barriers between the warningly colored butterflies Heliconius erato and H. himera (Lepidoptera) in a narrow contact zone in Ecuador, where hybrids are found at low frequency. Eggs obtained from wild-mated females, supplemented with eggs and young larvae collected from the wild, were reared to adulthood. Adult color patterns of these progeny were then used to infer how their parents must have mated. Likelihood was used to estimate both the frequencies of potential parental genotypes from adult phenotypes collected in the wild, and the degree of assortative mating from the inferred parents. The frequencies of parental genotypes varied across the hybrid zone, but our statistical method allowed estimates of hybrid deficit and assortative mating to be integrated across all sites sampled. The best estimate of the frequency of F1 and backcross hybrid adults in the center of the hybrid zone was 10%, with support limits (7.1%, 13.0%; support limits are asymptotically equivalent to 95% confidence limits). Mating was highly assortative: in the center of the hybrid zone the cross-mating probability between H. erato and H. himera was only 5% (0.3%, 21.4%). Wild hybrids themselves mated with both pure forms, and the probabilities that they mated in any direction were not significantly lower than those among conspecifics. These results are consistent with earlier laboratory studies on mate choice, and suggest that selection against hybrids must be strong to prevent formation of a hybrid swarm. Unfortunately, the wide support limits on mating behavior precluded a measure of the strength of selection from these data alone. Our statistical approach provides a useful general method for estimating mate choice in the wild.",36,Journal,ar,Article,100,3,3,Generalized linear model | Hybrid zones | Interspecific hybridization | Likelihood | Mate choice | Reproductive isolation | Speciation,22104,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642629703,SCOPUS_ID:2642629703,2-s2.0-2642629703,The evolution of host-plant use and sequestration in the leaf beetle genus Phratora (Coleoptera: Chrysomelidae),Köpf A.,Evolution,00143820,52,2,517-528,1998-01-01,1998,10.1111/j.1558-5646.1998.tb01651.x,"Leaf beetles in the genus Phratora differ in host plant use and in the chemical composition of their larval defensive secretion. Most species specialize on either poplars or willows (family Salicaceae), but two species feed on birch (family Betulaceae). Phratora vitellinae utilizes salicylates from the host plant to produce its larval secretion, which contains salicylaldehyde, while other Phratora species produce an autogenous secretion. To reconstruct the evolutionary history of host plant use and the larval secretion chemistry in this genus, we sequenced 1383 base pairs of the mt cytochrome oxidase I gene for six European and one North American Phratora species and three outgroup taxa. Bootstrap values of the complete nucleotide sequence were 99-100% for six of eight nodes in the maximum parsimony tree. They were 71% and 77% for the two other nodes. The maximum parsimony tree and the maximum likelihood tree based on nucleotide sequence showed the same relationships as a maximum parsimony tree based on the amino acid sequence. Beetle phylogeny overlapped broadly with host plant taxonomy and chemistry, and it revealed historical constraints influencing host plant use. However, there was one host shift from the willow family (Salicaceae) to the birch family (Betulaceae). The use of host plant phenol glycosides for the larval defensive secretion evolved along the lineage that led to P. vitellinae. Phratora vitellinae feeds on the taxonomically widest range of host plants, which are characterized by moderate to high levels of salicylates. The results support the hypothesis that the use of salicylates for the larval secretion evolved twice independently in chrysomeline leaf beetles.",47,Journal,ar,Article,100,6,6,Chemical defense | Chrysomelidae | Host plants | Larval defensive secretion | Phratora vitellinae | Plant-herbivore interactions | Salicaceae,22104,undefined,1,TRUE,9,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642607876,SCOPUS_ID:2642607876,2-s2.0-2642607876,Heritabilities of dominance-related traits in male bank voles (Clethrionomys glareolus),Horne T.J.,Evolution,00143820,52,3,894-899,1998-01-01,1998,10.1111/j.1558-5646.1998.tb03714.x,"A number of studies have shown that in several animal species females prefer dominant males as mating partners, but fewer attempts have been made to measure possible indirect benefits of this choice. One reason for this may be that, even though dominance is a widely used concept, the definition of dominance still remains controversial. Furthermore, defining and measuring the heritability of social behaviors is problematic because they are not individual traits but, by definition, involve interactions between at least two individuals. In this study we estimated heritabilities and coefficients of additive genetic variances (CV(A)) for male traits that are closely associated with dominance and female mating preferences in bank voles (Clethrionomys glareolus). The heritability values were estimated using father-offspring regression. All heritability estimates were relatively high ranging from 0.531 (urine marking) to 0.767 (preputial glands). The CV(A)-values indicated high levels of additive genetic variance especially in the characters most closely related to dominance: the weight of preputial glands and urine marking behavior. All phenotypic correlations among the traits measured were significantly positive and the genetic correlations were of similar magnitude as the corresponding phenotypic counterparts. Even though heritabilities may be lower in the natural environment than under controlled laboratory conditions, our results suggest that characters closely related to dominance may be at least partly genetically determined.",51,Journal,ar,Article,100,2,2,Additive genetic variance | Dominance | Genetic correlation | Heritability | Phenotypic correlations | Sexual selection,22104,undefined,1,TRUE,10,all,All Open Access,NA,NA
