@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0343963783,SCOPUS_ID:0343963783,2-s2.0-0343963783,Effect of deleterious mutation-accumulation on the fitness of RNA bacteriophage MS2,De La Peña M.,Evolution,00143820,54,2,686-691,2000-01-01,April 2000,10.1111/j.0014-3820.2000.tb00069.x,"RNA viruses show the highest mutation rate in nautre. It has been extensively demonstrated that, in the absence of purifying selection, RNA viruses accumulate deleterious mutations at a high rate. However, the parameters describing this accumulation are, in general, poorly understood. The present study reports evidences for fitness declines by the accumulation of deleterious mutations in the bacteriophage MS2. We estimated the rate of fitness decline to be as high as 16% per bottleneck transfer. In addition, our results agree with an additive model of fitness effects.",48,10937243,Journal,ar,Article,100,3,3,Bacteriophage evolution | Deleterious mutations | Experimental evolution | Fitness | RNA viruses,22104,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343674068,SCOPUS_ID:0343674068,2-s2.0-0343674068,Latitudinal variation for two enzyme loci and an inversion polymorphism in Drosophila melanogaster from Central and South America,Van 'T Land J.,Evolution,00143820,54,1,201-209,2000-01-01,February 2000,10.1111/j.0014-3820.2000.tb00020.x,"Many organisms show latitudinal variation for various genetically determined traits. Such clines may involve neutral variation and originate from historical events or their maintenance may be explained by selection. For Drosophila melanogaster, latitudinal variation for allozymes, inversions, and quantitative traits has been found on several continents. We sampled D. melanogaster populations in Panama and along a transect of 40 latitudinal degrees on the west coast of South America. Negative correlations with latitude were found for Adh(S) and αGpdh(F) allele frequencies and for the frequency of the cosmopolitan inversion In(2L)t in Adh(S) αGpdh(F) chromosomes. A positive correlation existed between wing length and latitude. Significant correlations were found between these traits and climatic variables like temperature and rainfall. The observed clines show considerable resemblance to those found on other continents. Gametic disequilibrium between Adh(S) and αGpdh(F) occurred predominantly at higher latitudes and was caused by the presence of In(2L)t. The reasons for the clinal distributions are discussed and it is argued that selection is the most likely explanation. However, the exact nature of the selective force and the interactions of allozymes with each other and with In(2L)t are complex and not fully understood. In tropical regions In(2L)t-containing genotypes have higher fitness than ST/ST and Adh and αGpdh hitchhike with the inversion, but there is also evidence for balancing selection at the Adh locus.",33,10937196,Journal,ar,Article,100,5,5,Alcohol dehydrogenase | Drosophila melanogaster | Gametic disequilibrium | Inversions | Latitudinal clines | Polymorphism | α glycerophosphate dehydrogenase,22104,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343603465,SCOPUS_ID:0343603465,2-s2.0-0343603465,Multilocus interactions restrict gene introgression in interspecific populations of polyploid Gossypium (cotton),Jiang C.X.,Evolution,00143820,54,3,798-814,2000-01-01,June 2000,10.1111/j.0014-3820.2000.tb00081.x,"Experimental advanced-generated backcross populations contain individuals with genomic compositions similar to those resulting from interspecific hybridization in nature. By applying a detailed restriction fragment length polymorphism (RFLP) map to 3662 BC3F2 plants derived from 24 different BC1 individuals of a cross between Gossypium hirsutum and G. barbadense, large and widespread deficiencies of donor (G. barbadense) chromatin were found, and seven independent chromosomal regions were entirely absent. This skewed chromatin transmission is best accounted for by multilocus epistatic interactions affecting chromatin transmission. The observed frequencies of two-locus genotypes were significantly different from Mendelian expectations about 26 times more often than could be explained by chance (P ≤ 0.01). For identical pairs of loci, different two-locus genotypes occurred in excess in different BC3 families, implying the existence of higher-order interlocus interactions beyond the resolution of these data. Some G. barbadense markers occurred more frequently than expected by chance, indicating that genomic interactions do not always favor host chromatin. A preponderance of interspecific allelic interactions involved one locus each in the two different subgenomes of (allotetraploid) Gossypium, thus supporting several other lines of evidence suggesting that intersubgenomic interactions contribute to unique features that distinguish tetraploid cotton from its diploid ancestors.",123,10937254,Journal,ar,Article,100,6,6,DNA markers | Epistasis | Hybrid incompatibility | Segregation distortion,22104,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343603463,SCOPUS_ID:0343603463,2-s2.0-0343603463,Parental effects and gender specialization in a tropical heterostylous shrub,Avila-Sakar G.,Evolution,00143820,54,3,866-877,2000-01-01,June 2000,10.1111/j.0014-3820.2000.tb00087.x,"Male sterility in hermaphroditic species may represent the first step in the evolution toward dioecy. However, gender specialization will not proceed unless the male-sterile individuals compensate for fitness lost through the male function with an increase in fitness through the female function. In the distylous shrub Erythroxylum havanense, thrum plants are partially male-sterile. Using data collected throughout eight years, we investigated whether thrum individuals have an increased performance as female parents, thereby compensating for their loss of male fitness. We found that thrum plants outperformed pins in the probabilities of seed maturation and germination and long-term growth of the seedlings. In turn, pollen from pin plants achieved greater pollen tube growth rates. Our results suggest that the superior performance of the progeny of thrum maternal plants is a consequence of better seed provisioning via effects of the maternal environment, cytotype or nuclear genes. Overall, our results suggest that E. havanense is evolving toward a dioecious state through a gynodioecious intermediate stage. This evolutionary pathway is characterized by an unusual pattern of gender dimorphism with thrums becoming females and pins becoming males. We propose that this pattern may be better explained by the interaction between male-sterility cytoplasmic genes and the heterostyly supergene.",19,10937260,Journal,ar,Article,100,2,2,Gynodioecy | Heterostyly | Male sterility | Maternal effects | Pollen performance | Resource allocation,22104,undefined,1,TRUE,4,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0342657762,SCOPUS_ID:0342657762,2-s2.0-0342657762,Imitating the initial evolutionary stage of a tail ornament,Matyjasiak P.,Evolution,00143820,54,2,704-711,2000-01-01,April 2000,10.1111/j.0014-3820.2000.tb00072.x,"Costs of a sexual ornament in its early evolutionary form and the relationship between these costs and individual condition may be an important influence in the likelihood of possible evolutionary mechanisms involved in the evolution of this ornament. We reconstructed the tail shape in hypothetical ancestors of recent hirundines (Aves: Hirundinidae), from which the elongation of tail feathers under sexual selection might have begun. By elongating the tail in sand martins (Riparia riparia, Hirundinidae), we simulated the early evolution of a long forked tail-the typical ornament of male hirundines. Birds with initial ornament captured smaller insects than controls, which suggests that this ornament imposed a cost in terms of impaired foraging. Furthermore, birds with naturally longer tails were better able to cope with initial ornament than naturally short-tailed birds. If length of tail in sand martins indicates the quality of individuals, our results suggest higher costs of this initial ornament for poorer than for higher quality individuals. We discuss the potential role of the handicap principle and other mechanisms in early evolution of a tail ornament.",20,10937246,Journal,ar,Article,100,4,4,Handicap principle | Hirundinidae | Initial evolution | Riparia riparia | Sexual selection | Tail ornaments,22104,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0342368941,SCOPUS_ID:0342368941,2-s2.0-0342368941,Estimating sexual selection and sexual isolation effects from mating frequencies,Rolá;n-Alvarez E.,Evolution,00143820,54,1,30-36,2000-01-01,February 2000,10.1111/j.0014-3820.2000.tb00004.x,"Sexual selection (defined as the change in genotypic or phenotypic frequencies of mated versus total population frequencies) and sexual isolation (defined as the deviation from random mating in mated individuals) show different evolutionary consequences and partially confounded causes. Traditionally, the cross-product estimator has been used to quantify sexual selection, whereas a variety of indexes, such as Yule V, Yule Q, YA, joint I, and others have been used to quantify sexual isolation. Because the two types of estimators use different scales, the effects of both processes cannot be monitored simultaneously. We describe three new related statistics that quantify both sexual selection (PSS) and sexual isolation (PSI) effects for every mating pair combination in polymorphic traits, as well as measure their combined effects (PTI = PSI x PSS). The new statistics have the advantage of providing information on every mating pair combination, quantifying the effects of sexual selection and isolation in the same units, and detecting asymmetry in sexual isolation. The ability of the new statistics to ascertain the biological causes of sexual selection and sexual isolation are investigated under different models involving distinct marginal frequencies, mate propensity, and mate choice coefficients. We also studied the use of classical isolation indexes applied on PSI coefficients, instead of on raw data. The use of the classical indexes applied to PSI coefficients considerably reduces the statistical bias of the estimates, revealing the good estimation properties of the new statistics.",134,10937180,Journal,ar,Article,100,2,2,Assortative mating | Mate choice | Mate propensity | Mate selection | Mating pattern | Mating success,22104,undefined,1,TRUE,6,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0342298520,SCOPUS_ID:0342298520,2-s2.0-0342298520,Evolutionary ecology of Datura stramonium: Genetic variation and costs for tolerance to defoliation,Fornoni J.,Evolution,00143820,54,3,789-797,2000-01-01,June 2000,10.1111/j.0014-3820.2000.tb00080.x,"The incorporation of plant tolerance after damage as a new alternative to cope with herbivory, as opposed to resistance, opened new avenues for our understanding of coevolution between plants and herbivores. Although genetic variation on tolerance to defoliation has been detected in some species, few studies have been undertaken with nonagricultural species. In this study, we explore in the annual weed Datura stramonium the existence of genetic variation for tolerance and fitness costs of tolerance. To determine which fitness-related trait was responsible for possible differences in tolerance, growth rate, total flower and fruit production, and the number of seeds per fruit were recorded. Inbred line replicates of D. stramonium from a population of Mexico City were exposed to four defoliation levels (0%, 10%, 30%, and 70%). Our results from a greenhouse experiment using controlled genetic material (inbred lines) indicated that significant genetic variation for tolerance was detected across defoliation environments. Defoliation reduced plant fitness from 15% to 25% in the highest levels of defoliation. Differences on tolerance among inbred lines were accounted by a differential reduction in the proportion of matured fruits across defoliation levels (up to 20%). Within defoliation levels, significant genetic variation in plant fitness suggests that tolerance could be selected. The correlation between fitness values of inbred lines in two environments (with and without damage) was positive (r(g) = 0.77), but not significant, suggesting absence of fitness costs for tolerance. The finding of genetic variation on tolerance might be either due to differences among inbred lines in their capability to overcome foliar damage through compensation or due to costs incurred by inducing secondary metabolites. Our results indicate the potential for norms of reaction to be selected under a gradient of herbivory pressure and highlight the importance of dissecting induced from compensatory responses when searching for potential causes of genetic variation on tolerance.",74,10937253,Journal,ar,Article,100,2,2,Costs | Datura stramonium | Genotype x environment interactions | Herbivory | Phenotypic plasticity | Tolerance,22104,undefined,1,TRUE,7,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034515981,SCOPUS_ID:0034515981,2-s2.0-0034515981,Copulating with multiple mates enhances female fecundity but not egg-to-adult survival in the bruchid beetle Callosobruchus maculatus,Eady P.,Evolution,00143820,54,6,2161-2165,2000-01-01,2000,10.1111/j.0014-3820.2000.tb01259.x,"Postcopulatory sexual selection theory has come a long way since the evolutionary implications of sperm competition were first spelled out by Parker (1970). However, one of the most enduring questions remains: why do females copulate with multiple males? Here we show that females copulating with multiple males lay more eggs than those copulating repeatedly with the same male. We also show egg-to-adult survival to be more variable when females copulate multiply with different males and less variable when they copulate multiply with the same male. This supports the notion that egg-to-adult survival may depend on the genetic compatibility of males and females. However, pre-adult survival was highest when females copulated repeatedly with the same male rather than with different males. Thus, it would appear that polyandry in this species does not function to reduce the risk of embryo failure resulting from fertilization by genetically incompatible sperm.",78,11209792,Journal,ar,Article,100,3,3,Callosobruchus maculatus | Fecundity | Genetic compatibility | Polyandry,22104,undefined,1,TRUE,8,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034515980,SCOPUS_ID:0034515980,2-s2.0-0034515980,Gene interactions from maternal effects,Wolf J.,Evolution,00143820,54,6,1882-1898,2000-01-01,2000,10.1111/j.0014-3820.2000.tb01235.x,"Theoretical analyses have demonstrated a potential role for epistasis in many of the most important processes in evolution. These analyses generally assume that an individual's genes map directly to its phenotype and epistasis results from interactions among loci that contribute to the same biochemical or developmental pathways (termed physiological, or within-genotype, epistasis). For many characters, particularly those expressed early in life, an individual's phenotype may also be affected by genes expressed by its parents. The presence of these parental effects allows for interactions between the genes present in the parental and offspring genomes. When the phenotypic effect of a locus in the offspring depends on the alleles possessed by its parents, genotype-by-genotype, or among-genotype, epistasis occurs. The among-genotype epistasis resulting from parental effects may contribute to ruggedness of adaptive landscapes because early mortality often accounts for much of the variance in fitness in populations. To demonstrate how parent-offspring interactions can result in among-genotype epistasis, I use a two-locus model, with one maternal effect locus and one direct effect locus, each with two alleles. Dynamical equations are presented for the two-locus model and are directly contrasted with the dynamical equations derived for a model for physiological epistasis. The relationship between the evolutionary dynamics resulting from these two forms of epistasis is discussed. Three scenarios are presented to illustrate systems in which maternal-offspring, genotype-by-genotype epistasis may occur. The implications of maternal-offspring epistasis for quantitative-trait-loci studies are also discussed.",92,11209768,Journal,ar,Article,100,1,1,Development | Epistasis | Indirect genetic effects | Maternal effects | Quantitative trait loci,22104,undefined,1,TRUE,9,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034515647,SCOPUS_ID:0034515647,2-s2.0-0034515647,"Fixation of new alleles and the extinction of small populations: Drift load, beneficial alleles, and sexual selection",Whitlock M.,Evolution,00143820,54,6,1855-1861,2000-01-01,2000,10.1111/j.0014-3820.2000.tb01232.x,"With a small effective population size, random genetic drift is more important than selection in determining the fate of new alleles. Small populations therefore accumulate deleterious mutations. Left unchecked, the effect of these fixed alleles is to reduce the reproductive capacity of a species, eventually to the point of extinction. New beneficial mutations, if fixed by selection, can restore some of this lost fitness. This paper derives the overall change in fitness due to fixation of new deleterious and beneficial alleles, as a function of the distribution of effects of new mutations and the effective population size. There is a critical effective size below which a population will on average decline in fitness, but above which beneficial mutations allow the population to persist. With reasonable estimates of the relevant parameters, this critical effective size is likely to be a few hundred. Furthermore, sexual selection can act to reduce the fixation probability of deleterious new mutations and increase the probability of fixing new beneficial mutations. Sexual selection can therefore reduce the risk of extinction of small populations.",244,11209765,Journal,ar,Article,100,1,1,Beneficial mutations | Compensatory mutations | Conservation genetics | Drift load | Genetic drift | Mutation meltdown | Sexual selection,22104,undefined,1,TRUE,10,all,All Open Access,NA,NA
