@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0036964377,SCOPUS_ID:0036964377,2-s2.0-0036964377,Phylogeny of Acridocarpus-Brachylophon (Malpighiaceae): Implications for tertiary tropical floras and afroasian biogeography,Davis C.,Evolution,00143820,56,12,2395-2405,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00165.x,"A major tenet of African Tertiary biogeography posits that lowland rainforest dominated much of Africa in the late Cretaceous and was replaced by xeric vegetation as a response to continental uplift and consequent widespread aridification beginning in the late Paleogene. The aridification of Africa is thought to have been a major factor in the extinction of many African humid-tropical lineages, and in the present-day disparity of species diversity between Africa and other tropical regions. This primarily geologically based model can be tested with independent phylogenetic evidence from widespread African plant groups containing both humid- and xeric-adapted species. We estimated the phylogeny and lineage divergence times within one such angiosperm group, the acridocarpoid clade (Malpighiaceae), with combined ITS, ndhF, and trnL-F data from 15 species that encompass the range of morphological and geographic variation within the group. Dispersal-vicariance analysis and divergence-time estimates suggest that the basal acridocarpoid divergence occurred between African and Southeast Asian lineages approximately 50 million years ago (mya), perhaps after a southward ancestral retreat from high-latitude tropical forests in response to intermittent Eocene cooling. Dispersion of Acridocarpus from Africa to Madagascar is inferred between approximately 50 and 35 mya, when lowland humid tropical forest was nearly continuous between these landmasses. A single dispersal event within Acridocarpus is inferred from western Africa to eastern Africa between approximately 23 and 17 mya, coincident with the widespread replacement of humid forests by savannas in eastern Africa. Although the spread of xeric environments resulted in the extinction of many African plant groups, our data suggest that for others it provided an opportunity for further diversification.",91,12583580,Journal,ar,Article,100,4,4,Africa | Aridification | Asia | Biogeography | Dispersal-vicariance analysis | East African Rift Valley | Madagascar | Nonparametric rate smoothing | Phylogeny,22104,undefined,0,FALSE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036964289,SCOPUS_ID:0036964289,2-s2.0-0036964289,Deleterious mutation and the evolution of eusociality,Cherry J.,Evolution,00143820,56,12,2359-2367,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00161.x,"Certain arguments concerning the evolution of eusociality form a classic example of the application of the principles of kin selection. These arguments center on the different degrees of relatedness of potential beneficiaries of an individual's efforts, for example a female's higher relatedness to her sisters than to her daughters in a haplodiploid system. This type of reasoning is insufficient to account for the evolution and maintainence of sexual reproduction, because parthenogenic females produce offspring that are more closely related to them than are offspring produced sexually. Among the forces invoked to explain sexual reproduction is deleterious mutation. This factor can be shown to favor eusociality as well, because siblings produced by helping carry fewer deleterious alleles on average than would offspring. The strength of this effect depends on the genomewide deleterious mutation rate, U, and on the selection coefficient, s, associated with deleterious alleles. For small s, the effect depends approximately on the product Us. This phenomenon illustrates that an assumption implicit in some analyses - that the relatedness of an individual to an actor is all that matters to its value to that actor - can fail for the evolution of eusociality as it does for the evolution of sex.",1,12583576,Journal,ar,Article,100,1,1,Deleterious mutation | Eusociality | Evolution | Genetic models | Kin selection | Sex,22104,T32HG000042,0,FALSE,NA,NA,2,NHGRI,National Human Genome Research Institute
true,https://api.elsevier.com/content/abstract/scopus_id/0036964113,SCOPUS_ID:0036964113,2-s2.0-0036964113,The evolution of alternative cryptic female choice strategies in age-structured populations,Jones A.,Evolution,00143820,56,12,2530-2536,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00177.x,"Cryptic female choice is a potentially important aspect of the sexual selection process. According to the theory of sexual dialectics, postcopulation manipulation of relative male fertilization success can provide an avenue by which females can circumvent attempts by males to control female reproduction. Here I use stochastic models to investigate the evolution of cryptic female choice in populations with and without age structure. In populations without age structure, cryptic female choice will evolve only when (1) precopulatory mate choice by females is inefficient, (2) variation in male fitness is correlated with a trait upon which a female can base her choice of mates, and (3) the cost of multiple mating is not too high. In populations with age structure, similar conditions apply. However, selection sometimes favors females that employ alternative strategies of female choice at different ages. These results help to define the types of biological systems in which we should expect to see the evolution of cryptic female choice. They also illustrate that the evolution of choice strategies in females may be complex and may mirror in some important respects the evolution of alternative mating tactics in males.",12,12583592,Journal,ar,Article,100,1,1,Alternative mating strategies | Female choice | Sexual conflict | Sexual dialectics | Sperm competition | Sperm precedence,22104,undefined,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036963873,SCOPUS_ID:0036963873,2-s2.0-0036963873,The neighborhood matters: Effects of neighbor number and sibling (or kin) competition on floral traits in Spergularia marina (Caryophyllaceae),Delesalle V.,Evolution,00143820,56,12,2406-2413,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00166.x,"Effects of abiotic factors on the expression of floral and gender traits have been well documented in wild plant species; by contrast, little is known of the effect(s) on an individual's floral phenotype of the genetic composition of its neighboring conspecifics. Here we report the results of a greenhouse experiment conducted to detect the effects of genetic attributes of an individual's local environment on the expression of floral traits in the selfing annual, Spergularia marina (Caryophyllaceae). First, to test the hypothesis that negative effects of intraspecific competition are stronger when an individual competes with genetically similar individuals than when it competes with unrelated genotypes, we evaluated the effects of the number of nearest-neighbor kin (vs. unrelated individuals) on floral traits. Plants adjacent to two kin produced significantly fewer stamens per flower than plants adjacent to one or no siblings, indicating that kin competition reduced allocation to male function. Second, to test the hypothesis that the genetic diversity of a neighborhood influences the phenotype of a focal plant, we determined whether the number of maternal families represented among an individual's nearest neighbors influences its phenotype. The number of maternal families surrounding a focal plant did not affect floral trait expression. These results suggest that in S. marina, male function is more sensitive than female function to the genetic environment and that as an individual's genetic similarity to its neighbors increases, so do the negative effects of competition for limited resources.",9,12583581,Journal,ar,Article,100,2,2,Gender expression | Genetic diversity | Neighbor effects | Sex allocation | Sibling competition | Spergularia marina,22104,undefined,1,TRUE,all,All Open Access,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036961695,SCOPUS_ID:0036961695,2-s2.0-0036961695,Cell lineage data and spiralian evolution: A reply to Nielsen and Meier,Guralnick R.,Evolution,00143820,56,12,2558-2560,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00182.x,NA,2,NA,Journal,no,Note,100,2,2,Cell lineages | Character homology | Character independence | Cleavage patterns | Spiralia,22104,undefined,1,TRUE,all,All Open Access,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036961617,SCOPUS_ID:0036961617,2-s2.0-0036961617,Environmental influences on the evolution of growth and developmental rates in passerines,Remeš V.,Evolution,00143820,56,12,2505-2518,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00175.x,"The reasons why growth and developmental rates vary widely among species have remained unclear. Previous examinations of possible environmental influences on growth rates of birds yielded few correlations, leading to suggestions that young may be growing at maximum rates allowed within physiological constraints. However, estimations of growth rates can be confounded by variation in relative developmental stage at fledging. Here, we re-estimate growth rates to control for developmental stage. We used these data to examine the potential covariation of growth and development with environmental variation across a sample of 115 North American passerines. Contrary to previous results, we found that growth rates of altricial nestlings were strongly positively correlated to daily nest predation rates, even after controlling for adult body mass and phylogeny. In addition, nestlings of species under stronger predation pressure remained in the nest for a shorter period, and they left the nest at lower body mass relative to adult body mass. Thus, nestlings both grew faster and left the nest at an earlier developmental stage in species with higher risk of predation. Growth patterns were also related to food, clutch size, and latitude. These results support a view that growth and developmental rates of altricial nestlings are strongly influenced by the environmental conditions experienced by species, and they generally lend support to an adaptive view of interspecific variation in growth and developmental rates.",203,12583590,Journal,ar,Article,100,2,2,Adaptation | Aerial foraging | Allometry | Comparative analysis | Development | Independent contrasts | Nest predation,22104,undefined,1,TRUE,all,All Open Access,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036961614,SCOPUS_ID:0036961614,2-s2.0-0036961614,Invasion of unisexuals in hermaphrodite populations of animal-pollinated plants: Effects of pollination ecology and floral size-number trade-offs,Sato H.,Evolution,00143820,56,12,2374-2382,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00163.x,"The most common sexual system in animal-pollinated plants is hermaphroditism, while some species are dioecious or gynodioecious and a very few are androdioecious. In this paper, I attempt to explain this pattern by extending previous models for the evolution of sexual systems to incorporate two main features: (1) a portion of investment in pollinator attraction contributes to only female or male function, because one sexual function of a flower is saturated with pollinator visitation earlier than the other sexual function; and (2) there are trade-offs between the size and number of flowers. The analysis was conducted to determine the conditions when females and males can increase in frequency in a hermaphroditic population, assuming either concave or convex pollinator gain curves (relation between investment to attractive structures of a flower and frequency of pollinator visits to the flower). The results suggest that both of the main factors play important roles in the evolution of plant sexual systems: uneven contribution of pollinator-attractive structures and nonlinear trade-offs between flower size and number can destabilize hermaphroditism. When a convex pollinator gain curve was assumed, the effect of nonlinear trade-offs can produce accelerating compensation from the elimination of one sexual function, allowing males to increase for large regions of parameter space, where females could not increase. The last prediction obviously conflicts with the observed rarity of androdioecy in nature, indicating the necessity of exploring pollinator gain curves in more detail.",12,12583578,Journal,ar,Article,100,1,1,Androdioecy | Dioecy | Gynodioecy | Hermaphroditism | Pollinator attraction | Sexual systems | Size-number trade-offs,22104,undefined,0,FALSE,NA,NA,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036961539,SCOPUS_ID:0036961539,2-s2.0-0036961539,What cell lineages tell us about the evolution of spiralia remains to be seen,Nielsen C.,Evolution,00143820,56,12,2554-2557,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00181.x,"Cell-lineage trees may contain information about spiralian phylogeny, as proposed by Guralnick and Lindberg (2001). Here we discuss this possibility further and conclude that the cell-division pattern must be known in greater detail and the coding methods refined before a possible phylogenetic signal can be identified.",4,12583596,Journal,re,Review,100,2,2,Cell lineages | Cleavage patterns | Evolution | Spiralia,22104,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036961536,SCOPUS_ID:0036961536,2-s2.0-0036961536,Temporal variation in divergent selection on spine number in threespine stickleback,Reimchen T.E.,Evolution,00143820,56,12,2472-2483,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00172.x,"Short-term temporal cycles in ecological pressures, such as shifts in predation regime, are widespread in nature yet estimates of temporal variation in the direction and intensity of natural selection are few. Previous work on threespine stickleback (Gasterosteus aculeatus) has revealed that dorsal and pelvic spines are a defense against gape-limited predators but may be detrimental against grappling insect predators. In this study, we examined a 15-year database from an endemic population of threespine stickleback to look for evidence of temporal shifts in exposure to these divergent predation regimes and correlated shifts in selection on spine number. For juveniles, we detected selection for increased spine number during winter when gape-limited avian piscivores were most common but selection for decreased spine number during summer when odonate predation was more common. For subadults and adults, which are taken primarily by avian piscivores, we predicted selection should generally be for increased spine number in all seasons. Among 59 comparisons, four selection differentials were significant (Bonferroni corrected) and in the predicted direction. However, there was also substantial variability in remaining differentials, including two examples with strong selection for spine reduction. These reversals were associated with increased tendency of the fish to shift to a benthic niche, as determined from examination of stomach contents. These dietary data suggest that increased encounter rates with odonate predation select for spine reduction. Strong selection on spine number was followed by changes in mean spine number during subsequent years and a standard quantitative genetic formula revealed that spine number has a heritable component. Our results provide evidence of rapid morphological responses to selection from predators and suggest that temporal variation in selection may help maintain variation within populations. Furthermore, our findings indicate that variable selection can be predicted if the agents of selection are known.",97,12583587,Journal,ar,Article,100,2,2,Defense | Heterogeneity | Natural selection | Predation | Selective | Stickleback | Survival,22104,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036961535,SCOPUS_ID:0036961535,2-s2.0-0036961535,Consequences of floral complexity for bumblebee-mediated geitonogamous self-pollination in Salvia nipponica miq. (Labiatae),Ohashi K.,Evolution,00143820,56,12,2414-2423,2002-12-01,1 December 2002,10.1111/j.0014-3820.2002.tb00167.x,"I address how floral complexity influences geitonogamous self-pollination through manipulation of pollinator behavior in Salvia nipponica. The pivoting stamens of S. nipponica hinder nectar-collecting bumblebees from crawling into flowers, increasing the probing time per flower. I predicted that longer probing times would reduce the relative cost of moving between plants, causing bees to leave plants earlier. To test this prediction, I simplified S. nipponica flowers by removing the stamens from all open flowers within a 75-m2 quadrat. Bumblebees probed these flowers more quickly than intact flowers, but the stamen removal affected neither the frequency of flower revisitation nor the flight distance between plants. In response to the decrease in the probing time per flower, bees probed more flowers on these plants. Therefore, in S. nipponica, floral complexity reduces the opportunity for geitonogamous self-pollination. Stamen removal also increased bee visitation per flower, suggesting that this sort of complexity deters visitation. To keep complex flowers attractive, therefore, selection might increase floral rewards or longevity. Floral complexity might evolve in an integrative manner with the rest of the floral phenotype.",35,12583582,Journal,ar,Article,100,1,1,Bombus diversus | Floral complexity | Flower handling efficiency | Geitonogamy | Optimal foraging | Pollen dispersal | Salvia nipponica,22104,undefined,1,TRUE,all,All Open Access,10,NA,NA
