@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,pubmed-id,authkeywords,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0347765888,SCOPUS_ID:0347765888,2-s2.0-0347765888,Erratum: Life history and the male mutation bias (Evolution (2003) 57 (2398-2406)),Bartosch-Härlid A.,Evolution,00143820,57,12,2918,2003-12-01,December 2003,0,Journal,er,Erratum,100,5,5,22104,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345874612,SCOPUS_ID:0345874612,2-s2.0-0345874612,Erratum: Evolutionary implications of divergent clines in a manakin (Manacus; Aves) hybrid zone (Evolution (2001) 55 (2070-2087)),Brumfield R.,Evolution,00143820,57,12,2919,2003-12-01,December 2003,2,Journal,er,Erratum,100,4,4,22104,undefined,0,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/10744228524,SCOPUS_ID:10744228524,2-s2.0-10744228524,Perspective: Evolution and Detection of Genetic Robustness,De Visser J.A.G.M.,Evolution,00143820,57,9,1959-1972,2003-09-01,1 September 2003,515,Journal,re,Review,100,19,19,22104,undefined,0,FALSE,3,10.1554/02-750r,"Robustness is the invariance of phenotypes in the face of perturbation. The robustness of phenotypes appears at various levels of biological organization, including gene expression, protein folding, metabolic flux, physiological homeostasis, development, and even organismal fitness. The mechanisms underlying robustness are diverse, ranging from thermodynamic stability at the RNA and protein level to behavior at the organismal level. Phenotypes can be robust either against heritable perturbations (e.g., mutations) or nonheritable perturbations (e.g., the weather). Here we primarily focus on the first kind of robustness - genetic robustness - and survey three growing avenues of research: (1) measuring genetic robustness in nature and in the laboratory; (2) understanding the evolution of genetic robustness; and (3) exploring the implications of genetic robustness for future evolution.",14575319,Canalization | Environmental robustness | Epistasis | Evolvability | Genetic robustness,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141818914,SCOPUS_ID:0141818914,2-s2.0-0141818914,Phylogenetics of pond and lake lifestyles in Chaoborus midge larvae,Berendonk T.U.,Evolution,00143820,57,9,2173-2178,2003-09-01,1 September 2003,21,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,4,10.1111/j.0014-3820.2003.tb00395.x,"Aquatic invertebrates experience strong trade-offs between habitats due to the selective effects of different predators. Diel vertical migration and small body size are thought to be effective strategies against fish predation in lakes. In the absence of fish in small ponds, migration is ineffective against invertebrate predators and large body size is an advantage. Although widely discussed, this phenomenon has never been tested in a phylogenetic context. We reconstructed a mitochondrial DNA (mtDNA) tree to investigate the phylogenetic distribution of pond and lake lifestyles among 10 species of northern temperate Chaoborus midge larvae. The mtDNA tree is similar to previous morphological trees for Chaoborus, the only difference being the disruption of the subgenus Chaoborus sensu stricto. At least three shifts have occurred between pond and lake lifestyles, each time associated with evolution of diel vertical migration in the lake taxon. The trend in larval body size with habitat type is sensitive to tree and character reconstruction methods, only weakly consistent with the effects of fish predation. Despite long time periods over which adaptation to each habitat type could have occurred, there remains significant phylogenetic heritability in larval body size. The tree provides a framework for comparative studies of the metapopulation genetic consequences of pond and lake lifestyles.",14575337,Body size | Chaoborus | Fish predation | Migration | Predator avoidance,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141762584,SCOPUS_ID:0141762584,2-s2.0-0141762584,Contrasting flowering phenology and species richness in abiotically and biotically pollinated angiosperms,Bolmgren K.,Evolution,00143820,57,9,2001-2011,2003-09-01,1 September 2003,73,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,5,10.1111/j.0014-3820.2003.tb00380.x,"Biotic pollination is thought to correlate with increased interspecific competition for pollination among plants and a higher speciation rate. In this study we compared patterns of flowering phenology and species richness between abiotically (wind) and biotically pollinated plants, using phylogenetically independent contrasts. We compiled phenological data from eight local seasonal floras, in which we found geographically overlapping sister clades. Of 65 documented origins of wind pollination, we were able to use up to 17 independent contrasts. In contrast to previous studies we found no difference in global species richness between wind- and biotically pollinated sister clades. Regarding phenology, we found wider phenological spread in biotically pollinated clades, earlier flowering onset in wind-pollinated trees, but no difference in duration of flowering between pollination modes. These results corroborate previous views that niche space is more constrained for wind-pollinated species, and that niche partitioning is less important between wind-pollinated plants compared to plants pollinated by animals.",14575322,Anemophily | Diversity | Flowering time | Phenological spread | Phylogenetically independent contrasts | Pollination syndrome,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141762555,SCOPUS_ID:0141762555,2-s2.0-0141762555,Comparative tests of evolutionary trade-offs in a palinurid lobster acoustic system,Patek S.,Evolution,00143820,57,9,2082-2100,2003-09-01,1 September 2003,73,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,6,10.1111/j.0014-3820.2003.tb00387.x,"Communication structures vary greatly in size and can be structurally and behaviorally integrated with other systems. In structurally integrated systems, dramatic changes in size may impose trade-offs with the size of neighboring structures. In spiny lobsters (Palinuridae), there is a fivefold difference in size of the antennular plate, on which sound producing apparatus is located, such that the antennular plate reaches 38% carapace length in some sound producers (Stridentes) compared to only 4% carapace length in non-sound producing spiny lobsters (Silentes). We examined whether this major variation in antennular plate size imposes trade-offs with the adjoining antennae, specifically in the context that the signal producing structures and antennae are both used in predator defense. We recorded and analyzed lobster sounds in order to test whether size increases in the acoustic morphology were correlated with production of particular signal features. Antennal and antennular plate structures were measured across the family, including both Stridentes and Silentes. Phylogenetic comparative methods were used to test for correlated evolutionary change among the structures and signal features. We analyzed the phylogenetic relationships of the Palinuridae based on morphological characters and ribosomal DNA evidence (16S, 18S and 28S nuclear and mitochondrial ribosomal RNA gene regions). We found that the number of sound pulses was positively correlated with length of the sound producing apparatus. Opposite to the predicted trade-offs, we found that the size of the antennular plate was positively correlated with size of the surrounding antennae within Stridentes. Nevertheless, when Stridentes were compared to Silentes, the latter had relatively larger antennae for a given antennular plate size than did the sound producing taxa. These results suggest that body size does not limit size increases in acoustic structures within Stridentes, however the presence and associated constructional costs of a sound producing apparatus may impose a trade-off when taxa with and without the apparatus are compared. Alternatively, since both systems are used in predator defense, this pattern may indicate greater selection for antennal force production in Silentes, which lack the additional acoustic mode of predator defense.",14575329,Comparative methods | Constraints | Functional morphology | Palinuridae | Phylogeny | Predation | Sound production,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141762544,SCOPUS_ID:0141762544,2-s2.0-0141762544,Diversification in sexual and asexual organisms,Barraclough T.G.,Evolution,00143820,57,9,2166-2172,2003-09-01,1 September 2003,141,Journal,re,Review,100,3,3,22104,undefined,1,TRUE,7,10.1111/j.0014-3820.2003.tb00394.x,"Sexual reproduction has long been proposed as a major factor explaining the existence of species and species diversity. Yet, the importance of sex for diversification remains obscure because of a lack of critical theory, difficulties of applying universal concepts of species and speciation, and above all the scarcity of empirical tests. Here, we use genealogical theory to compare the relative tendency of strictly sexual and asexual organisms to diversify into discrete genotypic and morphological clusters. We conclude that asexuals are expected to display discrete clusters similar to those found in sexual organisms. Whether sexuals or asexuals display stronger clustering depends on a number of factors, but in at least some scenarios asexuals should display a stronger pattern. Confounding factors aside, the only explanation we identify for stronger patterns of diversification in sexuals than asexuals is if the faster rates of adaptive change conferred by sexual reproduction promote greater clustering. Quantitative comparisons of diversification in related sexual and asexual taxa are needed to resolve this issue. The answer should shed light not only on the importance of the different stages leading to diversification, but also on the adaptive consequences of sex, still largely unexplored from a macroevolutionary perspective.",14575336,Adaptation | Ancient | Bdelloid | Diversity | Genealogy | Rotifers | Speciation,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141762543,SCOPUS_ID:0141762543,2-s2.0-0141762543,Offspring size-number trade-offs in scorpions: An empirical test of the van Noordwijk and de Jong model,Brown C.,Evolution,00143820,57,9,2184-2190,2003-09-01,1 September 2003,38,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,8,10.1111/j.0014-3820.2003.tb00397.x,"Life-history traits are expected to exhibit negative phenotypic trade-offs, but often do not. In a seminal paper, van Noordwijk and de Jong (1986) provided an answer to this seeming paradox. According to their model, trade-offs will be more difficult to detect if variation in resource acquisition (or investment) is high relative to variation in resource allocation to the traits under consideration. Despite its influence on subsequent life-history studies, this model has rarely been tested. I use data from 10 species of scorpion (a total of 30 datasets, including multiple populations or years for some species) to test the van Noordwijk-de Jong model as modified to examine the relationship between offspring size and number. For both the overall data and a subset, including only the species Centruroides vittatus, I found that the correlation between offspring size and number within a population was significantly negatively correlated with the ratio of allocation variance to investment variance. That is, strong trade-offs were found when the investment variance was low relative to the allocation variance. These results were robust to the particular measure of offspring size and to whether offspring data were adjusted for female size variation. My results therefore provide strong evidence in support of the van Noordwijk and de Jong model.",14575339,Arachnids | Body size | Centruroides vittatus | Life-history theory | Reproductive allocation | Reproductive investment,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141762535,SCOPUS_ID:0141762535,2-s2.0-0141762535,Morphological shifts in island-dwelling birds: The roles of generalist foraging and niche expansion,Scott S.,Evolution,00143820,57,9,2147-2156,2003-09-01,1 September 2003,72,Journal,ar,Article,100,5,5,22104,undefined,0,FALSE,9,10.1111/j.0014-3820.2003.tb00392.x,"Passerine birds living on islands are usually larger than their mainland counterparts, in terms of both body size and bill size. One explanation for this island rule is that shifts in morphology are an adaptation to facilitate ecological niche expansion. In insular passerines, for instance, increased bill size may facilitate generalist foraging because it allows access to a broader range of feeding niches. Here we use morphologically and ecologically divergent races of white-eyes (Zosteropidae) to test three predictions of this explanation: (1) island populations show a wider feeding niche than mainland populations; (2) island-dwelling populations are made up of individual generalists; and (3) within insular populations there is a positive association between size and degree of foraging generalism. Our results provide only partial support for the traditional explanation. In agreement with the core prediction, island populations of white-eye do consistently display a wider feeding niche than comparative mainland populations. However, observations of individually marked birds reveal that island-dwelling individuals are actually more specialized than expected by chance. Additionally, neither large body size nor large bill size are associated with generalist foraging behavior per se. These latter results remained consistent whether we base our tests on natural foraging behavior or on observations at an experimental tree, and whether we use data from single or multiple cohorts. Taken together, our results suggest that generalist foraging and niche expansion are not the full explanation for morphological shifts in island-dwelling white-eyes. Hence, we review briefly five alternative explanations for morphological divergence in insular populations: environmental determination of morphology, reduced predation pressure, physiological optimization, limited dispersal, and intraspecific dominance.",14575334,Foraging | Generalism | Islands | Morphology | Niche | Zosterops,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141650629,SCOPUS_ID:0141650629,2-s2.0-0141650629,Phylogeography of the pantropical sea urchin Tripneustes: Contrasting patterns of population structure between oceans,Lessios H.,Evolution,00143820,57,9,2026-2036,2003-09-01,1 September 2003,192,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,10,10.1111/j.0014-3820.2003.tb00382.x,"To understand how allopatric speciation proceeds, we need information on barriers to gene flow, their antiquity, and their efficacy. For marine organisms with planktonic larvae, much of this information can only be obtained through the determination of divergence between populations. We evaluated the importance of ocean barriers by studying the mitochondrial DNA phylogeography of Tripneustes, a pantropical genus of shallow water sea urchin. A region of cytochrome oxidase I (COI) was sequenced in 187 individuals from locations around the globe. The COI phylogeny agreed with a previously published phylogeny of bindin that barriers important to the evolution of Tripneustes are: (1) the cold water upwelling close to the tip of South Africa, (2) the Isthmus of Panama, (3) the long stretch of deep water separating the eastern from the western Atlantic, and (4) the freshwater plume of the Orinoco and the Amazon rivers between the Caribbean and the coast of Brazil. These barriers have previously been shown to be important in at least a subset of the shallow water marine organisms in which phylogeography has been studied. In contrast, the Eastern Pacific Barrier, 5000 km of deep water between the central and the eastern Pacific that has caused the deepest splits in other genera of sea urchins, is remarkably unimportant as a cause of genetic subdivision in Tripneustes. There is also no discernible subdivision between the Pacific and Indian Ocean populations of this genus. The most common COI haplotype is found in the eastern, central, and western Pacific as well as the Indian Ocean. Morphology, COI, and bindin data agree that T. depressus from the eastern Pacific and T. gratilla from the western Pacific are, in fact, the same species. The distribution of haplotype differences in the Indo-Pacific exhibits characteristics expected from a sea urchin genus with ephemeral local populations, but with high fecundity, dispersal, and growth: there is little phylogenetic structure, and mismatch distributions conform to models of recent population expansion on a nearly global scale. Yet, comparisons between local populations produce large and significant FST values, indicating nonrandom haplotype distribution. This apparent local differentiation is only weakly reflected in regional divergence, and there is no evidence of isolation by distance in correlations between FST values and either geographical or current distance. Thus, Tripneustes in the Indo-Pacific (but not in the Atlantic) seems to be one large metapopulation spanning two oceans and containing chaotic, nonequilibrium local variation, produced by the haphazard arrival of larvae or by unpredictable local extinction.",14575324,Benguela | Cytochrome oxidase 1 | Eastern Pacific Barrier | Gene flow | Isthmus of Panama | Sea urchins | Speciation,all,All Open Access,NA,NA
