@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/30344486254,SCOPUS_ID:30344486254,2-s2.0-30344486254,Environmental correlates of population differentiation in atlantic herring,Bekkevold D.,Evolution,00143820,15585646,59,12,2656-2668,2005-12-01,December 2005,10.1554/05-183.1,"The marine environment is characterized by few physical barriers, and pelagic fishes commonly show high migratory potential and low, albeit in some cases statistically significant, levels of genetic divergence in neutral genetic marker analyses. However, it is not clear whether low levels of differentiation reflect spatially separated populations experiencing gene flow or shallow population histories coupled with limited random genetic drift in large, demographically isolated populations undergoing independent evolutionary processes. Using information for nine microsatellite loci in a total of 1951 fish, we analyzed genetic differentiation among Atlantic herring from eleven spawning locations distributed along a longitudinal gradient from the North Sea to the Western Baltic. Overall genetic differentiation was low (θ = 0.008) but statistically significant. The area is characterized by a dramatic shift in hydrography from the highly saline and temperature stable North Sea to the brackish Baltic Sea, where temperatures show high annual variation. We used two different methods, a novel computational geometric approach and partial Mantel correlation analysis coupled with detailed environmental information from spawning locations to show that patterns of reproductive isolation covaried with salinity differences among spawning locations, independent of their geographical distance. We show that reproductive isolation can be maintained in marine fish populations exhibiting substantial mixing during larval and adult life stages. Analyses incorporating genetic, spatial, and environmental parameters indicated that isolating mechanisms are associated with the specific salinity conditions on spawning locations. © 2005 The Society for the Study of Evolution. All rights reserved.",146,16526512,Journal,ar,Article,100,10,10,Clupea harengus | Hybrid-zone | Isolation by distance | Local adaptation | Microsatellite DNA | Migration | Salinity,22104,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344480487,SCOPUS_ID:30344480487,2-s2.0-30344480487,Nonrandom larval dispersal can steepen marine clines,Hare M.P.,Evolution,00143820,15585646,59,12,2509-2517,2005-12-01,December 2005,10.1554/05-150.1,"Sharp and stable clinal variation is enigmatic when found in species with high gene flow. Classical population genetic models treat gene flow as a random homogenizing force countering local adaptation across habitat discontinuities. Under this view, dispersal over large spatial scales will lower the effectiveness of adaptation by natural selection at finer spatial scales. Thus, random gene flow will create a shallow phenotypic cline across an ecotone in response to a steep selection gradient. In sedentary marine species that disperse primarily as larvae, nonrandom dispersal patterns are expected due to coastal hydrodynamics. Surprisingly sharp phenotypic and genotypic clines have been documented in marine species with high gene flow. We are interested in the extent to which nonrandom dispersal could accentuate such clines. We model a linear species range in which populations have stable and uniform densities along a selection gradient; in contrast to random dispersal, convergent advection of larvae can amplify phenotypic differentiation if coupled with a semipermeable dispersal barrier in the convergence zone. The migration load caused by directional dispersal pushes the phenotypic mean away from the local trait optimum in downstream populations, that is, near the convergence zone. A dispersal barrier is possible as a result of colliding currents if the water and larvae are mostly displaced offshore, away from suitable settlement habitat. Disjunctions in a quantitative trait were enlarged in the convergence zone by faster current flows or a more complete dispersal barrier. With advection of larvae per generation one-third as far as the average dispersal distance by diffusion, convergence on a dispersal barrier with 40% permeability generated a trait disjunction across the convergence zone of two phenotypic standard deviations. Without directional dispersal, similar clines also developed across a habitat gap, where population density was low, or across dispersal barriers with less than 1% permeability. These findings suggest that the types of hydrographic phenomena often associated with marine transition zones can strongly affect the balance between gene flow and selection and generate surprisingly steep clines given the large-scale gene flow expected from larvae. © 2005 The Society for the Study of Evolution. All rights reserved.",38,16526499,Journal,ar,Article,100,3,3,Adaptation | Advection | Gene flow | Maladaptation | Migration load | Population model | Selection,22104,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344479915,SCOPUS_ID:30344479915,2-s2.0-30344479915,Contrasting patterns of floral and molecular variation across a cline in Mimulus aurantiacus,Streisfeld M.,Evolution,00143820,15585646,59,12,2548-2559,2005-12-01,December 2005,10.1554/05-514.1,"Steep clines in ecologically important traits may be caused by divergent natural selection. However, processes that do not necessarily invoke ongoing selection, such as secondary contact or restricted gene flow, can also cause patterns of phenotypic differentiation over short spatial scales. Distinguishing among all possible scenarios is difficult, but an attainable goal is to establish whether scenarios that imply selection need to be invoked. We compared the extent of morphological and genetic differentiation between geographically structured red and yellow floral races of Mimulus aurantiacus (bush monkeyflower; Phrymaceae). Flower color was assessed in a common garden as well as in the field to determine whether variation was genetic and to quantify the extent of geographical differentiation. Population genetic differentiation at marker loci was measured for both chloroplast and nuclear genomes, and the degree of population structure within and among the floral races was evaluated. Flower color shows both a strong genetic basis and a sharp geographic transition, with pure red-flowered populations in western San Diego County and pure yellow-flowered populations to the east. In the zone of contact, both pure and intermediate phenotypes occur. Patterns of genetic differentiation at marker loci are far less pronounced, as little of the variation is partitioned according to the differences in flower color. Phenotypic differentiation (Q ST) between populations with different flower colors is much greater than neutral genetic differentiation (FST). When comparisons are made between populations of the same flower color, the opposite trend is evident. Limited neutral genetic structure between the floral races, combined with sharp differentiation in flower color, is consistent with the hypothesis that current or recent natural selection maintains the cline in flower color. © 2005 The Society for the Study of Evolution. All rights reserved.",75,16526503,Journal,ar,Article,100,2,2,Cline | Flower color | Gene flow | Isolation by distance | Mimulus | Selection,22104,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344478823,SCOPUS_ID:30344478823,2-s2.0-30344478823,Relative abundance and the species-specific reinforcement of male mating preference in the Chrysochus (Coleoptera: Chrysomelidae) hybrid zone,Peterson M.A.,Evolution,00143820,15585646,59,12,2639-2655,2005-12-01,December 2005,10.1554/05-120.1,"Most studies of reinforcement have focused on the evolution of either female choice or male mating cues, following the long-held view in sexual selection theory that mating mistakes are typically more costly for females than for males. However, factors such as conspecific sperm precedence can buffer females against the cost of mating mistakes, suggesting that in some hybrid zones mating mistakes may be more costly for males than for females. Thus, the historical bias in reinforcement research may underestimate its frequency. In this study, we present evidence that reinforcement has driven the evolution of male choice in a hybrid zone between the highly promiscuous leaf beetles Chrysochus cobaltinus and C. auratus, the hybrids of which have extremely low fitness. In addition, there is evidence for male choice in these beetles and that male mating mistakes may be costly, due to reduced opportunities to mate with conspecific females. The present study combines laboratory and field methods to quantify the strength of sexual isolation, test the hypothesis of reproductive character displacement, and assess the link between relative abundance and the strength of selection against hybridization. We document that, while sexual isolation is weak, it is sufficient to produce positive assortative mating. In addition, reproductive character displacement was only detected in the relatively rare species. The strong postzygotic barriers in this system are sufficient to generate the bimodality that characterizes this hybrid zone, but the weak sexual isolation is not, calling into question whether strong prezygotic isolation is necessary for the maintenance of bimodality. Growing evidence that the cost of mating mistakes is sufficient to shape the evolution of male mate choice suggests that the reinforcement of male mate choice may prove to be a widespread occurrence. © 2005 The Society for the Study of Evolution. All rights reserved.",53,16526511,Journal,ar,Article,100,9,9,Bimodal hybrid zone | Hybridization | Reproductive character displacement | Sexual isolation | Speciation,22104,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344477632,SCOPUS_ID:30344477632,2-s2.0-30344477632,The effect of intraspecific sample size on type I and type II error rates in comparative studies,Harmon L.,Evolution,00143820,15585646,59,12,2705-2710,2005-12-01,December 2005,10.1554/05-224.1,"Comparative studies have increased greatly in number in recent years due to advances in statistical and phylogenetic methodologies. For these studies, a trade-off often exists between the number of species that can be included in any given study and the number of individuals examined per species. Here, we describe a simple simulation study examining the effect of intraspecific sample size on statistical error in comparative studies. We find that ignoring measurement error has no effect on type I error of nonphylogenetic analyses, but can lead to increased type I error under some circumstances when using independent contrasts. We suggest using ANOVA to evaluate the relative amounts of within- and between-species variation when considering a phylogenetic comparative study. If within-species variance is particularly large and intraspecific sample sizes small, then either larger sample sizes or comparative methods that account for measurement error are necessary. © 2005 The Society for the Study of Evolution. All rights reserved.",84,16526516,Journal,ar,Article,100,2,2,Independent contrasts | Measurement error | Phylogenetic comparative method | Population variation | Statistics,22104,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344476094,SCOPUS_ID:30344476094,2-s2.0-30344476094,Patterns of sperm precedence are not affected by female mating history in Drosophila melanogaster,Morrow E.,Evolution,00143820,15585646,59,12,2608-2615,2005-12-01,December 2005,10.1554/05-238.1,"In promiscuously mating species, there is strong selection on males to maximize their share of paternity through both defensive and offensive means. This has been most extensively examined using the Drosophila melanogaster model system. In these studies, sperm competition has been examined by mating a virgin female to two consecutive males and then determining the fertilization success of both the first male (defending, P1) and the second male (offending, P2). Recent evidence suggests that male defense may be influenced by female mating history (i.e., virgin versus nonvirgin). Here, by mating females to males with three different genotypes, we show that female mating history does not affect male defensive or offensive abilities in sperm competition. We also show that, although female lifetime fecundity was not correlated with the number of times that she mated, it was reduced by increased exposure to males. These data indicate that measures of P1 and P 2 previously reported in D. melanogaster may be robust to the specific mating history of the females used in these studies. © 2005 The Society for the Study of Evolution. All rights reserved.",27,16526508,Journal,ar,Article,100,3,3,"Female remating | P , P 1 2 | Seminal fluid | Sexual conflict | Sexual selection | Sperm competition | Sperm precedence",22104,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344472395,SCOPUS_ID:30344472395,2-s2.0-30344472395,Cryptic vicariance in gulf of california fishes parallels vicariant patterns found in Baja California mammals and reptiles,Riginos C.,Evolution,00143820,15585646,59,12,2678-2690,2005-12-01,December 2005,10.1554/05-257.1,"Comparisons across multiple taxa can often clarify the histories of biogeographic regions. In particular, historic barriers to movement should have affected multiple species and, thus, result in a pattern of concordant intraspecific genetic divisions among species. A striking example of such comparative phylogeography is the recent observation that populations of many small mammals and reptiles living on the Baja California peninsula have a large genetic break between northern and southern peninsular populations. In the present study, I demonstrate that five species of near-shore fishes living on the Baja coastline of the Gulf of California share this genetic pattern. The simplest explanation for this concordant genetic division within both terrestrial and marine vertebrates is that the Baja Peninsula was fragmented by a Plio-Pleistocene marine seaway and that this seaway posed a substantial barrier to movement for near-shore fishes. For some fish species, the signal of this vicariance in mtDNA has been eroded by gene flow and is not evident with classic, equilibrium measures of population structure. Yet, significant divisions are apparent in coalescent analyses that jointly estimate divergence with gene flow. The genetic divisions within Gulf of California fishes also coincide with recognized biogeographic regions based on fish community composition and several environmental factors. It is likely that adaptation to regional environments and present-day oceanographic circulation limit gene exchange between biogeographic regions and help maintain evidence of past vicariance. © 2005 The Society for the Study of Evolution. All rights reserved.",49,16526514,Journal,ar,Article,100,1,1,Comparative phylogeography | Gene flow | Genetic connectivity | Marine | Oceanographic circulation | Sea of Cortez | Vicariance,22104,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344471812,SCOPUS_ID:30344471812,2-s2.0-30344471812,Serial homology and the evolution of mammalian limb covariation structure,Young N.M.,Evolution,00143820,15585646,59,12,2691-2704,2005-12-01,December 2005,10.1554/05-233.1,"The tetrapod forelimb and hindlimb are serially homologous structures that share a broad range of developmental pathways responsible for their patterning and outgrowth. Covariation between limbs, which can introduce constraints on the production of variation, is related to the duplication of these developmental factors. Despite this constraint, there is remarkable diversity in limb morphology, with a variety of functional relationships between and within forelimb and hindlimb elements. Here we assess a hierarchical model of limb covariation structure based on shared developmental factors. We also test whether selection for morphologically divergent forelimbs or hindlimbs is associated with reduced covariation between limbs. Our sample includes primates, murines, a carnivoran, and a chiropteran that exhibit varying degrees of forelimb and hindlimb specialization, limb size divergence, and/or phylogenetic relatedness. We analyze the pattern and significance of between-limb morphological covariation with linear distance data collected using standard morphometric techniques and analyzed by matrix correlations, eigenanalysis, and partial correlations. Results support a common limb covariation structure across these taxa and reduced covariation between limbs in nonquadruped species. This result indicates that diversity in limb morphology has evolved without signficant modifications to a common covariation structure but that the higher degree of functional limb divergence in bats and, to some extent, gibbons is associated with weaker integration between limbs. This result supports the hypothesis that limb divergence, particularly selection for increased functional specialization, involves the reduction of developmental factors common to both limbs, thereby reducing covariation. © 2005 The Society for the Study of Evolution. All rights reserved.",201,16526515,Journal,ar,Article,100,2,2,Limb development | Limb morphology | Modularity | Morphological integration | Morphometrics,22104,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344467525,SCOPUS_ID:30344467525,2-s2.0-30344467525,"Recent, allopatric, homoploid hybrid speciation: The origin of Senecio squalidus (Asteraceae) in the British Isles from a hybrid zone on Mount Etna, Sicily",James J.K.,Evolution,00143820,15585646,59,12,2533-2547,2005-12-01,December 2005,10.1554/05-306.1,"Homoploid hybrid speciation occurs through stabilization of a hybrid segregate (or segregates) isolated by premating and/or postmating barriers from parent taxa. Theory predicts that ecological and spatial isolation are of critical importance during homoploid hybrid speciation, and all confirmed homoploid hybrid species are ecologically isolated from their parents. Until recently, such species have been identified long after they originated, and consequently it has not been possible to determine the relative importance of spatial and ecological isolation during their origin. Here we present evidence for the recent origin (within the past 300 years) of a new homoploid hybrid species, Senecio squalidus (Asteraceae), in the British Isles, following long-distance dispersal of hybrid material from a hybrid zone between S. aethnensis and S. chrysanthemifolius on Mount Etna, Sicily, Italy. Historical records show that such hybrid material from Sicily was introduced to the Oxford Botanic Garden in Britain in the early part of the 18th century and that S. squalidus began to spread from there after approximately 90 years. A survey of randomly amplified polymorphic DNA/intersimple sequence repeats (RAPD/ISSR) marker variation demonstrated that S. squalidus is a diploid hybrid derivative of S. aethnensis and S. chrysanthemifolius that grow at high and low altitudes, respectively, on Mount Etna and that form a hybrid zone at intermediate altitudes. Senecio squalidus contained 11 of 13 RAPD/ISSR markers that were recorded at high frequency in S. chrysanthemifolius but were absent or occurred at low frequency in S. aethnensis, and 10 of 13 markers for which the reverse was true. Bayesian admixture analysis showed that all individuals of S. squalidus surveyed were of mixed ancestry with relatively high mean proportions of ancestry derived from both S. chrysanthemifolius and S. aethnensis (0.644 and 0.356, respectively). We argue that long-distance isolation of hybrid material from its parents on Mount Etna would have helped favor the origin and establishment of S. squalidus in the British Isles, regardless of whether the initial hybrid material introduced to Britain was preadapted to local conditions. © 2005 The Society for the Study of Evolution. All rights reserved.",120,16526502,Journal,re,Review,100,2,2,Ancestry | Hybrid zones | Hybridization | Senecio | Spatial isolation | Speciation,22104,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/30344462341,SCOPUS_ID:30344462341,2-s2.0-30344462341,Behavioral drive or behavioral inhibition in evolution: Subspecific diversification in holarctic passerines,Sol D.,Evolution,00143820,15585646,59,12,2669-2677,2005-12-01,December 2005,10.1554/05-196.1,"Behavioral changes have long been hypothesized to be an important driver of evolutionary diversification in animals, as they expose individuals to new environmental pressures and thus favor evolutionary divergence. There have been few empirical tests of this hypothesis, however, and the mechanisms linking behavioral changes and diversification processes remain controversial. We show here that Holarctic passerines with large brain size relative to body size, a character correlated with a high propensity for behavioral changes, generally have experienced more extensive subspecific diversification. This effect appears to be largely independent of other well-known mechanisms thought to promote diversification. As suggested by path analysis, relative brain size seems to affect diversification directly rather than indirectly through its presumed effect on range expansion, which is consistent with the original formulation of the behavioral drive hypothesis. Thus, the results support the long-held, intuitive hypothesis that behavioral changes facilitate evolutionary diversification. © 2005 The Society for the Study of Evolution. All rights reserved.",81,16526513,Journal,ar,Article,100,3,3,Behavioral flexibility | Evolutionary diversification | Geographical speciation | Passerines | Subspecies,22104,undefined,0,FALSE,10,NA,NA
