@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33846892748,SCOPUS_ID:33846892748,2-s2.0-33846892748,Islands increase genetic subdivision and disrupt patterns of connectivity of intertidal snails in a complex archipelago,Johnson M.,Evolution,00143820,15585646,60,12,2498-2506,2006-12-01,December 2006,10.1554/06-211.1,"The view that marine species with planktonic dispersal have highly connected, demographically open populations is giving way to recognition that populations may often be largely self-recruiting, or demographically closed. This raises the question of what local conditions might favor isolation of populations. To test the importance of islands for local isolation in species with planktonic larvae, we examined allozyme variation among 35 populations of the intertidal snail Austrocochlea constricta in the Houtman Abrolhos Islands, Western Australia, spanning 60 km. Heterogeneity of allozyme frequencies among populations was high, with average FST of 0.237, indicating highly localized populations. Increased subdivision was associated with islands at different scales: between island groups, separated by deep water gaps, and between disconnected sets of islands within groups. At short distances, up to two km, subdivision increased fivefold between islands compared with that between populations on the same island. Along 11 km of continuous, sheltered shore, there was isolation by distance but among a linear series of islands over similar distance, there was greater subdivision at short distances but no association with distance. These patterns had been seen previously in the direct-developing snail Bembicium vittatum, but its finding in A. constricta confirms for a planktonic disperser the importance of this complex archipelago for both retention of locally produced larvae and disruption of patterns of connectivity. Taken together, these results indicate that islands can increase both the ""open"" and the ""closed"" components of recruitment and that applicable models of genetic connectivity depend substantially on local conditions. © 2006 The Society for the Study of Evolution. All rights reserved.",43,17263112,Journal,ar,Article,100,2,2,Allozymes | Austrocochlea constricta | Dispersal | Gene flow | Marine | Planktonic larvae,22104,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846886943,SCOPUS_ID:33846886943,2-s2.0-33846886943,Does niche conservatism promote speciation? A case study in North American salamanders,Kozak K.H.,Evolution,00143820,15585646,60,12,2604-2621,2006-12-01,December 2006,10.1554/06-334.1,"Recent speciation research has generally focused on how lineages that originate in allopatry evolve intrinsic reproductive isolation, or how ecological divergence promotes nonallopatric speciation. However, the ecological basis of allopatric isolation, which underlies the most common geographic mode of speciation, remains poorly understood and largely unstudied. Here, we explore the ecological and evolutionary factors that promote speciation in Desmognathus and Plethodon salamanders from temperate eastern North America. Based on published molecular phylogenetic estimates and the degree of geographic range overlap among extant species, we find strong evidence for a role for geographic isolation in speciation. We then examine the relationship between climatic variation and speciation in 16 sister-taxon pairs using geographic information system maps of climatic variables, new methods for modeling species' potential geographic distributions, and data on geographic patterns of genetic variation. In contrast to recent studies in tropical montane regions, we found no evidence for parapatric speciation along climatic gradients. Instead, many montane sister taxa in the Appalachian Highlands inhabit similar climatic niches and seemingly are allopatric because they are unable to tolerate the climatic conditions in the intervening lowlands. This temporal and spatial-ecological pattern suggests that niche conservatism, rather than niche divergence, plays the primary role in promoting allopatric speciation and montane endemism in this species-rich group of vertebrates. Our results demonstrate that even the relatively subtle climatic differences between montane and lowland habitats in eastern North America may play a key role in the origin of new species. © 2006 The Society for the Study of Evolution. All rights reserved.",383,17263120,Journal,ar,Article,100,2,2,Amphibia | Appalachians | Biodiversity informatics | Climate | Diversification | Montane endemism | Niche modeling | Plethodontidae | Speciation,22104,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846886349,SCOPUS_ID:33846886349,2-s2.0-33846886349,The fitness effect of mutations across environments: A survey in light of fitness landscape models,Martin G.,Evolution,00143820,15585646,60,12,2413-2427,2006-12-01,December 2006,10.1554/06-162.1,"The fitness effects of mutations on a given genotype are rarely constant across environments to which this genotype is more or less adapted, that is, between more or less stressful conditions. This can have important implications, especially on the evolution of ecological specialization. Stress is thought to increase the variance of mutations' fitness effects, their average, or the number of expressed mutations. Although empirical evidence is available for these three mechanisms, their relative magnitude is poorly understood. In this paper, we propose a simple approach to discriminate between these mechanisms, using a survey of empirical measures of mutation effects in contrasted environments. This survey, across various species and environments, shows that stress mainly increases the variance of mutations' effects on fitness, with a much more limited impact on their average effect or on the number of expressed mutations. This pattern is consistent with a simple model in which fitness is a Gaussian function of phenotypes around an environmentally determined optimum. These results suggest that a simple, mathematically tractable landscape model may not be quantitatively as unrealistic as previously suggested. They also suggest that mutation parameter estimates may be strongly biased when measured in stressful environments. © 2006 The Society for the Study of Evolution. All rights reserved.",126,17263105,Journal,ar,Article,100,2,2,Environmental stress | Fitness landscape | Genotype-by-environment interaction | Mutation | Survey,22104,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846883508,SCOPUS_ID:33846883508,2-s2.0-33846883508,"Direct, maternal, and sibsocial genetic effects on individual and colony traits in an ant",Linksvayer T.A.,Evolution,00143820,15585646,60,12,2552-2561,2006-12-01,December 2006,10.1554/06-011.1,"When social interactions occur, the phenotype of an individual is influenced directly by its own genes (direct genetic effects) but also indirectly by genes expressed in social partners (indirect genetic effects). Social insect colonies are characterized by extensive behavioral interactions among workers, brood, and queens so that indirect genetic effects are particularly relevant. I used a series of experimental manipulations to disentangle the contribution of direct effects, maternal (queen) effects, and sibsocial (worker) effects to variation for worker, gyne, and male mass; caste ratio; and sex ratio in the ant Temnothorax curvispinosus. The results indicate genetic variance for direct, maternal, and sibsocial effects for all traits, except for male mass there was no significant maternal variance, and for sex ratio the variance for direct effects was not separable from maternal variance for the primary sex ratio. Estimates of genetic correlations between direct, maternal, and sibsocial effects were generally negative, indicating that these effects may not evolve independently. These results have broad implications for social insect evolution. For example, the genetic architecture underlying social insect traits may constrain the realization of evolutionary conflicts between social partners. © 2006 The Society for the Study of Evolution. All rights reserved.",85,17263116,Journal,ar,Article,100,1,1,Caste ratio | Indirect genetic effects | Kin selection | Queen-worker conflict | Sex ratio | Social evolution,22104,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846877190,SCOPUS_ID:33846877190,2-s2.0-33846877190,"Rapid diversification, incomplete isolation, and the ""speciation clock"" in North American salamanders (genus Plethodon): Testing the hybrid swarm hypothesis of rapid radiation",Wiens J.J.,Evolution,00143820,15585646,60,12,2585-2603,2006-12-01,December 2006,10.1554/06-138.1,"The history of life has been marked by several spectacular radiations, in which many lineages arise over a short period of time. A possible consequence of such rapid splitting in the recent past is that the intrinsic barriers that prevent gene flow between many species may have too little time to develop fully, leading to extensive hybridization among recently evolved lineages. The salamander genus Plethodon in eastern North America has been proposed as a possible example of this scenario, but without explicit statistical tests. In this paper, we present a nearly comprehensive phylogeny for the 45 extant species of eastern Plethodon, based on DNA sequences of mitochondrial (two genes, 1335 base pairs) and nuclear genes (two genes, up to 3481 base pairs). We then use this phylogeny to examine rates and patterns of diversification and hybridization. We find significantly rapid diversification within the glutinosus species group. Examining patterns of natural hybridization in light of the phylogeny shows considerable hybridization within this clade, including introgression between species that are morphologically distinct and distantly related. Reproductive isolation increases over time and may be very weak among the most recently diverged species. These results suggest that the origin of species and the evolution of intrinsic reproductive isolating mechanisms, rather than being synonymous, may be decoupled in some cases (i.e., rapid origin of lineages outstrips the ""speciation clock""). In contrast to the conclusions of a recent review of adaptive radiation and hybridization, we suggest that extensive hybridization sometimes may be a consequence, rather than a cause, of rapid diversification. © 2006 The Society for the Study of Evolution. All rights reserved.",126,17263119,Journal,ar,Article,100,3,3,Amphibians | Diversification | Hybridization | Phylogeny | Reproductive isolation | Salamanders | Speciation,22104,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846876976,SCOPUS_ID:33846876976,2-s2.0-33846876976,Spider dragline silk: Correlated and mosaic evolution in high-performance biological materials,Swanson B.,Evolution,00143820,15585646,60,12,2539-2551,2006-12-01,December 2006,10.1554/06-267.1,"The evolution of biological materials is a critical, yet poorly understood, component in the generation of biodiversity. For example, the diversification of spiders is correlated with evolutionary changes in the way they use silk, and the material properties of these fibers, such as strength, toughness, extensibility, and stiffness, have profound effects on ecological function. Here, we examine the evolution of the material properties of dragline silk across a phylogenetically diverse sample of species in the Araneomorphae (true spiders). The silks we studied are generally stronger than other biological materials and tougher than most biological or man-made fibers, but their material properties are highly variable; for example, strength and toughness vary more than fourfold among the 21 species we investigated. Furthermore, associations between different properties are complex. Some traits, such as strength and extensibility, seem to evolve independently and show no evidence of correlation or trade-off across species, even though trade-offs between these properties are observed within species. Material properties retain different levels of phylogenetic signal, suggesting that traits such as extensibility and toughness may be subject to different types or intensities of selection in several spider lineages. The picture that emerges is complex, with a mosaic pattern of trait evolution producing a diverse set of materials across spider species. These results show that the properties of biological materials are the target of selection, and that these changes can produce evolutionarily and ecologically important diversity. © 2006 The Society for the Study of Evolution. All rights reserved.",79,17263115,Journal,ar,Article,100,4,4,Biomaterials | Biomechanics | Independent contrasts | Major ampullate silk | Phylogenetic signal | Tensile test | Web,22104,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846876562,SCOPUS_ID:33846876562,2-s2.0-33846876562,HSP90 and the quantitative variation of wing shape in Drosophila melanogaster,Debat V.,Evolution,00143820,15585646,60,12,2529-2538,2006-12-01,December 2006,10.1554/06-045.1,"The molecular chaperone protein Hsp90 has been widely discussed as a candidate gene for developmental buffering. We used the methods of geometric morphometrics to analyze its effects on the variation among individuals and fluctuating asymmetry of wing shape in Drosophila melanogaster. Three different experimental approaches were used to reduce Hsp90 activity. In the first experiment, developing larvae were reared in food containing a specific inhibitor of Hsp90, geldanamycin, but neither individual variation nor fluctuating asymmetry was altered. Two further experiments generated lines of genetically identical flies carrying mutations of Hsp83, the gene encoding the Hsp90 protein, in heterozygous condition in nine different genetic backgrounds. The first of these, introducing entire chromosomes carrying either of two Hsp83 mutations, did not increase shape variation or asymmetry over a wild-type control in any of the nine genetic backgrounds. In contrast, the third experiment, in which one of these Hsp83 alleles was introgressed into the wild-type background that served as the control, induced an increase in both individual variation and fluctuating asymmetry within each of the nine genetic backgrounds. No effect of Hsp90 on the difference among lines was detected, providing no evidence for cryptic genetic variation of wing shape. Overall, these results suggest that Hsp90 contributes to, but is not controlling, the buffering of phenotypic variation in wing shape. © 2006 The Society for the Study of Evolution. All rights reserved.",91,17263114,Journal,ar,Article,100,5,5,Canalization | Cryptic genetic variation | Developmental stability | Evolutionary capacitor | Geometric morphometrics | Wing shape,22104,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846875227,SCOPUS_ID:33846875227,2-s2.0-33846875227,Test for simultaneous divergence using approximate Bayesian computation,Hickerson M.,Evolution,00143820,15585646,60,12,2435-2453,2006-12-01,December 2006,10.1554/05-578.1,"Comparative phylogeographic studies often reveal disparate levels of sequence divergence between lineages spanning a common geographic barrier, leading to the conclusion that isolation was nonsynchronous. However, only rarely do researchers account for the expected variance associated with ancestral coalescence and among-taxon variation in demographic history. We introduce a flexible approximate Bayesian computational (ABC) framework that can test for simultaneous divergence (TSD) using a hierarchical model that incorporates idiosyncratic differences in demographic history across taxon pairs. The method is tested across a range of conditions and is shown to be accurate even with single-locus mitochondrial DNA (mtDNA) data. We apply this method to a landmark dataset of putative simultaneous vicariance, eight geminate echinoid taxon pairs thought to have been split by the Isthmus of Panama 3.1 million years ago. The ABC posterior estimates are not consistent with a history of simultaneous vicariance given these data. Subsequent ABC estimates under a constrained model that assumes two divergence times across the eight taxon pairs suggests simultaneous divergence 3.1 million years ago in seven of the taxon pairs and a more recent divergence in the remaining taxon pair. These ABC estimates on the simultaneous divergence of the seven taxon pairs correspond to a DNA substitution rate of approximately 1.59% per lineage per million years at the mtDNA cytochrome oxidase I gene. This ABC framework can easily be modified to analyze single taxon-pair datasets and/or be expanded to include multiple loci, migration, recombination, and other idiosyncratic demographic histories. The flexible aspect of ABC and its built-in evaluation of estimator bias and statistical power has the potential to greatly enhance statistical rigor in phylogeographic studies. © 2006 The Society for the Study of Evolution. All rights reserved.",145,17263107,Journal,ar,Article,100,3,3,Approximate Bayesian computation | Coalescent | Comparative phylogeography | Echinoid | Hierarchical model | Meta-analysis | Vicariance,22104,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846871705,SCOPUS_ID:33846871705,2-s2.0-33846871705,"Balancing selection, random genetic drift, and genetic variation at the major histocompatibility complex in two wild populations of guppies (Poecilia reticulata)",Van Oosterhout C.,Evolution,00143820,15585646,60,12,2562-2574,2006-12-01,December 2006,10.1554/06-286.1,"Our understanding of the evolution of genes of the major histocompatibility complex (MHC) is rapidly increasing, but there are still enigmatic questions remaining, particularly regarding the maintenance of high levels of MHC polymorphisms in small, isolated populations. Here, we analyze the genetic variation at eight microsatellite loci and sequence variation at exon 2 of the MHC class IIB (DAB) genes in two wild populations of the Trinidadian guppy, Poecilia reticulata. We compare the genetic variation of a small (Ne ≈ 100) and relatively isolated upland population to that of its much larger (Ne ≈ 2400) downstream counterpart. As predicted, microsatellite diversity in the upland population is significantly lower and highly differentiated from the population further downstream. Surprisingly, however, these guppy populations are not differentiated by MHC genetic variation and show very similar levels of allelic richness. Computer simulations indicate that the observed level of genetic variation can be maintained with overdominant selection acting at three DAB loci. The selection coefficients differ dramatically between the upland (s ≥ 0.2) and lowland (s ≤ 0.01) populations. Parasitological analysis on wild-caught fish shows that parasite load is significantly higher on upland than on lowland fish, which suggests that large differences in selection intensity may indeed exist between populations. Based on the infection intensity, a substantial proportion of the upland fish would have suffered direct or indirect fitness consequences as a result of their high parasite loads. Selection by parasites plays a particularly important role in the evolution of guppies in the upland habitat, which has resulted in high levels of MHC diversity being maintained in this population despite considerable genetic drift. © 2006 The Society for the Study of Evolution. All rights reserved.",133,17263117,Journal,ar,Article,100,9,9,Balancing selection | Computer simulation | Guppy | Gyrodactylus | Major histocompatibility complex | Parasite | Random genetic drift,22104,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33846869275,SCOPUS_ID:33846869275,2-s2.0-33846869275,Extreme selection in humans against homeotic transformations of cervical vertebrae,Galis F.,Evolution,00143820,15585646,60,12,2643-2654,2006-12-01,December 2006,10.1554/06-064.1,"Why do all mammals, except for sloths and manatees, have exactly seven cervical vertebrae? In other vertebrates and other regions, the vertebral number varies considerably. We investigated whether natural selection constrains the number of cervical vertebrae in humans. To this end, we determined the incidence of cervical ribs and other homeotic vertebral changes in radiographs of deceased human fetuses and infants, and analyzed several existing datasets on the incidence in infants and adults. Our data show that homeotic transformations that change the number of cervical vertebrae are extremely common in humans, but are strongly selected against: almost all individuals die before reproduction. Selection is most probably indirect, caused by a strong coupling of such changes with major congenital abnormalities. Changes in the number of thoracic vertebrae appear to be subject to weaker selection, in good correspondence with the weaker evolutionary constraint on these numbers. Our analysis highlights the role of prenatal selection in the conservation of our common body plan. © 2006 The Society for the Study of Evolution. All rights reserved.",97,17263123,Journal,ar,Article,100,8,8,Developmental constraint | Evolutionary medicine | Hox genes | Left-right asymmetry | Modularity | Phylotypic stage | Pleiotropy,22104,undefined,0,FALSE,10,all,All Open Access,NA,NA
