@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/70450263503,SCOPUS_ID:70450263503,2-s2.0-70450263503,Speciation due to hybrid necrosis in plant-pathogen models,Ispolatov I.,Evolution,00143820,15585646,63,12,3076-3084,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00800.x,"We develop a model for speciation due to postzygotic incompatibility generated by autoimmune reactions. The model is based on frequency-dependent interactions between host plants and their pathogens, which can generate disruptive selection and give rise to speciation if distant phenotypes become reproductively isolated. Based on recent experimental evidence from Arabidopsis, we assume that at the molecular level, incompatibility between host strains is caused by epistatic interactions between two proteins in the plant immune system - the guard and the guardee. Within each plant strain, immune reactions occur when the guardee protein is modified by a pathogen effector, and the guard subsequently binds to the guardee, thus precipitating an immune response. When guard and guardee proteins come from phenotypically distant parents, a hybrid's immune system can be triggered by erroneous interactions between these proteins even in the absence of pathogen attack, leading to severe autoimmune reactions in hybrids. This generates a Dobzhnasky-Muller incompatibility due to immune reactions. Our model shows how phenotypic variation generated by frequency-dependent host-pathogen interactions can lead to such postzygotic incompatibilities between extremal types, and hence to speciation. © 2009 The Society for the Study of Evolution.",16,19674099,Journal,ar,Article,100,2,2,Autoimmune reaction | Evolution of diversity | Hybrid necrosis | Hybrids | Immune system | Speciation,22104,undefined,0,FALSE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450214737,SCOPUS_ID:70450214737,2-s2.0-70450214737,Effects of fertilization distance on male gain curves in a free-spawning marine invertebrate: A combined empirical and theoretical approach,Johnson S.,Evolution,00143820,15585646,63,12,3114-3123,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00784.x,"Male gain curves describe the relationship between allocation to sperm production and male reproductive success and are central to models of sex allocation in hermaphrodites. Sperm competition is expected to result in more linear gains and select for increased allocation. We hypothesized that high sperm production in passively mating systems may also be the result of selection to enhance the ability to fertilize distant ova. Consequently, we explored the effect of distance on male gain curves in a free-spawning colonial ascidian. The performance of focal males that varied in sperm production was assayed at three distances via microsatellite markers. An advection-diffusion model was used to estimate sperm concentration gradients, to predict male reproductive gain integrated across multiple downstream females, and explore effects of hydrodynamic conditions. As distance increased, male reproductive success decreased and empirical gain curves became increasingly linear. Our model predicted that the expected net gain curve is relatively insensitive to variation in flow regime and will saturate much more slowly than if only a single, nearby distance is considered. Thus, high levels of sperm production may enhance fitness both in competitive situations and with increasing fertilization distance, highlighting the need to consider distance effects when evaluating gain curves. © 2009 The Society for the Study of Evolution.",6,19656184,Journal,ar,Article,100,2,2,Botryllus schlosseri | Diffusion/advection model | Fertilization distance | Paternity | Sex allocation,22104,undefined,1,TRUE,all,All Open Access,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450213134,SCOPUS_ID:70450213134,2-s2.0-70450213134,Evolution of gigantism in nine-spined sticklebacks,Herczeg G.,Evolution,00143820,15585646,63,12,3190-3200,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00781.x,"The relaxation of predation and interspecific competition are hypothesized to allow evolution toward ""optimal"" body size in island environments, resulting in the gigantism of small organisms. We tested this hypothesis by studying a small teleost (nine-spined stickleback, Pungitius pungitius) from four marine and five lake (diverse fish community) and nine pond (impoverished fish community) populations. In line with theory, pond fish tended to be larger than their marine or lake conspecifics, sometimes reaching giant sizes. In two geographically independent cases when predatory fish had been introduced into ponds, fish were smaller than those in nearby ponds lacking predators. Pond fish were also smaller when found in sympatry with three-spined stickleback (Gasterosteus aculeatus) than those in ponds lacking competitors. Size-at-age analyses demonstrated that larger size in ponds was achieved by both increased growth rates and extended longevity of pond fish. Results from a common garden experiment indicate that the growth differences had a genetic basis: pond fish developed two to three times higher body mass than marine fish during 36 weeks of growth under similar conditions. Hence, reduced risk of predation and interspecific competition appear to be chief forces driving insular body size evolution toward gigantism. © 2009 The Society for the Study of Evolution.",67,19624722,Journal,ar,Article,100,3,3,Body size | Competition | Island rule | Natural selection | Predation | Pungitius,22104,undefined,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450205272,SCOPUS_ID:70450205272,2-s2.0-70450205272,Incipient speciation despite little assortative mating: The yellow-rumped warbler hybrid zone,Brelsford A.,Evolution,00143820,15585646,63,12,3050-3060,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00777.x,"Hybrid zones between recently diverged taxa are natural laboratories for speciation research, allowing us to determine whether there is reproductive isolation between divergent forms and the causes of that isolation. We present a study of a classic avian hybrid zone in North America between two subspecies of the yellow-rumped warbler (Dendroica coronata). Although previous work has shown very little differentiation in mitochondrial DNA across this hybrid zone, we identified two nuclear loci (one sex-linked and one autosomal) that show fixed differences across the hybrid zone, in a close concordance with patterns of plumage variation. Temporal stability and limited width of the hybrid zone, along with substantial linkage disequilibrium between these two diagnostic markers in the center of the zone, indicate that there is moderate reproductive isolation between these populations, with an estimated strength of selection maintaining the zone of 18%. Pairing data indicate that assortative mating is either very weak or absent, suggesting that this reproductive isolation is largely due to postmating barriers. Thus, despite extensive hybridization the two forms are distinct evolutionary groups carrying genes for divergent adaptive peaks, and this situation appears relatively stable. © 2009 The Society for the Study of Evolution.",91,19624726,Journal,ar,Article,100,2,2,Assortative mating | Cline | Linkage disequilibrium | Tension zone,22104,undefined,1,TRUE,all,All Open Access,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450205243,SCOPUS_ID:70450205243,2-s2.0-70450205243,The evolvability of growth form in a clonal seaweed,Monro K.,Evolution,00143820,15585646,63,12,3147-3157,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00802.x,"Although modular construction is considered the key to adaptive growth or growth-form plasticity in sessile taxa (e.g., plants, seaweeds and colonial invertebrates), the serial expression of genes in morphogenesis may compromise its evolutionary potential if growth forms emerge as integrated wholes from module iteration. To explore the evolvability of growth form in the red seaweed, Asparagopsis armata, we estimated genetic variances, covariances, and cross-environment correlations for principal components of growth-form variation in contrasting light environments. We compared variance-covariance matrices across environments to test environmental effects on heritable variation and examined the potential for evolutionary change in the direction of plastic responses to light. Our results suggest that growth form in Asparagopsis may constitute only a single genetic entity whose plasticity affords only limited evolutionary potential. We argue that morphological integration arising from modular construction may constrain the evolvability of growth form in Asparagopsis, emphasizing the critical distinction between genetic and morphological modularity in this and other modular taxa. © 2009 The Society for the Study of Evolution.",9,19663995,Journal,ar,Article,100,2,2,Cross-environment genetic correlation | Genetic variance and covariance | Growth-form plasticity | Integration | Modular organism,22104,undefined,1,TRUE,all,All Open Access,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450203586,SCOPUS_ID:70450203586,2-s2.0-70450203586,Correlated evolution of migration and sexual dichromatism in the new world orioles (ICTERUS),Friedman N.R.,Evolution,00143820,15585646,63,12,3269-3274,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00792.x,"The evolution of sexual dimorphism has long been attributed to sexual selection, specifically as it would drive repeated gains of elaborate male traits. In contrast to this pattern, New World oriole species all exhibit elaborate male plumage, and the repeated gains of sexual dichromatism observed in the genus are due to losses of female elaboration. Interestingly, most sexually dichromatic orioles belong to migratory or temperate-breeding clades. Using character scoring and ancestral state reconstructions from two recent studies in Icterus, we tested a hypothesis of correlated evolution between migration and sexual dichromatism. We employed two discrete phylogenetic comparative approaches: the concentrated changes test and Pagel's discrete likelihood test. Our results show that the evolution of these traits is significantly correlated (CCT: uncorrected P < 0.05; ML: LRT = 12.470, P < 0.005). Indeed, our best model of character evolution suggests that gains of sexual dichromatism are 23 times more likely to occur in migratory taxa. This study demonstrates that a life-history trait with no direct relationship with sexual selection has a strong influence on the evolution of sexual dichromatism. We recommend that researchers further investigate the role of selection on elaborate female traits in the evolution of sexual dimorphism. © 2009 The Society for the Study of Evolution.",43,19659597,Journal,ar,Article,100,4,4,Bird coloration | Comparative method | Female ornaments | Sexual dimorphism | Sexual selection,22104,undefined,1,TRUE,all,All Open Access,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450199762,SCOPUS_ID:70450199762,2-s2.0-70450199762,Signal design and perception in hypocnemis antbirds: Evidence for convergent evolution via social selection,Tobias J.,Evolution,00143820,15585646,63,12,3168-3189,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00795.x,"Natural selection is known to produce convergent phenotypes through mimicry or ecological adaptation. It has also been proposed that social selection - i.e., selection exerted by social competition - may drive convergent evolution in signals mediating interspecific communication, yet this idea remains controversial. Here, we use color spectrophotometry, acoustic analyses, and playback experiments to assess the hypothesis of adaptive signal convergence in two competing nonsister taxa, Hypocnemis peruviana and H. subflava (Aves: Thamnophilidae). We show that the structure of territorial songs in males overlaps in sympatry, with some evidence of convergent character displacement. Conversely, nonterritorial vocal and visual signals in males are strikingly diagnostic, in line with 6.8% divergence in mtDNA sequences. The same pattern of variation applies to females. Finally, we show that songs in both sexes elicit strong territorial responses within and between species, whereas songs of a third, allopatric and more closely related species (H. striata) are structurally divergent and elicit weaker responses. Taken together, our results provide compelling evidence that social selection can act across species boundaries to drive convergent or parallel evolution in taxa competing for space and resources. © 2009 The Society for the Study of Evolution.",98,19659594,Journal,ar,Article,100,2,2,Character displacement | Convergent evolution | Interspecific competition | Signal evolution | Species recognition | Suboscine birds | Territorial signals,22104,undefined,0,FALSE,NA,NA,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450196749,SCOPUS_ID:70450196749,2-s2.0-70450196749,"Erratum: Correction for Smith et al. (2008, 2009) (Evolution (798))",NA,Evolution,00143820,15585646,63,12,3277,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00829.x,NA,0,NA,Journal,er,Erratum,100,0,NA,NA,22104,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450196529,SCOPUS_ID:70450196529,2-s2.0-70450196529,Chromosomal inversions and species differences: When are genes affecting adaptive divergence and reproductive isolation expected to reside within inversions?,Feder J.,Evolution,00143820,15585646,63,12,3061-3075,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00786.x,"Many factors can promote speciation, and one which has received much attention is chromosomal inversions. A number of models propose that the recombination suppressing effects of inversions facilitate the maintenance of differences between interbreeding populations in genes affecting adaptive divergence and reproductive isolation. These models predict that such genes will disproportionately reside within inversions, rather than in collinear regions. This hypothesis has received some support, but exceptions exist. Additionally, the effects of known low levels of recombination within inversions on these models are uninvestigated. Here, simulations are used to compare the maintenance of genetic differences between populations following secondary contact and hybridization in different inversion models. We compare regions with no recombination within them to regions with low recombination and to collinear regions with free recombination. Our most general finding is that the low levels of recombination within an inversion often result in the loss of accentuated divergence in inverted regions compared to collinear ones. We conclude that inversions can facilitate the maintenance of species differences under some conditions, but that large or qualitative differences between inverted and collinear regions need not occur. We also find that strong selection facilitates maintenance of divergence in a manner analogous to inversions. © 2009 The Society for the Study of Evolution.",108,19656182,Journal,ar,Article,100,2,2,Epistasis | Fitness trade-offs | Gene flow | Genomic islands | Local adaptation | Speciation,22104,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/70450193833,SCOPUS_ID:70450193833,2-s2.0-70450193833,"Intralocus sexual conflict over immune defense, gender load, and sex-specific signaling in a natural lizard population",Svensson E.,Evolution,00143820,15585646,63,12,3124-3135,2009-12-01,December 2009,10.1111/j.1558-5646.2009.00782.x,"In species with separate sexes, antagonistic selection on males and females (intralocus sexual conflict) can result in a gender load that can be resolved through the evolution of sexual dimorphism. We present data on intralocus sexual conflict over immune defense in a natural population of free-ranging lizards (Uta stansburiana) and discuss the resolution of this conflict. Intralocus sexual conflict arises from correlational selection between immune defense and orange throat coloration in these lizards. Males with orange throats and high antibody responses had enhanced survival, but the same trait combination reduced female fitness. This sexual antagonism persisted across the life cycle and was concordant between the juvenile and adult life stages. The opposing selective pressure on males and females is ameliorated by a negative intersexual genetic correlation (rm,f = -0.86) for immune defense. Throat coloration was also genetically correlated with immune defense, but the sign of this genetic correlation differed between the sexes. This resulted in sex-specific signaling of immunological condition. We also found evidence for a sex-specific maternal effect on sons with potential to additionally reduce the gender load. These results have implications for signaling evolution, genetic integration between adaptive traits, sex allocation, and mutual mate choice for indirect fitness benefits. © 2009 The Society for the Study of Evolution.",60,19624721,Journal,ar,Article,100,3,3,Maternal effect | Physiology | Pleiotropy | Polymorphism | Quantitative genetics | Sexual conflict,22104,undefined,1,TRUE,all,All Open Access,10,NA,NA
