@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0020469523,SCOPUS_ID:0020469523,2-s2.0-0020469523,Observations on reproductive effort in British erpobdellid and glossiphonid leeches with different life cycles.,Calow P.,Journal of Animal Ecology,00218790,51,3,697-712,1982-01-01,1982,10.2307/3999,"Examined Erpobdella octoculata from an annual population, E. octoculata from a presumed biennial population and E. testacea from a presumed annual population; and Glossiphonia heteroclita and Helobdella stagnalis, both annual and predatory, Glossiphonia complanata, presumed perennial and predatory, and Theromyzon tessulatum and Hemiclepsis marginata, both ectoparasitic. The erpobdellids laid cocoons which they deserted; the glossiphoniids brooded their eggs and carried their offspring. Reproductive effort was measured in terms of offspring production per parent. On this basis the annual erpobdellids invested more in reproduction than the biennial populations. After correcting for size differences, Helobdella stagnalis and G. heteroclita carried a larger number of offspring than G. complanata. Differences were less obvious when brood sizes were expressed as live weights. Using laboratory data, reproductive effort was also measured for erpobdellids in terms of the energy investment and the sacrifice of parent biomass to gametes. On those criteria, E. testacea invested more in reproduction than any E. octoculata. Brooding leeches ingested less food per unit time than non-brooding equivalents and this was most marked in short-lived species. Brooding leeches also suffered a larger proportional reduction in weight than non-brooding ones, again most marked in short-lived species. -from Authors",12,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020469384,SCOPUS_ID:0020469384,2-s2.0-0020469384,"A population study of the ants Myrmica sabuleti and Myrmica scabrinodis, living at two sites in the south of England. I. A comparison of colony populations.",Elmes G.,Journal of Animal Ecology,00218790,51,2,651-664,1982-01-01,1982,10.2307/3989,"One Myrmica sabuleti site was on chalk grassland, the other on acid grassland. The latter supported a population of M. scabrinodis. The acid site was the last known British site for Maculinea arion (large blue butterfly) which is parasitic upon M. sabuleti for part of its life cycle. Means are given for 6 parameters of colony population. Colonies producing reproductives are significantly larger than those that do not. There are significant variations within sites between years but these are small compared to between-site and interspecific differences. Sexuals are reared at the expense of new workers. Both male and new worker production is closely related to worker population whereas gyne production seems more related to worker size. The differences between and within populations are discussed in terms of nest site insolation. -from Authors",34,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020462086,SCOPUS_ID:0020462086,2-s2.0-0020462086,Long-term stability of ant colonies - a simulation model ( Myrmica limanica jacobsoni).,Uchmanski J.,Journal of Animal Ecology,00218790,51,2,349-362,1982-01-01,1982,10.2307/3969,"A model of biomass dynamics in colonies of Myrmica limanica ssp. jacobsoni is based on: 1) a directly proportional relationship of biomass production in a colony to the biomass of workers at the beginning of the season; 2) a relationship in the proportion of castes (biomass of workers to biomass of sexual forms) to the age structure of workers belonging to the proceeding generations; 3) a relation of the age structure of workers to the number of foragers and their mortality. Numerical analysis of the model indicates that colonies are characterized by stable equilibrium for all variables: biomass of old and young workers, production, foraging index, and the mortality of workers. The location of these equilibrium points does not depend on initial conditions. The most important stabilizing factor is the relation of the mortality of old workers to the foraging index. The allocation of production between workers and sexual forms delays the return of the variables to the equilibrium values. Heavy winter mortality is an important factor disturbing the equilibrium conditions of a colony. Since heavy winter mortality happens every few years, and it takes approx 10 yr to reach the equilibrium state, the colony is permanently beyond the equilibrium state. -from Authors",2,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020461277,SCOPUS_ID:0020461277,2-s2.0-0020461277,Seasonal changes in patch use by a territorial grey plover: weather-dependent adjustments in foraging behaviour ( Pluvialis squatarola).,Dugan P.,Journal of Animal Ecology,00218790,51,3,849-857,1982-01-01,1982,10.2307/4009,"On days when temperatures were >1oC the studied example of Pluvialis squatarola exhibited a preference for patches where highest rates of energy intake and prey capture were achieved. Patch use was positively correlated with patch quality expressed in terms of these foraging parameters. On days when temperatures were = or < 1oC the preference for good patches was greater and the correlation between energy intake rate and patch use stronger. Two of the 4 patches in which highest intake rates were achieved during cold conditions were not used under mild conditions. Two of the 4 patches in which intake rates were lowest during mild conditions were not used under cold conditions. As a result of the pattern of selective patch use observed, rates of energy intake and prey capture were on several cold days in mid-winter (despite a general decrease in prey availability on these days) similar to intake rates on mild days. The pattern of patch use is consistent with a strategy of resource conservation during mild conditions and utilization of conserved resources during cold conditions. -from Author",8,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020458710,SCOPUS_ID:0020458710,2-s2.0-0020458710,Selective resorption of aphid embryos and habitat changes relative to life-span ( Megoura viciae).,Ward S.,Journal of Animal Ecology,00218790,51,3,859-864,1982-01-01,1982,10.2307/4010,"Adult Megoura viciae, starved for 5 days, resorb their smallest embryos while continuing to mature the largest embryo in each ovariole. An aphid invests less in the smallest of its basal embryos than in the larger ones, whose relative growth rates are consequently higher. -from Authors",42,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020458482,SCOPUS_ID:0020458482,2-s2.0-0020458482,The home range and density of kestrels in relation to vole abundance.,Village A.,Journal of Animal Ecology,00218790,51,2,413-428,1982-01-01,1982,10.2307/3974,"Kestrel Falco tinnunculus numbers were positively correlated with short-tailed vole Microtus agrestis abundance outside the breeding season and were higher, at any given vole density, in summer than in winter. Home ranges were used by individuals in winter but by pairs in summer. In winter there was little range overlap and kestrels defended most of their range. In summer only an area around the nest was defended, the rest of the range being shared with other pairs. Territory size appeared to be proximately determined by competition, rather than being directly related to food supply.-from Author",68,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020458458,SCOPUS_ID:0020458458,2-s2.0-0020458458,Associations of Enchytraeidae ( Oligochaeta) in experimentally fertilized grasslands.,Standen V.,Journal of Animal Ecology,00218790,51,2,501-522,1982-01-01,1982,10.2307/3980,"Plots were classified on the basis of the proportionate abundance of species by indicator species analysis; 4 groups were obtained: a small group of acid plots with Cognettia sphagnetorum dominant or unique, a group of plots established on peat with species of Henlea and C. sphagnetorum dominant and 2 other groups with a diverse enchytraeid fauna. The first of these contained the controls and the slightly acid fertilizer plots where C. sphagnetorum, Cognettia glandulosa or Enchytronia parva were abundant or dominant and the second contained those plots which had received farmyard manure or neutral inorganic treatments where species of Fridericia or Enchytraeus were abundant and C. sphagnetorum was only poorly respresented or absent. Detrended correspondence analysis gave weighted mean species and plot scores for 3 axes; lime, pH, disturbance and yield were most significantly correlated with one or other of these 3 axes. The same variables were used in multiple regression analysis with the 12 most abundant species. The response of the individual species was varied but lime, pH, farmyard manure, nitrate and water content were most often important. It was possible to measure their long-term effects on food supply or micro- organism activity or the impact of these on inter-specific competition between enchytraeids. -from Author",22,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020457711,SCOPUS_ID:0020457711,2-s2.0-0020457711,"Foraging and size selection of mussels by the tufted duck, Aythya fuligula ( Dreissena polymorpha).",Draulans D.,Journal of Animal Ecology,00218790,51,3,943-956,1982-01-01,1982,10.2307/4015,"Captive tufted ducks did not prefer the most profitable prey (Dreissena polymorpha), but took significantly smaller mussels. Excluding visual clues in size selection resulted in a further decrease in preferred mussel sizes. Being attached to a solid substrate did not affect the relative profitability of the different size classes of mussels. Field experiments revealed that both increasing prey density and decreasing depth caused an increase in selectivity. Increasing prey density caused a transition towards preference for smaller mussels. Diving times of the ducks were strongly affected by both prey density and diving depth. Three hypotheses were proposed to explain selection of sub-optimal mussels. 1) The constraints of diving could change the problem of size selection, as the ducks might do better in swallowing 2 smaller mussels in one dive instead of a larger mussel. 2) Ducks might prefer smaller mussels to avoid the risk of taking mussels that are too large to be swallowed. 3) As larger mussels have highly variable profitabilities, it might pay the ducks to select smaller mussels associated with less variance.-from Author",59,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020454367,SCOPUS_ID:0020454367,2-s2.0-0020454367,"Spatial variation in the predation of cockles by oystercatchers at Traeth Melynog, Anglesey. II. The patterns of mortality.",Sutherland W.,Journal of Animal Ecology,00218790,51,2,491-500,1982-01-01,1982,10.2307/3979,"Profitability (rate of biomass intake per bird) of each site to oystercatchers Haematopus ostralegus depended not only on cockle Cerastoderma edule density but also on cockle size and flesh content. At very low cockle densities the individuals eaten were large, containing a lot of flesh (relative to their size), but the feeding rate was low. At high cockle densities many cockles were taken but they were small, containing little flesh. At a medium density of 25-150 cockles per m2 the profitability was at its maximum. Oystercatchers fed most in areas of highest profitability and so inflicted the highest cockle mortality in these areas. Over the period 1 December to 31 March, mortality was estimated at between 28%, (at 45 cockles per m2) and almost zero (at 12 and 600 cockles per m2). The actual disappearance of cockles was not clearly related to their density; however the downshore movement of cockles countered the effects of predation in the most profitable sites at the bottom of the shore. The large number of old cockles present accorded with the low mortality caused by the oystercatchers and the absence of cockle fishing.-Author",49,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020453352,SCOPUS_ID:0020453352,2-s2.0-0020453352,Dispersal of whitebark pine seeds by Clark's nutcracker: a mutualism hypothesis.,Tomback D.,Journal of Animal Ecology,00218790,51,2,451-467,1982-01-01,1982,10.2307/3976,"Clark's nutcrackers Nucifraga columbiana store a mean of only 3.7 whitebark pine Pinus albicaulis seeds per cache, which reduces competition for moisture and space. The mean depth at which seeds are stored, 2.0cm, is compatible with germination requirements, and many sites selected appear suitable for seed germination. One nutcracker stores about 32 000 whitebark pine seeds at subalpine elevations each year, which represent 3-5 times its energetic requirements. Although parent nutcrackers feed stored seeds to juveniles, in some years there is probably an excess of seeds stored by the population as a whole. Seeds retrieved from nutcracker caches are as viable as seeds extracted by hand from cones and seedlings originating in nutcracker caches have a good survival rate: 56% over the 1st year and 25% by the 4th year. Alternative disperal agents (rodents and cone disintegration) disperse fewer seeds, disperse seeds shorter distances from parent trees, place seeds in sites less suitable for germination, and/or make large seed caches with lower reproductive potential. Nutcrackers disseminate seeds throughout the subalpine habitat and are, in part, responsible for the 'pioneering' status of whitebark pine. The evolution of wingless seeds and indehiscent cones in the Cembra pine group was probably a consequence of seed dispersal by an ancestral nutcracker form. The Clark's nutcracker-whitebark pine interaction is both coevolved and mutualistic.-from Author",169,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,10,NA,NA
