@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0030455541,SCOPUS_ID:0030455541,2-s2.0-0030455541,Erratum: Regulation of food provisioning in the Antarctic petrel Thalassoica antarctica (Journal of Animal Ecology (1996) 65 (381-388)),Lorentsen S.,Journal of Animal Ecology,00218790,65,5,673,1996-12-01,1996,0,Journal,er,Erratum,100,1,1,29544,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/12644304877,SCOPUS_ID:12644304877,2-s2.0-12644304877,Adding to the Nee-May model,Hannon B.,Journal of Animal Ecology,00218790,65,6,850,1996-01-01,November 1996,0,Journal,cp,Conference Paper,100,1,1,29544,undefined,0,FALSE,2,10.2307/5683,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030480057,SCOPUS_ID:0030480057,2-s2.0-0030480057,Correct calculation of dirichlet polygon areas,Byers J.,Journal of Animal Ecology,00218790,65,4,528-529,1996-01-01,July 1996,8,Journal,sh,Short Survey,100,1,1,29544,undefined,0,FALSE,3,10.2307/5787,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030455537,SCOPUS_ID:0030455537,2-s2.0-0030455537,Chaos or quasiperiodicity in laboratory insect populations?,Rohani P.,Journal of Animal Ecology,00218790,65,6,847-849,1996-01-01,November 1996,8,Journal,cp,Conference Paper,100,2,2,29544,undefined,0,FALSE,4,10.2307/5682,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030304939,SCOPUS_ID:0030304939,2-s2.0-0030304939,"Variation in the feeding success of sperm whales: Temporal scale, spatial scale and relationship to migrations",Whitehead H.,Journal of Animal Ecology,00218790,65,4,429-438,1996-01-01,July 1996,62,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,5,10.2307/5778,"1. Variability in a measure of the feeding success of sperm whales, defecation rate, was calculated over temporal scales ranging from 5 h to 4 years, and spatial scales ranging from 100 to 5000 km. 2. Sperm whale feeding success was not obviously linked to any sub-annual environmental cycles, with the possible exception of time of day. 3. Variability in feeding success over temporal scales of 1-64 days, and spatial scales of 100 km, was about 60% of the long-term mean, but reached 130% of the long-term mean over time intervals of 2-4 years and distance intervals greater than 500 km. 4. During periods of days characterized by low feeding success groups of sperm whales moved greater distances. 5. Migration over ranges of about 300 1000 km allows sperm whales to maintain high biomass and low reproductive rates in an environment which, at any location, contains long, unpredictable periods of food shortage.",K-selection | mesopelagic ocean | movement | Physeter macrocephalus | variability in food supply,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030304938,SCOPUS_ID:0030304938,2-s2.0-0030304938,Energy maximization vs. time minimization in the foraging of the limpet Patella vulgata,Santini G.,Journal of Animal Ecology,00218790,65,5,599-605,1996-01-01,September 1996,16,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,6,10.2307/5739,"1. Recent field recording of grazing activity in Patella vulgata has shown that limpets maintain an almost continuous grazing rate during the whole foraging excursion. Since previous assessment of the foraging strategy of this species, based on the assumption that grazing rate varied between foraging and travelling, led to conclude that this species adopts a time minimization strategy, we tested a new model based on a constant grazing rate whilst travelling. 2. Two opposite strategies were tested: (a) maximization of the energy gain (Emax), and (b) minimization of the time spent away from the home scar (Tmin). Predictions based on these two strategies, temporal constraints on foraging activity and on estimates of energy input and costs incurred by limpets, were compared with the behaviour of a population of limpets inhabiting a vertical wall at Menai Bridge (UK). 3. According to strategy (a) limpets would forage for the entire duration of their potential activity phase (nocturnal low tide), whereas according to strategy (b) they would only spend away from home the time necessary to balance energy expenditure, which roughly corresponds to one-quarter of the entire duration of the potential activity phase. Moreover, according to the energy maximization strategy, duration of grazing would be independent of size, while according to the time minimization strategy a positive correlation of grazing activity would be expected with size. 4. The comparison of empirical data with the outputs of the model showed that neither a pure time minimization nor the energy maximization hypothesis can provide good estimates for the behaviour of the studied population of P. vulgata, which appears somehow intermediate between the two strategies. The possible explanations for this result are discussed in relation to the biology of the species, the assumptions of the model, and the difficulties in estimating the critical parameters.",foraging strategies | grazing | herbivory | intertidal | time allocation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030304937,SCOPUS_ID:0030304937,2-s2.0-0030304937,Refuge availability structures assemblages of tropical reef fishes,Caley M.,Journal of Animal Ecology,00218790,65,4,414-428,1996-01-01,July 1996,165,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,7,10.2307/5777,"1. We examined assemblage structure of tropical fishes on small, artificial reefs to determine if differences in refuge availability could modify patterns of species richness and abundance of fishes established at recruitment. 2. Our artificial reefs were designed to provide prey refuge of two types (permanent and transient). Permanent refugia are those that physically exclude predators, i.e. small holes provide permanent refuge from large-bodied predators. Transient refugia result when habitat complexity increases the probability that prey will elude predators. These refugia do not physically exclude predators and thus provide no permanently safe sites. 3. We conducted this experiment at two widely separated locations on Australia's Great Barrier Reef. The species pools of reef fishes, recruitment rates and predator densities all differ between these locations. 4. At neither location were patterns of recruitment influenced by the presence of either type of refuge. By the end of the experiment, however, there were more resident fishes on reefs with additional refugia. 5. Species richness of residents was positively related to total abundance of residents. Therefore, refuge availability indirectly affected species richness through its effect on abundance. There was no indication, however, that permanent refugia provided any greater protection to prey species than did transient refugia. 6. Our results therefore indicate that for these communities, patterns of species richness and abundance established at settlement can be modified considerably over small spatial and temporal scales by differences in refuge availability. Furthermore, habitat complexity need not provide permanently safe sites to affect patterns of coexistence.",artificial reefs | community structure | coral-reef fishes | Great Barrier Reef | habitat complexity | predation | recruitment | refuge | shelter,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030304936,SCOPUS_ID:0030304936,2-s2.0-0030304936,Fishing and the ground-fish assemblage structure in the north-western North Sea: An analysis of long-term and spatial trends,Greenstreet S.,Journal of Animal Ecology,00218790,65,5,577-598,1996-01-01,September 1996,177,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,8,10.2307/5738,"1. This paper examines long-term changes in the structure and composition of the groundfish species assemblage in three regions of the north-western North Sea. Scottish fisheries research vessel data collected during the months July September over the period 1929-53 are compared with more recent August groundfish survey data covering the period 1980-93. Trends in the whole groundfish assemblage, and in a subset of the assemblage that is not targeted by commercial fisheries, are described. 2. Long-term differences in species assemblage were subtle, and were most apparent in the dominance structure. Species diversity in the whole groundfish assemblage was marginally greater in the period 1929-53, but no difference was apparent within the non-target species assemblage. For the whole groundfish assemblage, diversity was greatest in the inshore region and least in the offshore area, but there was no obvious spatial gradient for the non-target species assemblage. 3. Multivariate analyses indicated long-term changes and between-area differences in the species composition for both the whole groundfish assemblage and the non-target species subset. More detailed examination of the data revealed that the long-term changes resulted from relatively small and subtle differences in the relative abundance of rarer species, such as grey gurnard Eutrigla gurnardus (L.) and spur-dog Squalus acanthius L.. In contrast, changes in the relative abundance of the more common species, such as Norway pout Trisopterus esmarkii (Nilsson) and whiting Merlangius merlangus (L.), explained much of the between-area variation. 4. Examination of species aggregated length frequency distributions suggested that by the 1980s there had been a shift towards assemblages in which smaller fish were more highly represented. This was only apparent, however, in the whole groundfish species assemblage; the length frequency distributions of non-targeted species were almost identical in the two time periods. 5. Overall, the results suggest that, although differences in the structure of the whole fish assemblage can be detected, the non-target groundfish assemblage appears to have remained relatively unchanged, despite a century of intensive fishing activity.",community structure | dominance | fishing impact | non-exploited fish assemblage | species diversity | whole fish assemblage,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030304897,SCOPUS_ID:0030304897,2-s2.0-0030304897,Density dependence: Are we searching at the wrong spatial scale?,Ray C.,Journal of Animal Ecology,00218790,65,5,556-566,1996-01-01,September 1996,155,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,9,10.2307/5736,"1. Regulation of populations by density-dependent mechanisms is one of the basic tenets of theory in population biology. Yet, it has been argued that population studies rarely reveal density dependence. We show that the detection of density-dependent processes is a function of study spatial scale, so that appropriately scaled studies commonly reveal density dependence, while inappropriately scaled studies do not. 2. The detection of density dependence and the potential for spatial structure in population density were examined in 79 insect population studies. The potential for spatial structure within the study area was estimated from population movement relative to the area over which density was measured. Relative movement was classified as 'high' (and potential for spatial population structure 'low') if more than 10% of the population moved across the boundary of this area each generation. Analyses were stage-based, addressing he prevalence of density-dependent processes, rather than population regulation. 3. In mobile stages (small and large instars and adults), density dependence was found in 69-73% of studies with low potential spatial structure ('high' relative population movement), and in 23-35% of studies with high potential structure ('low' movement). 4. In immobile stages (eggs and pupae), density dependence was rarely detected in studies larger than 0-1 hectare (7-16%), but often detected in smaller-scale studies (65-69%). 5. One-third of studies reporting both density relationships and 'key factors' (sources of mortality that are most correlated with population fluctuation) found the key factor to be directly density-dependent. Density-dependent growth was detected in at least one stage in 74-76% of studies that tested for density relationships. 6. Study length (in generations) was not related to the frequency of detection of density dependence in studies wit low potential spatial structure in population density. This result calls into question the need for long-term studies to detect density relationships. 7. The detection of population regulation may be hampered by scale effects similar to those demonstrated here.",dispersal | insects | key-factor analysis | metapopulation dynamics | structured populations,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030304868,SCOPUS_ID:0030304868,2-s2.0-0030304868,The role of dispersal in predator-prey metapopulation dynamics,Holyoak M.,Journal of Animal Ecology,00218790,65,5,640-652,1996-01-01,September 1996,101,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,10,10.2307/5743,"1. We report the role of dispersal in the metapopulation dynamics of a protist predator prey pair, the predaceous ciliate Didinium nasutum Muller feeding on the bacterivorous ciliate Colpidium cf. striatum Stokes. In previous work we showed that this extinction-prone pair persisted as metapopulations in subdivided habitats. 2. An experiment assessed the effects of habitat subdivision on persistence and dynamics. Undivided habitats were 270 or 750 mL in volume, and subdivided habitats (arrays) were sets of nine or 25 linked 30 mL bottles (270 or 750 mL total volume), each replicated three times. Undivided microcosms allowed maximum dispersal, whereas subdivision reduced dispersal. Within arrays, bottles with more connecting tubes allowed more dispersal. Nine and 25 bottle arrays also differed in the mean number of connections per bottle. The effects of dispersal on predator prey dynamics were tested by comparing subdivided vs. undivided microcosms, bottles with different numbers of connecting tubes, and nine vs. 25 bottle arrays. 3. We tested the following predictions from metapopulation theory. (i) Predator and prey persistence and predator abundance will be greatest at intermediate dispersal rates. (ii) Prey abundance, local population variability and asynchrony in population fluctuations will be greatest at low dispersal rates, (iii) Predator:prey ratios will be greatest at high dispersal rates. 4. Predictions were confirmed, except for the following. (i) Two measures of synchrony differed in whether they showed the expected pattern. Spatial synchrony (estimated viii correlation of densities among patches within sampling dates) showed high variance and did not vary with dispersal rates. However, spatial variability (CV of density across adjacent pairs of linked bottles), showed the predicted decrease with increased dispersal. (ii) Evidence that dispersal increases predator:prey ratios was inconclusive. Predator:prey ratios were lower in undivided 750 mL microcosms than in 750 mL arrays, possibly because predators over-exploited prey in undivided microcosms, so that both became scarce. Conversely, within arrays, predator:prey ratios were greatest in bottles that allowed the most dispersal, as predicted. 5. This work generally confirms the predicted effects of dispersal on predator prey metapopulation dynamics. It also demonstrates the need for models to include more realism, e.g. the possibility of over-exploitation with very high dispersal.",persistence | predation | Protista | rescue-effects | subdivision,NA,NA
