@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,authkeywords,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0031027879,SCOPUS_ID:0031027879,2-s2.0-0031027879,Erratum: Interactive effects of sublethal nematodes and nutritional status on snowshoe hare vulnerability to predation (Journal of Animal Ecology (1997) 66 (250-265)),Murray D.,Journal of Animal Ecology,00218790,66,3,438,1997-01-01,1997,2,Journal,er,Erratum,100,3,3,29544,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030935997,SCOPUS_ID:0030935997,2-s2.0-0030935997,Erratum: The nutritional ecology of African ruminants: A reinterpretation (Journal of Animal Ecology (1996) 65 (18-28)),Gordon I.,Journal of Animal Ecology,00218790,66,2,295,1997-01-01,1997,0,Journal,er,Erratum,100,2,2,29544,undefined,0,FALSE,2,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030902731,SCOPUS_ID:0030902731,2-s2.0-0030902731,Mortality during dispersal stabilizes local population fluctuations,Ruxton G.,Journal of Animal Ecology,00218790,66,2,289-292,1997-01-01,March 1997,18,Journal,re,Review,100,3,3,29544,undefined,0,FALSE,3,10.2307/6029,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030875320,SCOPUS_ID:0030875320,2-s2.0-0030875320,Small mustelid predation slows population growth of Microtus voles: A predator reduction experiment,Klemola T.,Journal of Animal Ecology,00218790,66,5,607-614,1997-01-01,September 1997,70,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,4,10.2307/5914,"1. The effects of predator reduction on the breeding performance and sex ratio of Microtus voles were studied in a cyclically fluctuating vole assemblage in western Finland, where the field vole (Microtus agrestis) and the sibling vole (M. rossiaemeridionalis) are the main prey of small mustelids. 2. The densities of small mustelids [the least weasel (Mustela nivalis nivalis) and the stoat (M. erminea)] were reduced experimentally in three large (2-3 km2) unfenced areas in 1992, during a crash phase of the vole cycle, and in three different areas during the following crash phase in 1995. The reproductive performance of Microtus voles was compared between control and manipulation areas before and after reducing predators. 3. The reduction of predators increased the productivity of female voles, mainly due to an increased proportion of pregnancies, whereas the body condition of voles was not affected by the manipulation. This suggests that high predation risk in control areas suppressed the breeding of free-living voles. 4. The sex ratio of trapped voles before the manipulation did not differ between reduction and control areas, but after predators were reduced the sex ratio was more male-biased in the control areas. This indicates that small mustelids selectively killed female voles. 5. Our results suggest two possible mechanisms which may have operated concurrently. An adaptive explanation is that voles traded their current reproductive investment against future breeding under high predation risk. A simpler explanation is that small mustelids selectively preyed on pregnant female voles. Both suppressed breeding and selective killing would lead to a lower proportion of reproducing individuals in the vole population. Therefore, our results show that the presence of small mustelid predators slowed the population growth of Microtus voles.",Least weasel | Predation risk | Reproductive investment | Selective predation | Stoat,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030868080,SCOPUS_ID:0030868080,2-s2.0-0030868080,Nutritional constraints on egg production in the blue tit: A supplementary feeding study,Ramsay S.L.,Journal of Animal Ecology,00218790,66,5,649-657,1997-01-01,September 1997,72,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,5,10.2307/5918,"1. The influence of food supply on avian egg production has been investigated in many studies by the experimental provision of supplementary food. Most such studies, however, have considered food only in terms of energy supply. 2. In this paper we investigate the possibility that other nutrients may proximately constrain egg production. This was achieved through the experimental provisioning of breeding blue tits (Parus caeruleus L.) with two different qualities of supplementary food prior to and during the egg laying period. One group received a pure energy food (animal fat) and the other cooked eggs (on the assumption that this would contain all the necessary nutrients for egg formation). 3. Supplementary lipid and supplementary egg resulted in the same degree of laying enhancement compared with control birds. 4. The provision of supplementary egg resulted in a significant increase in egg volume (≃ 7%), whilst supplementary lipid had no significant effect on egg size. The eggs laid early in the laying sequence showed the greatest size increase, with eggs from the egg-fed treatment group being significantly larger than those in both the fat-fed and control groups. Clutch size declined through the season, but was unaffected by supplementary feeding. 5. We discuss the hypothesis that energy supply may influence the initiation of laying, whilst specific nutrients may proximately constrain egg production. The possible identity of these specific nutrients is considered.",Birds | Breeding | Diet quality | Energy | Protein,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030867404,SCOPUS_ID:0030867404,2-s2.0-0030867404,Causes of natal dispersal in the lesser kestrel: Inbreeding avoidance or resource competition?,Negro J.,Journal of Animal Ecology,00218790,66,5,640-648,1997-01-01,September 1997,89,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,6,10.2307/5917,"1. Natal dispersal of seven cohorts (1988-94) of the colonial lesser kestrel (Falco naumanni) was studied in southern Spain. We ringed 1852 nestlings and resighted 321 (17.3%) which survived at least the first migration to Africa. Of the returning individuals, 57% settled in their natal colonies and the remaining 43% dispersed to other colonies. Resights fell off markedly with increasing distance from the natal colony; more than 90% of resights were within 30 km of the birthplace. 2. Contrary to most avian studies, dispersal from the natal site was not sex-biased in our population. The proportion of dispersing males (41%, n = 171) did not differ significantly from that of females (45%, n = 150). Excluding philopatric individuals, the median dispersal distance for males (19 km) did not differ from that of females (18.5 km). 3. Siblings (72 twos) dispersed or were philopatric independently of each other. This result provides no support for either a genetic basis of dispersal (which predicts the same strategy for both siblings) or the inbreeding avoidance hypothesis (which predicts greater dispersal in one sex than the other). This latter hypothesis also conflicts with our observation that the presence of the parent of the opposite sex in the natal colony has no effect on whether returning individuals disperse. 4. Generalized linear models (GLMs) showed that the probability of dispersal for an individual increased when the absolute growth of its natal colony decreased and also from beginning to end of the study, coincidental with a general population increase. These results point to a link between colony saturation and dispersal. GLMs also showed that dispersal distances tended to increase with size of the natal colony and higher breeding success. These results are also consistent with intraspecific competition for resources. 5. Some individuals were observed in two different colonies in their year of first return. These observations, and the lack of active inbreeding avoidance, suggest a scenario for the dispersal process: individuals would prefer to settle in their natal colonies. If they cannot secure a nest site or a mate, they will have to decide whether to stay as nonbreeders or to disperse in search of another breeding chance elsewhere. The actual decision to disperse could be triggered by the level of aggression the unmated individuals encounter in their natal colonies.",Dispersal | Falco naumanni | Generalized linear models | Philopatry | Raptors,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030866610,SCOPUS_ID:0030866610,2-s2.0-0030866610,Influence of conspecific attraction on the spatial distribution of learning foragers in a patchy habitat,Beauchamp G.,Journal of Animal Ecology,00218790,66,5,671-682,1997-01-01,September 1997,111,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,7,10.2307/5920,"1. Individuals in many social species are attracted to feeding conspecifics. The profitability of conspecific attraction is negatively frequency-dependent and can be modelled as a producer-scrounger (PS) game for which the ESS solution predicts some mixture of producer (no attraction) and scrounger (attraction) tactics in the population. Current models for the spatial distribution of rate-maximizing foragers, which learn the quality of habitats as they exploit patches, ignore the possible effect of conspecific attraction on the stable distribution of foragers. 2. We used simulations of a population with ESS levels of attraction to investigate the effect of conspecific attraction on the spatial distribution of learning foragers which incur travel costs. In habitats where patches depleted slowly, ESS levels of attraction helped foragers which experienced no interference reach the expected ideal free distribution (IFD) by facilitating aggregation to the richest patches. Large aggregations also occurred with interference and thus reduced the fit to the IFD, which in this case predicts a scatter of foragers across patches of varying quality. 3. In habitats where patches depleted rapidly, ESS levels of attraction prevented foragers from reaching the IFD, irrespective of interference levels, Foragers failed to learn habitat quality and thus often aggregated in poor patches, especially in large populations which depleted patches faster and had fewer opportunities to learn quality. 4. Predictions of the model in habitats where patches deplete slowly are supported by several studies. More work is needed for habitats where patches deplete more rapidly. We conclude that conspecific attraction can have important, and often disruptive effects on spatial distributions.",Conspecific attraction | Ideal free distribution | Interference | Learning | Scrounging,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030856380,SCOPUS_ID:0030856380,2-s2.0-0030856380,Modelling persistence in dynamic landscapes: Lessons from a metapopulation of the grasshopper Bryodema tuberculata,Stelter C.,Journal of Animal Ecology,00218790,66,4,508-518,1997-01-01,1997,118,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,8,10.2307/5945,"1. The grasshopper Bryodema tuberculata requires open and dry habitats. In Central Europe, it survives only on gravel bars along braided rivers in the Northern Alps. Even there, many populations of B. tuberculata have become extinct in the last 50 years. 2. The dynamics of braided rivers are characterized by succession and floods. Catastrophic floods occur at irregular intervals. They are capable of washing away entire gravel bars and of building new, vegetation-free gravel bars. Succession eventually leads to an almost complete loss of habitat suitable for B. tuberculata on each single gravel bar. 3. Bryodema tuberculata can persist only as metapopulations, i.e. when local extinctions due to succession or flood events are compensated for by colonization of newly created gravel bars. 4. A stimulation model was used to examine how the spatial and temporal dynamics of succession, flood regime and colonization determine the ability of B. tuberculata to survive in flood-plains. 5. The results show that small populations on relatively old gravel bars are important to the persistence of B. tuberculata, even though they usually only survive for a short time, due to demographic noise. 6. The effect of catastrophic floods is ambivalent: persistence is low if time intervals between floods are too short or too long. If floods are too frequent many subpopulations are extinguished at the same time and if floods are to infrequent, local populations are eliminated by succession. 7. It is concluded that most extinctions of B. tuberculata populations in the Northern Alps are due to changes in the flood regime caused by humans. 8. Many other spatially dynamic animals and plants occupy successional habitats. We suggest that the form of model outlined in this paper, based on dynamic habitat mosaic, be used for such organisms.",Braided river | Disturbance regime | Mean persistence time | Simulation model | Succession,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030854264,SCOPUS_ID:0030854264,2-s2.0-0030854264,Food availability as a determinant of pairing behaviour in the European robin,Tobias J.,Journal of Animal Ecology,00218790,66,5,629-639,1997-01-01,September 1997,19,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,9,10.2307/5916,"1. Male and female European robins, Erithacus rubecula, defended separate territories from August to January. Pairs formed between January and March. 2. The benefits of early pairing were twofold: first, as 20% of males failed to pair there was strong competition for females; second, although pairing was initially costly in terms of individual foraging success, bachelors invested more time advertising in the long term. 3. Birds on individual territories encountered large food items more frequently than those on pair territories. This decrease in foraging success within pairs was identified as a cost of territory sharing. 4. To test the hypothesis that food availability underlies the defence of individual territories in winter, and the timing of switches to pair territoriality, I manipulated food supply and recorded individual behaviour. 5. Compared to controls, males provided with extra food were forced to repel intruders more frequently, yet advertised for mates earlier and paired earlier. 6. Pair members whose supplementary food supply was temporarily withdrawn spent less time consorting than controls. This suggests that an elevated food supply helped individuals to afford the costs of sharing their food resources, and thus to pair and lay clutches early. 7. The influence of food supply and territoriality on population density and social behaviour is discussed.",Competition | Erithacus rubecula | Food | Foraging success | Pairing,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030850178,SCOPUS_ID:0030850178,2-s2.0-0030850178,"Numbers and production of Eurasian wigeon in relation to conditions in a breeding area, Lake Myvatn, Iceland",Gardarsson A.,Journal of Animal Ecology,00218790,66,4,439-451,1997-01-01,1997,26,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,10,10.2307/5939,"1. A migratory breeding population of Eurasian wigeon Anas penelope L., was studied over the period 1975 95 on 54 km2 of freshwater habitat at Lake Myvatn, northern Iceland. Spring numbers of males averaged 1076 (range 526 1887). The sex ratio was 0.97 females per male and the proportion of yearling males averaged 0.21. The mean brood was 3.93 and a mean of 2.83 young per female (range 0.09-.14) was produced. Production of young was positively related to chironomid abundance and negatively to cold and wet weather. 2. Both sexes seem to be faithful to their winter range, but males are much less faithful to the summer range than are females. The apparent return rate of males is presumably an expression of the return rate of females, which had previously bred locally or been produced at Myvatn. 3. The apparent return rate of old males (2 years or older), mean 0.84 (range 0.58 1.22), was positively correlated with chironomid abundance in the previous summer, which varied greatly. It is suggested that abundant chironomids in late summer may provide a source of highly nutritious food which would increase the probability of wigeon returning to Myvatn or favour the survival of Myvatn wigeon on winter grounds shared with birds originating from other breeding areas. Chironomid numbers showed serial correlation, hence it may be advantageous for the birds to assess the food supply before departure and return accordingly. 4. The apparent return rate of yearling males, mean 0.22 (range 0.06 0.56), was negatively related to the number of young produced in the year before. 5. The density of breeding wigeon at Lake Myvatn was mainly determined by food conditions in the breeding area, as experienced by the adults 1 year previously, and events in the winter range appeared to have less influence. Flyway populations may be limited by a complex set of local and global fluctuations in resources in (i) breeding localities, determining density and production in each, coupled with (ii) staging and wintering localities in each of which local resources would determine density.",Anas penelope | Anatidae | Lake Myvatn | Population limitation | Reproductive success | Waterfowl,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030849090,SCOPUS_ID:0030849090,2-s2.0-0030849090,Interspecific abundance-range size relationships: An appraisal of mechanisms,Gaston K.,Journal of Animal Ecology,00218790,66,4,579-601,1997-01-01,1997,458,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,11,10.2307/5951,"1. Positive relationships between the local abundance and the range size of the species in a taxonomic assemblage are very general. 2. Explanations for these relationships typically focus on two mechanisms, based on differences in the niche breadths of species, or metapopulation dynamics. Others have, however, also been suggested. 3. Here we identify and clarify all the principal mechanisms proposed to explain positive interspecific abundance-range size relationships. We critically assess the assumptions and predictions that they make and the evidence in support of them. 4. A number of predictions are common to all of the biological (as opposed to artefactual) mechanisms, but the combination of predictions and assumptions made by each is unique, suggesting that, in principle, conclusive tests of all of the mechanisms are possible. 5. On present evidence, no single mechanism has unequivocal support. We discuss reasons why this might be the case.",Abundance | Distribution | Metapopulation | Niche breadth | Range size,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030847372,SCOPUS_ID:0030847372,2-s2.0-0030847372,Facultative helping does not influence reproductive success or survival in cooperatively breeding white-browed scrubwrens,Magrath R.D.,Journal of Animal Ecology,00218790,66,5,658-670,1997-01-01,September 1997,67,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,12,10.2307/5919,"1. The most common form of cooperative breeding in birds involves a pair and their adult offspring ('helpers') provisioning young. Many studies show that pairs with helpers have higher reproductive success than pairs alone, but the differences could be due to confounding variables, like parental or territory quality, rather than to helping behaviour. 2. One method of testing whether helping increases reproductive success is to compare the success of intact groups with those from which helpers have been removed. The disadvantage is that variables other than provisioning by helpers (e.g. group size) are affected, which themselves could affect reproductive success. Alternatively, one can attempt to control statistically for confounding variables, but this is difficult in territorial species because it may be impossible to ensure that all confounding variables are measured. 3. We took advantage of natural variability in provisioning behaviour among sub-ordinate white-brewed scrubwrens, Sericornis frontalis, to assess the effect of helping. Scrubwrens are a small passerine in the family Pardalotidae in which male offspring may remain on the natal territory as adults. We compared the reproductive performance of pairs, groups with nonhelping subordinates and groups with helping subordinates, using data from 4-years' study of an individually colour-banded population resident in the Australian National Botanic Gardens, Canberra. 4. The total rate of feeds to nestlings was greater when helpers were present, but we could detect no increase in nestling weight. Furthermore, we found no effect of helping behaviour on reproductive performance or reproductive success. Our measures included: (i) duration of the nesting cycle and interval between nesting attempts; (ii) success of individual nesting attempts, measured in over 20 ways; and (iii) reproductive success over the whole breeding season, measured as the total number of fledglings and independent young. 5. There was also no effect of helping on survival of the female or dominant male. 6. We conclude that helping behaviour does not have a substantial, consistent effect on reproductive success, but cannot eliminate the possibility that it might increase reproductive success by a small amount or in some territories or years. Alternatively, helping behaviour might be the nonadaptive consequence of gene flow from populations in which it is adaptive. Nonetheless, we reject Jamieson's hypothesis that helping behaviour is a nonselected consequence of strong selection on parental behaviour, because, unlike many other species, helping is not an invariant consequence of natal philopatry.",Cooperative breeding | Helpers-at-the-nest | Philopatry | Sericornis frontalis,NA,NA,NA
