@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0034494910,SCOPUS_ID:0034494910,2-s2.0-0034494910,Geographic distance and the role of island area and habitat diversity in the species-area relationships of four Lesser Antillean faunal groups: A complementary note to Ricklefs &amp; Lovette,Morand S.,Journal of Animal Ecology,00218790,69,6,1117-1119,2000-12-01,2000,10.1046/j.1365-2656.2000.00461.x,"1. Recently, Ricklefs & Lovette (1999) have emphasized the possible confounding effect of habitat diversity on area while studying species-area relationships. They illustrated this problem using four groups of organisms (birds, bats, herptiles, and butterflies) on 19 islands of the Lesser Antilles. Although they referred to the potential for species to migrate between islands, they did not take into account the geographical distances between islands. 2. Here, I reanalyse their data using a multivariate method, based on permutation of distance matrices, which incorporates pairwise geographical distances between islands. The analysis includes as independent variables the geographical distances between pairs of islands, size, maximum elevation, and habitat diversity of each island. The last three variables were obtained from Ricklefs & Lovette (1999). 3. Results of the analysis were similar to those of Ricklefs & Lovette (1999). In addition, however, geographical distances influenced species richness of bats, birds and butterflies. 4. These new results are helpful for investigating the processes that may contribute to the observed pattern of species richness. The level of endemism of the four taxonomic groups is related to the influences of geographical distances among islands, and might be explained by differences in their vagility. 5. Finally, I emphasize the need to incorporate geographical distances among islands, using statistical methods that can manipulate distance matrices.",25,Journal,re,Review,100,1,1,Area | Geographical distance | Habitat diversity | Island biogeography | Permutations | Species richness,29544,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034494875,SCOPUS_ID:0034494875,2-s2.0-0034494875,The relationship between local and regional species richness in birds of the Caribbean Basin,Ricklefs R.,Journal of Animal Ecology,00218790,69,6,1111-1116,2000-12-01,2000,10.1046/j.1365-2656.2000.00456.x,NA,38,Journal,re,Review,100,1,1,NA,29544,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034494805,SCOPUS_ID:0034494805,2-s2.0-0034494805,Latitudinal variation in growth of young brown trout Salmo trutta,Jensen A.,Journal of Animal Ecology,00218790,69,6,1010-1020,2000-12-01,2000,10.1046/j.1365-2656.2000.00457.x,"1. A new laboratory-based growth model for brown trout (Salmo trutta) was used to explore latitudinal variation in growth among natural populations. The model included the effects of differences in ambient temperatures and fish size among populations. Annual growth rates of anadromous brown trout parr from 22 Norwegian populations at 61-70 °N were compared with predictions from the growth model. Published field data from one Spanish, 15 British and four Danish populations at 44-58 °N were included in the analysis to increase the latitudinal range. 2. Among the Norwegian populations, the ratio between observed and predicted growth rates was not significantly different from 1.00 in eight rivers, but was significantly higher in eight, and was significantly lower in six. Observed growth was highest, relative to predicted growth, in the coldest rivers. In Spanish, British and Danish rivers, observed growth did not exceed predicted growth. 3. The ratio between observed and predicted annual growth rate decreased significantly with increasing annual mean temperature. Observed annual growth was higher than predicted growth only in rivers with an annual mean temperature lower than 5.1 °C, and this indicates that some kind of thermal adaptation may occur in trout populations in the coldest rivers. 4. Regression analyses showed that besides the direct effects of temperature and body size predicted by the growth model, annual growth rates were significantly related to annual mean temperature, densities of juvenile salmonids, duration of twilight (average for May-August) and latitude. Adding these variables to the original model increased the explanatory power from 73.9 to 80.6%.",86,Journal,ar,Article,100,3,3,Density dependence | Geographical variation | Temperature | Thermal adaptation | Twilight,29544,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034494804,SCOPUS_ID:0034494804,2-s2.0-0034494804,Effects of food limitation and emigration on self-thinning in experimental minnow cohorts,Dunham J.,Journal of Animal Ecology,00218790,69,6,927-934,2000-12-01,2000,10.1046/j.1365-2656.2000.00451.x,"1. The theory of food-regulated self-thinning (FST) for mobile animals predicts population density (N) to be an inverse function of mean body mass (W) scaled to an exponent (b), such that N=k W-b, where k is a constant. FST also predicts energy requirements (or energy flow) to remain constant over time (termed energetic equivalence) as losses to cohorts (e.g. emigration and mortality) are balanced by increased growth of surviving individuals. 2. To test these predictions, we analysed the dynamics of six experimental minnow cohorts. Replicate populations of fish were held under identical conditions with a constant and limited supply of food over a 126-day period. Half of the cohorts were open to emigration, and half were closed so that fish could only be lost through starvation mortality. 3. Patterns of self-thinning indicated non-linear changes in population density and energy flow in relation to changes in mean body mass and time, respectively. Non-linear patterns of self-thinning were probably due to a delayed growth response to changes in population density effected through mortality and/or emigration. Contrary to results of similar experiments on other fish, emigration did not have a significant influence on the pattern of self-thinning. 4. These results may be attributed to trophic interactions within cohorts and the importance of social behaviour to cohort dynamics. Both population density and energy flow in our experimental populations appeared to cycle, with episodes of starvation and mortality alternating with food recovery and weight gain, as predicted by recent models of stepwise die-off and stunted growth in animal cohorts. 5. Most of the support for FST in mobile animals comes from observational data on mean body mass and population density. Potentially important mechanisms, including the manner in which individuals are lost or retained in populations, are usually not investigated directly. Such tests of FST can only provide equivocal support. Detailed observational study and controlled experiments are needed to understand casual mechanisms.",17,Journal,ar,Article,100,5,5,Animal energetics | Cohort dynamics | Density dependence | Energetic equivalence population regulation | Self-thinning | Social behaviour,29544,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034494769,SCOPUS_ID:0034494769,2-s2.0-0034494769,Metapopulation structure depends on spatial scale in the host-specific moth Wheeleria spilodactylus (Lepidoptera: Pterophoridae),Menéndez R.,Journal of Animal Ecology,00218790,69,6,935-951,2000-12-01,2000,10.1046/j.1365-2656.2000.00449.x,"1. The distribution and dynamics of a host-specific moth Wheeleria spilodactylus were studied between 1998 and 1999 at a hierarchy of spatial scales: Geographic (c. 8000km2), regional (c. 35km2), subregional (mean c. 12km2) and local (c. 0.03 km2). We tested the hypothesis that resource quantity and isolation would assume different levels of importance at different scales of analysis, with respect to habitat occupancy and population turnover. 2. Experimental releases in occupied and empty habitats showed that W. spilodactylus dispersal was very rare over distances in excess of 100m, and that relatively large plants were more likely to be colonized. 3. The host-plant distribution was very fragmented and the moth did not occupy the entire distribution of its host-plant at any of the spatial scales studied. At most spatial scales, occupancy decreased with isolation and increased with habitat quantity. 4. Colonization was most likely to occur in non-isolated habitat patches at the regional scale, in patches with large numbers of plants at the subregional scale, and in patches with large plants at the local scale. Relatively isolated populations were more likely to go extinct at the subregional scale of analysis. 5. At a geographic scale, the distribution apparently depends on metapopulation persistence, which itself depends principally on the amount of habitat in each region. At regional and subregional scales, distributions and dynamics reflect colonization - extinction dynamics within metapopulations; these are affected by the interaction of habitat quantity (number and size of host-plants) and isolation. At the local scale, distributions and dynamics are affected by relatively frequent movements of individuals between resource patches (influenced by behavioural choices). 6. Long-term metapopulation dynamics of the moth also reflect population dynamics of its disturbance-dependent host-plant Marrubium vulgare. The metapopulation dynamics of the moth are superimposed on the dynamics of its host.",39,Journal,ar,Article,100,2,2,Colonization | Dispersal | Extinction | Marrubium vulgare | Wheeleria spilodactylus,29544,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034494672,SCOPUS_ID:0034494672,2-s2.0-0034494672,Seed selection by an exceptionally rich community of harvester ants in the Australian seasonal tropics,Andersen A.,Journal of Animal Ecology,00218790,69,6,975-984,2000-12-01,2000,10.1046/j.1365-2656.2000.00452.x,"1. We used the composition of nest middens to describe the extent of dietary partitioning in an exceptionally diverse assemblage of harvester ants in the Kakadu region of northern Australia. Eight of the > 15 harvester species known from adjacent 30 × 30-m plots, comprising four species of Meranoplus and two species each of Monomorium and Pheidole, maintained conspicuous nest middens. 2. All these eight harvester species are monomorphic (or functionally so in the context of seed collection), with total body length ranging from 2.0 to 5.0 mm. The two species of Monomorium are column foragers, whereas the others apparently forage solitarily. Nests averaged 0.1 m2, but were highly patchy both within and between plots. 3. Seed fragments from a total of 33 plant species were identified from 50 middens sampled during the end of the wet season, with up to 19 seed species recorded from a single midden. Seed species diversity was greatest in middens of Meranoplus minimus, Monomorium sp. 1 (rothsteini group) and Pheidole sp. 1 (mjobergi group), and least in middens of the diversus group of Meranoplus. 4. Despite a high overall diversity of seed species, each harvester species collected primarily two or three seed species (with one exception, all grasses), and there was virtually no overlap in these species between harvesters. The pronounced dietary separation of harvester species was demonstrated by multivariate analysis of midden composition. 5. The extent to which differential seed selection is determined by intrinsic preferences, vs. interactions between, harvester species is unknown, nor is it clear why the diversity of harvester ants is so high. However, it is likely that differential seed selection plays a significant role in species coexistence.",32,Journal,ar,Article,100,3,3,Dietary partitioning | Foraging | Nest middens | Species coexistence | Species diversity,29544,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034493511,SCOPUS_ID:0034493511,2-s2.0-0034493511,Parametric intensity and the spatial arrangement of the terrestrial mollusc herbivores Deroceras reticulatum and Arion intermedius,Bohan D.,Journal of Animal Ecology,00218790,69,6,1031-1046,2000-12-01,2000,10.1046/j.1365-2656.2000.00459.x,"1. Parametric intensity and spatial arrangement analyses were used to investigate the spatial pattern of the slugs Arion intermedius and Deroceras reticulatum. 2. The spatial lag of sampling (distance between sampling points) was shown to be unimportant in the intensity analyses. Rather, the 0.25 m grain scale was imposed on the whole sampling. The observed slope of the variance to mean relationships was common to both species, possibly determined by egg laying in batches at 0.25 m. However, the variance of the sample, for a given mean, was lower in summer. This corresponded with a reduction in the proportion of zero counts, which could be due to slug movement, possibly increased by predator activity, acting at the 0.25 m scale. 3. By contrast with the intensity analyses, the lag scale was important for spatial arrangement. At 0.25 m, in March 1997, the A. intermedius and D. reticulatum juveniles were aggregated, presumably about where egg batches were laid. At higher scales, the arrangements of D. reticulatum became spatially random, and A. intermedius resolved to a patch arrangement at the 16 m scale. 4. Over time, the D. reticulatum spatial arrangements remained random and independent of the previous sampling date. From March to July 1997, the A. intermedius patch persisted. A crash in abundance of both species, between July and October 1997, appeared to destroy the patch, but subsequent association suggested that the patch persisted until March 1998. The arrangements of the species were independent of one another on all sampling dates. 5. These species-specific spatial arrangements were independent of all measured environmental factors and consistent with differences in the local reproduction, survival and migration of A. intermedius and D. reticulatum. 6. This comparative study indicates that the terms aggregated, random and regular should have separate definitions for parametric intensity and spatial arrangement. Furthermore, spatial scale has different meaning in intensity and arrangement analyses. Spatial arrangements are not described by parametric intensity. Spatial arrangements change with spatial scale. Temporal changes in intensity need not manifest as changes in spatial arrangement.",33,Journal,ar,Article,100,4,4,Population dynamics | SADIE | Scale | Spatial arrangement | Spatial sampling,29544,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034493273,SCOPUS_ID:0034493273,2-s2.0-0034493273,Factors influencing the evolution of clutch size in a gregarious insect parasitoid,Zaviezo T.,Journal of Animal Ecology,00218790,69,6,1047-1057,2000-12-01,2000,10.1046/j.1365-2656.2000.00460.x,"1. In this study we examined the clutch size of Hyssopus pallidus (Askew) (Hymenoptera, Eulophidae), a gregarious ectoparasitoid of codling moth (Lepidoptera, Tortricidae) larvae that is characterized by a host handling time of 2 days approximately. 2. Clutch size increased asymptotically with host larval size (fresh weight) to a maximum of 32 eggs. A single male developed from each clutch, brood survival was 83% and pupal size of female offspring was 0.45 mg, all independent of clutch size. 3. A comparison of the response of both experienced and naìve adult parasitoids to varying host larval size, indicated that experience was not necessary for H. pallidus to be able to accurately estimate host size. 4. Clutch size increased by 50% for medium size host larvae (30-40 mg) and 83% for large host larvae (60-76mg) when the encounter rate was reduced from one host every second day to one every seventh day. A significantly lower clutch size was produced on the last day at the highest encounter rate for large host larvae, suggesting exhaustion of the egg supply for H. pallidus. 5. Manipulation of parasitoid clutch size on constant size host larvae did not influence sex ratio (single male) or brood survival (93%), but produced a linear tradeoff between clutch size and the size (fresh weight) of female pupae. Longevity, lifetime fecundity, total number of hosts attacked, and clutch size all increased linearly with the adult size (female pupal weight). 6. The observed clutch size in newly emerged H. pallidus is consistent with a strategy of maximizing lifetime fitness gain rather than the gain from individual hosts (Lack clutch size) despite a significant investment in the time required to attack each host.",71,Journal,ar,Article,100,2,2,Cydia pomonella | Experience | Host quality | Sex ratio | Size,29544,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034492606,SCOPUS_ID:0034492606,2-s2.0-0034492606,Species-specific utilization of food sources by sympatric woodlice (Isopoda: Oniscidea),Zimmer M.,Journal of Animal Ecology,00218790,69,6,1071-1082,2000-12-01,2000,10.1046/j.1365-2656.2000.00463.x,"1. In long-term laboratory studies, the influence of different food materials on parameters of population dynamics was compared in the sympatric woodlice, Porcellio scaber and Oniscus asellus, as a measure of interspecific differences in the utilization of food. 2. Freshly fallen leaf litter of different tree species had been acidified and microbially inoculated prior to the experiments. By analysing the influence of Ph level, density and activity of litter-colonizing microbiota and several physico-chemical characteristics of the leaf litter, we obtained information on those factors that determine food quality, 3. The studied species responded similarly to different leaf litter species in that both P. scaber and O. asellus performed better on litter with low C:N ratio. Overall, both isopod species reproduced more successfully on litter with higher Ph levels, containing half the levels of tannins and other phenolics. 4. Interspecific differences were obvious with respect to the significance of litter-colonizing microbiota, and the dependence of juveniles on particular food parameters. While the performance of adult P. scaber was influenced by both litter-colonizing microbiota and physico-chemical characteristics of the leaf litter, adult O. asellus were influenced by leaf litter characteristics, but not by litter-colonizing microbiota. Juvenile mortality was affected by the tested food parameters in O. asellus, but not in P. scaber. Growth rates of juveniles of both species were influenced by physico-chemical characteristics of the leaf litter. Additionally, leaf litter microbiota had a significant influence on growth rates in juvenile P. scaber, but not in juvenile O. asellus. 5. Reasons for, and consequences of, similarities and differences between the observed sympatric species, and intraspecific differences between ontogenetic stages, are important aspects of soil ecology and may help explain the sympatric coexistence of two species belonging to the same guild of saprophagous soil animals.",53,Journal,ar,Article,100,2,2,Coexistence | Leaf litter microbiota | Oniscus asellus | Population dynamics | Porcellio scaber | Terrestrial isopods,29544,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0034492551,SCOPUS_ID:0034492551,2-s2.0-0034492551,Silver spoons and snake body sizes: Prey availability early in life influences long-term growth rates of freeranging pythons,Madsen T.,Journal of Animal Ecology,00218790,69,6,952-958,2000-12-01,2000,10.1046/j.1365-2656.2000.00477.x,"1. A 13-year study of free-ranging water pythons (Liasis fuscus) and their main prey (dusky rats, Rattus colletti) in tropical Australia provided extensive data on the relationship between python growth rates and prey availability. 2. Python growth rates exhibited considerable variation among individuals. Growth rates of siblings were not correlated, suggesting that environmental rather than genetic factors cause this wide variation. 3. The availability of prey varied considerably among years, due to annual variation in rainfall patterns. Pythons grew more rapidly in years with high rat abundance than in years when rats were scarce. Also, python cohorts that hatched in years when prey were abundant exhibited faster growth rates than those that hatched when prey were scarce. 4. The snakes showed strong ontogenetic consistency in relative growth rates: That is, an individual with faster-than-average growth in its first year of life continued to grow rapidly throughout the study period. Thus, these pythons displayed a strong 'silver spoon' effect, whereby favourable conditions (high prey abundance) in the first year of life exerted a long-term effect on growth trajectories and thus, adult body sizes. This effect was strongest in the faster-growing sex (females). 5. Hence, the current body size composition of the python population reflects stochastic rainfall-induced annual variation in prey availability over the preceding decades.",221,Journal,ar,Article,100,2,2,Environment | Prey abundance | Reptile | Resources | Snake,29544,undefined,0,FALSE,10,NA,NA,NA,NA
