@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0035657122,SCOPUS_ID:0035657122,2-s2.0-0035657122,Seasonal decline in clutch size in European starlings: A novel randomization test to distinguish between the timing and quality hypotheses,Christians J.,Journal of Animal Ecology,00218790,70,6,1080-1087,2001-12-01,2001,10.1046/j.0021-8790.2001.00566.x,"1. The seasonal decline in clutch size observed in many avian populations may be due to (a) a causal effect of the timing of breeding or (b) variation in individual quality (i.e. lower quality individuals lay fewer eggs and lay later in the season). 2. To distinguish between these two hypotheses, we manipulated the timing of breeding of European starlings (Sturnus vulgaris L.) by removing first clutches to induce the production of replacement clutches. This experiment was performed at two sites over three breeding seasons. 3. To test whether the within-individual trend in clutch size differed from the seasonal decline in clutch size observed in the population, we devised a novel randomization test that overcomes some of the potential limitations of previously used analyses. 4. We observed no within-female decline in clutch size in any year at either site. Therefore, clutch removal did not appear to manipulate female quality (due to the costs of egg production), a potentially confounding factor in such experiments; only the timing of breeding was manipulated. 5. The within-individual seasonal trend in clutch size differed significantly from the population decline in four of six cases (year-site combinations); there is good reason to believe that the lack of a significant difference in the two other cases was due to low statistical power. Thus, our data support the hypothesis that the season decline in clutch size in this species is due to variation in female quality. 6. The between-year repeatability of clutch size was 0.47 and significantly different from zero, whereas that of relative laying date was much lower (-0.23) and non-significant. The repeatability data are thus consistent with the quality hypothesis: clutch size is characteristic of individuals regardless of their timing of breeding. 7. Female body mass at the beginning of incubation was not related consistently to clutch size or laying date, and therefore does not appear to be an indicator of female quality in this context.",71,Journal,ar,Article,100,3,3,"Egg mass, intraspecific variation | Laying date, Monte Carlo test | Repeatability",29544,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/0035653387,SCOPUS_ID:0035653387,2-s2.0-0035653387,Weak cross-species relationships between body size and trophic level belie powerful size-based trophic structuring in fish communities,Jennings S.,Journal of Animal Ecology,00218790,70,6,934-944,2001-12-01,2001,10.1046/j.0021-8790.2001.00552.x,"1. Body size determines rates of respiration and production, energy requirements, mortality rates, patterns of predation and vulnerability to mortality. Body size distributions are often used to describe structure and energy flux in communities and ecosystems. 2. If clear relationships can be established between body size and trophic level in fishes, they may provide a basis for integrating community and ecosystem analyses based on size spectra, food webs and life histories. 3. We investigated relationships between the body sizes (weight and length) of northeast Atlantic fishes and their trophic level. The abundance of 15N, as determined by stable isotope analysis, was used as an index of trophic level. 4. Cross-species and comparative analyses demonstrated that body size was unrelated or weakly related to trophic level. Thus allometric relationships between body size and trophic level could not be used to predict the trophic structure of fish communities. 5. The results of the cross-species analyses contrasted with patterns in the size and trophic structure of entire fish communities. When fish communities were divided into size classes, there were strong positive relationships between size class and trophic level. The slope suggested a mean predator: prey body mass ratio of 80:1. 6. Our results suggest that body size does not provide a useful surrogate of trophic level for individual species, but that body size is an excellent predictor of trophic level within the community, providing an empirical basis for integrating community analyses based on models of trophic structure and body size distributions.",324,Journal,ar,Article,100,4,4,Allometry | Body size | Food web | Life history | Phylogeny | Trophic level,29544,undefined,0,FALSE,NA,NA,2
true,https://api.elsevier.com/content/abstract/scopus_id/0035651095,SCOPUS_ID:0035651095,2-s2.0-0035651095,Density-dependent starvation in a vertebrate without significant depletion,Goss-Custard J.D.,Journal of Animal Ecology,00218790,70,6,955-965,2001-12-01,2001,10.1046/j.0021-8790.2001.00553.x,"1. It is often difficult to quantify the separate contribution of exploitation and interference competition to the starvation of poor competitors yet, in vertebrates, it seems widely supposed that depletion is normally the mechanism underlying density-dependent starvation. This paper presents arguments that density-dependent starvation occurs through interference in wintering oystercatchers Haematopus ostralegus eating mussels Mytilus edulis without prey depletion having a significant influence. 2. Exclosure experiments and mussel bed surveys showed that oystercatchers (i) depleted mussel numerical density by up to 25% in their most preferred large prey size classes, but by only 12.1% overall; (ii) reduced mean mussel length by 1.5%; but (iii) had no detectable effect on the thickness of the shells and therefore the availability of mussels to the 60% of oystercatchers that opened mussels by breaking the shell. 3. Oystercatcher intake rate did not fall until prey biomass had decreased to very low densities. Depletion was not nearly large enough for mussel biomass to be reduced to this point. 4. The flesh content of individual mussels decreased from autumn to spring by 40-50% but oystercatchers did not increase their rate of foraging to compensate. Intake rate declined over the winter because of deteriorating mussel condition; very little was because of depletion. 5. Over the current range of population size, the density-dependent functions produced by a behaviour-based individual's model were the same whether depletion was allowed to occur or not, confirming that depletion played no role in the density-dependent starvation. 6. At current population sizes, intake rate was reduced as population density increased only through increased interference, this leading to starvation late in winter when mussel flesh content was low. It was not just the subdominant birds most susceptible to interference that starved, but the least efficient ones as well, even though the density dependence was not due to exploitation competition.",40,Journal,ar,Article,100,7,7,Depletion | Functional response | Interference | Intraspecific competition,29544,undefined,1,TRUE,all,All Open Access,3
true,https://api.elsevier.com/content/abstract/scopus_id/0034817132,SCOPUS_ID:0034817132,2-s2.0-0034817132,Spatial dynamics of predation by carabid beetles on slugs,Mair J.,Journal of Animal Ecology,00218790,70,5,875-876,2001-10-11,2001,10.1046/j.0021-8790.2001.00538.x,NA,3,Journal,sh,Short Survey,100,4,4,NA,29544,undefined,1,TRUE,all,All Open Access,4
true,https://api.elsevier.com/content/abstract/scopus_id/0034817126,SCOPUS_ID:0034817126,2-s2.0-0034817126,Gender difference in benefits of twinning in pre-industrial humans: Boys did not pay,Lummaa V.,Journal of Animal Ecology,00218790,70,5,739-746,2001-10-11,2001,10.1046/j.0021-8790.2001.00537.x,"1. We studied how differences in the cost of producing male and female offspring in humans affected the productivity of twin vs. singleton deliveries in two ecologically different areas of pre-industrial (1752-1850) Finland. Given the higher energy requirements of male infants, we predicted sons to suffer more from increased litter size and food scarcity than daughters. 2. We found that the number of offspring surviving to adulthood from a twin delivery differed between the archipelago and mainland areas of rural Finland. On the mainland areas, where crop failures and subsequent famines were common throughout the centuries, twin deliveries were much less successful than in the south-west archipelago, where food conditions were traditionally more stable and survival was ensured by fishing. 3. Productivity of twin deliveries was modified by the gender composition of the twins; female-female twin births were generally most successful and male-male births least successful. 4. On the mainland, giving birth to twins of any gender composition never increased the mothers' reproductive success beyond giving birth to either a male or female singleton, whereas in the archipelago mothers could increase their reproductive output by producing twins. This was because in the archipelago female-female twin deliveries contributed on average more than one adult offspring to the breeding population, whereas a singleton delivery of either gender produced only about 0.7 adults. 5. Our results show that increases in litter size and variability of food conditions increased male mortality. High female twin survival in the archipelago led to higher fitness of twinning mothers in relation to mothers with only singletons. Twinning has traditionally been significantly more common in the archipelago as compared to the mainland, but contrary to the prediction, there were no apparent differences in the frequency of male-male and female-female twins being born.",31,Journal,ar,Article,100,3,3,Food conditions | Litter size | Mortality | Reproductive success | Sex ratio,29544,undefined,0,FALSE,NA,NA,5
true,https://api.elsevier.com/content/abstract/scopus_id/0034817125,SCOPUS_ID:0034817125,2-s2.0-0034817125,Climate and population density induce long-term cohort variation in a northern ungulate,Forchhammer M.C.,Journal of Animal Ecology,00218790,70,5,721-729,2001-10-11,2001,10.1046/j.0021-8790.2001.00532.x,"1. Density-dependent and climatic conditions experienced by individuals before and after birth differ considerably between cohorts. Such early environmental variability has the potential to create persistent fitness differences among cohorts. Here we test the hypothesis that conditions experienced by individuals in their early development will have long-term effects on their life history traits. 2. We approached this by analysing and contrasting the effects of climate (the North Atlantic Oscillation, NAO) and population density at year of birth on cohort birth weight, birth date, litter size, age of maturity, survival and fecundity of Soay sheep, Ovies aries L., ewes in the population on the island of Hirta, St Kilda, Scotland. 3. Significant intercohort variations were found in life history traits. Cohorts born after warm, wet and windy (high NAO) winters were lighter at birth, born earlier, less likely to have a twin and matured later than cohorts born following cold and dry (low NAO) winters. High population densities in the winter preceding birth also had a negative effect on birth weight, birth date and litter size, whereas high postnatal densities delayed age of first reproduction. 4. High NAO winters preceding birth depressed juvenile survival but increased adult survival and fecundity. The negative influence of high NAO winters on juvenile survival is likely to be related to mothers' compromised physical condition while the cohort is in utero, whereas the positive influence on adult survival and fecundity may relate to the improved postnatal forage conditions following high NAO winters. High pre- and postnatal population densities decreased juvenile (neonatal, yearling) and adult (2-4 years) survivorship but had no significant effect fecundity.",224,Journal,ar,Article,100,4,4,Climatic changes | Density dependence | Density independence | Life-history variation | North Atlantic Oscillation | Soay sheep,29544,undefined,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/0034813956,SCOPUS_ID:0034813956,2-s2.0-0034813956,Age-specific breeding probability in black brant: Effects of population density,Sedinger J.,Journal of Animal Ecology,00218790,70,5,798-807,2001-10-11,2001,10.1046/j.0021-8790.2001.00535.x,"1. We estimated age-specific probability of breeding for black brant (Branta bernicla nigricans Lawrence) (hereafter brant) at the Tutakoke River Colony, Alaska, during a series of years in which local breeding density and juvenile mortality both increased. We use these analyses to examine demographic responses to increased population density. 2. Estimates of breeding probability were based on Kendall & Nichols (1995) full-likelihood modification of Pollock's (1982) robust design applied to observations of uniquely colour-banded brant. 3. Breeding probability varied with female age but not across years, indicating lack of response to increased population density. Annual probability of breeding increased from 0.67 ± 0.042 for 2-year-old females to 0.90 ± 0.024 for females 5 years old or older. 4. Annual breeding probability of males ≥ 5 years old was 0.78 ± 0.03. Lower breeding probability of males compared to females probably reflects dispersal of males whose mates died. 5. Lower juvenile survival appears to be a general response to increased density in large herbivorous birds and mammals, while changes in adult survival and reproductive investment may be more variable.",50,Journal,ar,Article,100,3,3,Alaska | Branta bernicla nigricans | Breeding probability | Capture-recapture | Density dependence | Life-history | Pollock's robust design | Reproduction | Temporary emigration,29544,undefined,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/0034813383,SCOPUS_ID:0034813383,2-s2.0-0034813383,Social organization of cooperatively breeding long-tailed tits: Kinship and spatial dynamics,Hatchwell B.,Journal of Animal Ecology,00218790,70,5,820-830,2001-10-11,2001,10.1046/j.0021-8790.2001.00541.x,"1. Long-tailed tits Aegithalos caudatus L. are cooperative breeders in which breeders that have failed in their own breeding attempt become helpers at the nest of relatives. We investigated the effects of kinship on the spatial dynamics of non-breeding flocks of long-tailed tits in order to determine the information available on the kinship of other members of the population from their use of home ranges. 2. A novel method of home range analysis was devised based on 'convex hull peeling'. This method takes into account the dispersion of all fixes within a home range and permits the quantitative analysis of home range use. In addition, the method allows the extent of overlap between adjacent home ranges to be determined and the use of those areas to be investigated. 3. Non-breeding flocks of long-tailed tits were composed mainly of relatives, but also included unrelated immigrants. Flock ranges were large and there was extensive overlap between adjacent flocks. 4. The degree of range overlap was significantly affected by the relatedness of flocks. If two flocks contained close relatives they were more likely to overlap than two flocks containing non-relatives. Moreover, the amount of overlap was significantly greater for two adjacent related flocks than for two adjacent unrelated flocks. 5. The use of overlapping areas of non-breeding ranges of long-tailed tit flocks was also influenced significantly by relatedness. Overlapping flocks that were unrelated to each other usually avoided areas of overlap, while related flocks did not generally show such avoidance behaviour. 6. Kinship has significant effects on the spatial dynamics of non-breeding flocks of long-tailed tits and therefore flock behaviour can provide information on the relatedness of other members of the population that might be important for helping decisions in this cooperatively breeding species.",41,Journal,ar,Article,100,5,5,Aegithalos caudatus | Convex hull peeling | Cooperative breeding | Home range | Kin selection | Minimum convex polygon,29544,undefined,0,FALSE,NA,NA,8
true,https://api.elsevier.com/content/abstract/scopus_id/0034813380,SCOPUS_ID:0034813380,2-s2.0-0034813380,Monitoring a marine ecosystem using responses of upper trophic level predators,Boyd I.L.,Journal of Animal Ecology,00218790,70,5,747-760,2001-10-11,2001,10.1046/j.0021-8790.2001.00534.x,"1. This study examined the changing status of the marine ecosystem at the island of South Georgia (Southern Ocean) using up to 27 variables measured over 22 years from three upper trophic level predators that specialize in foraging upon krill (Eupuasia superba Dana). These variables included population size, breeding performance, offspring growth rate, foraging behaviour and diet. A method was developed for reducing these multivariate time-series to a single vector, called a combined standardized index (CSI). 2. Sensitivity analyses showed that missing values had a large effect upon the accuracy of the CSI but this effect was reduced if the individual variables were highly correlated. The level of correlation and proportion of missing values within the empirical data set were within the acceptable range. Individual variables had widely varying influence upon the CSI but, in general, those with longer time-series had the greatest influence. 3. Principal components analysis showed that variables representing offspring growth tended to explain the greatest proportion of the variability in the CSI and this was followed by variables representing diet. 4. There were 3 years in which the CSI showed extreme and significantly low values. There was a significant non-linear functional response (similar to the Holling Type II functional response) between the overall CSI and krill biomass and a similar relationship existed when the CSI was calculated for each species individually. 5. Separate analysis of variables that were likely to be representative of changing population size showed the presence of a significant decline between 1977 and 1998. There was no trend in the CSI from variables representative of foraging conditions during the summer breeding season. The study has shown that the marine ecosystem at South Georgia shows acute but transient variability that is amplified in the response of upper trophic -level predators. There is less certainty that trends in populations are a consequence of shifts in the degree to which the ecosystem can support krill-feeding seals and penguins.",119,Journal,ar,Article,100,2,2,Antarctic | Ecosystem management | Food chain dynamics | Functional response | Marine,29544,undefined,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/0034808694,SCOPUS_ID:0034808694,2-s2.0-0034808694,Models of open populations with space-limited recruitment: Extension of theory and application to the barnacle Chthamalus montagui,Hyder K.,Journal of Animal Ecology,00218790,70,5,853-863,2001-10-11,2001,10.1046/j.0021-8790.2001.00547.x,"1. Barnacles are a good model organism for the study of open populations with space-limited recruitment. These models are applicable to other species with open supply of new individuals and resource limitation. The inclusion of space in models leads to reductions in recruitment with increasing density, and thus predictions of population size and stability are possible. 2. Despite the potential generality of a demographic theory for open space-limited populations, the models currently have a narrow empirical base. In this study, a model for an open population with space-limited recruitment was extended to include size-specific survival and promotions to any size class. The assumptions of this model were tested using data from a pan-European study of the barnacle Chthamalus montagui Southward. Two models were constructed: a 6-month model and a periodic annual model. Predicted equilibria and their stabilities were compared between shores. 3. Tests of model assumptions supported the extension of the theory to include promotions to any size class. Mortality was found to be size-specific and density independent. Studied populations were open, with recruitment proportional to free space. 4. The 6-month model showed a significant interaction between time and location for equilibrium free space. This may have been due to contrasts in the timing of structuring processes (i.e. creating and filling space) between Mediterranean and Atlantic systems. Integration of the 6-month models into a periodic annual model removed the differences in equilibrium-free space between locations 5. Model predictions show a remarkable similarity between shores at a European scale. Populations were persistent and all solutions were stable. This reflects the apparent absence of density-dependent mortality and a high adult survivorship in C montagui. As populations are intrinsically stable, observations of fluctuations in density are directly attributable to variations in the environmental forcing of recruitment or mortality.",31,Journal,ar,Article,100,4,4,Intrinsic and extrinsic processes | Marine | Matrix | Parameters | Stability,29544,undefined,1,TRUE,all,All Open Access,10
