@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33749684659,SCOPUS_ID:33749684659,2-s2.0-33749684659,The interaction of disturbances and small mammal community dynamics in a lowland forest in Belize,Klinger R.,Journal of Animal Ecology,00218790,13652656,75,6,1227-1238,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01158.x,"1. Three floods (July 2000, August 2002, September 2003) and a hurricane (October 2001) that occurred in a lowland forest in the southern Maya Mountains of Belize presented an opportunity to evaluate the influence of these disturbances on the structure of a small mammal assemblage. 2. Four terrestrial and four primarily scansorial/arboreal species were trapped July 2000-March 2005 in six grids over 14 irregularly spaced trapping periods. 3. Community dynamics were characterized more by changes in species composition than changes in diversity. The dynamics were driven by species-specific variation in abundance, with changes in composition generally, but not exclusively, due to the occurrence or disappearance of species at low abundance. Despite the disturbances, species richness remained relatively constant. Evenness within the assemblage was consistently low, primarily as a result of dominance by one species, Heteromys desmarestianus. 4. Effects of flooding on community structure were direct but relatively brief (< 1 year), and varied with the duration and intensity of flooding. Effects from the hurricane were indirect but long-lasting and strongly related to severely reduced food resources. 5. This study suggests that long-term dynamics in the structure of many animal communities in the tropics often results from interactions between direct and indirect effects of disturbance. It also suggests that community resistance will depend on variation in disturbance type and regime, but resilience will be determined by the life-history characteristics of each species. © 2006 The Author.",22,17032355,Journal,ar,Article,100,1,1,Community resilience | Community resistance | Community stability | Diversity | Resource limitation,29544,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749684658,SCOPUS_ID:33749684658,2-s2.0-33749684658,The role of group size and environmental factors on survival in a cooperatively breeding tropical passerine,Brouwer L.,Journal of Animal Ecology,00218790,13652656,75,6,1321-1329,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01155.x,"1. Variation in survival, a major determinant of fitness, may be caused by individual or environmental characteristics. Furthermore, interactions between individuals may influence survival through the negative feedback effects of density dependence. Compared to species in temperate regions, we have little knowledge about population processes and variation in fitness in tropical bird species. 2. To investigate whether variation in survival could be explained by population size or climatic variables we used capture-recapture models in conjunction with a long-term data set from an island population of the territorial, cooperatively breeding Seychelles warbler (Acrocephalus sechellensis). The lack of migration out of the study population means that our results are not confounded by dispersal. 3. Annual survival was high, both for adults (84%) and juveniles (61%), and did not differ between the sexes. Although there was significant variation in survival between years, this variation could not be explained by overall population size or weather variables. 4. For territorial species, resource competition will work mainly on a local scale. The size of a territory and number of individuals living in it will therefore be a more appropriate measure of density than overall population density. Consequently, both an index of territory quality per individual (food availability) and local density, measured as group size, were included as individual covariates in our analyses. 5. Local density had a negative effect on survival; birds living in larger groups had lower survival probabilities than those living in small groups. Food availability did not affect survival. 6. Our study shows that, in a territorial species, although density-dependent effects might not be detectable at the population level they can be detected at the individual territory level - the scale at which individuals compete. These results will help to provide a better understanding of the small-scale processes involved in the dynamics of a population in general, but in particular in tropical species living in relatively stable environments. © 2006 The Authors.",69,17032364,Journal,ar,Article,100,4,4,Acrocephalus sechellensis | Individual covariates | Local density | Mark-recapture,29544,undefined,1,TRUE,all,All Open Access,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749683719,SCOPUS_ID:33749683719,2-s2.0-33749683719,"Are ectoparasite communities structured? Species co-occurrence, temporal variation and null models",Krasnov B.,Journal of Animal Ecology,00218790,13652656,75,6,1330-1339,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01156.x,"1. We studied temporal variation in the structure of flea communities on small mammalian hosts from eastern Slovakia using null models. We asked (a) whether flea co-occurrences in infracommunities (in the individual hosts) in different hosts as well as in the component communities (in the host species) demonstrate a non-random pattern; (b) whether this pattern is indicative of either positive or negative flea species interactions; (c) whether this pattern varies temporally; and (d) whether the expression of this pattern is related to population size of either fleas or hosts or both. 2. We constructed a presence/absence matrix of flea species for each temporal sample of a host species and calculated four metrics of co-occurrence, namely the C-score, the number of checkerboard species pairs, the number of species combinations and the variance ratio (V-ratio). Then we compared these metrics with the respective indices calculated for 5000 null matrices that were assembled randomly using two algorithms, namely fixed-fixed (FF) and fixed-equiprobable (FE). 3. Most co-occurrence metrics calculated for real data did not differ significantly from the metrics calculated for simulated matrices using the FF algorithm. However, the indices observed for 42 of 75 presence/absence matrices differed significantly from the null expectations for the FE models. Non-randomness was detected mainly by the C-score and V-ratio metrics. In all cases, the direction of non-randomness was the same, namely the aggregation, not competition, of flea species in host individuals and host species. 4. The inclusion or exclusion of the uninfested hosts in the FE models did not affect the results for individual host species. However, exclusion of the uninfested host species led to the acceptance of the null hypothesis for only six of 13 temporal samples of the component flea communities for which non-randomness was detected when the uninfested hosts were included in the analysis. 5. In most host species, the absolute values of the standardized size effect of both the C-score and V-ratio increased with an increase in host density and a concomitant decrease in flea abundance and prevalence. 6. Results of this study demonstrated that (a) flea assemblages on small mammalian hosts were structured at some times, whereas they appeared to be randomly assembled at other times; (b) whenever non-randomness of flea co-occurrences was detected, it suggested aggregation but never segregation of flea species in host individuals or populations; and (c) the expression of structure in flea assemblages depended on the level of density of both fleas and hosts. © 2006 The Authors.",53,17032365,Journal,ar,Article,100,3,3,Aggregation | Community | Fleas | Small mammals,29544,undefined,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749681124,SCOPUS_ID:33749681124,2-s2.0-33749681124,Variations on a theme: Sources of heterogeneity in the form of the interspecific relationship between abundance and distribution,Blackburn T.,Journal of Animal Ecology,00218790,13652656,75,6,1426-1439,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01167.x,"1. A positive interspecific relationship between abundance and distribution is widely considered to be one of the most general patterns in ecology. However, the relationship appears to vary considerably across assemblages, from significant positive to significant negative correlations and all shades in between. 2. This variation has led to the suggestion that the abundance-distribution relationship has multiple forms, with the corollary that different patterns may inform about, or have different, causes. However, this variation has never been formally quantified, nor has it been determined whether the observed variation is indicative of sampling error in estimating a single effect or of real heterogeneity in such relationships. Here, we use the meta-analytical approach to assess variation in abundance-distribution relationships, and to test different hypotheses for it. 3. Analysis of 279 relationships found a mean effect size of 0.655, which was both highly significantly different from zero and indicative of a strong positive association between abundance and distribution. However, effect sizes were highly heterogeneous, supporting the contention that this relationship does indeed have multiple forms. 4. Most notably, relationships vary significantly in strength across realms, with the strongest in the marine and intertidal, intermediate relationships for terrestrial and parasitic assemblages, and the weakest relationships in freshwater systems. Effect sizes in all of the aquatic realms are homogeneous, suggesting that realm is an important source of the heterogeneity observed across all studies. We posit that this may be because the different spatial structure of the environment in each realm affects the opportunity for the dispersal of individuals between sites. 5. Some of the remaining heterogeneity in effect sizes for terrestrial assemblages could be explained by partitioning assemblages by habitat, scale, biogeographical region and taxon, but considerable heterogeneity in effect sizes for terrestrial and parasitic assemblages remained unexplained. © 2006 The Authors.",111,17032375,Journal,ar,Article,100,3,3,Density | Geographical range size | Macroecology | Meta-analysis | Occupancy,29544,undefined,0,FALSE,NA,NA,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749680941,SCOPUS_ID:33749680941,2-s2.0-33749680941,Reproductive performance in grey seals: Age-related improvement and senescence in a capital breeder,Bowen W.,Journal of Animal Ecology,00218790,13652656,75,6,1340-1351,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01157.x,"1. Three hypotheses have been advanced to account for age-related improvement in performance: the selection hypothesis predicts improved due to the loss of lower quality phenotypes, the constraint hypothesis predicts individuals improve function, and the restraint hypothesis predicts younger individuals forego or reduce effort because of mortality risks. A decline in age-related performance (i.e. senescence) is predicted by mutation accumulation, antagonistic pleiotropy and disposable soma (wear and tear) hypotheses. 2. Using five measures of performance - birth rate, maternal and pup birth mass, pup weaning mass, weaning success and lactation length - we tested these hypotheses concerning age-related change in reproduction in 279 female grey seals (Halichoerus grypus), ages 4-42 years, over a 23-year period between 1983 and 2005 on Sable Island, Nova Scotia. These females produced 2071 pups. 3. Although body mass of primiparous females increased with age (4-7 years) birth mass of their pups did not, but pup weaning mass did. Second- and third-parity females of the same age as primiparous females gave birth to and weaned heavier pups. However, parity and age were dropped from models when maternal body mass was included. 4. The proportion of females giving birth varied significantly with maternal age, increasing in young females and then declining late in life. Weaning success rate also increased rapidly to about 8 years and subsequently declined in females > 32 years. 5. Generalized additive models indicated nonlinear changes in 3 day body mass (i.e. ∼ birth mass) and weaning mass of pups as a function of maternal age, after accounting statistically for the effects of maternal body mass. Mixed-effects, repeated-measures models fitted to longitudinal data further supported the conclusion that pup birth mass and weaning mass vary nonlinearly with maternal age and indicated nonlinear changes in lactation duration. 6. We found some support for the constraint hypothesis, but our findings were not consistent with the selection hypothesis or the restraint hypothesis as the basis for improvement in reproductive performance. 7. Senescence was evident in multiple female and offspring traits, indicating the degeneration in function of several physiological systems as predicted by the disposable soma hypothesis. © 2006 Government of Canada.",98,17032366,Journal,ar,Article,100,4,4,Age-specific reproduction | Phocid | Pinniped | Seal,29544,undefined,0,FALSE,NA,NA,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749677199,SCOPUS_ID:33749677199,2-s2.0-33749677199,Prediction of bird-day carrying capacity on a staging site: A test of depletion models,Nolet B.,Journal of Animal Ecology,00218790,13652656,75,6,1285-1292,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01150.x,"1. The carrying capacity of a site for migratory water birds, expressed in bird-days, can be of particular conservation value. Several attempts have been made to model this carrying capacity using ideal free distribution models such as, for instance, depletion models, in which the distribution is fully determined by exploitative competition. 2. In the tests of depletion models carried out so far, no alternative models were compared; rather, one specific model was tested. We tested whether bird-days were more in accordance with birds depleting the food resource (a1) until a critical food density which just enabled survival or (a2) until a threshold food density which renders the site as profitable as an alternative site; and birds (b1) satisfying their daily requirements or (b2) maximizing daily intake. 3. We studied Bewick's swans feeding on below-ground tubers of fennel pondweed in one part of an autumn staging site. In most years between 1995 and 2005, we measured tuber biomass densities around September, November and March, and counted swans daily during their stopover in October. 4. The best fit between observed and predicted bird-days was obtained by assuming that the swans were maximizing their daily intake and depleting the tubers until a threshold biomass density (which yielded the same energetic return as the alternative food source after accounting for a small part of the initial tuber biomass being out of reach of the swans). Also in line with daily intake maximization, the daily feeding time did not differ from 10 h day-1, the value predicted for Bewick's swans based on their feeding costs. 5. Our results suggests that the applicable model to calculate carrying capacity may depend strongly on whether birds use a site to stopover or to winter, because it determines whether the birds are more likely to use a threshold or critical food density, and to behave as energy maximizers or satisficers. © 2006 The Authors.",39,17032360,Journal,ar,Article,100,3,3,Cygnus columbianus bewickii | Foraging threshold | Ideal free distribution | Maximizing or satisficing strategy | Potamogeton pectinatus,29544,undefined,1,TRUE,all,All Open Access,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749675020,SCOPUS_ID:33749675020,2-s2.0-33749675020,Distribution of a naturally fluctuating ungulate population among heterogeneous plant communities: Ideal and free?,Jones O.,Journal of Animal Ecology,00218790,13652656,75,6,1387-1392,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01163.x,"1. Herbivore distribution is often assumed to follow the ideal free distribution (IFD) model. This assumes that organisms are omniscient about forage quality and availability within the area available to them and are free to move, with negligible cost, throughout this environment. If this were the case we would expect that, at lowest densities, all animals would be found in the best habitat patches, with less desirable habitats being occupied stepwise as population density increases. We test this using data from a naturally fluctuating population of feral Soay sheep. 2. We show that, although the distribution of individuals is correlated positively with food quality, in line with patterns reported for hill sheep in Scotland, their distribution does not conform to the predictions of the IFD model. We argue that it is the dynamic nature of their food resource that causes this departure from the predictions of the IFD model and make the case that the IFD model, in its unmodified form, is inappropriate for use in modelling distribution among patches containing dynamic resources. © 2006 The Authors.",23,17032371,Journal,ar,Article,100,3,3,Foraging | Habitat selection | Ideal free distribution | Ovis aries | Population density | Soay sheep,29544,undefined,0,FALSE,NA,NA,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749674303,SCOPUS_ID:33749674303,2-s2.0-33749674303,Determinants of quality in a long-lived colonial species,Lewis S.,Journal of Animal Ecology,00218790,13652656,75,6,1304-1312,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01152.x,"1. In many animal populations a small proportion of individuals produce the majority of surviving offspring, but the underlying mechanisms are unclear. Behaviour may be an important determinant of variation in fitness: 'high-quality' individuals may have enhanced abilities in foraging or predator and parasite avoidance. 2. The role of behaviour in determining variation in quality was examined using the common guillemot Uria aalge, a monogamous seabird with biparental care. Using a novel mixed model approach, we analysed binary data on breeding success of each pair attempting to breed in each year with variables critical to breeding success (timing of breeding; inferred age; breeding experience and success; number of nest sites and partners) as fixed effects. Random effects for year, male, female and each distinct pairing of a male and a female were included in the model, allowing a quality estimate to be derived for each individual and pair. A range of behaviours associated with breeding were examined in relation to these quality estimates. 3. Breeding success declined with timing of breeding, and increased initially with age before declining in old age. It increased with previous successful experience, not breeding experience per se, until senescence effects became apparent. For males, breeding success declined with increasing numbers of mates. 4. The most important behavioural determinants of quality operated at the level of the pair, with the time mates spent together at the site and chick feeding rates both positively related to quality. At the individual level, trip durations and feeding rates were associated with female but not male quality, suggesting that pair quality was operating principally through the female. However, removal of laying date, the most important component in the binomial model, confirmed that the pair effect was much larger than the female effect. 5. This study demonstrates the potential of mixed modelling to determine quality estimates based on long-term breeding histories. The probability of a successful reproductive attempt was explained by the timing of breeding, age, successful breeding experience and number of mates. Behaviour was an important proximate mechanism underlying quality, in particular the foraging abilities of the pair, and the female's contribution to offspring provisioning. In species with biparental care, behavioural correlates of quality operate most strongly at the scale of the breeding pair, because contributions from both individuals are required for a successful outcome. © 2006 The Authors.",61,17032362,Journal,ar,Article,100,8,8,Biparental care | Experience | Individual quality | Lifetime reproductive success | Parental age,29544,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749673388,SCOPUS_ID:33749673388,2-s2.0-33749673388,The contributions of age and sex to variation in common tern population growth rate,Ezard T.,Journal of Animal Ecology,00218790,13652656,75,6,1379-1386,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01162.x,"1. The decomposition of population growth rate into contributions from different demographic rates has many applications, ranging from evolutionary biology to conservation and management. Demographic rates with low variance may be pivotal for population persistence, but variable rates can have a dramatic influence on population growth rate. 2. In this study, the mean and variance in population growth rate (λ) is decomposed into contributions from different ages and demographic rates using prospective and retrospective matrix analyses for male and female components of an increasing common tern (Sterna hirundo) population. 3. Three main results emerged: (1) subadult return was highly influential in prospective and retrospective analyses; (2) different age-classes made different contributions to variation in λ: older age classes consistently produced offspring whereas young adults performed well only in high quality years; and (3) demographic rate covariation explained a significant proportion of variation in both sexes. A large contribution to λ did not imply a large contribution to its variation. 4. This decomposition strengthens the argument that the relationship between variation in demographic rates and variation in λ is complex. Understanding this relationship and its consequences for population persistence and evolutionary change demands closer examination of the lives, and deaths, of the individuals within populations within species. © 2006 The Authors.",57,17032370,Journal,ar,Article,100,3,3,Demography | Elasticity | Matrix | Population dynamics | Sterna hirundo,29544,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749672419,SCOPUS_ID:33749672419,2-s2.0-33749672419,Interactive effects of environmental stress and inbreeding on reproductive traits in a wild bird population,Marr A.B.,Journal of Animal Ecology,00218790,13652656,75,6,1406-1415,2006-11-01,November 2006,10.1111/j.1365-2656.2006.01165.x,"1. Conservation biologists are concerned about the interactive effects of environmental stress and inbreeding because such interactions could affect the dynamics and extinction risk of small and isolated populations, but few studies have tested for these interactions in nature. 2. We used data from the long-term population study of song sparrows Melospiza melodia on Mandarte Island to examine the joint effects of inbreeding and environmental stress on four fitness traits that are known to be affected by the inbreeding level of adult birds: hatching success, laying date, male mating success and fledgling survival. 3. We found that inbreeding depression interacted with environmental stress to reduce hatching success in the nests of inbred females during periods of rain. 4. For laying date, we found equivocal support for an interaction between parental inbreeding and environmental stress. In this case, however, inbred females experienced less inbreeding depression in more stressful, cooler years. 5. For two other traits, we found no evidence that the strength of inbreeding depression varied with environmental stress. First, mated males fathered fewer nests per season if inbred or if the ratio of males to females in the population was high, but inbreeding depression did not depend on sex ratio. Second, fledglings survived poorly during rainy periods and if their father was inbred, but the effects of paternal inbreeding and rain did not interact. 6. Thus, even for a single species, interactions between the inbreeding level and environmental stress may not occur in all traits affected by inbreeding depression, and interactions that do occur will not always act synergistically to further decrease fitness. © 2006 The Authors.",84,17032373,Journal,ar,Article,100,5,5,Darwin's finches | Environmental variability | Inbreeding depression | Population viability | Stress by inbreeding interaction,29544,undefined,0,FALSE,NA,NA,10,NA,NA
