@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0000775606,SCOPUS_ID:0000775606,2-s2.0-0000775606,Factors affecting fruit-set in telopea speciosissima (Proteaceae): The importance of pollen limitation,Whelan R.,Journal of Ecology,00220477,13652745,77,4,1123-1134,1989-12-01,1989,10.2307/2260827,"(1) This study examined whether or not receipt of out-cross pollen limited reproductive success in the Australian proteaceous shrub Telopea speciosissima. (2) Exclusion of pollinators from inflorescences and self-pollination by hand (using whole-plant treatments) produced no fruit, indicating self-incompatibility. (3) Experimental cross-pollination of all flowers on a sample of plants also left exposed to natural pollinators resulted in significantly greater fruit- and seed-set than in open- pollinated, control plants. (4) Hand-pollinated plants produced fruits on 91% of inflorescences compared to 52% for control plants. Mean numbers of fruits plant- I were 9 5 for controls and 22 3 for hand- pollinated plants, producing a mean of 133 seeds plant-1 for control plants and 352 for hand-pollinated plants. (5) Fruit-set was extremely low even after hand-pollination (only 2 9% of flowers produced fruits), so although ineffective pollination did limit fruit-set it is insufficient to explain the low fruit: flower ratio in this species. (6) The number of fruits produced per plant, on unmanipulated plants, did not increase significantly with increasing numbers of inflorescences. There was a significant positive correlation for hand-pollinated plants, suggesting that plants with many inflorescences suffered greater pollination-limitation of fruit-set than those with few.",44,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024945520,SCOPUS_ID:0024945520,2-s2.0-0024945520,Temporal and spatial variation in the phenology of flowering and fruiting in a tropical rainforest,Heideman P.,Journal of Ecology,00220477,NA,77,4,1059-1079,1989-01-01,1989,10.2307/2260823,"In submontane rainforest on Negros Island, C Philippines, temporal variation in the percentage of plants in flower or fruit was generally less than 2-fold. Temporal variation in abundance of flowers or fruits was up to 4-fold among some months. A peak in flowering during the dry season and early part of the wet season was due to temporal variation in flowering patterns of trees and palms, but not vines. The long-term relationship of rainfall to phenological patterns remains uncertain. -from Author",39,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024945494,SCOPUS_ID:0024945494,2-s2.0-0024945494,Regeneration and establishment strategies of emergent macrophytes,Shipley B.,Journal of Ecology,00220477,NA,77,4,1093-1110,1989-01-01,1989,10.2307/2260825,"The covariation within, and the relationship between 7 juvenile (seed/seedling) and 13 adult traits of 25 species of emergent macrophytes occurring along the Ottawa River, Canada, is described. Contrary to r-K selection, but in accordance with C-S-R theory, there was no association between these 2 sets of traits. The major axis of variation within the juvenile traits consisted, at one end, of large, slowly germinating seeds with seedlings possessing a low relative growth rate, and at the other end of small, rapidly germinating seeds with seedlings possessing a high relative growth rate. The regeneration strategies of these species are interpreted as consisting of fugitive vs. stress-tolerant juveniles. Adult traits showed 2 major trends. The largest was associated with the ability to occupy space and consisted of correlated variation in above-ground biomass, canopy diameter, rhizome thickness and rhizome or stolon length; this trend is interpreted as consisting of fugitive vs. competitive adults. A subordinate trend consisted of an uncoupling of height from above-ground biomass and was associated with the ""leafless' morphology of a subset of species; this trend was related to environments in deeper water but having infertile soil and was interpreted as a stress-tolerant strategy. These trends in trait variation were related to environmental gradients of soil fertility and water depth. -Author",110,Journal,ar,Article,100,4,4,29602,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024944822,SCOPUS_ID:0024944822,2-s2.0-0024944822,Effect of nurse plants on the microhabitat and growth of cacti,Franco A.,Journal of Ecology,00220477,NA,77,3,870-886,1989-01-01,1989,10.2307/2260991,"Seedlings of the cactus Carnegiea gigantea at 2 sites in the Sonoran Desert were found only in sheltered microhabitats, 89% occurring under the canopy of Ambrosia deltoidea and Cercidium microphyllum. In contrast, 29% of the seedlings of Ferocactus acanthodes, which tolerates higher temperatures than C. gigantea, occurred in unsheltered microhabitats, where maximum soil surface temperatures reached 71°C. Most (70%) of the sheltered seedlings of F. acanthodes occurred under the canopy of the perennial bunchgrass Hilaria rigida. Nurse plants facilitate seedling establishment by reducing high temperatures near the soil surface and provide a microhabitat with a higher soil N level, but shading and competition for water with the nurse plants markedly reduce seedling growth. -from Authors",381,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024943435,SCOPUS_ID:0024943435,2-s2.0-0024943435,"Demographic studies of a dioecious tree. I. Colonization, sex and age structure of a population of Salix cinerea",Alliende M.C.,Journal of Ecology,00220477,NA,77,4,1029-1047,1989-01-01,1989,10.2307/2260821,"The distribution of individuals of Salix cinerea was mapped in a site in Anglesey, N. Wales. Colonization of the study site apparently began when 2 female trees became established before 1967. The population increased rapidly until 1980, after which few new individuals became established and these were restricted to a few small areas on the site. The overall sex ration was female biased, with a radio of 2:1. The sex ratio of each age cohort was also female biased, except at age 6. There was no evidence of spatial segregation of the sexes, but juvenile plants tended to be spatially segregated from adults. Nearest-neighbour distance was the density measure best correlated with plant performance. Measures of plant growth were more strongly correlated with measures of density in female and juvenile plants than in males. (see also 90/07137). -from Authors",56,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024940603,SCOPUS_ID:0024940603,2-s2.0-0024940603,Historical records of climate-related growth in Cassiope tetragona from the Arctic,Callaghan T.V.,Journal of Ecology,00220477,NA,77,3,823-837,1989-01-01,1989,10.2307/2260988,"This evergreen species retained up to 232 leaves per shoot. Leaf lengths, plotted against leaf position on the shoots, revealed 1) more or less regular waves caused by the alternation of short spring and autumn leaves with long summer leaves, and 2) an ontogenetic trend represented by a general increase in leaf length with increasing distance between the point of origin of the leaf and the origin of the shoot. The seasonal trend of leaf length was used to delimit annual complements of leaves, of which up to 20 persisted. Correlation analysis between 4 measures of annual leaf performance showed several similarities between 2 Svalbard populations, a few between the low altitude population from Svalbard and that from Swedish Lapland and none between the higher altitude Svalbard population and that from Swedish Lapland. July temperatures and precipitation during May were particularly important for leaf development in the Svalbard populations. In Swedish Lapland, number of leaves per year was correlated with summer temperatures but only negatively with precipitation. At the Swedish site, protection of leaf primordia from frost is probably greater than in Svalbard because of a more persistent snow cover. Correlations between number of leaves per year and the other measures of leaf performance and weather in the previous year were particularly strong in the Svalbard populations, demonstrating the performation of an annual leaf complement by the High Arctic Svalbard populations. This may be an important mechanism to buffer production against particularly adverse weather conditions during the growing season. Retrospective analysis of the historical records of growth preserved in ungrazed herbaceous material from the Arctic can lead to the dating of specific events and the construction of models of long-term climate-related growth. -from Authors",65,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024940582,SCOPUS_ID:0024940582,2-s2.0-0024940582,The seed regeneration dynamics of an emergent salt marsh,Hutchings M.,Journal of Ecology,00220477,NA,77,3,615-637,1989-01-01,1989,10.2307/2260974,"No seed production was recorded for several species occurring in the established vegetation of the 3 sites examined at Hayling Island, Sussex. Greatest seed output on the high site was by Juncus gerardi, the 7th most abundant species in the vegetation. On the middle site, highest seed output was by Plantago maritima, the 2nd most abundant species. On the low site, the most abundant species, Puccinellia maritima, had the greatest seed output. Total seed output ranged from 20 000m-2 on the high site to 11 000m-2 on the low site. Viability of seeds produced by most species was >80%. There were marked differences in the timing of ripe seed production by different species. A higher proportion of the seed output appeared in the seed bank for species with seeds ripening in summer than for those with seeds ripening in autumn. Large numbers of seeds were recovered from the soil for 6 species. Apart from Puccinellia on the low site, all the halophytes that were efficiently sampled had transient seed banks on all sites. All were Type II (spring germinating), except for Puccinellia on the high and middle sites and Armeria maritima. These had transient Type I (winter germinating) seed banks. Three small-seeded species (J. gerardi, Inula crithmoides, Spergularia marina) were not efficiently sampled from the soil; they are more likely to have persistent seed banks. Maximum seed bank size was 4.4 times greater on the low site than on the high site. Generally, species showed their highest levels of germination and seeding survival on sites where they had their highest percentage cover and seed production. Seedling survival was low except for Aster tripolium and I. crithmoides on the high site and for the annual Suaeda maritima on the low site. -from Authors",65,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024940332,SCOPUS_ID:0024940332,2-s2.0-0024940332,Plasticity and light interception by six bryophytes of contrasted ecology,Rincon E.,Journal of Ecology,00220477,NA,77,2,439-446,1989-01-01,1989,10.2307/2260760,"Responses were consistent with the hypothesis that in plants of relatively productive habitats, high morphological plasticity in the rate and direction of shoot proliferation function as a ""foraging' mechanism which allows resource acquisition in circumstances of localized resource depletion created by the activity of competing neighbours. In bryophytes of shaded and chronically unproductive habitats, plasticity was less pronounced; here the capacity to exploit sunflecks was important. -from Authors",46,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024939774,SCOPUS_ID:0024939774,2-s2.0-0024939774,"Causes of the species-area relation: a study of islands in Lake Manapouri, New Zealand",Kelly B.,Journal of Ecology,00220477,NA,77,4,1021-1028,1989-01-01,1989,10.2307/2260820,"In an attempt to test the Equilibrium hypothesis, 23 islands in Lake Manapouri were sampled for richness of vascular plant species. Sampling was restricted to beech forest and manuka scrub and was with a fixed-size quadrat (100m2). The percentage of variation in species richness explained by island area was reduced from the 92% found in an earlier study by whole-island sampling to 17% and 10%, respectively. The overall manuka scrub relation showed a significant quadratic relation, and examination of species-area relations within subgroups of quadrats selected for greater habitat uniformity showed one significant linear regression. Possible explanations, not normally considered in species-area studies, are the Incidence Function hypothesis, the Small Island Effect hypothesis, and the Small Island Habitat hypothesis<>9d\that there are inevitable habitat differences between small and large islands. -from Authors",65,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024939278,SCOPUS_ID:0024939278,2-s2.0-0024939278,Above-ground nutrient turnover and net primary production of an evergreen and a deciduous species in a heathland ecosystem,Aerts R.,Journal of Ecology,00220477,NA,77,2,343-356,1989-01-01,1989,10.2307/2260754,"Above-ground nutrient turnover and net primary production (NPP) in adjacent wet heathland communities dominated by the evergreen dwarfshrub Erica tetralix and the deciduous perennial grass Molinia caerulea were studied in The Netherlands. The evergreen achieved a high NPP in March-May, which accounted for 28% of total annual NPP. There was no NPP in October-March. Secondary thickness growth accounted for 31-49% of NPP in the evergreen. The growing season of the deciduous species lasted from April-September. Above-ground NPP was 2.1-2.6 times higher than that of the evergreen. Leaf litter production by the evergreen only occurred during the summer. Leaf litter production of Molinia occurred in autumn. Leaf expectancy of the leaves was 3 times as high in the evergreen compared with the deciduous species. The evergreen reduced nutrient losses mainly by leaf longevity, a relatively low allocation of nutrients to the leaves and low tisuse nutrient concentrations. The deciduous species reduced nutrient losses mainly by a very effficent retranslocation of nutrients from senescing tissues. Retention of nutrients was greater and NPP was smaller in the evergreen shrub. There is probably a trade-off between these 2 characteristics. Differences in nutrient turnover and productivity may explain the replacement of Erica by Molinia in wet heathlands when nutrient availability increases. -from Authors",60,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,10,NA,NA
