@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0025693178,SCOPUS_ID:0025693178,2-s2.0-0025693178,Fuzzy clustering of ecological data,Equihua M.,Journal of Ecology,00220477,78,2,519-534,1990-01-01,1990,10.2307/2261127,"Fuzzy sets are a suitable description of ecological communities, using Calluna vulgaris moorland data from the North York Moors National Park as an example. The clustering approach used, the fuzzy c-means algorithm (or fuzzy ISODATA), requires a starting classification that is refined by a least-squares criterion. The starting strategy used in the example was based on the division of one ordination axis. Ordination axes were also used to reduce the high level of noise present in the ecological data. Fuzzy clustering was compared with the classification produced by TWINSPAN. The first division of TWINSPAN contrasted species of wet environments (Agrostis canina, Sphagnum recurvum, Polytrichum commune and Eriophorum angustifolium) with Pohlia nutans, a moss which grows on peaty or sandy banks and often under mature Calluna vulgaris. Fuzzy c-means show a strong clustering into 2 groups, although there were indications of a substructure at 3 or perhaps 5 groups. The 2 groups contrasted sites from wet habitats and those from drier habitats. When clustering into ≥3 groups, the clusters of drier habitats may be associated with the C. vulgaris development cycle. In comparison with TWINSPAN, fuzzy clustering produces clusters which are more strongly correlated with relevant external environmental variables. This may reflect the fact that ecological communities are more similar to fuzzy sets than to ordinary sets with sharp boundaries. -from Author",102,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0025692828,SCOPUS_ID:0025692828,2-s2.0-0025692828,Treefall disturbance maintains high bryophyte diversity in a boreal spruce forest,Jonsson B.G.,Journal of Ecology,00220477,78,4,924-936,1990-01-01,1990,10.2307/2260943,"Compared bryophyte diversity in patches formed by uprooting with that of the undisturbed forest floor in a N Swedish Picea abies forest. Bryophyte diversity and species richness were significantly higher in patches with soil disturbance compared with undisturbed forest floor. Species richness and diversity were highest at intermediate patch ages, but disturbed patches had an altered vegetation composition for at least 100 yr. Four causes of high bryophyte diversity in disturbed patches are proposed: 1) uprooting creates space for bryophyte colonization that is free from potential competitors; 2) disturbed patches have high habitat heterogeneity; 3) within-patch disturbance continues long after patch formation through erosion from the tip-up mound; and 4) the small patch size implies a short distance to potential sources of bryophyte diaspores which should increase the chance of establishment. Both early and late successional bryophytes establish shortly after an uprooting has occurred, ie no facilitation by early species is necessary before late successional species invade. -from Authors",148,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0025692406,SCOPUS_ID:0025692406,2-s2.0-0025692406,Influence of seed size and quality on seedling development under low nutrient conditions in five Australian and South African members of the Proteaceae,Stock W.,Journal of Ecology,00220477,78,4,1005-1020,1990-01-01,1990,10.2307/2260949,"Seedlings of Protea lorifolia, Protea cynaroides, Leucadendron laureolum, Hakea sericea and Banksia laricina could survive prolonged periods of nutrient scarcity irrespective of seed size. Rapid germination of Proteaceae seeds does not appear to be a significant means of increasing seedling fitness. Seed mass was positively correlated with seedling size. No correlation between relative growth rates and seed size was found. Seeds of members of the Proteaceae show selective storage of specific nutrients (N and P) such that seed chemical composition is unbalanced for optimum seedling growth. These elements complement the rich sources of cations Ca, Mg and K found in soils of post-fire environments when maximal recruitment of proteoid species occurs. -from Authors",86,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0025686652,SCOPUS_ID:0025686652,2-s2.0-0025686652,Competition among old-field perennials at different levels of soil fertility and available space,Gurevitch J.,Journal of Ecology,00220477,78,3,727-744,1990-01-01,1990,10.2307/2260895,"Competitive effects and responses to neighbours were examined by growing Achillea millefolium, Dactylis glomerata and Vicia cracca singly and in intra- and interspecific pairs at low and at moderate substrate fertility. Competition did not generally have greater negative effects on plant performance at higher fertility levels and when more space was available. Nor was there a tendency for greater competitive effects at lower soil fertility and when space was more restricted. There were no apparent trade-offs in competitive abilities at different resource levels. The negative effects of competition on an individual plant's growth, for the poorer competitor of a pair, was greater if the neighbour was of a different species. A generally consistent hierarchy of competitive effects and responses among species reflected the hierarchy of initial seed sizes. Root:shoot ratios were most variable in response to neighbour identity in Achillea, the poorest competitor, and least responsive in Vicia, generally the best competitor. -from Authors",66,Journal,ar,Article,100,5,5,29602,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0025685875,SCOPUS_ID:0025685875,2-s2.0-0025685875,Demography and growth forms of the clonal perennial Rubia peregrina in Mediterranean vineyard and unmanaged habitats,Navas M.,Journal of Ecology,00220477,78,3,691-712,1990-01-01,1990,10.2307/2260893,"The weedy vineyard population increased in size (the relative rate of change of ramets over the period of study was 1.8) whereas the non-weedy populations were in a more-or-less steady-state (relative rates of change were -0.11 and 0.23 for sward and oakwood populations, respectively). No establishment of new genets was observed. Production of ramets and metamers was maximal during spring and autumn; during summer, it stopped in unmanaged habitats, while a small rate of production was still observed in the vineyard. In all habitats, mortality was high during active growth periods, and, especially in the sward, during summer drought. Death of ramets was density independent in the vineyard and sward. In the vineyard, R. peregrina showed a phalanx growth form, with a high density of closely packed ramets; under the oak canopy it showed a guerrilla growth form with lower density of more widely spaced ramets; in the degraded open sward, an intermediate growth form was observed. Species tolerant of herbicides and displaying a phalanx growth form are potentially injurious weeds in vineyards and orchards where minimum tillage is practised. -from Authors",20,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0025683789,SCOPUS_ID:0025683789,2-s2.0-0025683789,Competition and growth form in a woodland annual,Weiner J.,Journal of Ecology,00220477,78,2,459-469,1990-01-01,1990,10.2307/2261124,"For Impatiens pallida in SE Pennsylvania, there were major differences in the growth form of crowded and uncrowded plants. Although they were smaller in stem diameter and had less total leaf area and branch length, crowded plants were taller than uncrowded plants. Uncrowded plants had significantly more leaf area, and this leaf area was located lower along the main axis of the plant than in crowded plants; they also had more, longer and lower branches. In uncrowded populations there was a linear relationship between the height of an individual and its total leaf area or branch length, but these relationships were curvilinear or discontinuous for crowded populations. This suggests different patterns of growth for canopy and sub-canopy individuals within crowded stands. -from Authors",90,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0025682412,SCOPUS_ID:0025682412,2-s2.0-0025682412,The physiological basis for the contrasting distribution patterns of Acer saccharum and Thuja occidentalis at cliff edges,Bartlett R.,Journal of Ecology,00220477,78,4,1063-1078,1990-01-01,1990,10.2307/2260952,"Photosynthesis of northern white cedar Thuja occidentalis and sugar maple Acer saccharum seedlings was measured to establish if changes of sensitivity to radiant intensity during early ontogeny could explain their mutually exclusive distribution patterns at cliff edges of the Niagara Escarpment, S Ontario. Thuja cotyledons had higher net photosynthetic rates and lower specific leaf weights than Acer cotyledons. Thuja may thus rely more on immediate carbon fixation during establishment than Acer, which may rely more on stored metabolites at this stage of development. Thuja seedlings gained more carbon than Acer at lower PAR levels. More Thuja than Acer seedlings survived the first 6 wk of growth at the two lowest PAR levels, and were than able to survive an imposed drought for a mean of 5.5 days. Six-wk-old Acer seedlings showed low rates of net photosynthesis, biomass production and survival at low PAR and moisture levels, but a greater capacity to respond to favourable conditions. The low net photosynthetic rate of Acer under simulated cliff-edge conditions suggests that it is excluded from the cliff-edge because it is intolerant of hostile conditions that occur there. Unlike Thuja, Acer can benefit from the productive environment in the deciduous forest. Thuja productivity and survival under simulated cliff edge and deciduous conditions were similar. This suggests that Thuja is the more tolerant of cliff-edge conditions but excluded from the deciduous forest zone by other processes. -from Authors",5,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0025669219,SCOPUS_ID:0025669219,2-s2.0-0025669219,The effects of competition and environmental heterogeneity on three coexisting grasses,Fowler N.,Journal of Ecology,00220477,78,2,389-402,1990-01-01,1990,10.2307/2261119,"The effects of competition and spatial heterogeneity in the environment on Aristida longiseta, Bouteloua rigidiseta and Stipa leucotricha were investigated by transplanting small plants of each species into undisturbed vegetation and into quadrats from which the herbaceous vegetation had been removed. While transplants planted in pairs did not perform as well as those planted single, the species of the neighbour had no effect. The positive effect of the removal of pre-existing herbaceous vegetation upon the transplants was generally greater in ""rocky' than in ""grassy' quadrats, suggesting that the total competition experienced by these grasses was more intense in ""rocky' quadrats, despite their lower cover. Both A. longiseta and B. rigidiseta could survive, and even reproduce, under the caniopies of woody plants, suggesting that these species are excluded from this micro-environment by the inability of their seedlings to establish there. The 3 species differed in their response to 3 types of micro-environment, and to different plots within those micro-environments. These differences may promote the coexistence of these three species. -from Author",19,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0025658966,SCOPUS_ID:0025658966,2-s2.0-0025658966,Forest and moorland in the south Pennine Uplands in the mid- Flandrian period. II. The hillslope forests,Tallis J.,Journal of Ecology,00220477,78,4,857-883,1990-01-01,1990,10.2307/2260940,"l) A simple model of pollen influx to an upland sampling site near the altitudinal treeline is described. In the model, influx derives from four successive altitudinal zones (called lowland forest, upland forest, scrub and moorland), and declines stepwise and exponentially with increasing distance downslope and upslope from the sampling site. An approximation of the spatial distribution of the four vegetation zones on the hillslope can be achieved if the pollen contributions from the four zones are expressed as percentage of total influx and are logarithmically transformed. 2) Three separate lines of evidence are used to determine the main pollen taxa contributing to the influx from these four vegetation zones in the South Pennines in the early and mid-Flandrian period. 3) At Robinson's Moss an altitudinal zonation of forest and scrub communities developed gradually on the hillslopes during the early Flandrian, and had achieved a position of approximate stability by 6700-6800 B.P. These forest and scrub communities continued to expand upslope for several hundred years after they had become established in the lowlands. -from Authors",23,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0025658595,SCOPUS_ID:0025658595,2-s2.0-0025658595,Organic matter accumulation and nitrogen mineralization during secondary succession in heathland ecosystems,Berendse F.,Journal of Ecology,00220477,78,2,413-427,1990-01-01,1990,10.2307/2261121,"Five series of plots in Dutch heathlands were selected in which the above-ground biomass and the litter (L) and humus (FH) layer had been removed 5-50 yr ago. Amounts of organic matter in the L and FH layers increased with age while the communities were dominated by Calluna vulgaris or Erica tetralix. Where dwarf shrubs were replaced by Molinia caerulea, amount of soil organic matter did not further increase. Both above-ground and below-ground biomass in the communities dominated by dwarf shrubs increased with age to c1300 and 800 g m-2, respectively, but were much lower in Molinia-dominated plots (400 and 500 g m-2). Annual N mineralization remained at a low level, or even decreased, during the first 10 yr after turf removal. Thereafter the mineralization rate increased with an increasing amount of organic matter in the L and FH layers. Amount of organic matter in the L and FH layers and the biomass percentage of Molinia together explained 84% of the observed variance in the annual N mineralization. Molinia apparently has a positive effect on the mineralization rate. In communities dominated by Calluna or Erica all the N that entered the ecosystem appeared to accumulate in the plant biomass and the soil organic matter; losses of N from the ecosystem appeared to be negligible. In Molinia-dominated communities part of the N that entered the system was lost to deeper soil layers, to the atmosphere or to herbivores. -from Author",175,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,10
true,https://api.elsevier.com/content/abstract/scopus_id/0025645516,SCOPUS_ID:0025645516,2-s2.0-0025645516,Nutrient flux and retention in a tropical sand-dune succession,Kellman M.,Journal of Ecology,00220477,78,3,664-676,1990-01-01,1990,10.2307/2260891,"The input to soils of nutrients in solution, and the output from them in percolating water, were computed over a 3-month period in four stages of a sand-dune succession in Veracruz, Mexico. The first 3 stages occur upon recent sand and represent a succession from pioneer communities to forest. The 4th is forest on a much older fossil dune. The quantity of nutrients entering the soil increased from the pioneer to the forest community on recent sand, but outputs from these systems increased even more rapidly. This declining effectiveness of retention is attributed to mobilization of cations by increased quantities of bicarbonate anions beneath the larger biomass communities. On the fossil dune, nutrient outputs in percolating water were much lower despite large inputs and comparable water fluxes, attributed to soil changes induced by weathering, especially lower pH and the development of an anion exchange capacity. Biological mechanisms of nutrient retention may be relatively ineffective at conserving nutrients unless coupled to a soil adsorption system that temporarily suppresses acute leaching in percolating water. -Authors",40,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,11
true,https://api.elsevier.com/content/abstract/scopus_id/0025641417,SCOPUS_ID:0025641417,2-s2.0-0025641417,Studies in the Flandrian vegetational history of the Craven district of Yorkshire: the lowlands,Bartley D.,Journal of Ecology,00220477,78,3,611-632,1990-01-01,1990,10.2307/2260888,"Pollen diagrams are presented for 5 sites in lowland Craven, NW Yorkshire. Associated radio-carbon dates show that the vegetational history extends from the end of the Devensian late-glacial to the present day. The early immigration and spread of Pinus and Alnus are discussed in relation to changes in climate, soil and human interference. Up to the Ulmus decline human interference, although probably present, was not a major influence on the vegetation of this lowland area. After the Ulmus decline human interference was of prime importance in determining vegetation history, but with greatly differing intensity and progress on different soils. On high-quality limestone soils, major clearance occurred in the Bronze Age, but on the heavy clay soils in the western part of the region, intensive clearance did not take place until Anglo-Saxon times. -from Authors",13,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,12
true,https://api.elsevier.com/content/abstract/scopus_id/0025640316,SCOPUS_ID:0025640316,2-s2.0-0025640316,"The influence of man and climate on frequency of fire in the interior wet belt forest, British Columbia",Johnson E.,Journal of Ecology,00220477,78,2,403-412,1990-01-01,1990,10.2307/2261120,"In Glacier National Park before 1760, the fire cycle was 80 yr; after 1760 it was 110 yr, related to a cooler, moister climate. Construction of the Canadian Pacific Railroad through the Park corresponded to a period in which the area burnt by man increased (1883, 1885 and 1886) and many lightning fires occurred. There has not been a decrease in the fire frequency since the establishment of Glacier National Park in 1888, despite a fire-suppression policy. Large, high-intensity, rapidly spreading fires caused by lightning are associated with a characteristic synoptic weather pattern. The present fire regime is concluded to be largely natural. -from Authors",82,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,13
true,https://api.elsevier.com/content/abstract/scopus_id/0025639792,SCOPUS_ID:0025639792,2-s2.0-0025639792,Seed dynamics of Betula alleghaniensis in a deciduous forest of north-eastern North America,Houle G.,Journal of Ecology,00220477,78,3,677-690,1990-01-01,1990,10.2307/2260892,"For yellow birch in a sugar maple-yellow birch forest near Quebec, no viable seeds were shed before the end of August in 1988, although by then the cumulative seed rain totalled 222 ± 103 seeds m-2. Viability of seeds in the seed rain was low in August 1988 (3%), but increased through the season to a peak at the end of October (74.4%), at the time of maximum seedfall (7377 ± 99 seeds m-2 wk-1). Seed dispersal of the 1988 seed crop continued until the following spring and early summer. Seedfall during the 1988-89 winter period accounted for 24% of the viable seeds disseminated from August 1988 to July 1989. Autumn 1989 seed rain was 15 times lower than of autumn 1988. Seed viability was significantly lower in autumn 1989 than in autumn 1988 (20% and 53%, respectively). Seeds were contagiously dispersed over the site. Seasonal dynamics of the seed bank mostly involved the litter layer. Seed number (in 1988) in the litter layer declined from June (192 ± 26 viable seeds m-2) through July (107 ± 18 viable seeds m-2) to August (77 ± 14 viable seeds m-2), but increased in October (1297 ± 143 viable seeds m -2) as a result of inputs from the seed rain. Newly emerged seedlings were more numerous on the study site in autumn 1989 than in autumn 1988. In both 1988 and 1989, seedlings were contagiously dispersed. Further, 1988 and 1989 spatial patterns for newly emerged seedlings were similar, related to specific microsite requirements for successful seedling establishment. At the beginning of the 1988 season, there were 828 ± 45 viable seeds m-2 in the top 15 cm of soil. By the end of October 1988, there were 1859 ± 162 viable seeds m-2, although by then the cumulative seed rain amounted to 2073 ± 160 viable seeds m-2. Successful seedling establishment accounted for <1% of the seasonal deficit of 1042 viable seeds m-2, this implies that >99% of the seed losses from the seed bank were due to predation, attack by pathogens, depletion of seed reserves and unsuccessful seedling establishment. -from Authors",29,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,14
