@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0027883992,SCOPUS_ID:0027883992,2-s2.0-0027883992,"Flood disturbance and the coexistence of species in a lowland podocarp forest, south Westland, New Zealand",Duncan R.,Journal of Ecology,00220477,81,3,403-416,1993-01-01,1993,10.2307/2261519,"Age and size structures, and tree locations were used to identify cohorts of trees that were initiated by flood events. This, along with information on species microsite preferences and spatial patterning, was used to reconstruct the patterns of establishment of the four dominant canopy trees (Dacrycardpus dacrydioides, Dacrydium cupressinum, Prumnopitys ferruginea, Weinmannia racemosa) in response to flood disturbance. The four species coexisted by partitioning establishment site with respect to the amount of overhead cover and the type of forest floor microsite. D. dacrydioides and D. cupressinum established in large gaps but colonized contrasting microsites; D. dacrydioides established mostly on mineral soil while D. cupressinum established on elevated microsites. W. racemosa and P. ferruginea both established on elevated microsites beneath largely intact canopies. However, W. racemosa colonized canopy gaps while P. ferruginea established mostly under closed cover. Disturbance was critical to the maintenance of species diversity because it was the source of much of the environmental variation to which species responded differentially. -from Author",148,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027881017,SCOPUS_ID:0027881017,2-s2.0-0027881017,Holocene vegetation history at the boreal-forest - shrub-tundra transition in north-western Quebec,Gajewski K.,Journal of Ecology,00220477,81,3,433-443,1993-01-01,1993,10.2307/2261522,"Pollen analysis of sediment cores from the four zones that comprise the forest-tundra transition in northern Quebec provide a history of the vegetation that can be compared with extensive macrofossil data from the region. Basal radiocarbon dates indicate that the entire region was deglaciated around 6000 BP. Pollen diagrams from three sites in the boreal forest and the forest-tundra are broadly similar and show a brief period, following deglaciation, with important non-arboreal pollen values. During the past 3000 years there has been a progressive deforestation at the two sites in the forest tundra, but not at the site in the boreal forest. -from Authors",76,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027879762,SCOPUS_ID:0027879762,2-s2.0-0027879762,"Fire history and vegetation dynamics of a Chamaecyparis thyoides wetland on Cape Cod, Massachusetts",Motzkin G.,Journal of Ecology,00220477,81,3,391-402,1993-01-01,1993,10.2307/2261518,"Before European settlement (c1650 AD) low Atlantic white cedar pollen percentages correspond with abundant charcoal, whereas cedar dominates when charcoal values are low. Five fires occurred at 100-200yr intevals in prehistoric time. Since settlement, fires have been rare and cedar dominates the pollen profile. During the past two centuries timber cutting has become a significant factor in the vegetation dynamics of this system. In the 19th century intensive cutting resulted in the establishment of cedar. During the first half of the 20th century, light timber thinnings favoured Acer rubrum (red maple) regeneration. In the past few decades, neither cedar not its principal associate, red maple, have regenerated beneath the undisturbed cedar overstorey. Vegetation composition and successional trends have largely been controlled by allogenic factors in both pre- and post-settlement times. Vegetation changes resulting from autogenic factors are not evident during the 1000-yr study period. Age-structure analyses of modern stands in combination with fine-resolution pollen analyses are useful in comparing current vegetation dynamics with those of earlier times. In the 600-800 yr before establishment of the current mature stand, cedar did not persist for more than 100-200 yr without stand-regenerating fires. Thus, the survival of the current stand much beyond its present age of 150 yr would be atypical compared to the centuries prior to settlement. The present lack of cedar regeneration suggests that a management policy exluding disturbance would evenutally lead to a decline in the importance of cedar. -from Authors",27,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027870811,SCOPUS_ID:0027870811,2-s2.0-0027870811,Soil physicochemical patterns and mangrove species distribution - reciprocal effects?,McKee K.,Journal of Ecology,00220477,81,3,477-487,1993-01-01,1993,10.2307/2261526,"The distributions of two dominant mangrove species in a neotropical forest were associated with spatial variation in soil redox potentials (Eh) and interstitial water sulphide concentrations. Mangrove zones dominated by Rhizophora mangle alone or in combination with Avicennia germinans were characterized by moderately reducing soils (Eh = 100-300 mV) with low sulphide concentrations ≤0.3 μM), whereas a zone dominated by A. germinans had strongly reducing soils (Eh ≤-100 mV) with high sulphide (2-4 mM). Less reducing soil conditions near the aerial roots of both mangrove species indicated that the relationship between soil physicochemical patterns and mangrove zonation reflected not only effects of soil factors on the vegetation, but effects of the adult root systems on soil Eh and sulphide. Although R. mangle and A. germinans are both flood tolerant, the species respond differently to flooding in terms of growth and biomass partitioning, particularly when the soil is strongly reducing and sulphide is present. Flooding under reducing soil conditions resulted in a 20-40% decrease in total biomass of A. germinans seedlings, whereas seedling biomass was increased 9-24% above drained controls in R. mangle. A significant decrease in root oxygen concentrations in response to reducing soil conditions and sulphide was observed in A. germinans, but not R. mangle. Differential flood tolerance of seedlings is partly due to differences in root aeration. -from Author",259,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027846574,SCOPUS_ID:0027846574,2-s2.0-0027846574,Water as a determinant of the distribution of trees at the boundary of the Mediterranean zone,Pigott C.,Journal of Ecology,00220477,81,3,557-566,1993-01-01,1993,10.2307/2261534,"At the boundary of the Mediterranean zone in southern France different woodland communities occur on N-facing and S-facing slopes. The regional climate is transitional between that of the Mediterranean zone with a well-marked summer drought and that of the cooler and moister mountains. Summer-green deciduous woodland with many species characteristic of central Europe (eg Fraxinus excelsior and Tilia cordata) occurs on steep N-facing slopes and in ravines. Woodland dominated by the evergreen Quercus ilex with many Mediterranean species (eg Cistus salvifolius and Lavandula stoechas) occurs on S-facing slopes. Preliminary studies in England show that Tilia cordata wilts, sheds leaves and has reduced growth when water potential of the shoots falls to -2.1 MPa. Quercus ilex shows no injury when water potential of the shoots falls to -3.5 MPa. Results demonstrate the primary importance of water supply in controlling both thet small- and large-scale pattern of distribution of T. cordata near its southern limit in Europe. -from Authors",119,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027845966,SCOPUS_ID:0027845966,2-s2.0-0027845966,Size structure and seed production in even-aged populations of Ceanothus greggii in mixed chaparral,Zammit C.,Journal of Ecology,00220477,81,3,499-511,1993-01-01,1993,10.2307/2261528,"The density and proportion of live C. greggii shrubs declined significantly over the age sequence. C. greggii shrubs will die out locally in chaparral unburned for 85-155 yr. Analysis of changes in skewness in size distributions among even-aged cohorts did not reveal a consistent increase followed by a decrease with age, as predicted by theory. Topographic aspect influenced shrub size, the rate of shrub growth and pattern of seed production: shrubs on north-facing slopes grew larger than equal-aged shrubs on south-facing slopes. Availability of soil moisture contributes to population differences in G. greggii on north and south slopes. Mean seed production per shrub over five years was significantly influenced by the interaction between shrub age and aspect, which was also the case in most survey years, but there was no significant relationship between mean annual seed production and shrub age. Seed production did not decline with shrub age. Shrub height was the major determinant of seed production. C. greggii shrubs reached sexual maturity 6-8 yr after fire and the rate of seed production with height was maximized within two decades of fire, which was also the period of greatest height growth. Seed set was positively correlated between years among smaller shrubs (high-low or vice versa), suggesting that plant size influences allocation between vegetative and reproductive effort. -from Authors",40,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027844405,SCOPUS_ID:0027844405,2-s2.0-0027844405,Experimental discrimination between contrasting models of neighbourhood competition,Benjamin L.R.,Journal of Ecology,00220477,81,3,417-423,1993-01-01,1993,10.2307/2261520,"Previously published competition models are categorized into four types, based on the territorial extent over which individual plants are assumed to draw resources. These systematic spacings were imposed in three experiments using carrots Daucus carota. The absolute growth rate (AGR) of single plants located at the centre of a ring of four plants was less than that of such plants encompassed by three rings of plants. The difference in AGR between these two treatments initially increased but then became constant. Findings support the ""overlapping domain' type of model and falsify the assumptions made by other types of competition model. Experiments in which the spacing of individual plants were systematically varied in contrasting light and nutrient regimes did not support the expectation that a ""non-overlapping domain' type of model would be most appropriate to simulate the competitive interactions between plants when light is the resource subject to competition. -from Author",15,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027838984,SCOPUS_ID:0027838984,2-s2.0-0027838984,Annual seed dormancy cycles in two desert winter annuals,Baskin C.,Journal of Ecology,00220477,81,3,551-556,1993-01-01,1993,10.2307/2261533,"Freshly matured seeds of Eriogonum abertianum and Eriastrum diffusum and those of both species exhumed after various periods of burial in the Chihuahuan Desert, Arizona, were tested for germination in light and darkness at five thermoperiods. Seeds of Eriogonum were nondormant (ND) at maturity in autumn 1988, and thus 87% of them germinated in light at 15/6 and at 20/10°C. Seeds entered conditional dormancy (CD) in winter; germination at 20/10°C decreased to 6% in light However, a high percentage of the seeds were again ND by autumn 1990. Thus, like seeds of facultative winter annuals in humid, temperate regions, those of Eriogonum have an annual CD/ND cycle, which is characteristic of annuals in unpredictable habitats. Seeds of Eriastrum were dormant (D) at maturity in May 1989. A portion of the seeds after-ripened during summer, and in October 65 and 38% of them germinated in light at 15/6 and 20/10°C respectively. Most of the ND seeds re-entered dormancy during winter, but by the following October 92% of them were ND. Thus, like seeds of obligate winter annuals in humid, temperate regions, those of Eriastrum exhibit an annual D/ND cycle, which is characteristic of annuals in predictable habitats. -Authors",84,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027835427,SCOPUS_ID:0027835427,2-s2.0-0027835427,Dispersal in a metapopulation neighbourhood model of an annual plant with a seedbank,Perry J.,Journal of Ecology,00220477,81,3,453-463,1993-01-01,1993,10.2307/2261524,"A metapopulation neighbourhood model of an annual plant species in a harsh environment is derived. It includes the effects of seed survival, dormancy, competition, dispersal, spatial and temporal heterogeneity, and stochastic local extinctions. In spatially homogeneous and heterogeneous harsh environments with moderate levels of density-dependent competition, all populations persisted and dispersal aided metapopulation growth when the population growth rate was sufficiently large. When the population growth rate was smaller, dispersal increased the risk of, and speeded up the time, to metapopulation extinction. Metapopulation growth was faster when the heterogeneity was at a larger-scale spatial pattern. Temporal heterogeneity had an adverse effect when added to the existing spatial heterogeneity; strongly dispersing metapopulations were affected only slightly, while those with only moderate or no dispersal became extinct. The more frequently the environment changed, the greater was the probability of extinction. Model simulations were repeated for more-severe density-dependence. In the spatially homogeneous environment dispersal prevented metapopulation extinction, while lack of dispersal encouraged it. Dispersal aided metapopulation growth in the spatially heterogeneous unchanging environment. Addition of temporal heterogeneity had little effect on populations with strong dispersal but the effect on the other metapopulations was catastrophic. -from Authors",60,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027833871,SCOPUS_ID:0027833871,2-s2.0-0027833871,Control of seedling emergence by ground cover and seed predation in relation to seed size for some old-field species,Reader R.,Journal of Ecology,00220477,81,1,169-175,1993-01-01,1993,10.2307/2261232,"Sown seeds of 12 old-field species with seed masses ranging from 0.06-12.2 mg were used. Adding a cage to reduce seed predation did not increase seedling emergence significantly for each of the four species with the smallest seeds (<0.14 mg), but seedling emergence increased significantly for each of the eight species with larger seeds. Experimental removal of ground cover increased seedling emergence significantly for the four species with the smallest seeds. Seedling emergence also increased significantly for two species with larger seeds and hard seed coats. The remaining six species only responded to removal of ground cover when seed predator were present. Thus control of seedling emergence by seed predation is directly related to seed size while control by ground cover is inversely related to seed size. Under natural conditions, the combined effect of ground cover and seed predation may reduce seedling emergence equally for species with small seeds and with large seeds. -from Author",224,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,10,NA,NA
