@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0028599230,SCOPUS_ID:0028599230,2-s2.0-0028599230,Biological flora of the British Isles - No.182. Tripleurospermum inodorum (L.) Schultz Bip.,Kay Q.O.N.,Journal of Ecology,00220477,82,3,681-697,1994-01-01,1994,10.2307/2261275,15,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028593177,SCOPUS_ID:0028593177,2-s2.0-0028593177,Hieracium pilosella L. (Pilosella officinarum F. Schultz &amp; Schultz-Bip.),Bishop G.,Journal of Ecology,00220477,82,1,195-210,1994-01-01,1994,10.2307/2261400,45,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028311993,SCOPUS_ID:0028311993,2-s2.0-0028311993,"Trade-offs, elasticities and the comparative method",Shea K.,Journal of Ecology,00220477,82,4,951-957,1994-01-01,1994,10.2307/2261457,24,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028251865,SCOPUS_ID:0028251865,2-s2.0-0028251865,"On trade-offs, elasticities and the comparative method: A rreply to Shea, Rees &amp; Wood",Franco M.,Journal of Ecology,00220477,82,4,958,1994-01-01,1994,10.2307/2261458,8,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179897,SCOPUS_ID:0028179897,2-s2.0-0028179897,"Flowering and fruiting patterns in the temperate rainforest of Chiloe, Chile - Ecologies and climatic constraints",Smith-Ramirez C.,Journal of Ecology,00220477,82,2,353-365,1994-01-01,1994,10.2307/2261303,90,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179890,SCOPUS_ID:0028179890,2-s2.0-0028179890,Growth rules in clonal plants and environmental predictability - A simulation study,Oborny B.,Journal of Ecology,00220477,82,2,341-351,1994-01-01,1994,10.2307/2261302,91,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179889,SCOPUS_ID:0028179889,2-s2.0-0028179889,Growth responses of four sub-Arctic dwarf shrubs to simulated environmental change,Parsons A.,Journal of Ecology,00220477,82,2,307-318,1994-01-01,1994,10.2307/2261298,163,Journal,ar,Article,100,6,6,29602,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179888,SCOPUS_ID:0028179888,2-s2.0-0028179888,Plant species richness - The effect of island size and habitat diversity,Kohn D.,Journal of Ecology,00220477,82,2,367-377,1994-01-01,1994,10.2307/2261304,222,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179887,SCOPUS_ID:0028179887,2-s2.0-0028179887,Biological flora of the British Isles - Phleum arenarium L. (Phalaris arenaria Willd.; Chilochloa arenaria P.Beauv.),Ernst W.H.O.,Journal of Ecology,00220477,82,2,403-413,1994-01-01,1994,10.2307/2261308,2,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179884,SCOPUS_ID:0028179884,2-s2.0-0028179884,"VA mycorrhizal infection in relation to edaphic characteristics and disturbance regime in three lowland plant communities in the south-western Cape, South Africa",Allsopp N.,Journal of Ecology,00220477,82,2,271-279,1994-01-01,1994,10.2307/2261295,29,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,10,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179883,SCOPUS_ID:0028179883,2-s2.0-0028179883,Growth and photosynthesis of Pinus sylvestris at its altitudinal limit in Scotland,James J.,Journal of Ecology,00220477,82,2,297-306,1994-01-01,1994,10.2307/2261297,85,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179881,SCOPUS_ID:0028179881,2-s2.0-0028179881,A comparison of species richness and traits of riparian plants between a main river channel and its tributaries,Nilsson C.,Journal of Ecology,00220477,82,2,281-295,1994-01-01,1994,10.2307/2261296,119,Journal,ar,Article,100,8,8,29602,undefined,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179879,SCOPUS_ID:0028179879,2-s2.0-0028179879,The effect of clipping on interclonal competition in the grass Holcus lanatus - A response surface analysis,Bullock J.M.,Journal of Ecology,00220477,82,2,259-270,1994-01-01,1994,10.2307/2261294,8,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179878,SCOPUS_ID:0028179878,2-s2.0-0028179878,The role of seed size in seedling establishment in dry soil conditions - Experimental evidence from semi-arid species,Leishman M.,Journal of Ecology,00220477,82,2,249-258,1994-01-01,1994,10.2307/2261293,308,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028179877,SCOPUS_ID:0028179877,2-s2.0-0028179877,The influences of tree biology and fire in the spatial structure of the West African savannah,Hochberg M.E.,Journal of Ecology,00220477,82,2,217-226,1994-01-01,1994,10.2307/2261290,82,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,15,all,All Open Access
